start	end	text
0	19220	大家好,我是張雁勇,是今天的主持人。我們今天很高興能請到謝大揚,Diane Xie,來跟我們談一談她做研究的領域和她目前在做的研究主題。
19220	30260	Diane Xie 主要的研究是在心理學和教育心理學的部分,目前是UC Irvine二年級的博士生。
30260	46860	在教育心理學裡面,Diane Xie又特別有興趣的領域是在學校以外的家庭、文化等等,怎麼影響青少年在學校的學習動機和學習成果。
47860	61100	與這個研究的興趣非常相關的就是,她今天要跟我們講的題目是Educational Inequality from a Psychology Perspective,Gender Gap in STEM as a Brief Example。
61100	80960	最近在好萊塢演藝圈,討論性別的問題非常熱烈,大家對於性別認知有不一樣的看法,所以很高興今天能請到Diane來跟我們講這個題目,我們現在就歡迎她。
91120	111120	Diane Xie 主要的研究是在教育心理學和教育心理學的部分,目前是UC Irvine二年級的博士生,Diane Xie 主要的研究是在學校以外的家庭、文化等等,怎麼影響青少年在學校的學習動機和學習成果。
111120	141100	Diane Xie 主要的研究是在教育心理學和教育心理學的部分,目前是UC Irvine二年級的博士生,Diane Xie 主要的研究是在教育心理學和教育心理學的部分,目前是UC Irvine二年級的博士生,
141120	170140	Diane Xie 主要的研究是在教育心理學和教育心理學的部分,目前是UC Irvine二年級的博士生,
171120	200140	Diane Xie 主要的研究是在教育心理學和教育心理學的部分,目前是UC Irvine二年級的博士生,Diane Xie 主要的研究是在教育心理學和教育心理學的部分,目前是UC Irvine二年級的博士生,
201120	230140	Diane Xie 主要的研究是在教育心理學和教育心理學的部分,目前是UC Irvine二年級的博士生,Diane Xie 主要的研究是在教育心理學和教育心理學的部分,目前是UC Irvine二年級的博士生,
232120	235120	主持人:「有人要分享一下為什麼嗎?」
235120	238120	主持人:「有人要分享一下為什麼嗎?」
266120	272120	主持人:「這個當然跟後面的問題是沒有關係的,就是為什麼要念PhD,為什麼會留在學術圈。」
272120	291120	主持人:「我覺得一個很重要的原因是,去想事情背後的理由,它為什麼會這樣,然後透過我想了之後發現的新的事情,然後再丟回去解決我面對的問題,如果成功了,那個成就感其實是非常高的。」
292120	304120	主持人:「我很希望我能持續地拿這個東西來做我這一生想做的事情,所以會留在學術圈,留在學術圈的條件就是要念PhD。」
304120	327120	主持人:「同樣的,TIRA這個東西某程度上也是從這個動機出發,如果我能跟別人交流,然後有更多的想法,然後讓我可以再想像我現在手上的問題,然後解決他們,可以得到這樣的感受,大概是類似這樣的。」
327120	334120	主持人:「好,還有沒有人要講?不要只有我講啊,大家不要害羞嘛。」
357120	386120	主持人:「我對學習還蠻有興趣的,然後因為我過去的學習的背景,還有我認識的人,大部分都是念人文社會科學的,所以我就覺得,我知道葉勇跟我講這個計畫的時候,我就覺得很有趣,不過我沒有非常active,只有參加過幾個,其實今天是第二個,因為其他那個真的就是覺得有點太,連題目都看不太懂到底在講什麼。」
387120	416120	主持人:「比較困難,不過我現在就是努力的就是希望可以develop一點,我覺得我的用意可能比較簡單一點,就是說有沒有辦法,因為我自己期望自己是一個public intellectual,就是我寫的東西,我講的東西是可以給不同領域的人聽的,因為我過去的學習背景都讓我自己比較narrow一點,就是說我的對話的社群都是同領域的人,同溫層的人,所以我就會。」
417120	441120	主持人:「會覺得我自己沒有那個可以跨領域去跟不同學門的人對話的機會,所以我覺得參加這個活動,一方面就是我對於不同領域的事情都蠻有好奇心的,然後第二也是說希望可以透過跟不同的人交流,我可以去想說,我應該要用什麼樣的方法可以讓不同領域的人也聽得懂我在研究什麼東西。」
441120	447120	主持人:「非常感謝,還有人要分享嗎?」
471120	494120	主持人:「好的,非常感謝,還有人要分享嗎?」
494120	514120	主持人:「好,我假設這是一個沒有。我弄這個問題開頭,第一是因為我一直對這個問題非常有興趣,就是想聽大家講講,第二就是把大家帶入這個我今天要講的主題,就是教育這個東西。
515120	532120	主持人:「教育這個東西,我們其實從剛剛聽得出來,我們賦予它非常大的價值。我們像有人分享說,希望今天做的這件事情,以後講的話更有價值,或者說我今天做的這件事情,以後可以得到怎樣怎樣更多的價值。
