start	end	text
0	4000	開到這個禮拜的Terra Talk,我是這週的主持人林育維
4000	7000	那今天很高興邀請到我們的講者盧毅
7000	11000	他目前在聖路易華盛頓大學就讀法學博士
11000	14000	然後主要的研究項目包含智慧財產權法律
14000	17000	反托拉斯法與經濟分析
17000	20000	那在就讀博士班之前,他曾在Winston & Stone
20000	23000	在國內和國外的法事務所實習
23000	26000	然後並且分析台灣客戶以及美國的經濟
26000	29000	並且分析台灣客戶以及非專利實施個體
29000	32000	在美東德州法院的專利訴訟
32000	35000	此外盧毅對於創業精神也有著濃厚的興趣
35000	38000	因此他在中華創業家跨界交流協會
38000	41000	也擔任理事一職
41000	44000	並且定期在台灣透過舉辦會議與座談
44000	47000	會推廣創業精神
47000	50000	那今天的主題介於他法學與創業的背景
50000	53000	再給我們一些專利持有者會有的behavior
53000	56000	那讓我們掌聲歡迎今天的講者盧毅
56000	59000	大家請把麥克風打開
59000	62000	哈哈
62000	65000	有點害羞沒關係
65000	68000	自動自己拍
68000	71000	對對對
71000	74000	那請盧毅再給我們今天的演講
74000	77000	好的那謝謝毓維的介紹
77000	80000	然後還有謝謝Tara的邀請
80000	83000	我去年也有講
83000	86000	也是有在Tara分享
86000	89000	那如果大家對我去年講的主題
89000	92000	我去年講的主題是跟streaming
92000	95000	就是說那種線上串流影片的
95000	98000	著作權的問題有關
98000	101000	那如果有興趣的話
101000	104000	可以不妨去Tara的網站去點閱來看
104000	107000	那今天的話是完全不一樣的主題
107000	110000	主題完全是跟著作權是沒有關的
110000	113000	是跟專利有關
113000	116000	那這個題目其實
116000	119000	他跟我的畢業論文有一點點的關係
119000	122000	但是他並不是我畢業論文的全部
122000	125000	而是我把畢業論文的case study
125000	128000	然後用不同的角度來做分析
128000	131000	那正如大家現在看到畫面的
131000	134000	就是事實上我這份
134000	137000	雖然算是畢業論文
137000	140000	但是我的這個研究的成果是跟一位
140000	143000	上海復旦大學的管理學院的朋友
143000	146000	一起和諧的
146000	149000	那主要就是在研究就是說
149000	152000	這個專利權人
152000	155000	他在市場上面運用了一些所謂
155000	158000	bundling就是說這種搭售
158000	161000	或者是這種結合這種不同產品服務
161000	164000	一起銷售的這種行為
164000	167000	會不會違反反托拉斯
167000	170000	然後還有他一些經濟的分析
170000	173000	那主要的細節的內容就讓我
173000	176000	一下這個時間大概三四十分鐘
176000	179000	應該不會太久
179000	182000	因為這有點背景
182000	185000	所以我要稍微仔細講一下
185000	188000	他的大致上的狀況是怎麼樣
188000	191000	各位朋友們來聽我的演講呢
191000	194000	這樣我就要稍微
194000	197000	因為我不知道有誰來回應
197000	200000	所以我先關個全螢幕看看
200000	203000	好
203000	206000	有深刻背景的
206000	209000	歡迎然後有物理的
209000	212000	所以都沒有社科院的
212000	215000	非常好
215000	218000	那我就仔細講一下
218000	221000	其實社科院或者是法律的東西
221000	224000	並沒有那麼難複雜
224000	227000	那今天會用到一些數學的東西
227000	230000	但是我也不會把整個
230000	233000	推導的過程給弄出來給大家
233000	236000	我想就不用獻醜了
236000	239000	就是單純就是給大家看一下
239000	242000	我們的結果是什麼
242000	245000	那這個東西他有一些背景知識
245000	248000	需要跟大家了解
248000	251000	那如果在場有一些是對這個產業有興趣
251000	254000	或者說已經是很了解的
254000	257000	那就如果我講錯的地方就麻煩大家補充了
257000	260000	那這個我今天要聊的東西
260000	263000	是其實跟這個modem chip有關
263000	266000	modem chip就是所謂的通訊
266000	269000	這種所謂的通訊晶片產業
269000	272000	然後他的這個圖
272000	275000	他的這個結構圖長的是就這樣
275000	278000	然後其中有一塊就是modem chip
278000	281000	那modem chip的好處是什麼呢
281000	284000	就是他的好處就是我今天這modem chip
284000	287000	安插在手機裡面之後
287000	290000	不同的通訊的標準
290000	293000	比方說我們大家所知道2G、3G、4G的通訊標準
293000	296000	他在不同的國家
296000	299000	那如果你今天又買了一個iPhone
299000	302000	不管iPhone4或iPhone5、iPhone6
302000	305000	然後結果你今天可能是因為你通訊的標準不一樣
305000	308000	或者說你通訊的這個頻寬不一樣
308000	311000	然後拿到在美國買的
311000	314000	拿到歐洲不能用
314000	317000	那其實這很瞎
317000	320000	那怎麼樣解決這種頻寬不同或者說這種通訊標準不一樣的情況呢
320000	323000	那modem chip就扮演一個非常重要的角色
323000	326000	還有一個例子就是比方說大家都在美國
326000	329000	我想現在在收聽的可能有台灣的
329000	332000	但我assume可能大家都在美國
332000	335000	就是如果大家如果拿著手機如果跑到一些比較偏遠的地方
335000	338000	就是收訊不是4G涵蓋範圍的
338000	341000	而是3G或是2G
341000	344000	那可是你還是可以打電話
344000	347000	然後你還是可以上網
347000	350000	只是上的很慢而已
350000	353000	那到底是怎麼做到的其實就是這個modem chip的功能
353000	356000	它可以在不同的標準然後在不同的這種頻寬之下
356000	359000	它還是可以照樣的運作
359000	362000	只不過它的運作的功能是有限的
362000	365000	那這個就是modem chip的功能
365000	368000	可見得其實看起來一個手機裡面
368000	371000	它有具備了非常多的functionality
371000	374000	它有非常多的這個功能
374000	377000	但是可想而知這個智慧型手機
377000	380000	就是在於上網其中一個
380000	383000	那modem chip就扮演一個非常重要的角色
383000	386000	所以今天我要討論的是關於它的問題
386000	389000	就是這個modem chip這個小小的一個通訊晶片的問題
389000	392000	那我們大概看一下這個產業的狀況
392000	395000	就是說以現在
395000	398000	這個是12年到12年整年統計的
398000	401000	然後到07到12年統計的這個
401000	404000	做modem chip產業的幾個龍頭的公司
405000	408000	那我們可想不是可想而知
408000	411000	就是我們大概可以看得出來說高通
411000	414000	它其實在這個領域裡面一直扮演著
414000	417000	領頭羊的角色
417000	420000	就是它扮演幾乎是從2007年的3G
420000	423000	到12年的4G
423000	426000	以及等一下我會秀出來是5G的專利的佈局的狀態
426000	429000	其實高通都扮演著一直
429000	432000	在扮演龍頭的角色這樣
432000	435000	所以在後的包含Samsung
435000	438000	還有Intel或者是其他的
438000	441000	或是像華為它這邊還沒有寫
441000	444000	華為是在4G到5G的時候開始佈局
