start	end	text
0	2000	開始錄了喔
2000	4000	OK
4000	6000	好知道了謝謝
6000	8000	那我們就開始吧
8000	10000	哈囉大家好
10000	12000	我是張彥平
12000	14000	我是大家今天的這個
14000	16000	主持人
16000	18000	可是我等一下可能會講一講
18000	20000	然後一半就散了
20000	22000	因為我太太腰扭到
22000	24000	不能抱小孩
24000	26000	所以
26000	28000	我等一下要去有急事
28000	30000	然後呢
30000	32000	今天我們歡迎漢熙
32000	34000	跟我們分享一下這個
34000	36000	只有他現在有開webcam
36000	38000	所以看到那個人就是漢熙
38000	40000	然後跟我們分享一下這個
40000	42000	關於這個公衛
42000	44000	公衛相關的
44000	46000	法律的部分
46000	48000	的研究這樣子
48000	50000	因為這個漢熙
50000	52000	是漢熙沒錯我沒有念錯吧
52000	54000	沒錯沒錯
54000	56000	就是因為
56000	58000	中文不是很好
58000	60000	那個漢熙呢
60000	62000	以前是念法律的
62000	64000	然後呢可是他後來又去公衛所
64000	66000	念了這個
66000	68000	在陽明的公衛所
68000	70000	念了一陣子然後現在
70000	72000	後來又回來念法律
72000	74000	然後專攻的就是這個
74000	76000	公共衛生相關的法律
76000	78000	法律的研究的部分
78000	80000	那細節呢就等一下漢熙會跟我們分享
80000	82000	這樣子
82000	84000	那我們很高興今天可以請到漢熙
84000	86000	應該是我們第一個法律人
86000	88000	而且應該是第一個
88000	90000	我猜啦
90000	92000	純人文的人文
92000	94000	所以很高興我們終於可以伸展到
94000	96000	比較完整的這個
96000	98000	學術的領域裡面
98000	100000	就是各個領域都有
100000	102000	那廢話不多說我們就
102000	104000	拍手歡迎漢熙啊
104000	106000	就我一個人負責拍
106000	108000	那因為
108000	110000	今天參與的人也不多
110000	112000	今天參與的人也不多
112000	114000	簡單介紹一下
114000	116000	語彙的朋友
116000	118000	認識一下
120000	122000	為什麼麥克風會一下子被關掉
122000	124000	anyway
126000	128000	對我就說就反正
128000	130000	就像現在很像那種小的
130000	132000	round table
132000	134000	也像聊天一樣
134000	136000	也不是那麼正式的報告但是還是
136000	138000	既然有這個機會想要稍微認識一下大家
138000	140000	至少介紹名字或念什麼學校
140000	142000	喔喔好
142000	144000	因為我也其實也不是很確定
144000	146000	大家是念什麼學校在哪裡
146000	148000	那我們就
148000	150000	自我介紹
150000	152000	自我介紹
152000	154000	那從我先開始
154000	156000	我是UNC我在北卡
156000	158000	然後我念的是社會心理學
158000	160000	然後好下一個看誰要講
160000	168000	哈囉
168000	170000	嗨
170000	172000	我先講喔因為剛好我也是從DC
172000	174000	DC來的
174000	176000	我現在是念那個George Washington
176000	178000	然後我是我科系是機械系
178000	180000	但是我做的是
180000	182000	一些所謂的高效能計算
182000	184000	就是在超級電腦上相關的
184000	186000	一些東西
186000	188000	那我現在在田納西這邊
188000	190000	做實習
190000	192000	所以你沒有在DC這邊
192000	194000	會我大概
194000	196000	九月會回去
196000	198000	太好了
198000	200000	這樣還有機會見到
200000	202000	所以你的名字是叫
202000	204000	莊平畢業嗎
204000	206000	畢業
206000	208000	莊畢業
208000	210000	OK
210000	212000	好
212000	242000	
242000	244000	太酷了
244000	246000	太酷了
254000	256000	所以還有一位是
264000	266000	他留言在
266000	268000	那個chat room裡面
268000	270000	喔OK
272000	274000	他是研究地理的
274000	276000	研究地理
276000	278000	地理的什麼領域啊
278000	280000	因為地理還蠻廣的
280000	282000	從人文到自然科學都有
282000	284000	我對這個還蠻有興趣的
288000	290000	所以我們是
290000	292000	要好
292000	294000	看聊天視窗
294000	296000	OK
296000	298000	好吧
298000	300000	好的
302000	304000	US
304000	306000	US
306000	308000	South Carolina
308000	310000	你去過Charleston
310000	312000	那邊很漂亮
312000	314000	好
314000	316000	那我就開始了
320000	322000	好
322000	324000	我把我的投影片交出來
328000	330000	好
330000	332000	大家好
332000	334000	我是現在在Jordy Town念法學博士
334000	336000	的劉漢熙
336000	338000	歡迎大家隨時如果有問題
338000	340000	就跳出來沒關係
340000	342000	因為我的螢幕現在就只有看到我的登錄
342000	344000	但是我推測
344000	346000	你們應該可以聽得到
346000	348000	而且如果有問題就隨時提出會跳出螢幕
348000	350000	那
350000	352000	今天很高興能跟大家分享我現在研究的一個題目
352000	354000	那我現在所在的地點就是Jordy Town
354000	356000	Law School的教室
356000	358000	我覺得是一間很大的教室
358000	360000	特別好
360000	362000	那其實我在準備這個報告題目的時候
362000	364000	就關於這個
364000	366000	Obesity的肥胖跟Solatex
366000	368000	這含糖飲料稅的時候
368000	370000	是有點報告這個題目的時候
370000	372000	我是有點不太
372000	374000	應該怎麼講
374000	376000	且喜且驚
376000	378000	因為高興當然是第一次能夠來Terra
378000	380000	這個地方跟大家分享我的研究題目
380000	382000	但是對於
382000	384000	就是剛才主持人張艾永
384000	386000	也提到說的我好像我看了一下
386000	388000	大家的研究背景
388000	390000	跟大家的興趣跟背景
390000	392000	基本上我應該是
392000	394000	目前為止
394000	396000	我看好像另外一位法律的同學朋友
396000	398000	但是他還是之後我之後才報告
398000	400000	所以我應該是第一個報告的
400000	402000	就是社會科學
402000	404000	甚至是法律
404000	406000	這個領域的東西
406000	408000	所以我一直不太確定就是說
408000	410000	到底我報告的時候
410000	412000	是不是會太簡單太無聊
412000	414000	或甚至太難
414000	416000	我覺得社會科學自然科學為主
416000	418000	所以感覺起來
418000	420000	就坦白說
420000	422000	我的物理化學生物程度大概就是
422000	424000	國中畢業那甚至可能還不止
424000	426000	因為已經忘光了
426000	428000	但是我們那麼多年在社會科學
428000	430000	跟法學文字的部分訓練很多年
430000	432000	所以那個
432000	434000	偏科的情況非常嚴重
434000	436000	所以我也會擔心說到底
436000	438000	會不會
438000	440000	溝通跟大家有落差
440000	442000	不過我覺得
442000	444000	問題隨時推出來打斷我沒有關係
444000	446000	那我也很樂意利用
446000	448000	這個地方跟大家分享交個朋友
448000	450000	我覺得
450000	452000	剛剛主持人稍微有介紹過
452000	454000	可是還是可以簡單介紹一下
454000	456000	我自己
458000	460000	說簡單其實也是有點
460000	462000	複雜因為我這個人
462000	464000	像這個各位投影片看到
464000	466000	其實我念過很多間學校
466000	468000	這邊現在應該是
468000	470000	喬治城大學應該是第五間
470000	472000	所以這邊在座可能也會有的校友
472000	474000	不管是台大或是陽明大學
474000	476000	甚至UW
476000	478000	那
478000	480000	我的領域就是
480000	482000	一方面來講我主要是法律背景出身
482000	484000	就跟著大家所熟悉的
484000	486000	這個
486000	488000	台大法律然後可能律師做律師
488000	490000	這個法律背景出身跟訓練
490000	492000	我也念了法學碩士念了兩個碩士
492000	494000	那現在念的是法學學位
494000	496000	那另外一方面我也跟一般的法律人
496000	498000	有點不太一樣的地方是
498000	500000	我的公衛跟醫學方面的一個
500000	502000	背景
502000	504000	跟工作經驗
504000	506000	怎麼說呢
506000	508000	就是
508000	510000	我人生第一份正職的工作
510000	512000	大家看到我這邊放個小圖片
512000	514000	我人生第一份正職的工作
514000	516000	其實是在西雅圖那邊的一個
516000	518000	ICHS
518000	520000	International Community Health Service
520000	522000	國際社區醫療服務
522000	524000	這個醫院工作
524000	526000	那時候是我在UW
526000	528000	2007年
528000	530000	華大法學碩士畢業之後
530000	532000	我去那邊工作
532000	534000	這我人生第一份正職工作
534000	536000	因為之前台灣考上律師
536000	538000	但是我還沒有去工作過
538000	540000	那是第一份工作
540000	542000	那對於一個台灣的律師
542000	544000	的一個mindset來講的話
544000	546000	今天居然會是在醫院裡面工作
546000	548000	我覺得這是很surprise的事情
548000	550000	anyway所以那一年的時間
550000	552000	某種程度啟發我對
552000	554000	醫療法這關的興趣
554000	556000	然後也才
556000	558000	jumped out
558000	560000	後來回台灣之後我還是保持這個
560000	562000	盡量可能跟社職這相關
562000	564000	所以就持續就鑽研這個
564000	566000	醫療法
566000	568000	打個岔
568000	570000	所以大家都聽得到我講話嗎
570000	572000	因為我後來發現這個
572000	574000	還蠻奇怪因為
574000	576000	聽不到大家的聲音
576000	578000	聽得到我們都聽得到
578000	580000	那歡迎大家隨時
580000	582000	發出聲音
582000	584000	我發現這種自言自語的錄影感覺
584000	586000	還蠻奇怪的
586000	588000	你看不到任何人然後就是一堆螢幕
588000	590000	講話之類的有點像是在練習演講
596000	598000	會不會打開會好一點
598000	600000	如果不介意的話
600000	602000	好像有看到臉感覺比較有
602000	604000	講話對象
604000	606000	因為我現在沒有穿衣服啊
606000	608000	所以我不要看
608000	610000	所以我不要看
610000	612000	有穿衣服的開一下
612000	614000	有穿衣服的開一下
614000	616000	那個服務人員沒有穿
616000	618000	有答案在關了我們就先開著
618000	620000	好沒問題謝謝
620000	622000	我們可以
622000	624000	我們可以開影像
624000	626000	喔對啊
626000	628000	然後把聲音關掉就可以了
628000	630000	好謝謝至少有個影像
630000	632000	那感覺是在跟真人講話
632000	634000	感覺比較好一點
634000	636000	OK謝謝
636000	638000	那反正簡單的說我就是一個
638000	640000	基本上我是一個律師
640000	642000	台灣來的律師然後再就一趟念法學博士
642000	644000	但是我對公衛法有興趣所以選這個題目
644000	646000	那
646000	648000	我大概
648000	650000	現在時間6點20
650000	652000	我大概其實還蠻簡單的就是我的presentation
652000	654000	大概分為三部分
654000	656000	第一個是introduction我想介紹這整個研究的
656000	658000	背景的部分
658000	660000	那為什麼我們選擇糖
660000	662000	為什麼我們選擇這個汽水的部分來做我們的標的
662000	664000	那跟這個公衛的
664000	666000	intervention這個干預措施
666000	668000	那第二個我報告一個case study
668000	670000	就是其實我研究的重點之一是
670000	672000	費城的這個
672000	674000	soda tax的案例然後跟美國
674000	676000	其他城市那最後
676000	678000	希望留點時間來大家可以討論交流一下
678000	680000	對於這個soda tax
680000	682000	因為我們這邊
682000	684000	Caltech應該是在LA那一帶
684000	686000	所以如果有
688000	690000	San Francisco或是Bakerly的同學的話
690000	692000	他們就真的就是
692000	694000	在這個soda tax的這個
694000	696000	這種範圍之內因為那個城市那邊就有soda tax
696000	698000	可能會更有感覺但是
698000	700000	這是個趨勢所以全美各國
700000	702000	各城市其實陸陸續續在
702000	704000	往這個方向走所以很可能
704000	706000	以後住的地方也會有這個問題
706000	708000	那LA的部分其實我跟LA的
708000	710000	公衛
710000	712000	的官員有聊過所以
712000	714000	短期內可能不會但是這個
714000	716000	提議其實一直有存在的
716000	718000	將來是有這個可能的anyway那
718000	720000	最後討論的時候其實可以聽聽看大家就是
720000	722000	聽完了這個措施的
722000	724000	分享跟看法
724000	726000	一個東西一定有pros and cons
726000	728000	聽聽看大家的意見
728000	730000	好那我們就
730000	732000	不好意思
732000	734000	想問一下那soda tax
734000	736000	是怎樣子的概念可以稍微
736000	738000	敘述一下
738000	740000	加州這邊是不是還沒有
740000	742000	加州他現在
744000	746000	他現在大概的情況是說
746000	748000	大家是以城市或是county或city
748000	750000	為單位在通過這個法案
750000	752000	地方性的稅法來增加
752000	753000	所謂的soda tax
753000	755000	soda tax其實是簡稱
755000	757000	大部分的正確稱法是稱為
757000	759000	sugary sweetened beverage
759000	761000	的tax 換言之
761000	763000	比較精準的翻譯應該叫做
763000	764000	含糖飲料稅
764000	766000	所以包含的項目值更多超過
766000	768000	可樂以外
768000	770000	他等於是在這個的sales tax
770000	772000	之外一般general sales tax
772000	774000	再外加一個soda tax
774000	776000	價格會更高比現在會提高
776000	778000	那後面會有張圖
778000	780000	會介紹其實全美現在大概有
780000	782000	七八個城市或是地區已經有這個tax
782000	784000	那這個趨勢是繼續往上走
784000	786000	所以會越來越多的地方
786000	788000	那你去買的時候等於你的
788000	790000	一般的sales tax之外
790000	792000	還會另外外加這個tax
792000	794000	等於是你買這些飲料之後會更貴
794000	796000	結論就是會
796000	798000	就像是你去買菸買酒那個會有
798000	800000	加一個稅在上面所以就會比
800000	802000	他的售價還要他售價會包含這個稅
802000	804000	所以會更高簡單來說
804000	806000	目前並沒有以
806000	808000	歐為範圍或是全國範圍
808000	810000	通過這個tax的計畫
810000	812000	所以大部分是各個城市分別去做
812000	814000	大概是這樣
814000	816000	我不知道會不會
816000	818000	就是其實你等一下會講
818000	820000	就是我只是想問說那個
820000	822000	這個稅的涵蓋範圍包含
822000	824000	手搖飲料嗎像珍珠奶茶
824000	826000	這種東西
828000	830000	目前來講的話
830000	832000	珍奶的話
832000	834000	這是個好問題因為他大部分
834000	836000	之前大部分在課稅的話
836000	838000	都是以那個就是已經做好
838000	840000	那個罐裝飲料那種成品
840000	842000	然後來做課稅
842000	844000	但是
844000	846000	如果是像那種現做那種飲料的話
846000	848000	現榨果汁或現搖那個的話
848000	850000	會包含的話這個
850000	852000	看起來是不包含但是我可以在
852000	854000	我覺得是看定義來講
854000	856000	是不包含但是我可以在check
856000	858000	一下這個到底這是個好問題
858000	860000	對因為特別在
860000	862000	台灣而言如果要通過的話那這些手搖飲料
862000	864000	到底包不包含
864000	866000	的話
866000	868000	我覺得目前定義上是不包含但是我可以在
868000	870000	幫你確認一下這點在會後我再查一下
870000	872000	謝謝
872000	874000	好那我們就
874000	876000	切為三個部分來
876000	878000	來討論那我先
878000	880000	做introduction的部分
880000	882000	ok我想知道說
882000	884000	想跟大家講為什麼我們選擇
884000	886000	sugar為什麼選擇soda這部分來
886000	888000	這個介紹那其實這是一個
888000	890000	國際目前最近發展
890000	892000	一個趨勢大家可能有注意到
892000	894000	可能沒有注意到但是確實如果
894000	896000	你用google
896000	898000	sugar當關鍵字去
898000	900000	search譬如說google news
900000	902000	這是我昨天前天在做slide
902000	904000	的時候特別就是就直接去search
904000	906000	一個東西就是你可以看到很前面
906000	908000	就有這個the anti-sugar
908000	910000	fad is now a trend
910000	912000	就是bloomberg這個記者直接就下這樣標題
912000	914000	就是這個反糖分的這個
914000	916000	潮這個流行
916000	918000	已經直接變成一個趨勢了
918000	920000	他敢下那麼大膽標題
920000	922000	這已經是一個趨勢了
922000	924000	那這也是
924000	926000	今天沒有在紐約的同學
926000	928000	同學那這是紐約這個
928000	930000	這個禮拜
930000	932000	有一家叫做大家可能都買過
932000	934000	他們Kind這家賣那個
934000	936000	Nuts bar
936000	938000	這個energy bar
938000	940000	他們在紐約時代廣場
940000	942000	做一個裝置
942000	944000	藝術的一種
944000	946000	大家可以看到堆積如散的一個
946000	948000	一盒一盒的這個沙糖
948000	950000	然後把它堆成一個像山一樣
950000	952000	那這是什麼意思呢
952000	954000	他們有個說明就說
954000	956000	這邊有4萬5千485磅
956000	958000	的這個
958000	960000	糖在這個地方
960000	962000	那這個等於每五分鐘
962000	964000	全美所有
964000	966000	兒童
966000	968000	大概我查一下
968000	970000	大概
970000	972000	大概有7千多萬
972000	974000	小朋友餵滿18歲
974000	976000	以下這些兒童
976000	978000	他們五分鐘所消耗的糖量
978000	980000	那
980000	982000	私人公司做這樣的promotion
982000	984000	這樣的
984000	986000	設置藝術當然是有目的
986000	988000	因為他們要推銷他們的產品
988000	990000	他們最近有出幾款新的
990000	992000	好像是水果乾燥水果
992000	994000	乾燥水果fruit bar之類的東西
994000	996000	然後他們強調他們是低糖
996000	998000	那這家公司其實很有趣我不知道
998000	1000000	大家有沒有買過他們的產品
1000000	1002000	你如果看到他們的產品上他們都會有寫說
1002000	1004000	Healthy這個字眼
1004000	1006000	那這家公司還曾經為了
1006000	1008000	在這個包裝上
1008000	1010000	Healthy這個字眼跟美國FDA
1010000	1012000	槓上那事情鬧得很大
1012000	1014000	那但是他真的很厲害
1014000	1016000	他最後的結果其實是他贏的
1016000	1018000	FDA針對他
1018000	1020000	就是因為這個事情
1020000	1022000	然後後來就開公聽會
1022000	1024000	然後修改這個
1024000	1026000	食品包裝上使用這個Healthy
1026000	1028000	的規範
1028000	1030000	然後允許讓他可以使用
1030000	1032000	相關產品就擴大可以使用的範圍
1032000	1034000	所以這家
