start	end	text
0	2000	好,那我就開始
3720	5240	喔,我被嚇到
5240	7240	好,那個就是
7240	9240	所以我今天要講說就是
9240	11240	呃
11240	13240	我要來描述流體
13240	15240	可是我是要用就是
15240	19240	量子力學中的確定類推測來描述這流體
19240	21240	那在開始之前我來
21240	23240	就是可能要講一下
23240	25240	到底為什麼流體力學的這個
25240	27240	通常是這個Navier-Stokes
28240	30240	非常非線性的方程式
30240	32240	怎麼可能會跟這個
32240	34240	線性的確定的方程式有任何關聯
34240	36240	那其實這個
36240	38240	這個其實並不是一個發現
38240	40240	這個是早在1926年
40240	42240	就已經
42240	44240	就已經發現這兩個方程式是有很緊密的關聯
44240	46240	那
46240	48240	我通常這樣想就是
48240	50240	尤拉方程呢就是
50240	52240	他的那個背後的物理原理
52240	54240	就是說
54240	56240	他有幾個postulate
57240	58240	就是說如果你沒有
58240	59240	如果粒子沒有受力的話
59240	61240	那速度就只是跟著
61240	63240	跟著particle的速度走
63240	65240	所以也就是流體的速度就是
65240	67240	速度是被
67240	69240	速度adapt
69240	70240	然後呢
70240	72240	但是其實流體裡面有一個內力
72240	74240	就是那個壓力
74240	76240	然後那個Euler假設
76240	78240	就是說這個是一個
78240	79240	這是一個保守場
79240	81240	所以他就已經是一個gradient of function
81240	83240	然後最後這個
83240	84240	這gradient of function
84240	86240	也就是pressure force
86240	88240	是被唯一選定
88240	90240	使得說流體是
90240	92240	是不可壓縮流
92240	93240	然後這個
93240	95240	這些假設合在一起就是會
95240	97240	就是寫出這個
97240	99240	不可壓縮Euler equation
99240	101240	然後這個方程式裡面
101240	103240	最困難的部分實際上就是
103240	105240	這個慣性的這個
105240	107240	這個部分因為他
107240	109240	他的方程式裡面有這個非前進項
109240	111240	就是u dot gradient u
112240	114240	有
118240	120240	對就是像dust
120240	122240	那為什麼會
122240	124240	對我如果第一個
124240	126240	question就變成這個會很簡單
126240	128240	呃
128240	130240	你可以呃
132240	134240	可以說簡單也可以說
