start	end	text
0	2000	OK
2000	4000	No problem
4000	6000	大家好
6000	8000	我是鼎浩
8000	10000	我現在在Caltech當Postdoc
10000	12000	然後我要講的主題
12000	14000	主要是我一部分的論文的研究
14000	16000	然後
16000	18000	我的研究大概是
18000	20000	就是Design
20000	22000	Artificial System
22000	24000	然後
24000	26000	希望用這個System去
26000	28000	Detect Cell-Cell Contact
28000	30000	然後
30000	32000	最終的目的是希望
32000	34000	用這個去
34000	36000	Dissect Entire Neural Circuit
40000	42000	在Neural Science這個Field裡面
42000	44000	就是最重要一個
44000	46000	大家都想知道的一個
46000	48000	答案就是說
48000	50000	我們的Brain怎麼樣的Function
50000	52000	然後
52000	54000	以致於我們會有各種不同的
54000	56000	Emotion
56000	58000	Reaction to the Environment
58000	60000	Stimulate
60000	62000	然後Stimulate
62000	64000	但是
64000	66000	在這個
66000	68000	大概一百多年前
70000	72000	那個Ramon Cajal
72000	74000	他的
74000	76000	就是很Elegant的Study
76000	78000	然後
78000	80000	很Elegant Study
80000	82000	Proved that
82000	84000	就是我們的
84000	86000	我們的
86000	88000	大腦或神經系統
88000	90000	主要就是藉由
90000	92000	這些Neuron或是其他
92000	94000	細胞的運作
94000	96000	然後
96000	98000	傳達所有的神經訊息
98000	100000	然後最終有一個
100000	102000	Behaviour
102000	104000	那這個就是很有名的Neural Doctrine
106000	108000	所以
108000	110000	現在很多的
110000	112000	研究大家還是
112000	114000	在研究
114000	116000	大腦裡面不同的
116000	118000	腦區裡面不同的神經元
118000	120000	如何的
120000	122000	Communicate to each other
122000	124000	那這個就是一個很複雜的問題
124000	126000	因為我們大腦
126000	128000	是一個很龐大的機器
128000	130000	就像我現在這張圖
130000	132000	Show的是一個Reward Circuit
132000	134000	這個
134000	136000	其實也包含了很多個腦區
136000	138000	像Hippocampus
138000	140000	Prefrontal Cortex
140000	142000	Basal Ganglia
142000	144000	Nucleus Convent
144000	146000	VTA
146000	148000	這不同腦區互相的
148000	150000	連結
150000	152000	然後
152000	154000	運作然後計算然後達成一個目的
154000	156000	的動作
156000	158000	然後
158000	160000	另外更複雜的另外一個層面
160000	162000	就是說就算在同一個腦區
162000	164000	還有不同的神經元
164000	166000	他們接收不同的訊息
166000	168000	然後
168000	170000	重整之後傳到另外一個腦區
170000	172000	然後另外一個腦區的計算
172000	174000	可能又會有傳回來
174000	176000	那這些的連結
176000	178000	就是我們
178000	180000	大家現在目前很
180000	182000	希望可以達到解答
182000	184000	就是Connectome的
184000	186000	一個Idea
186000	188000	那希望就是藉由了解這些Connectome
188000	190000	我們有一個
190000	192000	Blueprint
192000	194000	然後我們
194000	196000	大腦或神經系統如何的
196000	198000	那個
198000	200000	Wiring然後
200000	202000	藉由這些Basic Knowledge
202000	204000	我們再去算看說
204000	206000	那裡面的神經細胞的
206000	208000	訊息的傳送
208000	210000	有什麼變化會造成不同的
210000	212000	可能以至於造成
212000	214000	不同的Behaviour
214000	216000	這樣子
216000	218000	但是其實
218000	220000	我們的大腦除了神經細胞之外
220000	222000	又還有很多其他不同的細胞
222000	224000	像是Glia cell
224000	226000	那很多研究
226000	228000	也已經發現說
228000	230000	這些Glia cell其實也會影響到
230000	232000	我們神經
232000	234000	Neuron的Function
234000	236000	而
236000	238000	舉例來說像這個Astrocyte
238000	240000	的心狀
240000	242000	那個神經絞細胞
242000	244000	就是
244000	246000	有發現就是說它其實
246000	248000	可以清理一些
248000	250000	我們的Neurotransmitter
250000	252000	然後
252000	254000	讓它的Turnover可以快一點
254000	256000	然後另外也
256000	258000	發現說
258000	260000	Sorry
260000	262000	它其實也會有傳送一些
262000	264000	訊號物質然後去影響
264000	266000	整個Synaptic
266000	268000	Property
270000	272000	所以原本大家想的
272000	274000	這個神經的
274000	276000	Connectome或是Microcircuit
276000	278000	像這樣子除了神經
278000	280000	細胞之外其實我們還是需要
280000	282000	了解這些神經絞細胞的作用
282000	284000	才能有一個
284000	286000	比較完整的Picture
286000	288000	我們的大腦會是如何Function
288000	290000	然後
290000	292000	我之前已經有提到一點就是說
292000	294000	了解這些Microcircuit
294000	296000	可以幫助我們去
296000	298000	知道說我們大腦如何運作
298000	300000	那另外一個重點就是說
300000	302000	很多目前已經知道
302000	304000	有很多那個Neurologic Disorder
304000	306000	它其實是跟
306000	308000	那個神經
308000	310000	大腦的這個Circuit
310000	312000	的Wiring
312000	314000	改變有關係
314000	316000	像是Schizophrenia
316000	318000	然後或是一些
318000	320000	心理上面
320000	322000	疾病其實
322000	324000	有關係那我們如果知道
324000	326000	正常腦袋是怎麼運作之後
326000	328000	我們可以再進一步的去研究
328000	330000	那些Disorder
330000	332000	造成的原因
332000	334000	是什麼好希望藉由這樣子
334000	336000	可以得到一些解答
336000	338000	幫助這些病人的方法
338000	340000	那
340000	342000	現在目前為止
342000	344000	已經有很多
344000	346000	不同的Tool
346000	348000	已經發展出來就是
348000	350000	幫助我們怎麼去了解整個
350000	352000	怎麼去Dissect
352000	354000	就是分析這整個
354000	356000	大腦的Circuit
356000	358000	或Neurone的Connection
358000	360000	那這邊舉幾個例子是比較
360000	362000	常用的像是
362000	364000	Serial Electron Microscopy
364000	366000	那就是電子顯微鏡
366000	368000	就是
368000	370000	還有另外就是
370000	372000	一些
372000	374000	有另外一個是那個
374000	376000	叫做GRASP
376000	378000	全名是GFP
378000	380000	Green Fluorescent Protein
380000	382000	Reconstitution Across
382000	384000	Synaptic Partner
384000	386000	那這個是說他有個
386000	388000	螢光蛋白他把它
388000	390000	Engineering分成兩個部分
390000	392000	造成的
392000	394000	然後
394000	396000	這個等一下我會再解釋一下
396000	398000	然後還有Tango
398000	400000	還有另外一支最近也很有
400000	402000	比較Popular的像
402000	404000	用那個Rabies Virus去
404000	406000	Trace Neurone Connection
406000	408000	那
408000	410000	他們
410000	412000	都是一些很好的Tool
412000	414000	但是其實他們各自都有
414000	416000	不同的
416000	418000	一些缺點
418000	420000	那像說Serial EM
420000	422000	就是一個小小的一塊
422000	424000	Sample
424000	426000	就是一支切片一支貼片
426000	428000	然後
428000	430000	之後用EM去Take
430000	432000	整個Image然後再
432000	434000	Reconstruct
434000	436000	起來然後
436000	438000	去看他整個很Fine Detail的
440000	442000	神經的Morphology
442000	444000	或他們的
444000	446000	不同神經細胞的連結
446000	448000	那通常一個小小的大概
448000	450000	1m3的
452000	454000	大小的
454000	456000	Size的Sample大概需要
456000	458000	大概
458000	460000	5、6年的時間去整個
460000	462000	完成他的
462000	464000	分析而且不只
464000	466000	也需要很多的不同的
466000	468000	人力
468000	470000	那所以這並不是一個非常有
470000	472000	效率的方法然後另外
472000	474000	就是因為他不是很有效率
474000	476000	所以只能分析
476000	478000	10個動物的一塊小小的
478000	480000	Sample
480000	482000	如果你要分析10個動物
