start	end	text
0	2000	整理&字幕小組 by 沛隊字幕組
30000	32000	整理&字幕小組 by 沛隊字幕組
60000	62000	整理&字幕小組 by 沛隊字幕組
90000	92000	整理&字幕小組 by 沛隊字幕組
120000	122000	整理&字幕小組 by 沛隊字幕組
150000	152000	整理&字幕小組 by 沛隊字幕組
180000	182000	整理&字幕小組 by 沛隊字幕組
210000	212000	整理&字幕小組 by 沛隊字幕組
240000	242000	整理&字幕小組 by 沛隊字幕組
270000	272000	整理&字幕小組 by 沛隊字幕組
300000	302000	整理&字幕小組 by 沛隊字幕組
330000	332000	整理&字幕小組 by 沛隊字幕組
360000	362000	整理&字幕小組 by 沛隊字幕組
390000	392000	整理&字幕小組 by 沛隊字幕組
420000	422000	整理&字幕小組 by 沛隊字幕組
450000	452000	整理&字幕小組 by 沛隊字幕組
480000	482000	整理&字幕小組 by 沛隊字幕組
510000	512000	整理&字幕小組 by 沛隊字幕組
540000	542000	整理&字幕小組 by 沛隊字幕組
570000	572000	整理&字幕小組 by 沛隊字幕組
600000	602000	整理&字幕小組 by 沛隊字幕組
630000	632000	整理&字幕小組 by 沛隊字幕組
632000	634000	整理&字幕小組 by 沛隊字幕組
660000	662000	整理&字幕小組 by 沛隊字幕組
690000	692000	整理&字幕小組 by 沛隊字幕組
720980	722980	整理&字幕小組 by 沛隊字幕組
722980	724980	整理&字幕小組 by 沛隊字幕組
724980	726980	整理&字幕小組 by 沛隊字幕組
780000	782000	整理&字幕小組 by 沛隊字幕組
900000	902000	Rational exchange 是不夠的
902000	904000	所以它有點像潤滑劑
904000	906000	這就是為什麼要研究感恩
906000	908000	但是問題是
908000	910000	就像我們剛剛的例子有沒有看到
910000	912000	我們其實不太確定感恩要怎麼表達
912000	914000	或是感恩要怎麼辦
914000	916000	因為文化的差異就是這麼的大
916000	918000	所以在這個project裡面呢
918000	920000	我要做的問題就是
920000	924000	Cultural variation in good expressions
924000	928000	不同的文化要怎麼樣表達感謝
928000	934000	特別我會針對美國跟台灣的差異來做
934000	938000	那等一下會解釋為什麼是美國跟台灣
938000	944000	除了當然有理論的原因我等一下會解釋
944000	946000	另外一個就是因為我在美國嘛
946000	948000	所以我搜美國樣本好搜嘛
948000	950000	然後我在台灣有connection
950000	952000	所以在台灣搜connection
952000	954000	這是一個practical的理由
954000	956000	那這個我就先講了
956000	958000	理論的原因我等一下再講
958000	960000	好
960000	962000	那就正式開始了我們已經花了半小時了
962000	964000	真的是滿好笑的
964000	966000	anyway
966000	968000	好
968000	970000	所以感恩是什麼呢
970000	972000	感恩這個情緒我們就是
972000	974000	稍微fussy的定義一下
974000	978000	它是一種當我們接受到別人的幫助
978000	980000	或是好意善意的時候
980000	982000	會感受到一種正向開心的
982000	984000	喜悅的
984000	986000	這種感覺
986000	988000	這個情緒我們
988000	990000	把這個感覺叫做感恩
990000	992000	或是說叫這種感覺叫感恩通常不太會錯
992000	994000	那至於是不是
994000	996000	只有這樣的感覺叫感恩
996000	998000	我們先暫時不管它
998000	1000000	那在這個地方呢
1000000	1002000	感恩有幾個特色
1002000	1004000	相對於其他的正向情緒比起來
1004000	1006000	第一個是
1006000	1008000	它通常是在人際關係之中產生的
1008000	1010000	一個人幫了我
1010000	1012000	給我一個禮物
1012000	1014000	或者是對我講了一句好話
1014000	1016000	或者是
1016000	1018000	幫我做了一件事情
1018000	1020000	教我一些我不會的事情
1020000	1022000	我感到很感恩
1022000	1024000	這個跟其他的正向情緒很不一樣
1024000	1026000	但是我今天中了樂透不需要其他人
1026000	1028000	我感覺很爽啊
1028000	1030000	這是正向情緒這是歡愉
1030000	1032000	但這個就不是感恩
1032000	1034000	你不會因為中了樂透感到很感恩
1034000	1036000	通常不太會
1036000	1038000	我們等一下最後可以討論
1038000	1040000	如果你中了樂透感到感恩那是為什麼
1040000	1042000	不過基本上來說感恩它的特色
1042000	1044000	是從人際關係中直接產生
1044000	1046000	另外啊
1046000	1048000	它會有人際關係之中的
1048000	1050000	結果或是效果
1050000	1052000	我們接觸到一個人感恩
1052000	1054000	我們通常會去回報或是至少說一聲謝謝
1054000	1056000	這個謝謝不是對著空氣說
1056000	1058000	是對另外一個人說
1058000	1060000	所以感恩是一個非常人際關係的情緒
1060000	1062000	相對於其他正向情緒
1064000	1066000	所以這就
1066000	1068000	後來啊就有一個
1068000	1070000	現象有一個理論
1070000	1072000	Find Remind and Bind Theory
1074000	1076000	這個理論是這樣說的
1076000	1078000	感恩
1078000	1080000	我們人之所以演化出
1080000	1082000	會有這種情緒是因為感恩
1082000	1084000	它像是一個
1084000	1086000	大家想像一下
1086000	1088000	就好像一個燈泡
1088000	1090000	我們平常戴一個燈泡
