start	end	text
0	20000	我是張雁勇,我是今天Tierra的主持人,我們今天要進行Tierra今年的第二場演講,今天的講者呢是,等一下喔,我要先滑到上面去。
20000	30000	今天的講者是莊碧耀,她來自DC的喬治華盛頓大學,目前是機械系博士班四年級。
30000	40000	她主要專攻的領域是流體力學的Numerical Simulation,還有Computation of Fluid Dynamics。
40000	51000	那我們就歡迎她今天跟我們討論,她今天要跟我們講的題目是Flux Reconstruction Correlation Procedure via Reconstruction in Computation of Fluid Dynamics。
51000	55000	那我們就歡迎她,然後就交給你。
55000	65000	大家好,我叫莊碧耀,然後我現在是DC喬治華盛頓大學博士班四年級。
65000	77000	那我主要的研究內容主要是數值模擬,數值方法,然後還有高效能計算,就是像什麼平行化GPU計算那些東西。
77000	88000	那我最近剛好學到一個新的數值方法叫做那個Flux Reconstruction,突然發現有title打錯,沒關係,先這樣。
88000	104000	就是它叫那個,它應該沒有中文名字,因為它是2007年第一次被提出來,然後大概到09年才有第二篇paper,然後到了大概12年13年的時候才突然就是有其他group加入這個領域。
104000	111000	所以目前應該還沒有中文方面都還沒有名字什麼的,那它就叫做Flux Reconstruction。
111000	119000	是Reconstruction,現在大家看到的title那個有title,它是重建,所以是Reconstruction,那簡稱FR。
119000	131000	那有些group研究之後覺得這個名字不好,所以他們又給它重新取了一個名字叫做Correlation Procedure via Reconstruction,然後簡稱CPR,但基本上它是一樣的。
132000	142000	像現在有主要英國兩個團隊在做這個,一個是,應該算三個,一個在NASA,一個在Stanford,一個在英國。
142000	155000	那英國跟Stanford那邊他們主要都叫做FR,Flux Reconstruction,然後NASA那邊的他們都叫CPR,就是Correlation Procedure via Reconstruction。
155000	165000	那我最近學了這個之後,我覺得它可以拿來做我的博士研究,因為它在計算流體力學方面才剛起步而已,就還有很多發展空間。
165000	178000	然後我最近剛好,因為剛學完這個東西就讀了很多paper在學這些東西,所以有些心得,那就剛好上來做個進度報告,就是跟大家分享這個數值方法到底在幹嘛。
179000	197000	我今天要講的就是,首先介紹一些基本的數值方法概念,就是因為我不太確定大家的背景到底是如何,所以會有一些基本的數值方法的介紹,就是避免說一些人沒有在做數值模擬,聽不太懂。
