start	end	text
0	5000	整理&字幕小組
30000	50000	整理&字幕小組
60000	70000	整理&字幕小組
90000	110000	整理&字幕小組
120000	145000	整理&字幕小組
150000	170000	整理&字幕小組
180000	200000	整理&字幕小組
210000	220000	整理&字幕小組
240000	250000	整理&字幕小組
270000	290000	整理&字幕小組
290000	310000	整理&字幕小組
310000	330000	整理&字幕小組
330000	350000	整理&字幕小組
350000	370000	整理&字幕小組
370000	390000	整理&字幕小組
390000	410000	整理&字幕小組
410000	430000	整理&字幕小組
430000	450000	整理&字幕小組
450000	470000	整理&字幕小組
470000	490000	整理&字幕小組
490000	510000	整理&字幕小組
510000	530000	整理&字幕小組
530000	550000	整理&字幕小組
550000	570000	整理&字幕小組
570000	590000	整理&字幕小組
590000	610000	整理&字幕小組
610000	620000	整理&字幕小組
620000	630000	整理&字幕小組
630000	650000	整理&字幕小組
650000	670000	整理&字幕小組
670000	690000	整理&字幕小組
690000	710000	整理&字幕小組
710000	730000	整理&字幕小組
730000	750000	整理&字幕小組
750000	770000	整理&字幕小組
780000	800000	整理&字幕小組
800000	820000	整理&字幕小組
820000	840000	整理&字幕小組
840000	860000	整理&字幕小組
860000	880000	整理&字幕小組
880000	900000	整理&字幕小組
900000	920000	整理&字幕小組
920000	940000	整理&字幕小組
940000	960000	整理&字幕小組
960000	980000	整理&字幕小組
980000	1000000	整理&字幕小組
1000000	1020000	整理&字幕小組
1020000	1040000	整理&字幕小組
1040000	1060000	整理&字幕小組
1060000	1080000	整理&字幕小組
1080000	1100000	整理&字幕小組
1100000	1120000	整理&字幕小組
1120000	1140000	整理&字幕小組
1140000	1160000	整理&字幕小組
1160000	1180000	整理&字幕小組
1180000	1200000	整理&字幕小組
1200000	1220000	整理&字幕小組
1220000	1240000	整理&字幕小組
1240000	1260000	整理&字幕小組
1260000	1280000	整理&字幕小組
1280000	1300000	整理&字幕小組
1300000	1320000	整理&字幕小組
1320000	1340000	整理&字幕小組
1340000	1360000	整理&字幕小組
1360000	1380000	整理&字幕小組
1380000	1400000	整理&字幕小組
1400000	1420000	整理&字幕小組
1420000	1440000	整理&字幕小組
1440000	1460000	整理&字幕小組
1460000	1480000	整理&字幕小組
1480000	1500000	整理&字幕小組
1500000	1510000	整理&字幕小組
1510000	1520000	整理&字幕小組
1520000	1540000	整理&字幕小組
1540000	1560000	整理&字幕小組
1560000	1580000	整理&字幕小組
1580000	1600000	整理&字幕小組
1600000	1620000	整理&字幕小組
1620000	1640000	整理&字幕小組
1640000	1660000	整理&字幕小組
1670000	1690000	整理&字幕小組
1690000	1710000	整理&字幕小組
1710000	1730000	整理&字幕小組
1730000	1750000	整理&字幕小組
1750000	1770000	整理&字幕小組
1770000	1790000	整理&字幕小組
1790000	1810000	整理&字幕小組
1810000	1830000	整理&字幕小組
1830000	1850000	整理&字幕小組
1850000	1870000	整理&字幕小組
1870000	1890000	整理&字幕小組
1890000	1910000	整理&字幕小組
1910000	1930000	整理&字幕小組
1930000	1950000	整理&字幕小組
1950000	1970000	整理&字幕小組
1970000	1990000	整理&字幕小組
1990000	2010000	整理&字幕小組
2010000	2030000	整理&字幕小組
2030000	2050000	整理&字幕小組
2050000	2070000	整理&字幕小組
2070000	2090000	整理&字幕小組
2090000	2110000	整理&字幕小組
2110000	2130000	整理&字幕小組
2130000	2150000	整理&字幕小組
2150000	2170000	整理&字幕小組
2170000	2190000	整理&字幕小組
2200000	2220000	整理&字幕小組
2220000	2240000	整理&字幕小組
2240000	2260000	整理&字幕小組
2260000	2280000	整理&字幕小組
2280000	2300000	整理&字幕小組
2300000	2320000	整理&字幕小組
2320000	2340000	整理&字幕小組
2340000	2360000	整理&字幕小組
2360000	2380000	整理&字幕小組
2380000	2400000	整理&字幕小組
2400000	2420000	整理&字幕小組
2420000	2440000	整理&字幕小組
2440000	2460000	整理&字幕小組
2460000	2480000	整理&字幕小組
2480000	2500000	整理&字幕小組
2500000	2520000	整理&字幕小組
2530000	2550000	整理&字幕小組
2550000	2570000	整理&字幕小組
2570000	2590000	整理&字幕小組
2590000	2610000	整理&字幕小組
2610000	2630000	整理&字幕小組
2630000	2650000	整理&字幕小組
2650000	2670000	整理&字幕小組
2670000	2690000	整理&字幕小組
2690000	2710000	整理&字幕小組
2710000	2730000	整理&字幕小組
2730000	2750000	整理&字幕小組
2750000	2770000	整理&字幕小組
2770000	2790000	整理&字幕小組
2790000	2810000	整理&字幕小組
2810000	2830000	整理&字幕小組
2830000	2850000	整理&字幕小組
2850000	2870000	整理&字幕小組
2870000	2890000	整理&字幕小組
2890000	2910000	整理&字幕小組
2910000	2930000	整理&字幕小組
2930000	2950000	整理&字幕小組
2950000	2970000	整理&字幕小組
2970000	2990000	整理&字幕小組
2990000	3010000	整理&字幕小組
3010000	3030000	整理&字幕小組
3030000	3050000	整理&字幕小組
3050000	3070000	整理&字幕小組
3070000	3090000	整理&字幕小組
3090000	3110000	整理&字幕小組
3110000	3130000	整理&字幕小組
3130000	3150000	整理&字幕小組
3150000	3170000	整理&字幕小組
3170000	3190000	整理&字幕小組
3190000	3210000	整理&字幕小組
3210000	3230000	整理&字幕小組
3230000	3250000	整理&字幕小組
3250000	3270000	整理&字幕小組
3270000	3290000	整理&字幕小組
3290000	3310000	整理&字幕小組
3310000	3330000	整理&字幕小組
3330000	3350000	整理&字幕小組
3350000	3370000	整理&字幕小組
3370000	3390000	整理&字幕小組
3390000	3410000	整理&字幕小組
3410000	3430000	整理&字幕小組
3430000	3450000	整理&字幕小組
3450000	3470000	整理&字幕小組
3470000	3490000	整理&字幕小組
3490000	3510000	整理&字幕小組
3510000	3530000	整理&字幕小組
3530000	3550000	整理&字幕小組
3550000	3570000	整理&字幕小組
3570000	3590000	整理&字幕小組
3590000	3610000	整理&字幕小組
3610000	3630000	整理&字幕小組
3630000	3650000	整理&字幕小組
3650000	3670000	整理&字幕小組
3670000	3683000	整理&字幕小組
3700000	3720000	整理&字幕小組
3720000	3740000	整理&字幕小組
3740000	3760000	整理&字幕小組
3760000	3780000	整理&字幕小組
3780000	3800000	整理&字幕小組
3800000	3820000	整理&字幕小組
3820000	3840000	整理&字幕小組
3840000	3860000	整理&字幕小組
3860000	3880000	整理&字幕小組
3880000	3900000	整理&字幕小組
3900000	3920000	整理&字幕小組
3920000	3930000	整理&字幕小組
3930000	3940000	整理&字幕小組
3940000	3950000	整理&字幕小組
3950000	3970000	整理&字幕小組
