start	end	text
0	3000	整理&字幕由Amara.org社区提供
30000	33000	整理&字幕由Amara.org社区提供
60000	63000	整理&字幕由Amara.org社区提供
90000	93000	整理&字幕由Amara.org社区提供
120000	123000	整理&字幕由Amara.org社区提供
150000	153000	整理&字幕由Amara.org社区提供
180000	183000	整理&字幕由Amara.org社区提供
183000	186000	整理&字幕由Amara.org社区提供
210000	213000	整理&字幕由Amara.org社区提供
213000	216000	整理&字幕如宜
240000	243000	在這裡,我們看到了一大堆停車的地方,
243000	246000	例如公園大廈,
246000	249000	南邊是遊客中心,
249000	252000	這裡是歐佛斯福大廈,
252000	255000	整個區域中,
255000	258000	我們看到了老中心,
258000	261000	旁邊有很多板凳和椅子,
261000	264000	我們可以坐在這裡,
264000	267000	等待它們噴發。
267000	270000	在這裡,我們看到了一座高度
270000	273000	和一座高度的高空空間,
273000	276000	我們可以從高空中看到
276000	279000	地球中最高的高度,
279000	282000	我們可以從高空中看到
282000	285000	地球中最高的高度。
285000	288000	在這裡,我們可以看到一座高度
288000	291000	和一座高度的高空空間,
291000	294000	我們可以從高空中看到
294000	297000	地球中最高的高度
297000	300000	我們可以從高空中看到
300000	303000	世界中最高的高度
303000	306000	和一座高度的高空空間,
306000	309000	如果有沒有需要開啟地圖,
309000	312000	我們可以從一座高度看到
312000	315000	地球中最高的高度
315000	318000	然後從上方到下方的平行
318000	321000	我們可以從高空中看到
351000	354000	地球中最高的高度
354000	357000	和一座高度的高度
357000	360000	我們可以從上方到下方
360000	363000	和一座高度的高度
363000	366000	我們可以從上方到下方
366000	369000	和一座高度
369000	372000	然後從上方到下方
372000	375000	或是地球中最高的高度
375000	378000	或是一座高度
378000	381000	我們可以從上方到下方
381000	384000	或是地球中最高的高度
384000	387000	或是一座高度
387000	390000	或是一座高度
390000	393000	或是一座高度
393000	396000	或是一座高度
396000	399000	或是一座高度
399000	402000	或是一座高度
402000	405000	或是一座高度
405000	408000	或是一座高度
408000	411000	或是一座高度
411000	414000	或是地球中最高的高度
414000	417000	或是一座高度
417000	420000	或是一座高度
420000	423000	或是一座高度
423000	426000	或是一座高度
426000	429000	或是一座高度
429000	431880	或是在地球中最高的高度
431880	434880	也就是地球頂部
434880	439880	只需投屏需要的時間
441880	444480	2012年 reaches既定時式
444480	447560	也就是不知道
447560	448560	2012年
448560	450560	77天
450560	452340	郭凯
454340	457320	獲得了
457320	461360	既定時式
461360	462360	獲得了
462360	464440	2012年
464920	465440	ender
465440	468440	動態
468440	471440	第二
471440	474440	looking
474440	480440	轉流
480440	484440	360 乘以
484440	487440	速度
487440	492440	轉流
492440	495440	轉流
495440	498440	360 乘以
498440	501440	速度
501440	504440	轉流
504440	507440	360 乘以
507440	510440	速度
510440	513440	轉流
513440	516440	360 乘以
516440	519440	速度
519440	522440	360 乘以
522440	525440	速度
525440	528440	360 乘以
528440	531440	速度
531440	534440	360 乘以
534440	537440	速度
537440	540440	360 乘以
540440	543440	直流
543440	546440	360 乘以
546440	549440	360 直流
549440	552440	360 直流
552440	555440	360 直流
555440	558440	360 直流
558440	561440	340 直流
561440	564440	360 直流
564440	567440	360 直流
567440	570440	360 直流
570440	573440	360 直流
573440	576440	360 直流
576440	579440	360 直流
579440	582440	360 直流
582440	585440	360 直流
585440	588440	360 直流
588440	591440	360 直流
591440	594440	360 直流
594440	597440	360 直流
597440	600440	360 直流
600440	604440	如果您有任何疑問,請隨時詢問。
604440	607440	我現在要談論的是,
607440	610440	我們如何利用地震學或地球物理學
610440	613440	來研究恆圈的構造。
613440	616440	我們如何利用地震學或地球物理學
616440	619440	來研究恆圈的構造。
619440	622440	我們通常對地震學很陌生。
622440	625440	雖然傳統地震學
625440	628440	主要是利用地震
628440	631440	用最大能量。
631440	634440	比如說,地震的能量非常大。
634440	637440	我們利用地震的能量
637440	640440	來了解整個從循環到接收中的
640440	643440	一些資訊。
643440	646440	首先,我們為什麼要研究恆圈
646440	649440	或間接圈?
649440	652440	第一個,它有一個重要的標誌,
652440	655440	就是它其實所有的構造,
655440	658440	地底下的構造,
658440	661440	或是一些物理機制,
661440	664440	都與火山相似。
664440	667440	因此,你要有很多水,
667440	670440	然後浸泡30公尺。
670440	673440	首先,它有一個比較窄的
673440	676440	區域,
676440	679440	就像是一個渠道,
679440	682440	在下方的Vent,
683440	686440	然後下面有一個像是儲水庫的東西。
686440	689440	火山也是一樣,
689440	692440	下面有一個,你們應該有聽過
692440	695440	什麼岩漿庫,大同火山是什麼,岩漿庫。
695440	698440	然後,在它在溫度壓力或是一些
698440	701440	建築的過程中,
701440	704440	它們就會就是會往前面的地方移動。
707440	710440	你可以看到這個動畫,
710440	713440	這些是岩漿庫,
713440	716440	因為下面的溫度和壓力,
716440	719440	還有一些物質,
719440	722440	然後往前面移動,
722440	725440	然後到一個零介質,
725440	728440	它就會直接噴出來。
728440	731440	那大家做火山噴發的預測,
731440	734440	大部分是利用,
734440	737440	你有看到在這些體積,
737440	740440	因為它和它相連的一些,
740440	743440	它和它有連接的一些,
743440	746440	外面的一些岩石做活動,
746440	749440	然後還有這些,
749440	752440	這些都是岩石破裂的過程,
752440	755440	那如果你有地震站在附近,
755440	758440	那你可以收到一些地動訊號,
758440	761440	所以說,該事也是有相同類似的原理,
761440	764440	但是也說,說研究火山,
764440	767440	因為研究火山很危險,
767440	770440	很多人因為研究火山,
770440	773440	然後就不小心死掉了,
773440	776440	但是如果你研究該事,
776440	779440	第一個,你不用等幾百萬年,
779440	782440	大概幾個小時或幾天,
782440	785440	你就可以有下一次的噴發,
785440	788440	再來就是它相對是安全,
788440	791440	所以說,如果我們可以從這些該事,
791440	794440	那我們可能在未來可以把我們這些理解,
794440	797440	應用在火山這方面,
797440	800440	做一些火山災害的分析。
800440	803440	- 哈囉,那個,
803440	806440	好,在你前進到下一頁之前呢,
806440	809440	我們在這邊停一下好了,
809440	812440	因為有人有問題,
812440	815440	那個吳孟昌有問題,
815440	818440	你要自己發問嗎?
818440	821440	- 請問可以用人造的該事嗎?
821440	824440	還有你那個內部結構是怎麼去,
824440	827440	就是你的動畫是怎麼去製造的?
827440	830440	- 動畫?
830440	833440	- 你怎麼知道內部的?
833440	836440	- 你說火山還是該事?
836440	839440	- 你這個動畫。
839440	842440	- 動畫,
842440	845440	因為火山就是有非常非常多的研究,
845440	848440	這不是其中一兩個研究可以解釋的,
848440	851440	那如果你去這個Iris的話,
851440	854440	它會有很多就是比較教育的內容,
854440	857440	那大部分,
857440	860440	大部分研究火山,
860440	863440	火山第一個非常複雜,
863440	866440	再來就是如果它的訊號,
866440	869440	如果是講地震訊號的話,
869440	872440	它訊號從很深的地方或是很淺的地方發出來的,
872440	875440	在地震學上你就有很多方法可以去解析,
875440	878440	那我覺得我的,
878440	881440	我今天要講的該事其實有一點應用不到,
881440	884440	所以如果結束後你還有問題可以,
884440	887440	我可以比較簡單一點的解釋。
887440	890440	- 了解。
890440	893440	- 這樣可以嗎?
893440	896440	- 可以。
896440	899440	- 好了,
899440	902440	我先來講一下傳統的地震學,
902440	905440	傳統地震學就是我所利用的,
905440	908440	就是當地震發生的時候,
908440	911440	在這邊,
911440	914440	因為地震能量非常強,
914440	917440	然後它會經由地區,
917440	920440	我們講的介質,
920440	923440	看你不同介質會有不同的波,
923440	926440	波數有的沒的,
926440	929440	然後你會得到地區的地震訊號。
929440	932440	通常地震學就是利用這種地震訊號
932440	935440	來分析地震的源頭,
935440	938440	或者它經過的地區有什麼樣的效應。
938440	941440	所以這是最最最傳統的地震學,
941440	944440	簡單來說,
944440	947440	你不一定是地震,
947440	950440	如果你有一個河流,
950440	953440	或者能量很強,
953440	957440	那你就會得到地區的地震訊號。
957440	960440	那如果你有一個河流,
960440	963440	你會得到地區的地震訊號。
963440	966440	那如果你有一個河流,
966440	969440	你可以去研究地震中的轉向,
969440	972440	但是如果你知道地球的構造是怎樣,
972440	975440	你可以用它來研究地震訊號。
975440	978440	這其實有點離譜,
978440	981440	但是因為有很多不同種類的研究,
981440	984440	這幾乎是唯一的方法,
984440	987440	去研究地球內部的構造。
987440	990440	這幾乎是唯一的方法,
990440	993440	去研究地球內部的構造。
993440	996440	所以現在NASA要放一顆地震儀在火星,
996440	999440	所以它就開放一個競賽,
999440	1002440	說哪一個人最厲害,
1002440	1005440	你可以從什麼都不知道的狀況下,
1005440	1008440	去推估火星裡面的構造是怎樣。
1008440	1011440	所以這就是我們研究地震儀的方法。
1011440	1014440	那我現在要講的是,
1014440	1017440	我現在要從最大的構造開始,
1017440	1020440	然後講到最小的構造。
1020440	1023440	這是我們黃色的圖片,
1023440	1026440	這是我們黃色的圖片,
1026440	1029440	這是我們黃色的圖片,
1029440	1032440	這是我們黃色的圖片,
1032440	1035440	這是我們黃色的圖片,
1035440	1038440	這是我們黃色的圖片,
1038440	1041440	這是我們黃色的圖片,
1041440	1044440	這是我們黃色的圖片,
1044440	1047440	這是我們黃色的圖片,
1047440	1050440	這是我們黃色的圖片。
1050440	1053440	所以這一道圖片裏面其實是綜合著
1053440	1056440	這個地震儀的動態算號,
1056440	1059440	也是讓地震儀改變的問題。
1059440	1062440	所以真的是很時尚。
1062440	1065340	增長的能力比較少,
1065440	1068340	增長的能力比較少,
1068440	1071340	因此它很容易。
1071440	1074340	111名救援人員正常無痕蹤。
1074440	1077340	125名不斷增加火力。
1077440	1080440	Sub-zerocyclopedia
1080440	1083040	促載了包括現在和前面三個
1083140	1085640	不擴拔的偵測震動系統的教學,
1085740	1088340	在sub-zerocyclopedia,
1088440	1090340	中層的教學,
1120340	1123240	因此,我們並不是利用地震,
1123340	1125240	而是利用...
1125340	1127240	該怎麼說呢?
1127340	1130240	上面不是有很多氮氣的東西嗎?
1130340	1132240	像是溫泉,
1132340	1135240	我們其實是利用這種天然的東西
1135340	1138240	來作為能量的來源,
1138340	1141240	然後研究中間的構造是怎麼樣的。
1141340	1144240	所以,這個比喻是說,
1144340	1147240	比如說,你有一個能量在一個站旁邊,
1148240	1152140	那這個站收到非常明顯的能量訊號,
1152240	1156140	那遠一點的站,它會收到一樣這種類似的訊號,
1156240	1159140	因為這個會傳遞過去,
1159240	1162140	但是會比較晚一點到,
1162240	1165140	然後它有可能因為距離,
1165240	1168140	所以那個能量衰減了,
1168240	1171140	不太容易看得出來,
1171240	1174140	但是我們利用一個函數叫互相關函數,
1174240	1177140	你對這兩個站的波形去做互相關函數,
1177240	1180140	那你就可以看到說,
1180240	1183140	你原本是能量在噪音的訊號,
1183240	1186140	那你透過這個比較數值的方法,
1186240	1189140	你可以找出什麼時候是最相關的時候,
1189240	1192140	那這個點,這個時間點,
1192240	1196140	就會是從這個站傳遞到這個站所需要的時間,
1196240	1200140	所以說,我們用這個互相關函數,
1200240	1203140	第一個就是,
1203240	1206140	你找到時間,
1206140	1209040	你可以大概去推估說,你有時間了嗎?
1209140	1212040	你有距離,兩個站之間的距離,
1212140	1216040	你可以推估說,我們在這之間的介質到底是什麼樣的速度,
1216140	1219040	我等一下會解釋一下速度代表是什麼意思,
1219140	1222040	然後第二個點就是,你可以像,
1222140	1228040	這已經不只是時間,你除了研究它的時間的delay之外,
1228140	1231040	你還可以研究說,這個波形,
1231140	1234040	這個波形就比較有點地震性,我今天不會講,
1234040	1236940	但是你也可以用這個發生,
1237040	1239940	你可以從這個站到這個站之間的所有信息,
1240040	1243940	你也可以用這個發生,你可以從這個站到這個站之間的所有信息,
1244040	1246940	那,我現在就直接介紹一下,
1247040	1249940	這是剛剛講的,
1250040	1252940	這就是我們所說的互相關函數,
1253040	1256940	我們可以將其中的站當作源頭的站,
1257040	1259940	我們發現有一個很強大的能源,
1260040	1263940	我們可以把這個能源,
1264040	1266940	我現在點擊的是這個站,
1267040	1268940	所以我們可以利用這個站,
1269040	1272940	我們可以對其他所有的站做互相關函數,
1273040	1275940	我們可以研究說這個能源有多強,
1276040	1278940	我們可以研究這個能源有多強,
1279040	1281940	我們可以研究說這個能源有多強,
1282040	1285940	然後使用這個能源,我們可以研究說這個能量到其他所有的站,
1286040	1289940	到底是怎麼傳遞的。
1289940	1293840	所有的,可以看到很明顯,就是比較遠的站嘛,
1293940	1297840	那它的接收到的佈景就比較晚,那就表示說,
1297940	1303840	應該就是正確的,這不是什麼fake,不是什麼artifact。
1303940	1307840	然後,首先第一件事就是我剛剛講的,我們有了時間,
1307940	1310840	有了站跟站之間的距離,我們可以去推估說,
1310940	1316840	大概從這個source到這些區域中間到底花了多少時間,
1316940	1319840	那可以換算成速度。
1319940	1327840	所以這就是這個map,就是你把換算成的速度放在每個站上面,
1327940	1331840	就是這個站收到的速度大概就是0.81啊。
1331940	1337840	然後速度代表的意思就是,譬如說國中不是常出什麼題目啊,
1337940	1345840	就是你的,如果你的聲波,你的聲波在空氣中跟在水中走的速度不一樣吧,
1345840	1350740	那這樣的速度可以代表的是它本身介質的一些資訊。
1350840	1358740	所以說,再舉一個例子,你的,讓你覺得非常firm的像岩石跟非常鬆軟的泥土,
1358840	1360740	那他們的速度就會不一樣。
1360840	1367740	所以說,簡單來說,就是就是只講我這個,我們可以看到說,
1367840	1372740	換算成速度跟空間的分佈,那邊有一個很明顯的,
1372740	1378640	就是有一個基礎,然後左,西南方,西南方速度是比較慢的,
1378740	1382640	偏紅色是比較慢的,東北方的速度是比較快的,
1382740	1390640	所以說,然後我們可以去比照說,這邊的geology,這邊的地址是怎麼怎麼樣,
1390740	1395640	那就可以就得到說,多難,新南邊的速度,
1395740	1402640	大概是相對於是上一次的冰河時期所所殘留的成績物,
1402740	1410640	然後西北方是之前,前一次噴發在六四萬年前的一些岩漿的成績物,
1412740	1420640	然後好處就是因為geology,你必須要在,那就是他們是比較表面,
1420740	1423640	就是你只能走在地表上嘛,再深的地方你沒有辦法到,
1423740	1429640	但是如果是地震波的話,你可以利用,嗯,你們波形的一些資訊去推估說,
1429640	1438540	哎,我看了這個,這個波形在這個特別的頻頻段之下,大概是,呃,敏感深度,大概是多高,呃,多深,
1438640	1445540	所以像我這個結果化的是大概是80公尺真的,嗯,構造,
1447640	1451540	對,這是地震,呃,主要是地震學跟地質學不一樣的地方,
1451640	1454540	就是可以看的比較深,因為人沒有辦法到那邊嘛,
1455540	1462440	那如果你要鑽一個井去看每一層大概是什麼地質的東西,那鑽井就很貴,然後還會破壞環境,
1464540	1473440	OK,然後再來就是剛剛講的是1到5hz,所以hz頻率,
1473540	1482440	頻率要解釋嗎?頻率就是一秒會有,就是心跳率好了,就是譬如說你一秒一分鐘可以跳幾下,
1482440	1498340	那跳越多下就越高頻嘛,所以這邊也是就類似的道理,剛看到的是低頻的,然後,然後在我們看的波高頻,低頻的代表是你看的東西比較深,高頻的看東西比較淺一點,
1499440	1512340	然後低頻高頻還有一個差異就是他們的波長,嗯,想像海,呃,洋流好了,海流,如果洋流它的波長大概是100,200公里,
1512440	1530340	那他對於地,嗯,就是海,呃,海底地形啊,一些可能一公里啊,或是幾百公尺凹凸的那種地形,他們其實不會被影響,但是如果是,譬如說像衝到岸邊的浪啊,那些波長就會比較小,會或是說比較高頻,
1530340	1557240	那波長小的話,在岸邊不是說什麼風口浪嗎?那些都是因為波長小的波,然後他是被非常local的,呃,小尺度的一些地形所影響,所以說在地政學也是一樣,如果你的波長比較小,你這邊有一個比較小小尺度的一些,嗯,就不是非常homogeneous,就是有一些不一樣,那高頻的東西,波長小的東西,那他就會比較容易可以看得出來,
1558240	1585340	所以說這張圖,OK,像這張圖,左邊的,左邊的是低頻的,右邊的是高頻的,然後這個都是一樣的,是從我們剛剛講的source的source的站到橘色這條線的站,然後從西邊到東邊畫畫一個那個,呃,排列,然後在第一個要看的是低頻的,你可以看到這些peak,
1585940	1615080	這些波的能量傳遞都是可以,就是很,就是他不是突然無故就消失,他就是可以順利的傳遞過來,從這個站到這些,這個區域都可以順利的傳遞過來,但是在高頻的時候,你可以看到我這邊畫一個框框,藍色的區域,高頻的時候,當他經過藍色的區域,你可以看到他的波形,第一個波形晚到了,很明顯的晚到,第二個就是他有很多小,比較小的,比較高頻的wiggle,就是你可以看到,
1615460	1644780	一個一個我們叫coda,那這個代表什麼意思?這代表高頻的波小,呃,小波,相對小波長的波形能量在比較淺的地方,他到經過這區域的時候受到一些阻礙,或者是在這邊有一些,嗯,呃,抑制性的東西,那當然可以透過一些比較地震學的方法去推估,到底有到底是什麼狀況,你可以做model,那我就不會講太多,反正這邊我們就,
1644780	1674240	因為這樣子的,嗯,觀測結果,所以我們就去推估說,發現說office,這個該說他有一個相對大的,哈嘍,我對前夜有點問題,好啊,我的問題是這樣,就是如果那個你剛剛有把這個藍色的框框框起來啊,你一框起來就很明顯,哦,那邊有cluster,因為這個跟這個另外一組data是不一樣,可是如果你不把藍色的框框框起來,我一看眼睛就花了,真的嗎?
1674780	1704760	對啊,就是啊,我我的意思是說,很困難可以一眼就看出來啊,那如果今天你的測站是再多個十倍,那麼就更困難了嗎?你用眼睛看都崩潰了,所以我想我比較好奇的是技術上來說,你們現在有事就是試著要adapt,比如說像是machine learning啊,或是就是用auto processing的方式,先幫你做一個類似pre selection,然後你再去interpret data嗎?還是你就是用用看的就可以看得出來?
1705780	1734560	這個這個這一張圖對我們來說是非常非常非常明顯的的,可以可以看到的狀況啊,所以說我覺得machine learning絕對是未來的趨勢啊,然後我老闆現在還是在跟啊,比如說上一次合作,想要去做real time,就是real time的去看一下這邊的構造的變化,但是這些都是比較比較未來的事,而且尤其machine learning,你需要一些training data,你必須要有一些,嗯,
1734740	1758220	知道一些對這邊有些有一點基本的知識概念的話,你才能把apply到,呃,未來prediction之類的,但是machine learning絕對是,呃,可能之後一定要做的,然後再來就是我沒有講這個bar,這個bar是我們預測說這樣的距離,大概這樣的站跟站之間距離,如果預測一樣的速度的話,他們到時會在哪邊?
1758220	1784280	所以這就會很明顯,你看到他們的報到時都在,嗯,一公里每一秒的地方,但是這個區域他們完全變成你看零點零點五就是delay了,這是我覺得可能老闆肯定很好,還是這是必備的,就是你必須要看到很小很小不一樣的東西,但是這是非常明顯的,就是以我們我們必須要看得到的模型來說。
1785280	1805420	這樣可以嗎?好,嗯,我覺得回答很好,謝謝好,所以我們可以,呃,剛講的不同的頻率對應到的是不同的,呃,敏感深度,所以我們可以從敏感深度跟他的範圍大概去推估說這個,呃,東西到底有多大?
1805420	1835360	那這個東西,我們的解釋是說它是一個相對比較深處,呃,水提供到呃,全部給office,我這個整個系統的一個水也不是演講,不是水,就是水,如果是火山的話,那就有可能是演講庫哦,然後這個我忘記講,剖面是從A到A,所以說就就只是一個方面,然後剛剛講的比較低頻說,呃,西西南邊是冰河時期的幾乎跟。
1835660	1861800	呃,東北邊是,呃,沿江的沉積物這邊用意是在,因為我們火山很多,到處都台灣也有火山嗎?但是該死,或是像這種feature其實是非常非常,呃,罕見的,那為什麼罕見就是你要有這樣這麼多的溫泉噴泉呢?它其實是需要特定的地質構造才能,呃,促成這樣的條件。
