start	end	text
0	10320	很高興大家今天來參加林博軒的talk
10320	13920	然後我先介紹一下我們的講者林博軒
13920	17160	他之前是在台大念經濟系
17160	20520	然後現在是台大經濟所碩二的學生
20520	23080	然後目前他在Calc
23080	25560	就是在Pasadena加州這邊
25560	29120	在一家叫ModLab的新創公司做intern
29120	31160	那他主要做的
31160	34960	這邊做的題目內容是跟遊戲相關的資料分析
34960	38160	那今天我們很高興請到林博軒來給一個talk
38160	43320	就是他的是關於如何用課堂實驗資料來檢測最後通牒賽局
43320	46080	以雙邊拍賣實驗結果的穩定性
46080	49160	那我們接下來就請博軒開始他的talk
49160	49920	好
49920	51600	那就謝謝李怡蓉
51600	53480	那我就先就廢話不多說
53480	54920	我就先開始講了
54920	57280	因為其實主要今天要講的東西就很簡單
57280	59000	就只問一個問題就是
59000	63560	我們現在在文件上看到的這些經濟學實驗的結果
63560	65200	它到底穩不穩定
65200	67960	因為其實老實講實驗經濟學它其實
67960	69760	看的研究的東西就是人
69760	73480	所以很多時候說你要去說一個實驗結果很穩定的話
73480	75600	那其實很多時候並不能夠只說就是
75600	77960	我只要在可能在台灣做這個結果就好
77960	80560	或者說甚至只要做一個受試者群體就好
80560	84160	很多時候就是我們需要去做很多很多不同的受試者群體
84160	87320	如果說我們去plan說這個結果是對全人類都對的話
87360	89840	那這樣應該是拿著同樣的實驗結果
89840	93480	去拿著同樣的實驗去每個地方測都應該是對的
93480	96400	不過其實我們現在很多時候都知道說
96400	98080	這樣的情況其實很多時候並不一定對
98080	101880	就像同樣是你去假如說去量風險好了
101880	103720	我們就光是在台灣裡面
103720	107560	你光是對男性或女性測風險的偏好都可能會不一樣
107560	111000	所以其實這個就是說我們要去測穩定性的話
111000	113560	這等於是我們希望去拿著同樣的實驗去看
113560	115960	很多地方的話結果到底是不是對的
116000	118320	不過很多時候是
118320	122080	在我們想要做這件事的話其實是非常困難的
122080	123920	在實驗上甚至第一個是
123920	126840	因為經濟學家都知道說我們研究經費有限
126840	128640	然後再來是我們時間也有限
128640	130720	所以很多時候我們很難去想說
130720	133840	到底能不能在全世界每個角落都測同樣的實驗
133840	135840	所以這是一個非常困難的事
135840	138240	因為主要是在經濟學實驗有一個很大的限制是
138240	141320	我們希望是能夠提供真實的誘因給受試者
141320	143400	就也因為是這樣所以說
143400	145880	那這樣其實又要很多錢又要很多時間
145880	147840	又要有足夠良好的實驗設計
147840	151280	在世界上每個地方測基本上它會變成是不可能的
151280	154720	那所以就也因為這樣我們並沒有放棄去
154720	157200	去檢測說我們的實驗結果到底穩不穩定
157200	160960	所以現在在文獻上主要有兩個主要的方法來做這件事
160960	163120	首先第一個是
163120	166040	我們很多時候是舉例來說像Ultimate Game的話
166040	167480	我們很多時候是已經
167480	172080	其實在這五十年內已經有很多研究做過Ultimate Game的系列的東西
172080	173520	所以我們會基本上是
173520	176040	有一個方法是我們拿前面的實驗資料
176040	178240	我們把它拓成一個很大的資料庫
178240	179680	來這邊做一些Meta-Analysis
179680	183000	就像Westerbeck他在2004年做過的這件事
183000	185560	不過像這樣的話就有一個問題是
185560	189040	其實很多時候是Ultimate Game在前面的所有研究
189040	190240	雖然說都是同樣的Game
190240	192480	可是他們的脈絡都有點不太一樣
192480	195720	也就是說其實我們也知道說
195720	198360	在實驗上很多時候是你的用字不一樣
198360	201320	或者說你的脈絡不一樣可能就會影響到實驗結果
201320	202840	所以等於在用這個方法的時候
202840	208280	我們等於是說就已經喪失了去控制我們的實驗設計了
208280	210120	雖然說這個方法可以給我們的
210120	212800	讓我們資料庫變得很豐富
212800	214320	那另外一個方法是說
214320	216520	我們控制同樣的實驗設計
216520	220560	不過去其他就是少部分的地方去做同樣的實驗
220560	222400	就像Roth他在1991年的時候
222400	224760	他就曾經做過就是
224760	226680	在世界上四個國家
226680	227920	就一個是美國
227920	229600	然後一個是斯洛維尼亞
229600	230640	然後一個是以色列
230640	232000	然後再來是一個日本
232000	236440	這四個國家去做同樣的最後通牒賽局跟市場遊戲
236440	239520	去看說這四個國家他們的結果到底穩不穩定
239520	244040	然後這個是目前算最大規模的一個實驗了
244040	246320	不過從這邊來看的話是
246320	246960	即使是這樣
246960	249040	好像他這篇文章就已經籌備了三四年
249040	250960	不過他收集的樣本其實也是不多
250960	253040	而且也只能在少部分地方做
253040	255400	所以這樣子在這個方法上
255400	259480	雖然說你可以做到的是控制你的實驗設計
259480	262640	不過卻沒辦法做到去把你的資料庫變得非常的大
262640	264120	所以今天呢
264120	266080	這篇文章我們現在做的事情是
266080	268280	我們用另外一個第三個方法
268280	271000	就等於是現在你就想
271000	272960	你要去測一個實驗結果的穩定性
272960	274160	有三件事要做
274160	276280	一個是真實的誘因
276280	278920	然後再來一個是同樣的實驗設計
278920	281480	然後再來第三個是要足夠大的樣本數
281480	282960	那前面兩個方法呢
282960	284080	他們都
284080	286880	他們一個是放棄了控制實驗設計
286880	289840	另外一個是放棄足夠大的資料庫
289840	291800	那不過我們今天要做的事情是
291800	293880	我們要資料庫夠大
293880	296800	然後再來是我們也要設計是完全一模一樣的
296800	300200	不過我們今天放棄的是我們放棄控制誘因
300200	301560	所以等於是說是
301560	303240	在這樣的情況下
303240	305800	我只能說我們是第一篇文章去做這件事的
305800	308560	然後再來是我們有足夠很大量的資料
308560	313400	不過其實就是因為當我們放棄誘因的控制之後
313400	316040	其實會讓我們的實驗在一個非常非常
316040	317920	我們說no easy的情況下來做
317920	321760	所以等於是如果在這種情況下我們都可以
321760	324240	去重建所有實驗
324240	326560	以前在實驗室裡面的實驗結果的話
326560	330440	那代表說這些的實驗結果是非常非常穩定的
330440	332480	那其實就像我說的就是
332480	333840	我們今天要用的就是
333840	335720	我自己現在在待的公司MobLab
335720	337680	那MobLab它其實是一個
337680	340520	所有課堂經濟學實驗的一個實驗平台
340520	342240	那我們拿所有課堂實驗資料的話
342240	343800	其實是有好有壞的
343800	345840	那當然就是最大的兩個concern就是
345840	347760	第一個是所有在課堂裡面的學生
347760	350680	他們都不是拿金錢來提供他們的誘因
350680	353440	很多時候可能就只是拿課業分數
353440	355520	或者說是其他像初期率
355520	357120	來提供他們誘因來玩
357120	359000	所以像這個是我們已經喪失控制
359000	362040	就是我們沒有去控制住他的誘因到底是什麼
362040	363840	那再來另外一個concern是
363840	364920	很多在修課的學生
364920	369000	他可能並不一定是那個文化下的代表性的樣本
369000	371080	不過雖然有這兩大concern
371080	373240	不過其實還是有非常非常多的好處
373240	375800	讓我們去想說我們可以試試看這個方法
375800	377320	首先第一個是
377320	380960	在我們的資料庫裡面沒有任何的publication bias
380960	385680	就像說如果說你拿前面的文章的結果來測的話
385680	387920	很多時候是因為前面的文章你能夠被發表出來
387920	389600	代表通常是結果不錯
389600	392520	所以如果說你再拿這些結果來做meta-analysis的話
392520	394880	可能會拿到太好的結果
394880	397800	所以等於是說會有一些我們這個叫publication bias
397800	399920	不過在這邊的話我們是所有的結果是
399920	402480	不論好壞都被記錄在我們的資料庫裡面
402480	403880	然後再來另外一個是
403880	407040	因為這個是我們公司在全世界算是
407040	410880	至少在現在實驗經濟學的課堂裡面算是monopoly這樣子
410880	413680	所以等於是說全世界基本上如果你要做課堂實驗
413680	415920	用現場來提的話基本上都是用我們公司
415920	418960	所以其實我們的樣本是非常非常多元的
418960	421160	就是有橫跨各個區域都有
421160	424080	所以等於是給我們非常多的variation去可以檢測
424080	426200	然後再來第三個是
426200	428520	因為我們資料生成的環境全部是一模一樣的
428520	431560	所以不論在實驗的介面或甚至使用語言
431560	433680	或整個實驗流程全部是一模一樣的
433680	436840	所以等於是我們完全控制住了他們遊戲的過程
436840	440600	那這主要是這三個優點讓我們覺得說一定要用
440600	444320	這個方法值得一試的原因
444320	448160	那接下來是在我開始講我們在玩的這兩個賽區之前
448160	451800	我想要先講一下說我們的data set到底有多大
451800	454400	那首先我們看到是這兩個
454400	455520	首先我們可以看到是
455520	459200	這邊是這個表格是我們data set總共有的十個區域
459200	462200	所以你可以看到說就是其實這個資料是橫跨北美
462200	464400	然後歐洲然後還有亞洲都有
464400	467080	然後再來是我們在ultimate game的話
467080	468880	我們有超過一萬五千
468880	470680	一萬五百個樣本點
470680	473680	然後在雙邊拍賣的話我們有超過九千個市場
473680	476160	那其實這個資料量給大家就是
476160	479200	比較沒有接觸實驗經濟學的朋友一個概念就是
479200	481520	基本上是ultimate game的資料大概是
481520	483880	比一般文章多十倍到
483880	485840	就多一個零到兩個零
485840	489000	然後再來是double auction的話基本上是多了兩個零這樣子
489000	491480	所以等於這是一個非常非常大的一個樣本
491480	494440	讓我們可以去檢測一些東西
494440	496280	好那接下來就是
496280	498760	我要來開始講這兩個賽局
498760	500240	這兩個賽局其實很簡單
500240	502000	首先第一個是ultimate game
502000	503440	那這兩個為什麼會
503440	505560	另外再補充一下是為什麼我會挑這兩個賽局
505560	509240	就是第一個是因為這兩個賽局是我們資料庫裡面最豐富的
509240	510600	兩個game
510600	512520	然後再來另外一個是這兩個基本上是
512520	514960	實驗經濟學最起源的兩個賽局
514960	517160	像ultimate game它其實最
517160	518560	這個遊戲裡面就有兩個人
518560	520160	一個是proposer
520160	521520	一個是responder
521520	524040	proposer這個時候他有可以分一百塊給
524040	527080	他有一百塊可以來決定要分給對方要分多少
527080	529240	這個時候這個遊戲很簡單
529240	531560	首先這邊是一百塊是你可以分的
531560	533160	然後再來是中間有個球
533160	534280	是你可以決定說
534280	536200	欸好你要分多少給他
536200	539320	所以你可以拉這個球在這邊決定分多少
539320	541760	那如果說這樣子你決定之後你就可以按submit
541760	543640	這樣子對方就可以看到說
543640	545640	你到底給了他多少錢
545640	547720	那接下來呢
547720	548680	當你決定說好
548680	551280	假設說我決定給對方四十五塊
551280	554880	那這樣子的話對方就會看到
554880	556960	對方就可以看到說好
556960	559520	這個是你現在提供的一個proposer
559520	562600	proposer就是我拿五十五你拿四十五
562600	564280	那你要不要接受他
564280	565960	如果說你今天你是responder
565960	567840	如果你決定接受的話
567840	569520	你就拿四十五他拿五十五
569520	570800	然後如果說你拒絕的話
570800	573160	那這樣你們兩個他都拿零塊
573160	575040	那其實這個東西
575040	576440	這個非常非常簡單一個環境
576440	578640	就等於很像是在模擬生活中的
578640	580120	一些最簡單的談判情境
580120	582280	舉例來說你去夜市買菜或什麼之類
582280	583960	你在殺價的時候你常常會講說
583960	585760	欸你可能殺到最後一輪就說
585760	588800	好這個東西二十塊不要拉打
588800	592800	所以其實就很像是在模擬這樣的一個概念
592800	597440	那所以這個是我們ultimate game的遊戲界面
597440	599800	那接下來我要講的是雙邊拍賣
599800	601720	雙邊拍賣的話其實
601720	604560	大家最經典的舉的一個例子就是
604560	605680	就像華爾街
605680	607000	他們在賣股票一樣
607000	607840	你可能會看到一張
607840	610080	常常會看到一些圖片新聞照片就是說
610080	611720	欸就可能是有很多機台
611720	614120	然後裡面有很多一個一個station
614120	615640	然後其實那邊有很多的交易員
615640	618360	在那邊都是舉著手大聲的叫大聲的叫
618360	619400	這等於是說
619400	620520	就等於大家同時在喊說
620520	621960	我這個要多少錢這個要多少錢
621960	625480	等於是買家跟賣家同時在那邊討價還價
625480	628360	那所以雙邊拍賣跟前面的ultimate game相比等於是
628360	630160	ultimate game他等於是只有一邊
630160	631720	我提一個proposal給你
631720	633080	那雙邊拍賣等於是在
633080	634560	不論是哪邊
634560	637480	buyer或seller他同時都可以去喊價
637480	638720	那所以在table option裡面
638720	641320	現在就介紹這個game在玩什麼
641320	643280	在table option裡面有兩種人
643280	645120	一個是買家一個是賣家
645120	647120	所以如果說你今天是買家的話
647120	648920	你今天你要去想說我要去買東西
648920	651000	在這邊我們是買橘子
651000	652320	那接下來你在這個遊戲界面
652320	653680	你可以看到第一個是
653680	654360	你買橘子
654360	656560	你買到一個橘子你會帶給你多少爽感
656560	657560	這個我們叫value
657560	658720	在這邊
658720	660840	那接下來你要去提一個價
660840	661640	就是說
661640	662120	好
662120	664040	你可以拉一個style bar在這邊
664040	665520	這邊你可以左右的移動
665520	668200	去決定說你要出多少價
668200	669760	去標這個橘子
669760	670480	那這樣子呢
670480	671880	如果說你買到一個橘子的話
671880	672800	你的好處
672800	674760	就等於是你今天的value減掉說
674760	677160	你花了多少錢去買它
677160	678040	ok
678040	679640	那這樣的話就是你在買的話
679640	680920	你有兩種方法可以買
680920	682920	一種是你在這邊投標
682920	685080	那另外一個是如果說在前面是
685080	686800	有很多買家他可能
686800	688320	有很多買家他這邊已經
688320	689920	已經投十萬價
689920	693600	所以你也可以直接買在最低的價格
694600	696720	那接下來另外一個是
696720	697560	seller
697560	699240	那seller他其實有同樣
699240	701000	我們有做相同的界面
701000	702520	等於是說seller他今天是
702520	703840	你賣橘子的話是
703840	705520	因為你種橘子你有成本
705520	707800	所以說你在這邊你會看到你的cost
707800	709040	ok
709040	709560	好
709560	711240	然後再來接下來是你同樣是
711240	712920	你可以在這邊拉你的bar來決定說
712920	714520	你要出多少價
714520	716080	在這邊你可以在這邊問價
716080	717880	又或者說你可以今天決定說
717880	719360	我看到最高的價格
719360	721520	我決定要在這邊來賣掉
721520	723160	所以我可以賣在這邊
723160	725200	然後這邊稍微注意一下是我們在
725200	726440	我們的遊戲界面裡面有一個
726440	727920	很特別的設計就是說
727920	730840	當你今天決定說要
730840	732160	當你今天在這邊問價
732160	733560	如果你問了一個價格是
733560	734560	如果交易了
