start	end	text
0	3000	整理&字幕由Amara.org社区提供
30000	33000	整理&字幕由Amara.org社区提供
60000	63000	整理&字幕由Amara.org社区提供
90000	93000	整理&字幕由Amara.org社区提供
120000	123000	整理&字幕由Amara.org社区提供
150000	153000	整理&字幕由Amara.org社区提供
180000	183000	整理&字幕由Amara.org社区提供
210000	213000	整理&字幕由Amara.org社区提供
241000	244000	好,謝謝Ted
244000	247000	那我叫陳信達
247000	249000	中文名字是耳東陳
249000	251000	信用的心導我達達
251000	255000	然後今天就是很感謝Ted跟Tara
255000	258000	讓我這個機會在這邊跟大家介紹
258000	261000	我們最近在發展的一個方法
261000	263000	那這是一個滿新的方法
263000	266000	那這個方法主要的目的是要處理
266000	268000	光和物質交互作用
268000	270000	我們希望提供一個新的途徑
270000	272000	可以來做這件事情
272000	275000	那我們提出的這個方法呢
275000	278000	叫做Mixed quantum classical electrodynamics
278000	280000	就是英文的說法叫做
280000	282000	就是混合的
282000	285000	中文應該叫做量子固定混合的電動力學
285000	288000	那我待會會跟大家仔細的介紹說
288000	291000	這裡面到底是什麼樣的一個方法
291000	293000	好,那
293000	296000	不過呢,讓我先自我介紹一下
296000	298000	我叫陳信達
298000	300000	我的背景呢
300000	302000	是我在台灣的時候
302000	305000	Under,就是我大學是念數學跟物理
305000	307000	我是數學物理雙主修
307000	309000	然後後來呢
309000	311000	For some reason我申請學校的時候呢
311000	313000	就看到Columbia有這個program叫做
313000	315000	Chemical Physics
315000	317000	然後我就很覺得
317000	320000	應該是,而且做的東西跟我原本做的東西很像
320000	322000	然後也很接近,也是我有興趣的東西
322000	324000	那我就申請這個program
324000	326000	後來很幸運的申請到這個program
326000	328000	還發現到美國來就變成一個化學系的人
328000	331000	就從頭到尾都被當化學系的在用
331000	333000	然後就是因為這個原因
333000	335000	變成了我現在
335000	339000	就是在Penn的化學系做Postdoc
339000	341000	然後
341000	343000	用一句話總結我在做的事情呢
343000	346000	就是我就是用物理學的,物理的理論
346000	349000	和物理裡面所發展的計算方法
349000	351000	來研究化學的問題
351000	353000	然後我的專業領域呢
353000	356000	是專門在研究動力學
356000	358000	就是Dynamics的理論
358000	360000	還有Dynamics的計算方法
360000	362000	然後
362000	364000	再specific的一點呢
364000	366000	我的PhD是在Columbia做
366000	368000	然後我是做Chemical Dynamics
368000	373000	就是說電子在化學環境中的動力學
373000	375000	那我的Postdoc
375000	377000	現在我在做的事情是有一點
377000	379000	跟PhD不太一樣
379000	381000	就是光和物質的交互作用
381000	383000	那我今天呢
383000	385000	我的talk會focus在
385000	387000	我在我的Postdoc的工作
387000	389000	好的
389000	391000	首先什麼是光呢
391000	393000	我們常常說簡見為憑
393000	395000	光基本上呢
395000	397000	是我們在日常生活中
397000	399000	是一個非常重要的東西
399000	401000	光基本上就是電磁波
401000	403000	電磁波呢
403000	406000	基本上是我們所有的information的來源
406000	408000	就是我們看到這個世界的東西
408000	410000	然後從最大的尺度到
410000	412000	我們怎麼從其他的星球上
412000	414000	或是從知道
414000	416000	比如說火星上發生了什麼事
416000	418000	我們可以
418000	420000	藉由從火星上反射太陽的光
420000	422000	然後從太陽光的光譜呢
422000	424000	可以看到
424000	426000	可以知道火星上有什麼物質
426000	428000	然後這些物質
428000	430000	帶來多少的比例
430000	432000	然後呢光
432000	434000	在近代科學裡面的發展呢
434000	436000	也有更多的可能性
436000	438000	就是說這些不再是可見光
438000	440000	我們光有各種不同的
440000	442000	的光譜
442000	444000	從能量比較低的
444000	446000	到能量比較高的
446000	448000	然後再從能量比較低的範圍
448000	450000	範圍裡面呢我們有NMR到
450000	452000	到或是到Raman
452000	454000	或是到IR spectrum
454000	456000	這些東西就是屬於
456000	458000	低於可見光譜
458000	460000	然後在高於可見光譜的
460000	462000	範圍裡面呢
462000	464000	有UV就是
464000	466000	Ultraviolet
466000	468000	跟更高能的
468000	470000	就是X-ray
470000	472000	然後基本上我們的特色就是說
472000	474000	基本上這個
474000	476000	這個光譜學
476000	478000	就是說我們有越大的
478000	480000	越
480000	482000	越強的能量我們可以看得更深
482000	484000	就在X-ray的
484000	486000	就像在X-ray的那個等級
486000	488000	我們可以看到說它可以
488000	490000	把較內層的電子打出來
490000	492000	所以你可以知道較內層的電子
492000	494000	的行為到底是什麼
494000	496000	那這是光跟物質基本交互作用的
496000	498000	一個功能之一
498000	500000	那
500000	502000	近年來呢就是因為這些奈米科技
502000	504000	這種技術的發達
504000	506000	我們可以更小規模的
506000	508000	的的的製作我們的
508000	510000	device所以我們可以用
510000	512000	甚至可以用光
512000	514000	光的量子性質來操作物性
514000	516000	來改變物體的性質
516000	518000	然後呢
518000	520000	譬如說我們可以把譬如說
520000	522000	一個化學反應
522000	524000	放在一個共振腔
524000	526000	一個cavity裡面
526000	528000	然後它的化學反應的性質可能就會被改變
528000	530000	或是把這個
530000	532000	化學反應放在一個
532000	534000	光子晶格上面
534000	536000	然後這個化學反應可能就因此
536000	538000	而有不同的行為
538000	540000	然後有其他各種
540000	542000	不同的nanostructure
542000	544000	就是奈米結構的structure
544000	546000	可以對於光物質
546000	548000	交互作用有不同的影響
548000	550000	來改變物性
550000	552000	然後另外一個非常重要的例子呢
552000	554000	就是最近這幾年有一個
554000	556000	有一個非常熱門的話
556000	558000	的研究就是說
558000	560000	我們怎麼用
560000	562000	光物質交互作用
562000	564000	來改變
564000	566000	譬如說像
566000	568000	這個這篇paper
568000	570000	是一篇paper關於這個
570000	572000	有機半導體
572000	574000	的
574000	576000	導電性
576000	578000	然後他們打一個很薄的
578000	580000	一個薄膜結構
580000	582000	然後它上面有一圈一圈
582000	584000	一個小小的共振腔
584000	586000	把這個東西attach到這個
586000	588000	organic semiconductor上
588000	590000	它可以讓這個semiconductor的
590000	592000	導電性改變
592000	594000	然後可以讓它從一個比較不良的導體
594000	596000	改變成一個更好的引導體
596000	598000	然後可是這些
598000	600000	這些近代的發展呢
600000	602000	通通使用到了那個
602000	604000	光的量子性質
604000	606000	光的量子性質呢
606000	608000	當我們需要了解到光的量子性質的時候
608000	610000	我們就要討論一下到底什麼是光
610000	612000	在古典中
612000	614000	跟這個量子中有什麼差別
614000	616000	那
616000	618000	古典的光呢就在左邊這個panel
618000	620000	古典的光我們把它當作一個
620000	622000	電磁波
622000	624000	然後這個電磁波的發展呢
624000	626000	然後電磁波的演化呢
626000	628000	是根據
628000	630000	大家都可能聽過的
630000	632000	Maxwell equation就是馬克斯威方程
632000	634000	就是我現在這邊寫的
634000	636000	是一個沒有source的馬克斯威方程
636000	638000	就是它是一個
638000	640000	就是一個propagate
640000	642000	就是往前走了一個電磁波
642000	644000	沒有任何的source
644000	646000	那這個是古典裡面
646000	648000	對光的看法
648000	650000	那在量子力學裡面呢
650000	652000	我們把光當作一個光子
652000	654000	比如說它是一團有點像是
654000	656000	就是會有一個就是一團能量包
656000	658000	然後它是
658000	660000	它的能量是discretized
660000	662000	然後大家應該都聽過
662000	664000	uncertainty principle就是
664000	666000	測不準原理
666000	668000	那測不準原理在光子裡面呢
668000	670000	其實是
670000	672000	是
672000	674000	是對應到的就是
674000	676000	能量的分布就是它能量呢
676000	678000	可能不是只有一個能量
678000	680000	它是能量是一個機率的分布
680000	682000	然後它的動力學就是
682000	684000	光怎麼在量子力學演化呢
684000	686000	就是根據
686000	688000	下面這個叫做Heisenberg equation
688000	690000	就是用
690000	692000	Ed Heide是一個
692000	694000	就是一個在
694000	696000	量子力學裡面的算幅
696000	698000	Ed Heide也是一個operator
698000	700000	Ed Heide這邊代表的是
700000	702000	能量的算幅
702000	704000	那這個東西基本上就是描述了
704000	706000	光子怎麼在
706000	708000	一個
708000	710000	空間裡面演化
710000	712000	那了解的光
712000	714000	到底是
714000	716000	了解的光在
716000	718000	古典力學跟量子力學中
718000	720000	的差別呢我們來看物質的部分
720000	722000	那物質的部分呢
722000	724000	我們也可以看到什麼叫做
724000	726000	古典的物質跟量子的物質
726000	728000	古典的物質呢
728000	730000	我們把它當作是一顆
730000	732000	粒子或是很多很多顆粒子
732000	734000	那這個很多很多粒子
734000	736000	他們就follow
736000	738000	所以大家
738000	740000	很熟悉的牛頓力學
740000	742000	大家
742000	744000	國中都學過就是古典力學
744000	746000	就是丟一顆particle
746000	748000	它有一定的速度然後這個速度會隨時間改變
750000	752000	然後在這個裡面呢
752000	754000	我們把這個
754000	756000	古典的
756000	758000	力學裡面
758000	760000	我們把它的能量當作是連續的
764000	766000	但是在量子力學裡面呢
766000	768000	我們所描述的
768000	770000	我們不再
770000	772000	使用粒子來描述這個物質
772000	774000	我們使用一個東西叫做波函數
774000	776000	就是我上面寫的叫wave function
776000	778000	那這個wave function呢
778000	780000	在uncertainty principle
780000	782000	裡面它是一個
782000	784000	在
784000	786000	空間跟momentum方向的
786000	788000	不同的分布
788000	790000	就不是一個
790000	792000	很紮實的東西在那邊
792000	794000	你就可以抓到它就是一個particle
794000	796000	它就是一個
796000	798000	你可以
798000	800000	你可以寫下
800000	802000	它的空間分布跟
804000	806000	重量分布的一個波函數
806000	808000	那這個波函數呢
808000	810000	就follow下面這個東西
810000	812000	叫做shading equation
812000	814000	就是大家很常聽見的
814000	816000	shading equation就是這樣寫下來
818000	820000	那既然我們現在知道了這些
822000	824000	物質的古典跟量子
824000	826000	還有光的古典跟量子
826000	828000	那當我們想要描述
828000	830000	近代這些光學的反應
830000	832000	跟這些光物質交互作用的時候
832000	834000	我們最理想最理想的狀態
834000	836000	就是可以使用量子的光
836000	838000	跟量子的物質
838000	840000	當我有量子的光跟量子的物質
840000	842000	在一起的時候呢
842000	844000	我們可以把整個
844000	846000	這個是一套可以完整合起來
846000	848000	裡面叫做量子電動力學
848000	850000	就是QED
850000	852000	可是呢
852000	854000	在這個QED裡面呢
854000	856000	我們可以把整個
856000	858000	把物質跟光
858000	860000	寫在同一個
860000	862000	然後他們會有一個合起來
862000	864000	他們就用一個很巨大的
864000	866000	這個東西來一起演化
866000	868000	那這個呢可以包含了
868000	870000	所有高階就是量子
870000	872000	力學裡面的所有的
872000	874000	交互作用通通包含在裡面
874000	876000	但是這是一個非常大非常大的
876000	878000	計算
878000	880000	就是基本上除了一些很基本
880000	882000	小小基本的model problem
882000	884000	很難做真正的計算
884000	886000	那
886000	888000	其中一個原因呢
888000	890000	就是我們這個total wave function
890000	892000	就是這個總的wave function呢
892000	894000	裡面包含了很多很多的
894000	896000	就是它裡面有很多的
896000	898000	變量在裡面
898000	900000	那這個東西可能就是
900000	902000	在實際的狀況中
902000	904000	比如說我拿一個真正的
904000	906000	nanoparticle或是真正的
906000	908000	真正的nanostructure
908000	910000	要來算這個東西的時候呢
910000	912000	這個東西基本上是
912000	914000	沒辦法做的
914000	916000	所以呢我們有一個比較
916000	918000	compromise一點的
918000	920000	做法就是說我們
920000	922000	發展一套叫做
922000	924000	mixed quantum classical就是混合
924000	926000	古典量子的電動力學
926000	928000	那在這裡面呢
928000	930000	我們把光當作是
930000	932000	古典的當作classical
932000	934000	然後把物質當作matter
934000	936000	然後在
936000	938000	因此呢我們可以把
938000	940000	我們不需要去evolve那個光
940000	942000	我們需要去管說物質裡面
942000	944000	物質的
944000	946000	的行為到底是什麼
946000	948000	然後把光的行為呢
948000	950000	當作一個
950000	952000	time dependent perturbation
952000	954000	把它當作一個
954000	956000	之間的
956000	958000	就把它當作一個driving force
958000	960000	就好像有一個東西在推這個物質一樣
960000	962000	放到這個
962000	964000	evolution裡面去
964000	966000	那這個是一個比較實際的做法
966000	968000	但是呢
968000	970000	它還有一些問題
970000	972000	當然我這邊有講
972000	974000	它對一些問題是ok的
974000	976000	也不是我們
976000	978000	最先提出來的方法
978000	980000	這個方法已經很多人在做了
980000	982000	只是呢它還有一些問題
982000	984000	這些問題呢包含了
984000	986000	第一個就是它沒有feedback
986000	988000	所謂的feedback就是說
988000	990000	我們把這邊的光呢當作是一個
990000	992000	bending的就是它就一直在那邊
992000	994000	drive這個system
994000	996000	system沒有把任何的能量丟出去
996000	998000	也沒有把
998000	1000000	也沒有把
1000000	1002000	feedback放回到
1002000	1004000	光裡面去
1004000	1006000	所以基本上如果你把整個大的
1006000	1008000	系統拿起來就是你把光
1008000	1010000	跟物質加在一起你會發現
1010000	1012000	這個理論它不符合
1012000	1014000	能量守恆
1014000	1016000	這是第一個問題第二個問題
1016000	1018000	就是我們沒有fluctuation
1018000	1020000	我剛剛提過了就是說在光裡面有
1020000	1022000	uncertainty principle
1022000	1024000	就是說我的
1024000	1026000	簡單來說就是說
1026000	1028000	我的我應該會有一個
1028000	1030000	標準差在
1030000	1032000	就是說我
1032000	1034000	因為我東西是一個機率分佈嘛
1034000	1036000	不是只有一個點所以我應該會有一個
1036000	1038000	分佈的寬度在
1038000	1040000	可是呢這邊因為我們用了
1040000	1042000	古典的光學在
1042000	1044000	裡面所以這邊呢是完全沒有
1044000	1046000	fluctuation就完全沒有
1046000	1048000	這個標準差在裡面
1048000	1050000	那另外呢就是
1050000	1052000	一個就是我們這個基本上
1052000	1054000	我們把它當作time dependent perturbation
1054000	1056000	它是一個linear
1056000	1058000	response就是說它的
1058000	1060000	它的物質是
1060000	1062000	基本上就是線性的
1062000	1064000	回應光
1064000	1066000	推它什麼它就線性的回應
1066000	1068000	光推得很大力它就回應得
1068000	1070000	很大力這樣子
1070000	1072000	可是呢這件事情呢
1072000	1074000	在strong coupling就是說如果光
1074000	1076000	推得非常的大力大到
1076000	1078000	可以改變一些
1078000	1080000	量子性質的時候
1080000	1082000	這個理論就無法
1082000	1084000	無法解釋了
1084000	1086000	然後最嚴重最嚴重的
1086000	1088000	就是最後一個問題就是它完全
1088000	1090000	沒有拿完全沒辦法
1090000	1092000	capture到一個很重要的物理性質
1092000	1094000	叫spontaneous emission
1094000	1096000	中文叫做自發性發射
1096000	1098000	就是待會我會解釋它是什麼
1098000	1100000	這幾個問題呢
1100000	1102000	造成了這個就是說
1102000	1104000	這個古典的方法呢
1104000	1106000	卡在那邊它沒辦法繼續往前
1106000	1108000	來解釋我們想要解釋的
1108000	1110000	這些量子性質
1110000	1112000	解釋我們想要解釋的
1112000	1114000	這些量子力學性質
1114000	1116000	所以呢
1116000	1118000	我的工作呢就是說
1118000	1120000	我們的希望呢能夠發展一個新的
1120000	1122000	就是立基在
1122000	1124000	這個
1124000	1126000	mixed quantum classical dynamics
1126000	1128000	方法呢我們發展
1128000	1130000	我們希望可以發展一個新的
1130000	1132000	新的這種方法然後可以
1132000	1134000	recover
1134000	1136000	我們可以
1136000	1138000	重建這個
1138000	1140000	spontaneous emission
1140000	1142000	然後我們可以
1142000	1144000	enforce就是我們可以
1144000	1146000	enforce
1146000	1148000	energy conservation還有我們可以
1148000	1150000	把這個
1150000	1152000	光古典光的
1152000	1154000	fluctuation
1154000	1156000	可以加上去
1156000	1158000	那我們怎麼做這件事情呢
1158000	1160000	基本上
1160000	1162000	好請問
1162000	1164000	那個
1164000	1194000	
1194000	1196000	在那邊
1196000	1198000	加上去之後很快它就
1198000	1200000	電腦就跑不動
1200000	1202000	那
1202000	1204000	我們這邊能夠做的事情
1204000	1206000	就是說我們把一部分的
1206000	1208000	degree of freedom當作是古典
1208000	1210000	然後有很多很好的古典
1210000	1212000	方法可以用就是
1212000	1214000	可以去propagate那個maxwell equation
1214000	1216000	但是
1216000	1218000	如果是比如說single molecule
1218000	1220000	是可以算的
1220000	1222000	那我們
1222000	1224000	身為一個
1224000	1226000	我現在是一個
1226000	1228000	化學家的想法我們會想要
1228000	1230000	做一個很實際的東西
1230000	1232000	I see
1232000	1234000	因為我是做高能
1234000	1236000	我不知道我只會算一個
1236000	1238000	一顆一顆對答
1238000	1240000	多兩個三個我就覺得好像都很困難
1240000	1242000	對因為就是我們
1242000	1244000	想要做的事情是譬如說真的
1244000	1246000	把譬如說一個molecule
1246000	1248000	一個電子有放到一個
1248000	1250000	cavity裡面去
1250000	1252000	I see
1252000	1254000	OK好謝謝
1254000	1256000	我問一下所以這個LR是
1256000	1258000	是跟Limblad
1258000	1260000	equation的那個operator
1260000	1262000	一樣的嗎還是它是
1262000	1264000	open system的那個東西
1264000	1266000	是哪一個嗎我只是
1266000	1268000	確定一下而已
1268000	1270000	它很像它很像就是
1270000	1272000	我沒有我待會不會把它寫出來
1272000	1274000	不過既然你問了
1274000	1276000	它就是它會很像Limblad的
1276000	1278000	可是它又沒辦法
1278000	1280000	完全寫成Limblad form
1280000	1282000	因為這裡呢它是一個nonlinear
1282000	1284000	它不是像Limblad
1284000	1286000	它是一個linear
1286000	1288000	所以它有點像是一個time dependent
1288000	1290000	然後有點skew的Limblad
1290000	1292000	好
1292000	1294000	那你趕快繼續講
1294000	1296000	好期待喔好繼續吧
1296000	1298000	很像對很像
1298000	1300000	我待會會講一下
1300000	1302000	好基本上呢
1302000	1304000	我們要做的東西
1304000	1306000	對因為剛剛有做
1306000	1308000	高能的朋友嘛
1308000	1310000	因為我們這邊就是
1310000	1312000	能量比較低的
1312000	1314000	化學系統
1314000	1316000	所以我們基本上都不考慮相對論效應
1316000	1318000	這邊都沒有考慮
1318000	1320000	好的
1320000	1322000	接下來呢
1322000	1324000	我們就要先講第一個
1324000	1326000	什麼叫做spontaneous emission
1326000	1328000	就是自發性發射
1328000	1330000	然後它自發性發射的量子理論呢
1330000	1332000	在1927年
1332000	1334000	由Dirac提出來
1334000	1336000	然後這個Dirac
1336000	1338000	其實在Dirac之前
1338000	1340000	Einstein就有解釋過這個東西
1340000	1342000	可是這邊1927年的paper呢
1342000	1344000	他用
1344000	1346000	就是從第一原理開始
1346000	1348000	推導出來
1348000	1350000	spontaneous emission
1350000	1352000	所以
1352000	1354000	這邊呢我就把它當作是
1354000	1356000	他的一個重大的貢獻
1356000	1358000	然後spontaneous emission是什麼呢
1358000	1360000	它基本上就是一個
1360000	1362000	一個transition
1362000	1364000	就是從一個激發態
1364000	1366000	掉到激態
1366000	1368000	簡單來說就是我有一個電子
1368000	1370000	它在激發態
1370000	1372000	它掉到激態去然後放出一個同樣能量的光子
1372000	1374000	就是跟這個transition能量一樣的光子
1374000	1376000	這個東西就叫spontaneous emission
1376000	1378000	這個東西最重要的事情
1378000	1380000	它就在真空中
1380000	1382000	就是我把一個
1382000	1384000	一個量子系統
1384000	1386000	就是一個激態跟激發態
1386000	1388000	放在真空中
1388000	1390000	它還是會發射這個事情
1390000	1392000	那這件事情呢
1392000	1394000	是因為它
1394000	1396000	我們在量子理論裡面呢
1396000	1398000	使用了一個東西
1398000	1400000	叫做zero point energy
1400000	1402000	基本上它就是代表
1402000	1404000	光子在真空中
1404000	1406000	的最低能量
1406000	1408000	有些理論呢
1408000	1410000	是對應到它叫做
1410000	1412000	vacuum fluctuation
1412000	1414000	雖然它是vacuum
1414000	1416000	可是它還是會跟
1416000	1418000	這個量子系統有一個交互作用
1418000	1420000	讓它發生
1420000	1422000	這個spontaneous emission
1422000	1424000	那這個spontaneous emission
1424000	1426000	為什麼這麼重要呢
1426000	1428000	因為它是一個
1428000	1430000	fundamentally它是一個量子的過程
1430000	1432000	就是說你完全用
