start	end	text
0	15000	各位聽眾還有孫博士大家好,今天很榮幸能夠幫孫博士做學經歷介紹。
15000	43000	孫博士在1999年到2003年做碩士學位,當他結束他的大學學位之後,他在2003年到2005年在同樣的台灣大學做碩士學位。
43000	54000	接下來,他到普渡大學做Ph.D.學位,從2005年到2010年,他的專業是化學生物學。
54000	68000	接下來,完成他的Ph.D.學位之後,他到MIT做PostDoc,做了四年之後,他又到UCSF做他的第二個PostDoc和Assistant Researcher。
68000	75000	今年,他開始他的新工作,主要是在Genentech做Senior Scientific Researcher。
75000	85000	今天,孫博士要為我們演講的內容是,Use Single Cell RNAseq to Tackle Complex Biology。
85000	89000	我們現在請孫博士幫我們做他的演講內容。
90000	97000	嗨,大家好,我是孫博士。
98000	104000	我現在感冒,所以聲音會比較差一點。
104000	115000	今天我會用一個比較簡單易懂的方式來講,以防萬一有些人不是生物領域的背景。
115000	125000	我會用一個比較簡單易懂的方式來講,以防萬一有些人不是生物領域的背景。
125000	135000	我會用一個比較簡單易懂的方式來講,以防萬一有些人不是生物領域的背景。
136000	148000	我今天主要還是用中文講,不過有一些專有名詞我不是非常確定它的中文是什麼,所以會有一點中文交雜。
148000	158000	我今天主要還是用中文講,不過有一些專有名詞我不是非常確定它的中文交雜。
158000	168000	我今天主要還是用中文講,不過有一些專有名詞我不是非常確定它的中文交雜。
168000	178000	我今天主要還是用中文講,不過有一些專有名詞我不是非常確定它的中文交雜。
178000	188000	我今天主要還是用中文講,不過有一些專有名詞我不是非常確定它的中文交雜。
188000	198000	我今天主要還是用中文講,不過有一些專有名詞我不是非常確定它的中文交雜。
198000	208000	我今天主要還是用中文講,不過有一些專有名詞我不是非常確定它的中文交雜。
208000	218000	我今天主要還是用中文講,不過有一些專有名詞我不是非常確定它的中文交雜。
218000	228000	我今天主要還是用中文講,不過有一些專有名詞我不是非常確定它的中文交雜。
228000	238000	我今天主要還是用中文講,不過有一些專有名詞我不是非常確定它的中文交雜。
238000	248000	我今天主要還是用中文講,不過有一些專有名詞我不是非常確定它的中文交雜。
248000	258000	我今天主要還是用中文講,不過有一些專有名詞我不是非常確定它的中文交雜。
258000	268000	我今天主要還是用中文講,不過有一些專有名詞我不是非常確定它的中文交雜。
268000	278000	我今天主要還是用中文講,不過有一些專有名詞我不是非常確定它的中文交雜。
278000	288000	我今天主要還是用中文講,不過有一些專有名詞我不是非常確定它的中文交雜。
288000	308000	在正式的定義上,基因基本上就是一個DNA片段,然後它可以轉譯成一個有用的分子,然後可以行使它需要的生理功能。
308500	326500	我們一般講基因接碼或者是基因密碼,實際上主要原因是因為DNA主要是由一連串的所謂的ATCG,四個不同的基因所構成的雙骨螺旋結構。
326500	340500	我們一般講基因接碼或者是基因密碼,實際上主要原因是因為DNA主要是由一連串的所謂的ATCG,四個不同的基因所構成的雙骨螺旋結構。
341500	367000	在分子生物學中,有一個叫做中心定理,它的原則就是我們擁有這個遺傳物質,它主要結構是DNA,然後它會轉譯成RNA,然後RNA會再次轉譯成蛋白質。
367200	392000	這個蛋白質基本上可以從事各式各樣的生物學功能。隨著時間的演進,中心定理慢慢地被延伸出更多不同的形式,甚至在病毒上或其他系統上發現更多不同的方向。
392200	411580	像今天的技術其實也會牽扯到一個發現,以往我們都認為就是DNA轉譯成RNA,可是後來科學家也發現了有另外一種酵素,它可以讓RNA轉譯成DNA。
411580	423720	因為有這個酵素的幫忙,所以很多相關延伸的技術就能夠在這樣的基礎上建立出來。
423920	446100	今天我們主要要講述的是所謂的RNA-seq,另外一種講法就是所謂的transcriptal analysis,或者是gene expression的profiling,基本上就是我們可以藉由會表達的基因來了解人的生理功能。
447100	473340	在這張圖中所顯示的是一些在分子生物學和sequencing技術上的重大時間軸和 milestone,也許很多人已經知道,就是1953年基本上DNA雙組結構第一次被知道,然後到了1977年,Sanger's DNA sequencing被發展出來,然後之後PCR這個技術也被發展出來。
473380	487980	PCR的技術基本上就是我們可以在實驗室裡面快速地去增殖我們的DNA,所以讓很多相關的技術也能夠在這上面被建立出來。
488300	512880	1990年開始了所謂的human genome project,然後經過了大概13年的時間,human genome project能夠得以成立,主要在這個階段的時候,因為sequencing cost依然非常高昂,所以在一般的lab裡面其實比較難去操作一些所謂的sequencing project。
512880	542340	但是直到了差不多2005年這個時候,出現了所謂的next-generation sequencing,也就是一個比較次世代的另外一種sequencing的技術,這個技術造成了sequencing的cost降低了非常多,所以讓更多更多跟sequencing相關的genomic project能夠更順利地在各個實驗室裡面進行。
543240	556460	直到現在,這個next-generation sequencing的技術還是被大量的應用,到最近這幾年甚至出現了第三代的所謂third-generation sequencing,which is based on the nanopore技術。
557460	583080	至於這個single-celled RNA-C是什麼時候被發展出來的呢?它的第一個正式的report,它的single-celled這項技術是大約在2009年這個時候,所以從這邊你可以看見,就是因為各項技術的逐漸成熟,尤其是sequencing cost的快速降低,使這個single-celled RNA-C能夠得以被更大量的操作。
583240	592300	然後到現在,很多衍生的protocol或者是technology,甚至很多的company都繼續在這一塊領域上面快速的發展。
594820	600860	現在進入到所謂的single-celled RNA-C,第一個問題當然是說,為什麼我們需要做single-celled RNA-C?
601820	629180	在single-celled RNA-C之前,其實大家已經可以快速的去看所謂的gene profiling,一般用的基本上就是一個很簡單的例子,假設我們要知道說,一個cancer,一個tumor細胞,它跟正常的細胞有什麼不一樣,那可能我們的做法就是,我們有一個健康的sample跟一個disease的sample,
629200	657140	然後我可能把它的RNA抽取出來之後,然後去做sequencing,然後做完sequencing之後,我可能就比較說,這兩個組織,他們的基因表現有哪些地方一樣或不一樣,然後我可能可以找出某一些所謂的致病基因,或者是說,也許在哪一條signal-only pathway被further activate或inhibit,然後而可能造成這個疾病的產生。
657140	657980	可是在這樣的基礎下,會有一個問題,就是說,例如說,以一個tumor來講的話,一個tumor組織裡面,它可能包含了各式各樣不同的細胞,可能有immune cells,可能有所謂的tumor cell,可能有fibroblast,一些亂七八糟的細胞在裡面,那你如果就是直接把這個tumor整個磨碎之後,然後去取它的RNA出來定序,那你其實得到的是一個,一個從各式各樣細胞所給你的一個tumor組織裡面,那你如果就是直接把這個tumor整個磨碎之後,然後去取它的RNA出來定序,那你其實得到的是一個,一個從各式各樣細胞所給你的一個tumor組織裡面,那你如果就是直接把這個tumor整個磨碎
687140	688140	那雖然說從這樣子的一個heat map來看,有時候你仍然是可以看見,就是averagely有一些基因被inhibit或者是activate在disease的sample裡面,但是有時候你很難去確定說,哦,到底這樣子的,這樣子的結果是因為either是免疫細胞所造成的,或者是也許是fibroblast所造成的,又或者是可能一些你所不知道的基質細胞所造成的,所以呢,也許是fibroblast所造成的,又或者是可能一些你所不知道的基質細胞所造成的,所以呢,也許是fibroblast所造成的,又或者是可能一些你所不知道的基質細胞所造成的,所以呢,也許是fibroblast所造成的,又或者是可能一些你所不知道的基質細胞所造成
717900	728140	所以這個時候呢,如果我們有辦法做所謂的transcriptome的profiling at the single cell resolution,那它就能夠大大的提高,就是我們對
729940	737100	假設一個tumor組織裡面,每一個細胞它是如何去造成這個疾病,能夠有一個更深入的了解。
737100	738100	那這邊呢,我用幾張就是在網路上面看到人家share一些很有趣的圖,就是可以很簡單的讓你有個概念就是說,為什麼有時候所謂的block analysis呢,它可能會造成一些誤判。例如說,像以這張圖來講,這裡的每一個點點有所謂的x value跟y value,然後呢,你可能可以去做各種的calculation,你可以去算,哦,可能這個x的平均值是這樣,y的平均值是這樣子,然後呢,你可能可以去做各種的calculation,你可以去算,哦,可能這個x的平均值是這樣,y的平均值是這樣子,然後呢,你可能可以去做各種的calculation,你可以去算,哦,可能這個x的平均值是這樣,y的平均值是這樣子,然後呢,你可能可以去做各種的cal
767100	776200	x的standard deviation,y的standard deviation,那它的correlation是這樣子。可是就算你把這些value都算出來了,那x跟y的關係呢?
776200	786040	所以說,如果你只是去做一個block analysis的話,你可能會將它背後的所謂structure,你沒有辦法真實的去表達出來。
786440	814380	然後呢,另外一個很有趣的圖是說,有的時候呢,如果你去做一個block analysis,你得到一個conclusion,它可能呢,會誤導你去一個錯誤的方向。例如說,假設呢,這個是你的sample,所以你的sample就是contain了很多各式各樣的動物,然後呢,你去做一個block analysis,去看說,啊,這個生物可能是長什麼樣,然後最後呢,你可能得到的一個結論,哦,這個是這個生物該長的樣子。
814380	844240	那你就會發現,其實它與所謂的真實狀態是差了非常多的。那所謂的single cell的analysis呢,基本上它不同的做法就是說,在這項技術之下,你有辦法呢,每一隻動物你都單獨的去做分析,然後去找到很多不同的feature,然後based on那些你所找到的feature,然後你就開始去做所謂的clustery。例如說,以這張圖來顯示說,ok,你已經找到了兩個feature,一個是firm,一個是venom。
844380	874360	然後呢,即使你這樣子加入,只是加入兩個feature,你已經可以把這一些一大堆的動物clustered into at least two subsets,one big subset will be the snakes, which has the venom, but doesn't have firm,然後另外一個big subset呢,可能就是所謂的它雖然沒有venom,但是還有firm的,然後呢,當你能夠add in more and more features,那最後hopefully,finally, you will be able to like,
875020	884220	one individual item will be clustered into one group,所以這就是the whole idea about why you need to do a profiling at a single cell level。
886100	904360	然後一般在這個single cell領域的人,他們最喜歡用的一個比喻呢,就是,呃,就是所謂的fruit smoothie跟所謂的fruit salad,然後當你做一個bargain asset的時候呢,就很像是,呃,很像是所謂的fruit smoothie,
904360	928400	基本上你就是把各式各樣的水果蔬菜全部打在一起,那你喝起來的那個味道呢,基本上呢,它是一個所謂的average taste of all ingredient,那所以你可能沒有辦法去知道說這個裡面到底有哪一些成分,然後可能你所taste到的那個成分呢,可能只是裡面某一些例如特別strong的ingredient,maybe是apple,maybe是strawberry,
