start	end	text
0	7000	整理&字幕志願者 李仲昌 鴻尚銘 熊少銘 洪勇 洪棠 洪勇
8400	17760	我是今天的主持人,我是洪尚銘,我現在在加州理工做博士後研究員。事不宜遲,我們就來介紹一下今天的講者,是魏群樹博士。
17760	31280	魏群樹博士在交大電子學士班畢業之後留在交大念交大的電控所,畢業之後到UCSD念生物工程博士班。他的指導教授是鍾子平老師。
31640	40240	他有興趣的主要主題或方向是用工程的角度來利用腦機介面研究人類的心智活動。
40240	55760	過去這幾年,他有非常多的發表,包括有接近十篇的會議報告和兩篇的報告。這些都是第一作者的論文。事不宜遲,我們就來聽一下他今天的演講。
56280	63440	Title是Towards Real-World Alertness Estimation Using Brain Computing Basics,我們歡迎他。
64440	84120	魏群樹博士 今天我會介紹說我們怎樣去量測大腦的活動,然後利用腦機介面的方式去監控我們的alertness,我們包括叫清醒程度。
85120	97120	如果演講進行中有任何問題,歡迎隨時打斷,我們可以很輕鬆的做一些討論,隨時打斷沒有關係。
97120	102120	首先,我會先簡單的從大腦開始介紹。
102120	109120	我們的大腦是一個大概三磅,大概一千多克的器官。
109120	118120	我們的大腦的結構上,它的皮質,就是最外圍的部分,會有很多的皺褶。
118120	130120	這些皺褶,我們大腦裡面是有非常多的神經元所組成,大概是八百六十億個神經元。
131120	144120	我們知道大腦有很強很強的運算能力,但是它跟我們現在最強的電腦比起來,它的效能是非常的好。
144120	156120	它在能量的消耗上,它是十萬倍的,就跟一般的CPU比起來,它是十萬倍的能量的運用效率。
156120	167120	所以整個大腦只要十二到二十五瓦就可以運作,這個瓦數相當於電燈泡的瓦數。
167120	178120	所以你可以想像說,有些漫畫裡面,當那個人物在想到什麼點子的時候,他會畫一個燈泡亮起來。
178120	185120	其實就還蠻貼切的,因為我們大腦消耗的功率就是一個燈泡的功率。
186120	196120	這邊再介紹一下,我們的神經元,它的結構就是包含細胞本體,然後會有很多的樹圖。
196120	202120	樹圖的部分是收集周邊其他神經元給這個神經元的訊息。
202120	207120	這個訊息整理到這個神經元之後,它會決定自己要不要放電。
207120	213120	放電的話就會透過軸圖,就啪啪啪啪啪,然後放給其他的神經元。
213120	219120	那這樣子複雜的網路就可以用來控制我們整個人。
219120	228120	那這邊介紹一下我比較常用的一種大腦的訊號,叫做腦電波,就是EEG。
228120	237120	那EEG其實很多人都有接觸過,尤其是像我們醫院,如果你新生兒出生的時候,
237120	244120	我們常常會給他做一個大腦的測試,去看他的視覺或聽覺是不是正常。
244120	251120	那EEG是怎麼產生的呢?就是在我們的大腦裡面,大腦裡面有很多神經元,
251120	259120	那尤其是皮質這邊,很多神經元他們的排列,結構上會有一些規則的排列。
259120	263120	那規則的排列就讓這些神經元在做放電活動的時候,
263120	268120	他們周遭引發的離子流可以有一個加乘的作用,
268120	277120	變成說他這個電場的變化可以大到讓你放在頭皮外面的一個導電的電極,
277120	279120	可以感受到這個電場的變化。
279120	285120	那這個電場的變化再經過一些處理,就變成我們的腦波訊號。
285120	289120	那如果有問題,歡迎隨時打斷我。
290120	295120	好,那我們的腦波訊號呢,他就是,對。
295120	302120	就是那個我不是有問題,是你下面有一行那個bluejeansmeetingsharingyourscreenwithbluejeans.com,
302120	305120	你要按一下那個hide。
305120	306120	哦,好。
306120	308120	要不然就稍微擋住,對,不好意思。
308120	309120	好,你可以繼續。
309120	311120	好,謝謝,謝謝,謝謝。
311120	318120	OK,好,那我們現在就繼續看這個是大腦他的訊號,
318120	320120	他的腦波他的訊號的樣子,
320120	325120	他就是一個時頻時與的訊號,
