start	end	text
0	2000	整理&字幕 沛隊字幕小組
30000	59000	整理&字幕 沛隊字幕小組
60000	62000	整理&字幕 沛隊字幕小組
62000	72000	整理&字幕 沛隊字幕小組
90000	105000	整理&字幕 沛隊字幕小組
120000	130000	整理&字幕 沛隊字幕小組
130000	150000	整理&字幕 沛隊字幕小組
160000	170000	整理&字幕 沛隊字幕小組
190000	215000	整理&字幕 沛隊字幕小組
215000	243000	整理&字幕 沛隊字幕小組
243000	263000	整理&字幕 沛隊字幕小組
273000	293000	整理&字幕 沛隊字幕小組
293000	303000	整理&字幕 沛隊字幕小組
323000	343000	整理&字幕 沛隊字幕小組
353000	368000	整理&字幕 沛隊字幕小組
368000	388000	整理&字幕 沛隊字幕小組
388000	408000	整理&字幕 沛隊字幕小組
418000	438000	整理&字幕 沛隊字幕小組
438000	458000	整理&字幕 沛隊字幕小組
458000	478000	整理&字幕 沛隊字幕小組
478000	498000	整理&字幕 沛隊字幕小組
498000	518000	整理&字幕 沛隊字幕小組
518000	538000	整理&字幕 沛隊字幕小組
538000	558000	整理&字幕 沛隊字幕小組
558000	578000	整理&字幕 沛隊字幕小組
578000	598000	整理&字幕 沛隊字幕小組
598000	618000	整理&字幕 沛隊字幕小組
618000	638000	整理&字幕 沛隊字幕小組
638000	658000	整理&字幕 沛隊字幕小組
658000	678000	整理&字幕 沛隊字幕小組
678000	698000	整理&字幕 沛隊字幕小組
698000	718000	整理&字幕 沛隊字幕小組
728000	748000	整理&字幕 沛隊字幕小組
748000	768000	整理&字幕 沛隊字幕小組
768000	788000	整理&字幕 沛隊字幕小組
788000	808000	整理&字幕 沛隊字幕小組
808000	828000	整理&字幕 沛隊字幕小組
828000	848000	整理&字幕 沛隊字幕小組
848000	868000	整理&字幕 沛隊字幕小組
868000	888000	整理&字幕 沛隊字幕小組
888000	908000	整理&字幕 沛隊字幕小組
908000	928000	整理&字幕 沛隊字幕小組
928000	948000	整理&字幕 沛隊字幕小組
948000	968000	整理&字幕 沛隊字幕小組
968000	988000	整理&字幕 沛隊字幕小組
988000	1008000	整理&字幕 沛隊字幕小組
1008000	1028000	整理&字幕 沛隊字幕小組
1028000	1048000	整理&字幕 沛隊字幕小組
1048000	1068000	整理&字幕 沛隊字幕小組
1068000	1093000	整理&字幕 沛隊字幕小組
1093000	1113000	整理&字幕 沛隊字幕小組
1123000	1143000	整理&字幕 沛隊字幕小組
1143000	1163000	整理&字幕 沛隊字幕小組
1163000	1183000	整理&字幕 沛隊字幕小組
1183000	1203000	整理&字幕 沛隊字幕小組
1203000	1223000	整理&字幕 沛隊字幕小組
1223000	1243000	整理&字幕 沛隊字幕小組
1243000	1263000	整理&字幕 沛隊字幕小組
1263000	1283000	整理&字幕 沛隊字幕小組
1283000	1303000	整理&字幕 沛隊字幕小組
1303000	1323000	整理&字幕 沛隊字幕小組
1323000	1343000	整理&字幕 沛隊字幕小組
1343000	1363000	整理&字幕 沛隊字幕小組
1363000	1383000	整理&字幕 沛隊字幕小組
1383000	1403000	整理&字幕 沛隊字幕小組
1403000	1423000	整理&字幕 沛隊字幕小組
1433000	1453000	整理&字幕 沛隊字幕小組
1453000	1473000	整理&字幕 沛隊字幕小組
1473000	1493000	整理&字幕 沛隊字幕小組
1493000	1513000	整理&字幕 沛隊字幕小組
1523000	1543000	整理&字幕 沛隊字幕小組
1543000	1563000	整理&字幕 沛隊字幕小組
1563000	1583000	整理&字幕 沛隊字幕小組
1583000	1603000	整理&字幕 沛隊字幕小組
1603000	1623000	整理&字幕 沛隊字幕小組
1623000	1643000	整理&字幕 沛隊字幕小組
1643000	1663000	整理&字幕 沛隊字幕小組
1663000	1683000	整理&字幕 沛隊字幕小組
1683000	1703000	整理&字幕 沛隊字幕小組
1703000	1723000	整理&字幕 沛隊字幕小組
1723000	1743000	整理&字幕 沛隊字幕小組
1743000	1763000	整理&字幕 沛隊字幕小組
1763000	1783000	整理&字幕 沛隊字幕小組
1783000	1803000	整理&字幕 沛隊字幕小組
