start	end	text
0	9200	OK,首先很高興大家來到我們今天8月4號的Chira Talk
9200	17600	那我們今天很榮幸可以請到Jason 洪,洪世安同學來演講他的最新的research
17600	23600	那我們今天的topic是coherent exotonic effect in 2D materials
23600	27600	那在talk開始之前,我先簡單介紹一下我們Jason
27600	35800	Jason之前大學是台大物理畢業,然後在UC Berkeley跟Lawrence Berkeley National Lab做念PhD
35800	38800	那他現在在Michigan做postdoc
38800	44600	那他目前專業的領域是在用超快光學在固態物的應用
44600	49600	然後主要研究的題目有graphene的optical sensor
49600	60600	然後還有研究一些二維半導體的exotonic,還有半導體cavity exotonic polariton的研究
60600	65600	那今天的演講他主要會介紹一些超快光學的基本原理和應用
65600	70600	然後特別是利用超快光學還有light matter的interaction
70600	77600	來了解一下Solid state physics裡面的electron的動態反應的研究
77600	86600	那他也會討論一下超快光學裡面跟一些by exotonic的related research
86600	91600	那如果沒有問題的話,我們請歡迎Jason開始他今天的talk
91600	99600	大家好,很高興被邀請到這個Tyra Talk來演講
99600	104600	然後今天的講題就是coherent exotonic effect in 2D materials
104600	116600	基本上就是研究在2D material裡面的exotonic的快速的behavior
123600	126600	然後這個是今天的outline
126600	133600	一開始我會稍微講一下什麼是超快光學
133600	136600	然後會稍微講一下超快光學的歷史
136600	140600	還有一個非常重要的技術叫做pump probe measurement
140600	143600	中文翻譯叫激發偵測技術
143600	150600	然後另外一方面我要稍微簡介一下這個二維半導體
150600	158600	就是只有幾成原子後的這些半導體的這些exotons
158600	163600	這些exotons有什麼特別的情況在這個二維半導體裡面
163600	167600	然後最後我會稍微講一下我最近的研究
167600	175600	就是我們在二維半導體裡面發現不但有exotons還有by exotons的effect
176600	180600	所以我就先從這個超快光學開始講起
180600	188600	所謂的超快光學其實就是用光來研究時間尺度極短的超快現象
188600	193600	那一般來講這個超快現象的定義大概就是
193600	198600	時間在fantosecond到picosecond之間的這些現象
198600	200600	我們叫它超快現象
200600	202600	不過這個沒有明確的定義
202600	205600	然後fantosecond就是10的負15次方秒
205600	208600	然後picosecond是10的負20次方秒
208600	213600	不過這些時間尺度我們等會會稍微介紹一下
213600	220600	那主要我們要用光來研究這些超快現象的原因是因為
220600	224600	有許多超快現象是無法使用其他方法來觀察的
224600	227600	例如說一般的電學方法
227600	231600	因為大家知道這個電學就是
231600	234600	基本上你就是要通電
234600	241600	那通電這個時間尺度其實是在nanosecond左右的
241600	243600	像你一般的這些電腦
243600	247600	電腦裡面的這些transistor
247600	252600	它們的switch speed都大概是GHz
252600	255600	那GHz就大概是一個nanosecond左右的等級
255600	258600	所以就是
258600	262600	這意思就是說你就算把電學做得再好
262600	264600	它的那個時間尺度
264600	268600	你可以觀測的時間尺度就大概是nanosecond左右而已
268600	271600	就是已經沒辦法再更好了
