start	end	text
0	2000	整理&字幕 沛隊字幕小組
30000	40000	整理&字幕 沛隊字幕小組
60000	70000	整理&字幕 沛隊字幕小組
90000	100000	整理&字幕 沛隊字幕小組
120000	140000	整理&字幕 沛隊字幕小組
140000	150000	整理&字幕 沛隊字幕小組
170000	190000	整理&字幕 沛隊字幕小組
190000	210000	整理&字幕 沛隊字幕小組
210000	230000	整理&字幕 沛隊字幕小組
230000	250000	整理&字幕 沛隊字幕小組
250000	270000	整理&字幕 沛隊字幕小組
270000	290000	整理&字幕 沛隊字幕小組
300000	320000	整理&字幕 沛隊字幕小組
320000	340000	整理&字幕 沛隊字幕小組
340000	360000	整理&字幕 沛隊字幕小組
360000	380000	整理&字幕 沛隊字幕小組
380000	400000	整理&字幕 沛隊字幕小組
400000	420000	整理&字幕 沛隊字幕小組
420000	440000	整理&字幕 沛隊字幕小組
440000	460000	整理&字幕 沛隊字幕小組
460000	480000	整理&字幕 沛隊字幕小組
480000	500000	整理&字幕 沛隊字幕小組
500000	520000	整理&字幕 沛隊字幕小組
520000	540000	整理&字幕 沛隊字幕小組
540000	560000	整理&字幕 沛隊字幕小組
560000	580000	整理&字幕 沛隊字幕小組
580000	600000	整理&字幕 沛隊字幕小組
600000	620000	整理&字幕 沛隊字幕小組
620000	640000	整理&字幕 沛隊字幕小組
640000	660000	整理&字幕 沛隊字幕小組
660000	680000	整理&字幕 沛隊字幕小組
680000	700000	整理&字幕 沛隊字幕小組
700000	720000	整理&字幕 沛隊字幕小組
720000	740000	整理&字幕 沛隊字幕小組
740000	760000	整理&字幕 沛隊字幕小組
760000	780000	整理&字幕 沛隊字幕小組
780000	800000	整理&字幕 沛隊字幕小組
800000	820000	整理&字幕 沛隊字幕小組
820000	840000	整理&字幕 沛隊字幕小組
840000	860000	整理&字幕 沛隊字幕小組
860000	880000	整理&字幕 沛隊字幕小組
880000	900000	整理&字幕 沛隊字幕小組
900000	920000	整理&字幕 沛隊字幕小組
920000	940000	整理&字幕 沛隊字幕小組
940000	960000	整理&字幕 沛隊字幕小組
960000	980000	整理&字幕 沛隊字幕小組
980000	1000000	整理&字幕 沛隊字幕小組
1000000	1020000	整理&字幕 沛隊字幕小組
1020000	1040000	整理&字幕 沛隊字幕小組
1040000	1060000	整理&字幕 沛隊字幕小組
