start	end	text
0	17240	歡迎大家來到今天的Terra Talk,今天是我們整個Terra暑假加上去的,因為我們本來在今年開始的時候沒有安排暑假,因為加入的人數很多,所以我們在暑假的時候安排了一個新的session。
17240	32860	今天是第一個暑假program的講者,陳興浩,他畢業於台大大汽系,目前是師大大汽所的博士班學生,即將畢業。
32860	55620	陳興浩的興趣主要是研究在不熱帶地區,也就是臺灣附近的各種縱觀到忠實度天氣現象的診斷、分析和模擬。
55620	76100	有特別的事,就是在臺灣大家都非常熟知的災害性天氣,像是颱風或是午後熱對流。在方法方面,主要是用數值和天氣預報,可以提供模擬來給定量降水預報與評估。
77060	95000	除了研究的部分,陳興浩是我超過十年的非常好的朋友,我們當時是台大單車社的同學。他在社上的時候就有一個很有名的功能,就是人體天氣預報機,對單車社是非常重要的。
95000	117600	我們今天就來聽聽,他怎麼從人體預報機變成一個大氣科學家,用數值模擬的方法。他今天要跟我們講的題目是《Medium-Range Cloud-Resolving Typhoon Rainfall Ensemble Forecast for Taiwan through Time-Lagging Approach》,這題目很長,所以希望陳興浩可以跟我們講一下他的中文直譯是什麼。
125000	154980	大家好,我是今天的講者陳興浩,大家可以叫我貴哥。我在報簡報的時候,主要的設定都是相關領域研究生,所以如果大家中間有什麼地方聽不懂的時候,就打斷來問一下,因為今天就跟以前的研討會報告不一樣,我會對名字稍微解釋一下。
155000	183540	今天我要講的題目就是《Medium-Range Cloud-Resolving Typhoon Rainfall Ensemble Forecast for Taiwan through Time-Lagging Approach》,這個是我從博士班進來之後,他想出的一個對臺灣來說就是有颱風的防災型預報策略。
185000	189660	好,不管,我先從第一章開始解釋。
189660	219040	颱風跟梅雨這種極端降水事件,每年都會有大量的可觀生命災難損失。颱風是造成臺灣降水的主因,這是2016年梅雨及颱風,由26號到29號,這是6小時的降水。
219460	232040	他們所帶來的風退雨量,可以說不是臺灣出的風,反而是介紹颱風是臺灣很重要的降水。
232640	253820	另外,臺灣跟其他地方不太一樣,就是臺灣遍佈高山,在颱風經過的時候會引風波,造成可觀的降水。臺灣又因為地狹人稠,山區也住了不少人,右圖是臺灣的地形,上圍的黑點是臺灣現在雨量側占的位置。
254320	281920	因為遍佈高山加山區住人,這兩個臺灣的特色造成對颱風的預報,降水強度的極大值,會較其他地方,比如說美國或中國大陸之類的,這些大的國家會比較高。
282920	290100	一件事情是,過去認為數字天氣的預報期限大概是三天。
291100	307340	一般認為區域模式對數字天氣預報超過72小時,後面的結果,參考價值就偏低。
307900	323020	王等在雲解析模式進行了八天的降水預報,評估了2012年的五顆青海颱風、2013年的八月颱風,總共六顆颱風。
323020	341400	我們發現,降水預報跟上面的過去認為不一樣。我們發現,降水預報可能在八天或四天、六天、三天、五天這些時間做出有參考價值的降水預報。
342200	362900	而且在這篇論文裡面有得到一個結論,如果我們的路徑差別很大,但是降水前進仍具有實用性,這篇論文就是把過去的認為打開來做一半吧。
363900	379900	先簡單介紹一下我們現在現行的細節預報方式,我這個圖簡單來說就是點軸,藍色的點點是初始時間,一格是三太子天。
380900	393900	可能十幾年前預報的方式可能在初始時間的時候進行度之前去預報,然後預報72小時,單一的預報。
393900	416900	現行的細節預報方式,它有不同的物理參數化、不同的儲存量、不同的地表參數、做出大概二、三十個條件,預報三天。
416900	422900	對這個目標的降水時間,就會有大概二十幾個細節成員。
423900	434900	右下角的這張圖就是針對2013年康瑞颱風的細節預報結果。
435900	445900	就可以看到藍色的就是細節成員,預報出來的條件都不一樣。
446900	449900	它中間就會有一個細節,黑色線就是細節。
451900	456900	現行的細節預報可以做到的結果大概是這樣。
457900	461900	那我簡單講一下什麼是XCC。
462900	470900	因為前面有提到說,他們把所有的計算資源分散成二十幾份。
471900	481900	但是XCC的概念就是說,我把二十幾份的預報資源集中在同一個,然後我把速度提高,我把預報範圍提高。
482900	490900	我只跑單一模式,而且我有跑八天的預報。
491900	498900	然後每六個小時,因為初市場大概每六個小時會增加。
499900	507900	這樣子我針對目標時間,會有二十幾個成員。
508900	513900	那就是XCC,然後跟現行的預報不一樣的概念。
519900	526900	因為是區域模式嘛,它的最高級是五成,然後還有二十幾個成員。
527900	530900	那它的預報範圍大概是這個範圍。
530900	537900	然後雲解析XCC預報,它的預報範圍大概是紅色的框。
538900	552900	然後他們兩個的網格間距,它的解析度比較高,它的預報範圍比較大,它的預報的長度比較長。
554900	556900	忘記秀我的小箭頭了。
557900	564900	那Ensembl的member的成員呢,在這段時間以後也會差不多。
564900	571900	而且他們使用的計算資源,大概使用一千五百個Core分析器。
572900	575900	大概都是一千五百個Core分析器。
576900	586900	那意思說,它可以做到的就是,我把解析度提高,預報範圍提高,報紙也拉長。
587900	592900	然後一樣有差不多的成員,然後用到一樣的頻率。
593900	604900	那模式上我們用的是日本民國大學開發的雲解析通報模式,簡稱是CRESS。
605900	608900	然後它是一個回敬另外一個可加速的方式。
609900	614900	那它重點是沒有任何的程式在進化。
615900	618900	然後雲為物理的話就是用整個過程。
619900	629900	然後右邊是它的六個選項的轉換方式,然後裡面各種方式。
631900	633900	哈囉,貴哥,你聽得到我講話嗎?
633900	639900	好,那我第一個解釋的例子就是三維統統在2013年。
640900	646900	那左下這張圖是中央氣象局的最後的路徑。
647900	654900	然後紅色的框框是雲解析差距信息報的它的預報範圍。
655900	664900	然後右上這張圖是8月29號東東地到30號東東地的觀測降水,就是觀測。
665900	676900	然後右下這張圖則是一天以前的報,就針對這個時間,觀測時間的報。
677900	681900	然後這個的colorbar是降水,這個colorbar是降水。
681900	696900	你可以看到說這個颱風在經濟條件強迫之後它生成,然後人的路徑很像一天前它可以做出這樣的結果。
697900	707900	然後它的強度是弱的,但是它伴隨著比較強烈的西南氣流。
709900	718900	好,那簡單來說這張圖就是8月22號當天開始的預報。
718900	725900	然後針對目標時間,就是29號到30號的觀測預報。
725900	730900	可以看出說我8月22號開始就可以給各位看出來。
731900	747900	好,22號動6的時候呢,它其實就可以告訴你防災單位說,其實還有可能在南部的平均有310億克以上的降水。
748900	754900	後來想想大家可能不知道310億克,310億克在平均大概就是一天大水。
759900	766900	然後因為時間不一樣,然後颱風報出來的路徑也不一樣。
766900	775900	那所以結果就是簡單來說會有好有壞,那有的結果就會比較好。
775900	785900	那有的結果就是時間不一樣,然後颱風不是走的就是觀測的路徑。
785900	792900	那所以它報出來的降水時間也會跟觀測不一樣。
793900	800900	那7月24號以後它路徑報出來就停電了。
802900	805900	那甚至還會有暴力降水。
805900	818900	但是這方法重點是在於說,它在很多很多天以前,它就會提供防災單位降水情形,然後提供預警。
819900	836900	然後呢,要到了26號的18Z才會,5公里解析度,24個成員它才會提供說,就是他們的汐止頻率,24個成員的汐止頻率。
837900	842900	我跑了24個預報之後,把他們降水加起來都停了。
842900	853900	然後他們降水,另外就是報出來的降水情境雖然一樣,但是情形就發生了。
854900	857900	然後,對。
861900	866900	加個HELLO,HELLO。
868900	873900	那當然到了最後幾天,降水就越來越近。
873900	890900	那這是解析它汐止預報。針對康瑞颱風,29號30號,然後右下角這個是22號的黑色,23號的綠色,然後不同時間。
890900	892900	對,HELLO,你有聽到嗎?
893900	904900	颱風預警,然後黑色這個是聯合在國務院完成的業總局他們做出來的最佳預警式設計。
905900	916900	然後上面這些就是22號,22號東部,22號遼寮,他們對這件事預報的降水情景。
916900	926900	好,那大家可能說,好,那你給我那麼多情況,那我要怎麼使用降水結果?
927900	937900	好,那從降水初期開始,我們可以看出來,這個指的就是關側這條,就是關側,然後最大指的是關側。
938900	949900	那颱風報出來呢,也是有偏最左邊的,會有偏最右邊的,然後也有偏一點的。
949900	962900	那當然也有通過台灣的,那就是疫情期間沒有登陸台灣嘛,然後也會有跟關側提供偏右邊的。
962900	984900	那就是在五天,五天以前他會提供這樣的降水情景,就是說如果這個颱風是偏最左邊的話,他會對台灣,可能屏東、鵝鑾鼻在這樣子的降水情形發生。
985900	998900	那如果是偏最右邊呢,那降水可能發生在東北海岸。那如果不幸的登陸台灣,那中部山區,危險就會在中部山區。
998900	1016900	那如果呢,走的是,他會有不同的路徑,然後就提供不同的降水情形。那最危險的當然是22號礁壩跟22號洞口,因為他們這兩個降水情形是為自在的。
1016900	1038900	那隨著時間推進呢,那降水,因為不確定,颱風叫什麼蝴蝶效應嘛,就是過得越久,那誤差就會被放大。那時間越接近他的誤差就越來越小,所以這個颱風的預報路徑收斂。
1038900	1062900	然後降水情形也收斂。那就可以發現說,他路徑觀測在收斂,然後就開始趨勢會趨近於說,大概是降水情形會長這個樣子。
1063900	1086900	然後,左邊呢,是5公里解析度的24個成員的預報結果。那右邊是解析差距性的預報模式。然後他在26號礁壩的時候,針對這個時間,他會有那麼多的降水情形。
1087900	1091900	那5公里解析度呢,他也是會提供那麼多的降水情形。
1092900	1099900	最後24個成員的預報,然後就是他們的降水路徑。
1104900	1109900	解析差距性預報,可以提供颱風預報。
1109900	1138900	其實可以看出來,有一點就是說,他們這個5公里解析度的24個成員,他們有幾個成員他們的降水是,他們的路徑,因為他們的初始時間是一樣的。
1138900	1141900	那差池汐集預報的初始時間是不一樣的。
1141900	1148900	那所以,他們這個時間開始跑了,所以他們的不確定性就比較小。
1148900	1156900	那他的差池汐集預報則是不確定性有小,然後會有大。
1157900	1163900	那所以他提供的結果呢,意義上是不一樣的。
