start	end	text
0	13940	大家好,歡迎大家來到這個禮拜的Terra Talk。我是今天的主持人張雁永,我目前在加州理工學院從事高能物理實驗的研究。
13940	19520	在正式開始之前,我們首先介紹一下Project Terra是一個什麼樣的組織。
19520	39020	就像我們在網頁上寫的,我們的宗旨是建立即時跨國學術資訊共享平臺,串聯世界各地的臺灣學術人才,交流海外及臺灣學術圈各領域發展成果及趨勢,並且提供彼此保持有效聯繫的平臺。
39520	48880	簡單地說,我們希望能成立一個平臺,協助世界各地從事研究工作的臺灣人能夠快速及時地互相交流。
48880	57900	我們每週會舉辦像今天這樣的網路視訊演講,講者基本上都是我們的會員,聽眾就是向各位可以在網路上報名。
58240	68220	演講主題以講者的研究成果回顧他的專門領域當前的發展,分享新的點子、計劃或是合作機會為主。
69220	78280	Project Terra目前是一個完全自發、完全義工性質的組織,我們的工作人員基本上都是以博士生和博士後為主。
78480	91280	大家可以在我們的網站上的About那頁看到,我現在把網站的連結po在旁邊的聊天室,大家可以去點一下。
91840	104500	我補充一下,我們最近新加入了蠻多工作人員,可能還沒有update到網頁上。
104500	120680	像我們這樣的一個計劃,最重要的目的就是我們希望能完全地開放、分享和合作,越多的朋友願意加入我們,彼此互相分享、彼此幫助,就能讓我們大家都想要的目標前進。
120840	126920	也希望對臺灣的學術圈、對大家的研究生涯或是以後要轉職就業都有幫助。
128180	150560	我現在在旁邊聊天室貼一個加入會員的網頁,如果大家覺得對我們的理念支持,或是滿腔熱忱想要跟大家分享您非常熱情的研究,不妨考慮加入我們的會員,以後就會持續收到我們的演講和活動資訊。
150800	154740	當然也可以上我們臉書的粉絲專頁,持續關注我們的動態。
154740	166980	我們還要再強調一次,我們完全沒有盈利,如果大家願意和其他臺灣人分享,對我們來說就是最大的回饋,也是對其他同在學術圈工作的朋友最大的幫助。
167420	177940	好,這個是Tara的介紹。接下來我要介紹我們的講者,我們今天很榮幸能請到鄭雲霆。
177940	185960	鄭雲霆目前在加州理工學院念物理系,他目前是博士候選人。
186040	198240	雲霆在2014年從台大物理系畢業,然後就加入了Caltech的研究所,目前在攻讀他的博士學位,他的專長領域是觀測宇宙學。
199080	207060	他今天會跟我們介紹一個他正在做數據分析的計劃,是一個火箭計劃。
208060	218200	好,那還有一件小事情要提醒大家,就是為了要讓講者感受到我們的熱情,鼓掌的時候要把麥克風打開,這樣他才聽得到聲音。
218200	222420	那我們現在就鼓掌,歡迎雲霆給我們帶來這個演講。
222420	236440	- 好,謝謝大家,我是鄭雲霆,我在Caltech念PhD,然後感謝我的office mate張燕勇剛剛的介紹,所以我今天要講的主題就是Measuring Extragalactic Background Light at Optical and Near-Infrared。
236440	248440	所以,然後這個是我正在做的一個project,然後我今天要講的主題就是Measuring Extragalactic Background Light at Optical and Near-Infrared,然後感謝我的office mate張燕勇剛剛的介紹,所以我今天要講的主題就是Measuring Extragalactic Background Light at Optical and Near-Infrared。
248740	265420	所以,然後這個是我正在做的一個project,然後我在做他的data analysis,但是我今天要講的我會比較偏重在就是講這個領域的就是一些background,我們到底要量什麼東西,我們想要了解什麼signal。
265420	289860	所以,一開始我就先介紹一下就是我們宇宙發展的歷史,就是我們目前了解的宇宙。所以,可以從先從左邊,對,最左邊就是最早期一開始的時候,我們有inflation,然後big bang,就是inflation就是中文叫暴漲理論。
289860	319840	然後,然後在這個非常就是big bang就是宇宙的一開始,然後在非常早期的時候,因為宇宙非常就是體積非常小,然後非常熱,所以裡面所有的東西都是就是非常熱,非常游離的狀態,然後隨著宇宙就是一直膨脹,然後因為就是膨脹,所以這些氣體就會擴大嘛,然後到某一個時間點就是。
320360	339720	嗯,這宇宙的溫度就是嗯,夠低,所以所以你游離的electron跟proton就會嗯,結合變成氫原子,然後然後這個過程我們叫做recombination,然後recombination之後呢,嗯,這宇宙原本有很多就是。
