start	end	text
0	6000	哈囉,大家好,歡迎大家來到今天的Terra Talk
6000	12000	我們今天很榮幸能請到林唯凱,林唯凱本身是我非常多年的好朋友
12000	17000	那唯凱呢,現在在Cornell念博士班三年級
17000	22000	是念Computer Science,唯凱的研究呢主要專注在密碼學
22000	26000	他最近主要在的Focus是Oblivious演算法
26000	33000	那讓演算法的資料存取模式不會洩漏資料的內容
33000	38000	他之前在台大念大學部的時候是念化學系的
38000	44000	後來呢,在碩士班跑去念了電機系,電機所
44000	49000	但是他又是念計算機組,所以現在的PhD是在念Computer Science
49000	53000	那在開始念PhD之前呢
53000	57000	他也曾經在台灣的晨星半導體擔任過軟體工程師
57000	60000	然後呢,也在中研院擔任過研究助理
60000	64000	那唯凱今天要跟我們講的是這個
64000	69000	在局理論的概念,但是他今天主要是要跟我們講說
69000	75000	講一個Multiparty Cointosing的公平的一個新的定義
75000	77000	那我們就鼓掌
77000	80000	By the way,大家鼓掌的時候要記得把麥克風打開喔
80000	83000	那我們就鼓掌歡迎唯凱給我們帶來今天的演講
88000	92000	謝謝彥永這麼精彩的介紹
92000	96000	然後這個標題很複雜
96000	102000	但是我假設大家多多少少都有聽過賽局理論
102000	106000	然後我今天講的題目是
106000	110000	這個大家可能不見得有聽過的
110000	112000	Concept叫做Cointos
112000	117000	然後我會講Cointos跟賽局理論的關係
117000	121000	然後這個Work是跟鍾凱敏
121000	123000	他在中央研究院
123000	127000	然後郭岳、我、Raphael、Elaine都在Cornell
127000	129000	或者是Cornell Tech
129000	134000	Cornell Tech是在NYC的一個Campus
135000	139000	跟Cornell跟以色列的Techneon合作
139000	142000	搞的一個新的Campus在NYC
142000	148000	那我們就來講今天的這個Cointos的這個Topic
148000	157000	那這個研究的Motivation是非常Realistic的
157000	160000	雖然我一般是做Theoretical的研究
160000	163000	但是我們的Motivation都是非常Realistic
163000	165000	我們的這個Motivation是什麼呢
165000	170000	就是川普跟習他們決定要開個川習會
170000	173000	然後要在哪裡開呢
173000	175000	川普想要在DC開
175000	177000	習想要在北京開
177000	182000	所以這兩個人就僵持不下的話呢
182000	183000	這怎麼辦呢
183000	186000	就最簡單的方法丟個銅板決定
186000	188000	然後但是這兩個人還沒有見面
188000	192000	要怎麼丟銅板這件事情就
192000	194000	就是我們今天要討論的問題
194000	198000	這兩個人沒有見面怎麼丟銅板
198000	201000	先不講見面之後銅板會不會公正之類的
201000	204000	那沒有見面這個我在這邊丟了銅板
204000	206000	川普在這邊丟了銅板
206000	209000	那習這個沒有看到也不信
209000	211000	所以這怎麼辦呢
211000	215000	他們就說那假設我有某一個方法可以丟銅板
215000	217000	這個可以遠端丟銅板的話
217000	219000	那反正銅板丟出來
219000	221000	就在DC這個士林就在北京
221000	224000	然後如果這個遠距離丟銅板是公正的話
224000	226000	那大家就很開心
226000	228000	就一半一半的機會嘛
228000	230000	然後賽局理論會告訴你說
230000	232000	這有一個Payoff
232000	234000	這銅板開出來是什麼
234000	239000	然後哪一邊有這個多少的這個Payoff
239000	240000	或者是Utility
240000	243000	但是這個我們可以先不要管它
243000	247000	那這個歷史上
247000	251000	這美蘇之間有個熱線電話
251000	253000	那川崎之間搞不好也有個熱線電話
253000	256000	那沒有見面他們可以通電話
256000	259000	哦對這中間有問題
259000	261000	大家可以隨時打斷我
261000	266000	我希望今天講的是這個大家都聽得懂
266000	268000	然後如果覺得聽不懂
268000	269000	這不要害怕
269000	271000	這盡量問這樣子
272000	276000	然後這個熱線電話的目的就是
276000	278000	就是你講一句我講一句
278000	281000	然後我講的對方都可以聽得到
281000	283000	然後就沒有其他的
283000	288000	所以熱線電話並不能直接的幫你丟銅板
288000	290000	沒有這麼好的事情
290000	292000	但是熱線電話可以做什麼呢
292000	296000	這熱線電話可以在兩邊這個溝通嘛
296000	298000	然後溝通完之後
298000	302000	這3號你也許就有一個這個output
302000	304000	然後這個B等於0或B等於1
304000	306000	就是銅板正面反面這樣子
306000	308000	3號也許可以做到這樣
308000	311000	然後就可以幫你製造一個隨機變數
311000	313000	它的取值是0或1
313000	315000	然後機率各是0.5、0.5
315000	319000	我想要的就是得到一個隨機變數這樣子
319000	323000	就是數學定義的隨機變數
324000	330000	那假設大家對數學定義的隨機變數都很熟的話
330000	334000	這個或者是上課聽過什麼的
334000	339000	那我這邊有一個方法可以讓這兩邊丟銅板
339000	341000	那怎麼丟呢
341000	343000	這個川普先丟一個銅板
343000	345000	然後這個銅板開出來是1
345000	349000	然後川普就透過電話跟習說
349000	351000	我這邊銅板是1啊
351000	354000	然後習這邊他就說
354000	357000	好我收到了你那邊銅板是1
357000	361000	然後這兩邊就同意這個銅板是1
361000	363000	這個方法
363000	367000	如果川普這邊丟的是公正的銅板的話
367000	370000	那這個方法也許會work
370000	374000	但是習這個顯然不高興
374000	375000	如果川普是壞人
375000	377000	然後他根本就沒丟這個銅板
377000	379000	他隨便亂喊
379000	383000	那這個對習來說就不是一件好事
383000	387000	他不會同意這個銅板的結果是這樣
387000	393000	那所以更不要說這個川普一開始這個搞了什麼鬼
393000	394000	讓他不公正什麼的
