start	end	text
0	2000	整理&字幕 沛隊字幕小組
30000	32000	整理&字幕 沛隊字幕小組
60000	62000	整理&字幕 沛隊字幕小組
90000	92000	整理&字幕 沛隊字幕小組
92000	94000	整理&字幕 沛隊字幕小組
120000	122000	整理&字幕 沛隊字幕小組
150000	152000	整理&字幕 沛隊字幕小組
180000	182000	整理&字幕 沛隊字幕小組
210000	212000	整理&字幕 沛隊字幕小組
240000	242000	整理&字幕 沛隊字幕小組
270000	272000	整理&字幕 沛隊字幕小組
272000	274000	整理&字幕 沛隊字幕小組
300000	302000	整理&字幕 沛隊字幕小組
330000	332000	整理&字幕 沛隊字幕小組
360000	362000	整理&字幕 沛隊字幕小組
390000	392000	整理&字幕 沛隊字幕小組
420000	422000	整理&字幕 沛隊字幕小組
450000	452000	整理&字幕 沛隊字幕小組
480000	482000	整理&字幕 沛隊字幕小組
510000	512000	整理&字幕 沛隊字幕小組
540000	542000	整理&字幕 沛隊字幕小組
570000	572000	整理&字幕 沛隊字幕小組
600000	602000	整理&字幕 沛隊字幕小組
630000	632000	整理&字幕 沛隊字幕小組
660000	662000	整理&字幕 沛隊字幕小組
690000	692000	整理&字幕 沛隊字幕小組
720000	722000	整理&字幕 沛隊字幕小組
750000	752000	整理&字幕 沛隊字幕小組
780000	782000	整理&字幕 沛隊字幕小組
810000	812000	整理&字幕 沛隊字幕小組
840000	842000	整理&字幕 沛隊字幕小組
870000	872000	整理&字幕 沛隊字幕小組
900000	902000	整理&字幕 沛隊字幕小組
930000	932000	整理&字幕 沛隊字幕小組
960000	962000	整理&字幕 沛隊字幕小組
990000	992000	整理&字幕 沛隊字幕小組
1020000	1022000	整理&字幕 沛隊字幕小組
1050000	1052000	整理&字幕 沛隊字幕小組
1052000	1054000	整理&字幕 沛隊字幕小組
1080000	1082000	整理&字幕 沛隊字幕小組
1110000	1112000	整理&字幕 沛隊字幕小組
1140000	1142000	整理&字幕 沛隊字幕小組
1170000	1172000	整理&字幕 沛隊字幕小組
1200000	1202000	整理&字幕 沛隊字幕小組
1230000	1232000	整理&字幕 沛隊字幕小組
1260000	1262000	整理&字幕 沛隊字幕小組
1290000	1292000	整理&字幕 沛隊字幕小組
1320000	1322000	整理&字幕 沛隊字幕小組
1350000	1352000	整理&字幕 沛隊字幕小組
1380000	1382000	整理&字幕 沛隊字幕小組
1410000	1412000	整理&字幕 沛隊字幕小組
1440000	1442000	整理&字幕 沛隊字幕小組
1470000	1472000	整理&字幕 沛隊字幕小組
1500000	1502000	整理&字幕 沛隊字幕小組
1530000	1532000	整理&字幕 沛隊字幕小組
1560000	1562020	整理&字幕 沛隊字幕小組
1590000	1592000	整理&字幕 沛隊字幕小組
1620000	1622000	整理&字幕 沛隊字幕小組
1650000	1652000	整理&字幕 沛隊字幕小組
1680000	1682000	整理&字幕 沛隊字幕小組
1710700	1713500	剛剛是討論到深澳的部分
1713500	1715500	我們現在就要看說
1715500	1718700	深澳電廠到底要不要蓋
1718700	1722500	或是要用超臨界的燃煤電廠
1722500	1724500	或是用天然氣的電廠
1724500	1727500	大家都有很多想法
1727500	1730500	然後莊老師剛剛有提到說
1730500	1732500	如果深澳電廠
1732500	1733500	莊老師他們研究的是
1733500	1735500	深澳電廠如果運轉15年
1735500	1739500	他有576個人會死於PM2.5
1740000	1749000	所以台電目前是用CADMAX這個model
1749000	1753000	然後莊老師他們是用GTX的model
1753000	1756000	我們剛剛有大致上提到GTX
1756000	1761000	GTX就是用一個Gotham Dispersion
1761000	1765000	然後去帶出他汙染物分布的一個狀況
1765000	1767000	然後莊老師他們是採用
1767500	1771500	實際的地面測量的氣象資料
1771500	1773500	然後CADMAX這個model
1773500	1775500	他是用網格推估的
1775500	1777500	他的氣象資料
1777500	1781500	是用另外一個氣象的model推估
1781500	1783500	他叫WARF
1783500	1785500	但是他其實有跟地面的兩側資料
1785500	1788500	就是地面高空的兩側資料有做過對比
1788500	1791500	然後什麼是一個網格推估的呢
1791500	1793500	以美國為例
1793500	1795500	我們有那麼大的一個domain
1796000	1807000	然後我們把這個domain切成165長165寬129的網格
1807000	1809000	34是他不同的高層
1813000	1816000	然後把他切成這個網格之後
1816000	1819000	我們給他initial condition跟boundary condition
1819000	1821000	然後給他排放
1821000	1825000	然後排放的量
1825000	1829000	然後給他化學反應
1829000	1833000	然後再加上他的氣象的部分
1833000	1837000	他就可以算出停留的會是多少
1837000	1841000	然後再用這些boundary跟initial condition去解
1841000	1843000	然後每個網格都去解
1843000	1845000	然後最後就會得出
1845000	1847000	全部網格都converge的話
1847000	1849000	就會得出你要的濃度
1850000	1854000	所以使用這個K-Max model
1854000	1858000	他是比較擬真化學反應
1858000	1860000	他當然還不是100%的化學反應
1860000	1863000	但是他的化學反應就是說
1863000	1865000	譬如說你
1865000	1868000	NAS變成ORON的一個化學反應是怎樣
1868000	1870000	他就整條都把他加進去
1870000	1872000	但是為什麼他不是100%
1872000	1875000	因為有很多有機化學反應
1875000	1878000	我們現在熟知空氣污染相關
1878000	1880000	大概有三四百種
1880000	1883000	如果你把這三四百種全部都加到model裡面
1883000	1885000	model可能跑不完
1885000	1887000	所以目前我們用的方法就是
1887000	1890000	把他全部就是同一個function
1890000	1892000	同一個function應該是
1892000	1895000	反正就是同一個function的東西
1895000	1897000	譬如說team類
1897000	1899000	放成一組
1899000	1901000	然後把他相似的反應
1901000	1903000	加在同一個
1903000	1905000	把他當成就是
1905000	1907000	全部用一個function下去表示
1907000	1909000	然後當成一個同一個反應來做
1909000	1911000	所以他是
1911000	1913000	有考慮到大部分
1913000	1915000	大氣中的化學反應
1915000	1917000	然後我要提一下
1917000	1919000	K-Max的由來
1919000	1921000	K-Max就是以前
1921000	1923000	美國環保署他們想要知道
1923000	1925000	urban area就是都會區
1925000	1927000	對於空氣污染的
1927000	1931000	貢獻或是他空氣污染濃度的分佈
1931000	1933000	他們用了很多
1933000	1935000	就是chamber的實驗
1935000	1937000	chamber的實驗就是你蓋了一個chamber
1937000	1939000	然後譬如說你把nox加進去
1939000	1941000	然後
1941000	1943000	把ammonia加進去
1943000	1945000	就會產生
1945000	1947000	ammonia nitrate
1947000	1949000	然後這種東西其實是一個
1949000	1951000	二次性的顆粒物
1951000	1953000	然後就算出你的化學反應
1953000	1955000	是化學反應數
1955000	1957000	然後再用這些把它
1957000	1959000	帶到目前K-Max
1959000	1961000	model裡面
1963000	1965000	但是因為K-Max
1965000	1967000	model
1967000	1969000	他有很多
1969000	1971000	微分計算
1971000	1973000	所以他需要很大量的電腦運算能力
1973000	1975000	他不像GTX
1975000	1977000	就用很簡單的電腦
1977000	1979000	所以K-Max是一個
1979000	1981000	需要比較
1981000	1983000	大量資源的一個model
1985000	1987000	然後
1987000	1989000	莊老師目前說
1989000	1991000	為什麼
1991000	1993000	他覺得他們自己的model
1993000	1995000	比台電用WOLF
1995000	1997000	跟K-Max model好
1997000	1999000	第一個主要原因是
1999000	2001000	WOLF
2001000	2003000	model他的resolution是
2003000	2005000	三乘三公里
2005000	2007000	莊老師覺得
2007000	2009000	三乘三公里
2009000	2011000	如果在
2011000	2013000	深澳這個區域
2013000	2015000	因為深澳的地形比較複雜
2015000	2017000	所以他覺得WOLF沒有辦法
2017000	2019000	實際表現
2019000	2021000	複雜地形
2021000	2023000	的風速風向
2023000	2025000	然後他覺得
2025000	2027000	他們的model因為是使用
2027000	2029000	實際的採樣點
2029000	2031000	直接氣象站的資料
2031000	2033000	所以他覺得
2033000	2035000	他們的model
2035000	2037000	比較能夠實際表現
2037000	2039000	風速風向的部分
2039000	2041000	這部分我補充一下
2041000	2043000	為什麼複雜地形
2043000	2045000	會說三公里不夠
2045000	2047000	你想像
2047000	2049000	這些所謂的網格模式
2049000	2051000	他在計算的時候
2051000	2053000	每一個網格裡面
2053000	2055000	這個三公里乘三公里的格子裡面
2055000	2057000	所有的參數都假設是一樣的
2057000	2059000	那你想在深澳這個地方的時候
2059000	2061000	他可能
2061000	2063000	這個slope
2063000	2065000	比如說地形是
2065000	2067000	每100公尺就上上300公尺
2067000	2069000	我唬爛了
2069000	2071000	反正就是在這個概念
2071000	2073000	model就跟你講說
