start	end	text
0	2000	比較
2000	4000	對
4000	7000	大家好,歡迎來到這個禮拜的Taira Talk
7000	10000	我是這週的主持人林毓維
10000	14000	那今天很高興邀請到我們的講者周之傑
14000	17000	他在台大電機系取得學士學位
17000	21000	然後他目前在加州理工大學就讀電機系的博士
21000	25000	那在戴玉昌教授的指導下
25000	29000	進行有關Wearable Device跟Biomimics與醫療用途的研究
29000	34000	那他今天的主題是有關於穿戴式科技跟個人健康管理的應用
34000	38000	讓我們掌聲歡迎之傑與他今天的演講
38000	40000	大家記得把麥克風打開喔
45000	50000	現在把麥克風交給我們今天的講者之傑
50000	52000	謝謝毓維的介紹
52000	55000	大家好,我是周之傑
56000	65000	我今天講的主題就是最近還算滿熱門的穿戴式裝置跟個人健康管理的應用
70000	73000	事不宜遲,我們就直接進入主題吧
74000	77000	首先我會先跟大家介紹一下
77000	86000	為什麼穿戴式裝置在最近幾年會變成熱門的話題
86000	92000	基本上其實可以分成幾個面向
92000	97000	第一個首先就是講到non-invasive的概念
97000	104000	所謂的non-invasive其實就是指這個裝置不需要侵入到我們的身體裡面
104000	111000	大家可以想一下應該都有去醫院打針或是抽血的經驗
111000	116000	一旦有東西進入到你的身體的時候
116000	120000	基本上第一個反應就是這一定會有痛覺
121000	125000	再來就是除了神經方面的反應之外
125000	131000	身體本身的免疫系統也會對外來物種產生反應
131000	135000	像是一些白血球或是其他免疫細胞
135000	139000	就會針對外來的物種進行攻擊
139000	148000	所以基本上就會造成很多inflammation、紅腫、腫、痛、熱的反應
148000	156000	所以穿戴式裝置基本上就避免了這樣的風險
156000	161000	所以其實像蠻多這種科技大廠
161000	170000	Apple、Fedbit他們其實就希望先研究看看這些non-invasive device
170000	174000	然後看他們極限能夠push到哪裡
174000	180000	然後之後才會考慮說所謂的minimally invasive
180000	183000	就是最小化這種侵入式的裝置
183000	187000	那其實從non-invasive到minimally invasive
187000	189000	這個過程其實也是一個huge barrier
189000	192000	就是不管是從device的角度來看
192000	195000	或者是從這種FDA他們這種政府機關的角度來看
195000	202000	其實最大的barrier當然就是還是在進入身體這個環節
202000	204000	因為你一旦進入身體之後
204000	209000	就會像我剛剛講的有很多的風險存在
209000	217000	那stay outside body其實就是一個非常低風險的device
217000	221000	所以基本上wearable device最近會這麼紅也是
221000	223000	這也是其中一個原因
223000	227000	那再來就是所謂的big clinical data
227000	230000	那big data相信大家都有聽過
230000	234000	就是基本上處理非常大量的資料
234000	236000	那所謂的big clinical data
236000	239000	其實這個clinical的意義就是在於
239000	244000	這個device能夠提供一些像是診斷資訊
244000	247000	那其實這個診斷也是有點tricky
247000	249000	就是怎麼樣才能夠斷定
249000	252000	這個是真正有診斷上面的價值
252000	255000	而且還有就是哪些這個metrics
255000	259000	就是哪些這個量測的東西是真正有用的
259000	262000	那等一下其實我也會大略提到
262000	269000	然後第三個部分其實就是所謂的autonomous sensing
269000	273000	autonomous sensing其實沒有大家想的那麼複雜
273000	276000	就是其實就只是你把這個wearable device
276000	277000	穿在身上之後
277000	280000	它就自動開始進行量測
280000	283000	然後你不需要就是介入
283000	285000	介入其中
285000	288000	然後它就可以持續的
288000	293000	就是用無線的方式把這個資料送出去
293000	294000	這樣的好處是說
294000	296000	即使你在沒有意識
296000	298000	譬如說你在睡覺的時候
298000	300000	它這個device還是可以持續量測
300000	302000	然後並把數據傳出去
302000	306000	那所以就是能夠讓我們看到一些
306000	308000	之前沒辦法看到的東西
308000	309000	譬如說你在睡覺的時候
309000	312000	它可以幫你量測這個睡眠週期
312000	316000	或是你的休息的時候的心跳等等之類的
316000	318000	這等一下也會稍微提到
318000	321000	然後第四個面向是
321000	324000	它很容易跟portable device
324000	328000	像是手機、smartphone或者是甚至tablet
328000	331000	那基本上這些portable device
331000	335000	就可以當作是它這個充氣站一樣
335000	337000	大家可以想像你的wearable sensor
337000	340000	是有點像是一個發送信號的地方
340000	343000	然後把這些信號儲存到portable device
343000	345000	那這些portable device其實
345000	348000	基本上computing power是比較強的
348000	353000	而且它的就是能夠上傳這個data的bandwidth也比較高
353000	356000	所以它可以一方面作為這個中繼站
356000	358000	然後一方面也可以做一些基本的信號處理之後
358000	361000	再把這個資料上傳到cloud
361000	363000	然後剩下種種的
363000	365000	you name it
365000	369000	很多benefit其實大家可以自己想想看
369000	373000	然後再來我就先進入到
373000	376000	就是這個整個的logic
376000	379000	就是為什麼我們會想要用wearable device
379000	383000	去監測這個身體的健康狀態
383000	388000	那這其實是有一個
388000	392000	在Stanford的醫學院做的研究
392000	396000	他們把這個叫做所謂的digital health
396000	399000	那對比當然就是regular的這個
399000	401000	去醫院的visit
401000	405000	這兩個對比之下的digital health
405000	408000	那所謂digital health其實就是把這些
408000	412000	原本是應該去譬如說醫院
412000	414000	得到的資料
414000	416000	然後把它就是全部都數位化
416000	422000	然後數位化之後再對這些數位化的資料做處理
423000	426000	那他這個study其實非常的簡單
426000	431000	就是基本上他就只有兩個主要的variable
431000	433000	一個是量這個skin temperature
433000	435000	就是皮膚表面的溫度
435000	438000	然後第二個是量這個心跳
438000	440000	就是心率heart rate
440000	442000	然後他就去看
442000	446000	我如果把這個sensor放在這個病人身上
446000	447000	然後放很長一段時間
447000	451000	他這裡是大概做了超過一年吧
451000	454000	大家可以看底下這個圖
454000	457000	然後中間當然病人難免會生病
457000	460000	所以他就去看
460000	461000	發病的時候
461000	464000	他這個heart rate跟skin temperature
464000	470000	我這個滑鼠如果動的話你們看得到嗎
470000	472000	我看得到
472000	475000	所以大家可以看到
475000	478000	就是這邊有幾個event
478000	481000	基本上就是這個發病的時候
481000	483000	你就會看到這個heart rate
483000	488000	就突然跟正常基本上這個base line有一段距離
488000	490000	然後skin temperature也是一樣
490000	493000	然後他就去同時去檢驗說
493000	496000	這個疾病是
496000	498000	就是用標準這個clean code的程序去檢驗
498000	501000	這個是哪一類的疾病
501000	505000	然後基本上就有非常好的correlation
505000	507000	那當然這不是很意外嘛
507000	510000	大家都知道你生病的時候難免會發燒
510000	512000	心跳變快
512000	516000	所以這個基本上就是一個proof of concept
516000	517000	大家都知道的事情
517000	519000	只是他這個不是用我們一般
519000	521000	譬如說自己量這個溫度
521000	524000	他是直接用一個wearable sensor
524000	526000	就是沒有人介入的情況下
526000	529000	持續的監測這個病人身體狀態
529000	531000	然後當他發病的時候
531000	536000	就會看到一個跟平常不一樣的distribution
536000	539000	那當然只有這兩個metrics
539000	541000	就是skin temperature跟heart rate
541000	543000	其實是不夠的
543000	545000	大家想像你這個就只有兩個metrics
545000	547000	那你的疾病有百百種
547000	549000	不太可能就是
549000	550000	用這兩個metrics
550000	553000	就能夠把所有的疾病都偵測出來
553000	555000	所以這是其中一個問題
555000	559000	只是這個study
559000	561000	告訴我們說
561000	562000	其實這個wearable sensor
562000	564000	是有一些information在裡面的
564000	567000	那怎麼樣把這些information抓出來
567000	570000	就是之後我們要研究的問題
578000	580000	所以呢
580000	584000	我們就有了所謂的big clinical data
586000	589000	基本上
589000	591000	什麼時候去得到這個data呢
591000	594000	基本上就是24小時
594000	596000	那只是呢
596000	598000	在睡覺的時候其實
598000	600000	也可以得到一些很有用的
600000	602000	因為大家可以想想看
602000	604000	你去看醫生的時候一定是清醒
604000	607000	大概可能就是睡覺的時候去看醫生
607000	610000	所以你在醫院量到那些血壓
610000	611000	心跳啊
611000	614000	基本上都是你在人在清醒狀態的時候量
614000	616000	那這就有個問題
616000	618000	因為你知道睡覺的時候其實
618000	620000	也是佔了一天的三分之一
620000	622000	大概三分之一的時間
622000	625000	所以這時候的數據
625000	628000	可能跟你白天的時候看到的情況
628000	630000	是完全不一樣的
632000	634000	然後再來就是我剛剛有略略提到
634000	636000	就是說我們到底可不可以判斷
636000	638000	一個人到底是健康
638000	639000	或是生病
639000	643000	就從我們這些sensor得到的data來分別
643000	645000	譬如說某個disease
645000	647000	它就有某一些特定的distribution
647000	649000	在這個sensor的data space裡
650000	652000	所以這是一個很有趣的問題
652000	654000	我們先來看一下
654000	656000	sleep好了
659000	661000	在wearable device還沒出現之前
661000	665000	基本上是完全是一片空白的
665000	668000	就是我們在sleep
668000	670000	基本上能夠得到的資訊是非常有限
672000	673000	但是呢
675000	678000	睡覺這個階段其實是有一些privilege
678000	681000	像是大家睡覺的時候
681000	683000	身體基本上是不會動的
683000	687000	它其實是一個沒有活動的階段
687000	690000	那對sensor來講其實是很棒的
690000	692000	因為你就少了那些
692000	695000	你平常在日常生活中活動產生的noise
695000	697000	譬如說你的motion noise
697000	700000	然後或者是白天
700000	702000	做一些其他事情的時候
702000	703000	心跳突然就變了
703000	705000	但睡覺的時候不會
705000	707000	這是一個很好的地方
708000	712000	像是目前的話
712000	714000	有一些wearable sensor的公司
714000	716000	它已經有在量
716000	718000	像是休息的時候的心跳
718000	720000	跟你的睡眠階段
720000	722000	我等一下會給大家看一下
728000	730000	location
730000	732000	主要是看
732000	734000	我們sensor
734000	736000	可以擺在身體哪些地方
736000	741000	這個是Juja Tech他們做的一個research
741000	743000	就是去看看
743000	747000	你的sensor放在身體的各個部位的時候
747000	750000	它造成活動的阻礙是怎麼樣
750000	751000	所謂的motion impedance
751000	752000	就是你這個sensor
752000	755000	放在某個特定的身體的location的時候
755000	759000	它對你那個活動有沒有造成什麼影響
759000	762000	那大家可以先看一下這個圖
762000	765000	左邊是男生 右邊是女生
765000	768000	可以看到它的範圍其實是有點不一樣
768000	771000	那基本上你可以看到
771000	775000	我們wearable device常常放的地方
775000	777000	譬如說one
777000	780000	它其實是蠻適合放的
780000	782000	就是best location
782000	785000	因為它基本上不會有什麼太多的
796000	800000	那這個是另外一個matrix
800000	802000	就是
802000	804000	它告訴我們說
804000	806000	這個sensor擺在
806000	808000	某個地方的時候
808000	810000	它最適合量什麼東西
810000	814000	像是
814000	816000	紅色這個區塊
816000	819000	它其實就是量full body motion
819000	822000	基本上它就是做這種
822000	824000	看整個身體的運動的時候
824000	825000	因為大家可以想像
825000	827000	你的四肢
827000	828000	雙手跟雙腳
828000	830000	其實它常常都在活動
830000	831000	但是如果你是要check
831000	833000	這個body的center的話
833000	834000	就是整個直心的話
834000	837000	它其實是看紅色的區塊會比較準
837000	840000	OK 以此類推
840000	841000	那像是joint stretch
841000	843000	就是關節延伸程度的話
843000	850000	其實當然就是看這個手肘跟膝關節
850000	854000	所以
854000	855000	最後這個呢
855000	860000	是這個sensor真正會擺的地方
860000	861000	OK 這個有趣
861000	863000	大家就可以跟剛剛那兩張圖來比較
863000	866000	就是
866000	870000	像是你放的很多裝置
870000	871000	都會在wrist
871000	873000	就是手腕的地方
873000	891000	或者是ankle
891000	893000	再來我會
893000	894000	稍微討論一下
894000	897000	這個wearable device的未來展望
897000	900000	OK
900000	904000	基本上它的trend是這樣子
904000	907000	從這個個人電腦的時代開始
907000	909000	其實
909000	912000	這個市場趨勢就是
912000	914000	試著把這個電腦size
914000	916000	越做越小
916000	917000	從個人電腦
917000	919000	一直到這個膝蓋型裝置
919000	921000	wearable device
921000	923000	然後一直到這個穿戴型裝置
923000	924000	就越做越小
924000	925000	然後呢
925000	927000	這個所謂的computing unit
927000	929000	就是這個計算
929000	931000	計算這個data的中心
931000	933000	就離身體越來越近
933000	934000	這樣做的好處是什麼呢
934000	936000	這樣做的好處是
936000	938000	你從你的sensor得到data
938000	941000	就不需要太多的delay
941000	948000	就可以直接做運算
948000	950000	那這個是
950000	951000	wearable device的
951000	954000	它整個市場的規模大小
954000	956000	我擺的位置是2014到2015年
956000	957000	大家可以看到
957000	960000	一開始其實就是這種
960000	961000	可以被打這種傳統的
961000	963000	戴型裝置的公司
963000	964000	它的市場規模
964000	966000	是一開始佔最大的
966000	967000	但是呢
967000	969000	一等到這個Apple Watch出現之後
969000	972000	它其實就是在2015年的
972000	974000	年中左右出現
974000	975000	它一出現就立刻
975000	978000	把這個市場share給吃掉
978000	979000	然後呢
979000	982000	一直到最近2016到2017
982000	985000	你可以看到
985000	986000	Apple Watch
986000	987000	這個最大的
987000	989000	變成是Apple Watch
989000	990000	然後菲律賓反而是
990000	992000	從這個最高點開始
992000	994000	開始慢慢衰退
994000	995000	這個很有趣的現象
995000	1006000	大家可以想想看為什麼
1006000	1008000	好最後是
1008000	1011000	我個人所想像的貪婪
1011000	1013000	就是從2000年開始
1013000	1016000	所謂smartphone就開始出現
1016000	1019000	那到2010年
1019000	1021000	其實第一代的wearable device
1021000	1024000	就開始慢慢出現
1024000	1028000	它有所謂的這個PPG
1028000	1029000	就是我等一下
1029000	1030000	介紹一下
1030000	1032000	這是光學的偵測心跳方法
1032000	1033000	然後motion
1033000	1035000	基本上就是加速度計
1035000	1036000	它可以看你的
1036000	1039000	整個身體的motion
1039000	1041000	然後ECG
1041000	1044000	就是心電圖
1044000	1046000	血壓
1046000	1047000	然後基本上都是一些
1047000	1050000	比較容易得到的資料
1050000	1051000	但是呢
1051000	1054000	它實際上應用就比較有限
1054000	1058000	那接下來這十年呢
1058000	1060000	可能會出現一些新的
1060000	1062000	wearable device
1062000	1064000	像是這個
