start	end	text
0	3580	OK
3840	4860	好那
6660	8440	就我們開始錄影
9220	9980	好
15360	18680	等一下有一個人跟我說他想要進來他進不來
22520	26120	你花了一段時間才進來的
26360	29180	他們更新的系統都是怪怪的
30220	31240	哦
33800	37380	你聽我的聲音清楚嗎?就是我講話的聲音
37640	38920	很好啊
39420	41220	很好啊
41740	44040	我聽你的聲音蠻OK的啊
44800	46080	沒關係他
46580	49400	他自己想辦法處理一下等一下就會進來
50940	54020	好那就我們就先錄然後看他等一下怎麼樣
54280	55040	那
55760	61900	就是呢首先感謝今天主持人Shirley跟我們分享
62160	65480	是今天的講者然後他現在是二年級的
66260	69080	這個博士生在California State
69340	73940	然後他的研究領域呢也是他的系名我剛剛確認了一下這就是他的系名
74200	75740	Educational Leadership
77780	78800	然後今天的
79300	83920	研究的主題我先講他的研究性質
84340	87920	Articulation Enrollment Management at Higher Education
88420	93280	我其實不太知道這是什麼意思不過這樣也好因為這樣今天就讓我們講者跟我們
93800	95340	解釋一下這是什麼
96880	99180	然後今天的講題呢
99700	103280	Examining Transfer Credit Mobility
105320	106860	我不曉得怎麼念
111880	113680	哦這是Bachelor的簡容詞喔
114640	117200	好
117460	119500	Bachelor Degree Attainment
120280	121300	好
121560	125140	那至於這是什麼呢我們就讓我們的講者進來跟我們分享一下
125400	126920	那在
127180	128460	開始之前
128980	131540	你有沒有什麼要跟大家講的
132820	137180	我等一下要講的時候是要用英文還是中文
137940	140760	我應該先問一個你可以用英文
141260	142540	你可以用英文
142960	143980	好
144240	145260	但是
146020	147560	我想大部分人用中文
147820	149100	我知道有人用英文
149360	151140	我知道有人用英文
151400	153700	你如果想也可以
154220	160060	好因為我的那個 PowerPoint 都是英文然後我剛剛查了一下大家
160320	162400	事先的是中文所以我要幫我確定一下
162660	163180	OK
164200	167280	好那我們就把時間交給你了
168000	171020	拍手一下
171280	176140	謝謝那我現在share我的那個screen
176400	176920	可以嗎
179440	180720	你share了嗎因為我還沒看到
181780	183820	我這樣算share了嗎
184080	184840	哦我看到了
185620	186120	好
186640	189460	那大家好我是Shirley
189960	195080	很高興今天就是有這個機會跟大家分享一下我的研究
195640	200980	那我的研究主要是在於跟我現在的工作也有關係
201480	204040	是討論在加州的這個
204560	210420	二年制大學跟四年制大學這個轉學的轉學分是否可以
210680	214040	是否這個他們跟這個課程的關係
215320	216340	是不是
216600	218640	可以影響他們
220180	221200	就是準時
221460	224020	取得大學學位的這個一個
224480	226020	一個影響
226280	231400	那我想要了解這個因為那當然就是跟我目前的工作性質
231660	234220	其實是有一些關係的所以我稍微
234480	237800	提一下那這中間如果
238060	243160	就是有什麼問題或是我講不清楚的請你隨時打斷我都沒有關係
243420	247520	那本身我覺得自我介紹一下我的背景
247780	253920	學經歷背景也可以讓你們了解一下我做研究的一些bios
254180	258320	跟我的我是用什麼樣的perspective
258580	259860	去做這個研究的
260120	264980	那我是在台灣的台北大學不動產生相關的學
265480	267280	畢業之後呢到美國的
267540	268320	Ohara University
