start	end	text
0	14800	我們歡迎大家來到今天TARA的演講,首先歡迎各位今天來聽黃坤賢給我們講Python來玩粒子物理實驗吧。
15800	31500	TARA是一個網路平台,我們的目標是希望用一個免費而且跨越國界的方式,可以連結分佈在全世界的年輕人、從事研究的台灣人、年輕人,可以快速地分享彼此的成果和點子。
31500	42000	我們有一個粉絲團,粉絲團的名字叫Project TARA,TARA是T-Y-R-A,大家可以在Facebook上找到我們。
42520	55500	主持人說:「好,我來介紹一下今天的講者,今天的講者是黃坤賢,蠻有趣的,我在準備介紹講者的時候稍微算了一下,我覺得我們認識好像十年了。」
56500	76760	黃坤賢是就讀台大物理系、台大物理所,在博士班的時候他到了京都大學,在這段期間他從事的研究有微中子望遠鏡,後來在京都大學是做T2K,所以黃坤賢可以說是一個微中子的專家。
76800	88220	黃坤賢拿到了博士學位之後,他到了Bell,現在就是Bell處,做硬體的開發,之後應該會做分析,他現在是博士後研究員。
88220	97700	今天要跟我們講的題目是,用Python來玩粒子物理實驗靶,an example of using convolutional neural network to correct gamma-ray energy measurement。
98300	117760	那話不多說,我們就鼓掌歡迎黃坤賢,不好意思,我剛剛有件事情忘了講,就是請大家在演講中,沒有要發言的話靜音,這樣才不會有麥克風雜音,但是要鼓掌的時候要把麥克風打開,我們的講者才能感受到各位的熱情。
117760	119860	我們就歡迎黃坤賢。
147760	175760	黃坤賢是台灣大學博士後,現在從事研究的project的名稱叫Bell2,我研究的領域是粒子物理實驗,粒子物理實驗裡面可能都取得很多data,取data的話可能要做資料分析,做數據分析的話,排場是一個很不錯的語言。
176600	181100	如果大家要download style,可以這邊,可以download。
181100	201740	然後這是我自己的照片,現在我是在台灣大學做博士後研究,那我現在做的研究的主要領域是粒子物理實驗,然後還有我是很喜歡用拍賞的人,那我的研究是什麼呢?
212100	216100	哦,好,再來一次。
224940	227940	這樣有嗎?之前的畫面,全螢幕嗎?
228940	229940	有!
230440	232940	有齁,好,我想要。
233780	251780	好,那我現在在做的話,就是在日本的主播室,有一個機構叫做KK,那就是如果大家想要聽日文的話是Koei Nenruki Kasoku Genkyuu Kiko,反正它簡稱就叫KK。
252620	279620	那它裡面有一個這麼大的研究裝置叫做Bell2的一個偵測器,那主要是我們用拍賞的話來做模擬分析,然後還有一些資料儲存,然後還有甚至把資料推到全世界,因為我們資料就是推到全世界的Google Cloud都有,那他們會提供他們的計算資源,然後後面我會講說我們要怎麼樣把資料推到全世界。
280460	292460	第一個先講什麼是粒子物理,不好意思,因為我今天準備的資料算科普了,然後有一些人可能不知道粒子物理是什麼,所以先講粒子物理是什麼。
293060	307940	一開始就是水分子,大家一定聽過水分子,高中物理應該聽過水分子,裡面會有原子,原子的話會有電子和裡面的核子,電子的話就是所謂的基本粒子,其中的一種。
308820	326220	核子裡面會發現有中子和子子,中子和子子裡面有夸克所組成,其實現在發現最基本的就是有電子和夸克,來組成我們日常生活中所看到的宇宙。
326620	341420	那基本粒子物理其實就是研究這些基本粒子跟它們所交互作用,然後還有怎麼樣構成這個宇宙的法則。
342300	348300	好玄哦。我們要怎麼研究粒子物理呢?
349020	370080	通常我們會利用加速器,把粒子加速到非常快的速度。比如說像這個動畫好了,粒子和反粒子加速到非常快的速度以後,在中間會碰撞。
370080	391640	我們讓它碰撞以後,它們會產生新的,我們在現在這個宇宙中比較少看到的粒子,就是比較不熟悉的粒子,在我們的生活中,不是剛剛像那種子子或中子那種東西,那可能是我們在現在宇宙中比較少看到的東西。
391640	401640	所以我們就研究這些新的,就是我們所產生的粒子,然後看它們的交互作用是怎麼樣子。那微中子也是其中的一種。
401640	423140	下面的話就是講到說,其實我們有很多大型的粒子物理實驗,在世界中有很多大型的物理實驗。第一種就是對撞機的實驗,比如說像在,如果大家有聽過類似的LHC的話,比如說LHC它下面有什麼樣的實驗呢?
423140	449880	最大的四個實驗就是CNS、Atlas,另外一個實驗我們沒有放進去,CNS、Atlas和LHC-B。另外我們今天的主角就是Bell-2,它也是對撞機實驗。它大概是電子和正電子,也就是正電子。電子是帶負電,正電子是中間對撞的實驗。
449880	469080	其它還有像微中子實驗,比如說我以前參與過的T2K,在中國的大鴨背,或者是在加拿大的SnowPlus。還有其它的實驗粒子物理實驗,比如說像在LHC的Alpha,在日本的Koto實驗這樣子。
469920	489980	很高興的就是,我們在4月26號的時候,我們Bell-2首次運轉。這是當時的一個報導,就是Release Press,還有第一個對撞的事件。
490980	499980	講到現在,為什麼我們要做Bell-2實驗呢?請大家給我三分鐘。
500980	515980	一開始的話,Bell-2的偵測器其實就是偵測B粒子的衰變。B粒子的話,它也是我們現在宇宙中比較少出現的粒子。
515980	537980	看它的衰變,我們會了解CP Violation,就是宇稱不守恆,跟其它的新物理。宇稱不守恆是什麼呢?宇稱不守恆的話,它會跟為什麼我們現在只有物質在宇宙裡面有關。
545980	552980	這就是Bell-2的偵測。
553980	561980	科學家認為,在大爆炸之後,同樣的數量的粒子和反粒子存在。
562980	576980	大爆炸之後的宇宙,物質和反物質應該是同一個量級,或是差不多。
576980	586980	宇宙現在只剩下普通的物質。幾乎所有的反物質都消失了。
587980	594980	為了讓這發生,粒子和反粒子的行為必須有所不同。
595980	605980	這類型的物質和反物質的行為被稱為CP Violation。
605980	616980	所以,除了電荷和金箱對稱不一樣之外,還有別的地方不一樣。
635980	655980	在2001年,Bell的實驗成功地測試了B-Meson的CP Violation,正如Kobayashi-Masukawa的理論所預測的。
665980	685980	B-Meson的實驗成功地測試了B-Meson的CP Violation,正如Kobayashi-Masukawa的理論所預測的。
685980	702980	同一時間,美國的Babar實驗成功地測試出現了相似的結果。2008年,30年後Babar的理論成功地測試,Kobayashi-Masukawa教授和Kobayashi-Masukawa教授獲得了物質獎。
702980	725980	Kobayashi-Masukawa的實驗成功地測試,Kobayashi-Masukawa教授和Kobayashi-Masukawa教授獲得了物質獎。
726980	732980	讓我們仔細觀察一下Bell-2感測器的運作。
732980	749980	Bell-2感測器將電子和正子加速到接近光速的速度。它們在感測器中間相互碰撞。
749980	770980	Bell-2感測器將電子和正子加速到接近光速的速度。它們在感測器中間相互碰撞。它們在感測器中間相互碰撞。
770980	785980	Bell-2感測器將電子和正子加速到接近光速的速度。它們在感測器中間相互碰撞。它們在感測器中間相互碰撞。
800980	820980	Bell-2感測器將電子和正子加速到接近光速的速度。它們在感測器中間相互碰撞。它們在感測器中間相互碰撞。
820980	831980	Bell-2感測器將電子和正子加速到接近光速的速度。它們在感測器中間相互碰撞。它們在感測器中間相互碰撞。
831980	845980	Bell-2感測器將電子和正子加速到接近光速的速度。它們在感測器中間相互碰撞。它們在感測器中間相互碰撞。
845980	860980	Bell-2感測器將電子和正子加速到接近光速的速度。它們在感測器中間相互碰撞。它們在感測器中間相互碰撞。
860980	886980	Bell-2感測器將電子和正子加速到接近光速的速度。它們在感測器中間相互碰撞。它們在感測器中間相互碰撞。它們在感測器中間相互碰撞。
890980	919980	Bell-2感測器將電子和正子加速到接近光速的速度。它們在感測器中間相互碰撞。它們在感測器中間相互碰撞。它們在感測器中間相互碰撞。
920980	949980	Bell-2感測器將電子和正子加速到接近光速的速度。它們在感測器中間相互碰撞。它們在感測器中間相互碰撞。它們在感測器中間相互碰撞。它們在感測器中間相互碰撞。
950980	976980	它們在感測器中間相互碰撞。
980980	986980	整理&字幕由Amara.org社区提供
1010980	1015980	整理&字幕由Amara.org社区提供
1040980	1045980	整理&字幕由Amara.org社区提供
1070980	1075980	整理&字幕由Amara.org社区提供
1100980	1105980	整理&字幕由Amara.org社区提供
1130980	1135980	整理&字幕由Amara.org社区提供
1160980	1165980	整理&字幕由Amara.org社区提供
1190980	1195980	整理&字幕由Amara.org社区提供
1220980	1225980	整理&字幕由Amara.org社区提供
