start	end	text
0	4000	OK,開始了。
4000	8000	我聽到錄影開始了。
8000	14000	好,那就是我今天要講的主題就是那個Flat Optical Components with Meta Optics。
14000	23000	就是因為我主要的研究背景是做一些光跟物質交互作用的影響。
23000	28000	然後藉由這種影響去進一步操控光的一些行為。
28000	36000	所以我們主要想要做的應用範疇在怎麼把目前市面上的一些光學元件的尺寸縮小。
36000	41000	比如說透鏡或者是偏振片這些東西。
41000	46000	那Meta,怎麼叫Meta我等一下會做介紹這樣子。
46000	51000	那Meta Optics這個詞就是,它其實是Meta這個字就是希臘字梗。
51000	54000	那我等一下會做介紹。
54000	65000	那在進入主題之前,我分享一下,我不知道大家有沒有看過這個照片。
65000	74000	就是古羅馬時代的時候,左邊這張照片是古羅馬時代的時候,他們用的喝酒的高腳杯。
74000	78000	那它非常神奇的一個點是,你們可以看到它的顏色不一樣。
78000	81000	但它們兩個其實是同一個杯子。
81000	91000	那顏色會不一樣是因為,他們發現說當他們把光源放在外面的時候,看杯子的顏色是綠色的。
91000	96000	但他們如果把光源放在杯子裡面的時候,他們看到的是杯子會變紅色的。
96000	99000	也就是說這個杯子上面的材料非常特殊。
99000	103000	如果你是從反射的角度去看這個杯子的話,它是綠色的。
103000	108000	但如果你把光源放在裡面,變成這時候你看到的顏色是穿透光。
108000	113000	所以光穿過這個杯子之後,你看到的顏色反而是紅色的。
113000	116000	那這時候大家覺得這個東西非常神奇。
116000	121000	然後他們也拿這種材質去做一些教堂的這種彩色玻璃。
121000	129000	我們都知道歐洲他們那種教堂啊,就有這種非常漂亮的彩色玻璃。
130000	141000	那它其實為什麼會有這麼多不一樣的顏色,它的原因也跟這個杯子的那個,就是它的工作原理其實很像的。
141000	144000	那為什麼會有這個現象產生呢?
144000	150000	就是後面大家就是發現說其實有一個東西,它叫做Localized Surface Plasma。
150000	153000	那這是什麼意思呢?為什麼它不會動啊?
154000	165000	就是說呢,他們就是發現說當我們現在如果有一個入色的光子,它跟一個金屬的Nanoparticle,那跟它交互作用之後呢,
165000	174000	它會在這個在適當的條件環境下,它會在這個Nanoparticle的表面累積一些自由電子,電荷。
174000	184000	那這些自由電荷就會讓它重新在裡面產生一個類似Dipole,Bleachery Dipole或者是Manganese Dipole的Resonance,
184000	192000	然後讓它進一步產生就是外面就是讓它輻射出其他波長的電子光子,那我們就會看到不一樣的顏色。
192000	197000	那這個現象要什麼時候才會產生呢?
197000	207000	它主要是要在當我們的奈米顆粒它的尺度遠小於入色光的波長的時候,這件事情才會產生。
207000	215000	所以之前那個高腳杯,那個彩色的高腳杯啊,其實後來他們把它做一個進一步的研究,
215000	223000	會發現說那個高腳杯裡面其實摻雜了很多不一樣顆粒大小的金顆粒,就是Gold Particle。
223000	231000	然後這些金屬,金的顆粒大小尺寸呢,跟可見光的波長來比,可見光波長就是大概400奈米到700奈米左右。
231000	234000	跟它比的話就是遠小於那個波長的尺寸。
234000	243000	所以他們就是想說那會造成那個不一樣的顏色的原因可能就是來自於這個局域性的表面電漿震盪,
243000	246000	Localized Surface Plasma Resonance的結果。
246000	251000	那有這個Resonance之後我們會有什麼特殊的現象呢?
251000	256000	它其實有很多我們可以操控,就是我們可以擁有的一些優勢。
256000	264000	比如說他們發現說這個Resonance呢,它跟錄色光有偏振,偏振就是電池波大電場震盪的方向。
264000	273000	那大家可以看到說這個圖可能比較明顯,就是你們可以看到說這裡它顏色是非常七彩,就是非常漂亮,就是有五顏六色的顏色。
273000	275000	那這邊其實完全看不到任何顏色。
275000	280000	那這兩張圖其實都是同一個Stample看到的顏色。
280000	284000	它們唯一的差別就是在於它們改變了錄色光電場震盪方向。
284000	291000	這個紅白色箭頭是它的電場震盪方向,當它錄色光的電場方向是沿著Y方向的時候,
291000	295000	它們會看到這個上面的Chip會產生不一樣的顏色。
295000	307000	而這每一個Chip裡面呢,其實你可以想像成說它就是用一些微影技術去做一些尺度遠小於可見光波長的金屬Disc,像這種Disc。
307000	318000	然後它們去改變它的直徑或者是周期,就可以讓它在反射光的部分看到不一樣的顏色。
318000	322000	可是當它們轉一個偏振之後呢,顏色就會全部不見。
322000	331000	所以就可以拿來做一些,他們就說這個東西可以拿來做一些具有偏振調控特性的Color Filter之類的。
331000	337000	那另外一個特殊的就是,像我們以前知道說比如說我們現在如果,為什麼我們會對這個東西這麼感興趣,
337000	344000	就是比如說像我們知道現在金很常拿來做裝飾品,比如說戒指啊項鍊。
344000	354000	可是金,我們只要是用金去做的裝飾品,我不管是把它捏成方的還是圓的,還是一個Ring,一個戒指,它顏色都是黃色的。
354000	361000	可是像我剛剛講的,如果我們把這個金,這邊的Particle全部都是金,但是它們在非常小的尺度下,
361000	371000	它的尺度如果遠小於波長的時候,我們可以發現說,它的尺寸變化的同時,我們看到的顏色是不一樣的。
371000	376000	那這個跟具觀上看到的現象,就是光學特性就會差異非常大。
376000	382000	那這個主要原因就是因為我剛剛講的這個,就是Localized Surface Plasma。
382000	394000	然後,再來下一個特性是,它如果兩個金屬之間靠很近的話,就是有一個很小的Gap,Nano Gap在這個兩個金屬的Particle之間的話,
394000	398000	它就會有很強的Near Field Covenant,就是它們兩個之間會互相做藕合。
398000	407000	那這個藕合就會讓它們,就像有點像是以前那個最簡單的電磁學學的尖端,有點像尖端放電的感覺,
407000	417000	就是我們因為它尺度非常小,然後在尖端的部分它可以累積的電荷越多,所以它產生的局域電場會越強。
417000	423000	那如果又靠很近的話,它們兩個之間的藕合就會造成它有更強的Field Enhancement。
423000	433000	那最後就是這個共振,它跟周圍環境的折射率有很大的,它非常Sensitive to the Environment,
433000	441000	就是說我的周圍環境的折射率如果改變的話,它的共振的波長,也就是我們原廠看到的顏色會改變。
441000	451000	比如說我現在這個棒子,我們現在看到,如果它在空氣裡面,我看到我的藍色,可是如果我把它放在水裡面,我再去看它,它可能就會變成紅色。
451000	465000	那這個特性其實也有人拿來說我們可以做一些增益感測,就是藉由它的顏色的改變去判斷說我們現在周圍環境這個代測物是什麼物品。
465000	476000	OK,那我回到就是剛剛這邊介紹完就是Lockheight Surface Plasma之後呢,我跟大家就是講一下說到底什麼叫做Metamaterial。
476000	482000	就我剛剛講的Meta這個字呢,其實是來自於希臘的字根,它英文的意思是Beyond的意思。
482000	493000	所以Metamaterial它其實是一種Material,那它具有一些特性,這些特性是自然物質裡面沒有的,那我們就把它叫做Metamaterial。
493000	503000	那簡單來講就是我們可以藉由操控它的形狀啊,或者是顆粒跟顆粒之間的距離啊,去改變它的光學特性的,這些都叫做Metamaterial。
503000	517000	那為什麼有這些特性就是它需要,應該說我們要產生Metamaterial的特性的堅決條件是什麼,就像剛剛講的,一般我們知道說自然界物質就是有原子分子組成的,比如說CO2啊H2O。
517000	531000	那因為我們知道說晶格之間的間距是非常小的,如果我舉綠色光波長是500奈米,就是大概綠光左右的波長為例子的話,這兩個因為它們的尺度差異非常非常大。
531000	543000	所以說它的光學特性主要就是由這個分子或原子所決定,比如說晶它就是AU,我不管怎麼揉它,它就是黃色的。
543000	568000	Metamaterial它就是我剛剛講的,如果我們現在把它們之間的距離或者是尺寸縮小到原小,就是在次波長等級,就是大概λ4到λ10這個尺度下的時候呢,我們就可以藉由人造的方式去改變這個材料本身的光學特性,那我們就可以進一步的去操控光或電磁波的一些行為。
568000	580000	那這種可以藉由次波長尺度下的共振器產生的,藉由這個方式去操控光的這種材料,我們就把它叫做Metamaterial。
580000	592000	那它主要就是三維的,就是說我的結構雖然說它很小,但它在Z方向其實厚度可以很厚,我的很厚是指跟綠色光波長比,所以比如說它可以是一兩個micron之類的。
593000	598000	我問一下,前面那一張,你10到100micron?
598000	602000	嗯,1到10micron都可以,就是幾micron都可以。
602000	609000	你右上角上面寫,所以10nm到100micronm都可以這樣子,那範圍好大。
610000	622000	我這邊講的這個尺度,我講的有點廣,主要是因為我前面舉的例子都是可見光,但是這個東西它的好處就是在於說,我的工作波長不一定可以是可見光,我可以甚至是微波。
622000	627000	好,所以幾micronm是Terahertz嗎?
627000	642000	呃,100micron,如果是100micron的話,100micron是呃,應該是3Terahertz吧,如果沒有算錯的話,就大概Terahertz的範圍,對,就是遠紅外。
642000	647000	對,所以它其實工作波長可以,波段可以非常的廣,對。
648000	661000	那這邊給大家看一個很特別的例子,就是剛剛講的Metamaterials,它一開始被,我一開始大家看到這個現象的時候,其實沒有Metamaterials這個詞,他們把它叫做著手材料。
662000	680000	為什麼把它叫做著手材料呢?因為我們他們發現說,藉由人造的那個結構去可以去操控光的行為的時候呢,他們就想說,那是不是可以,我們我們知道說光它的傳播的特性最主要就是來自於介質的折射率。
680000	701000	那他們是就想說,那是不是因為折射率,他們藉由Metamaterials去等效操控了這個介質等效的折射率,所以才會影響這個光的行為。那這邊就是一個示意圖說,如果我們就是以前國中理化學的,就是如果一個杯子是空杯子的話,空氣折射率是1,那我放一個筷子在這裡,它就是直的。
702000	716000	那如果我現在在裡面放一個折射率是1.3的,大概就是水,那我們知道說因為折射的關係,所以我們看外面看好像感覺筷子是斷掉的。可是如果我們現在呢,放一個裡面折射率是負的。
717000	739000	那這時候我們看到的筷子就會長這樣,這其實只是一個示意圖,這不是實驗結果。那另外一個有趣的是,如果我們有這個負折射的現象的話,一般我們知道說入射光就是會滿,也就是說我入射光是橘色這裡,如果是入射進來的話,它就是沿著,就是N1sinθ1等於N2sinθ2。
739000	752000	所以它就是一直折射過來。可是如果我現在中間這個材料它是負折射材料的話呢,我入射光跟折射光,它們兩個分別就會處在於髮線的兩邊。
752000	768000	那這個東西就引起他們非常大的興趣,就是說,欸,那麥太摩利諾是不是真的因為這些特性可以去創造一些真的自然界不可能存在的一些介質,然後進而去達到一些我們完全想像不到的光學特性。
768000	778000	那這種負折射,我這邊都是示意圖,但是其實已經有實驗證實這個東西是真的可行的,但我這邊沒有擺他們這邊,那個他們的實驗結果。
778000	794000	就證實說,藉由適當的去設計這個材料它的尺寸,或者是它的材料本身的那個構成的元素的話,他們就可以去達到負折射的現象。
795000	814000	OK,那這邊我覺得我可以跳過,就是那接下來就是我會講到剛剛講的麥太摩利諾就是可以,我剛剛說可以是很厚的,就是它可以是三維的,但其實我們最主要的目的就是希望說我們操控光,那我們是不是可以進一步的把元件縮小。
814000	825000	那他們就想說那麥太摩利諾如果我把它弄成只有一層,因為我剛剛講的是麥太摩利諾可以很多層,那就代表說可以很厚,那如果我只有一層的話,我是不是也可以達到一樣的效果。
825000	835000	那這種一層的麥太摩利諾,他們就把它叫做meta surface,一種一樣一般surface的一種surface,對,所以叫meta surface。
835000	850000	那這邊舉一個例子就是說,比如說我現在有一個金屬的棒子,那一樣我入射一個電磁波進來之後,因為這個尺度跟入射光波長比來講小很多,所以我可以直接用靜電靜磁的概念去近視這個共振的結果。
850000	867000	所以我入射光的電場如果是沿著這個方向震盪的話,我理論上可以在棒子的兩端分別累積正負電荷,那這個累積的正負電荷就可以讓我們等效成一個電偶,那這個電偶震盪之後就會再radiate出來另外一個電磁波。
867000	886000	那如果我們進一步去看這個結構的穿透光譜跟相位光譜的話,固定一個波長的情況下,很明顯可以看到說,如果我棒子的長度改變了,就像我剛剛講的,因為這個材料,這個meta surface或meta material,它本身的共振特性跟尺寸有很大的關係。
886000	902000	所以當我把長度變長或變短的時候呢,可以看到說它的共振波谷會隨著變,被平移,那這時候如果固定一個波長來看的話呢,它的正負或者是相位就可以被改變。
902000	921000	那大家非常關注的一個點就是相位的部分,這兩個都是模擬。那可以操控相位的話呢,我們就可以去進一步操控電磁波的波前,也就是它傳播的一些特性。
921000	940000	比如說我現在如果有一個sample的subtract,然後我錄製一個平面波進來之後呢,如果我表面有放一些我剛剛所謂的meta surface的nanostructure,那因為它的尺寸不一樣,所以它們感受到的相位偏移就會不一樣。
940000	957000	那相位偏移不一樣呢,就會讓它們在原廠傳播的相位延遲不一樣,導致說它們在原廠干涉之後重新可以reconstruct出另外一個波前,而這個波前是跟綠色光完全不一樣的。
957000	967000	雖然這個尺度遠小於綠色光波長,但我們卻可以藉由這種尺度非常小的結構去控制電磁波的特性。
967000	984000	那這邊就是一些應用的例子,這個可能就是,就是想講一下說,我們不只可以操控電磁波的正弧跟相位,其實波長啊、偏振啊都可以拿來被操縱,藉由這個meta surface。
984000	991000	那比如說它們就可以拿來做一些optical image,或者是做一些偏振轉換調製,這個我等一下會做介紹。
991000	1004000	這邊給大家一個很簡單的一個圖像,就是說這件事情到底為什麼可以這麼有趣,然後並且幫助我們去設計一些平面的光學元件。
1004000	1020000	我用一個最簡單以前就是我們的折射定律的圖來跟大家做解釋,比如說我們以前去用,如果我們用Haggans的principle去解釋折射這件事情的話,也就是說如果說我現在空間中有兩個材料,分別折射率是N1跟N2。
1021000	1034000	那我入射一個平面波進來之後呢,這個介面上每一個point它被入射光照射之後,我都可以把它視為是一個二次點光源。
1034000	1054000	所以這裡有一點一點灰白色的那個小點點,原色點點,我就是把它離散成每一個都是空間中的很小的一個point,那這個小的point它被跟入射光交互作用之後呢,我把它視為一個二次點光源。
1054000	1071000	那點光源它radiation出來的波淺就會是一個圓形的,那這個圓形最後就會在原廠reconstruct出另外一個波淺,那因為它們每一個平面都長一樣,所以它們radiation出來的phase沒有任何的延遲。
1071000	1081000	所以原廠的傳遞就會跟入射光一樣都是平面波,都是正向傳統。
1081000	1099000	那以前他們怎麼用hagons去解釋這件事情,就是當我現在是斜向入射的時候,大家可以看到說這個紅色的部分就是它的波淺,那這個波淺呢,它碰到這個介面上的時間會不一樣。
1100000	1110000	它會先碰到左邊這個點,所以左邊這個點被光碰到之後,它就會開始被視為第一個二次點光源,開始做radiation,就是開始做輻射。
1110000	1121000	然後接下來這個點被碰到了,但因為它比較慢被碰到,所以它會比較慢去產生輻射,以此類推到最後面這裡。
1121000	1141000	那因為它們被碰到的時間不一樣,我們就可以把它視為說它們radiation出來的相位是不一樣的,所以可以看到說它們產生的這個輻射的原型就跟這裡是不一樣大的,這邊就是隨著左到右是慢慢變小的,那就會造成它的等效的波淺是斜的。
1141000	1154000	主持人問-張彥有一個問題,他說transmittance的光譜主要是幾何設計決定,那resonance的Q-factor現在可以做到多高多低?
1154000	1164000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1184000	1194000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1214000	1224000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1244000	1254000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1274000	1284000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1304000	1314000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1314000	1324000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1324000	1334000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1334000	1344000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1344000	1354000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1354000	1364000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1364000	1374000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1374000	1384000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1384000	1394000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1394000	1404000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1404000	1414000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1414000	1424000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1424000	1434000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1434000	1444000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
1444000	1454000	主持人問-張彥有一個問題,他說transmittance的Q-factor現在可以做到多高多低?
