start	end	text
0	10000	整理&字幕志願者 李宗盛
30000	36000	他的研究領域非常有趣,是有關Arctic Ocean Sea Ice。
36000	42000	他是由清大資工碩士畢業。
42000	47000	非常有趣的,他也在中興文當過研發工程師intern。
47000	55000	他也曾經教書三年半,然後預計在明年春天畢業。
55000	61000	因此,大家可以來參觀他的研究領域,並且觀賞極光。
61000	66000	讓我們熱情地歡迎今天的講者,盧可凡。
66000	69000	謝謝大家。
69000	77000	今天為了不要讓大家覺得太無聊,然後加上這個領域可能比較沒有人知道。
77000	85000	我會先介紹北極海的整體地理環境。
85000	93000	我會先介紹北極海的整體地理環境。
93000	101000	我會先介紹北極海的整體地理環境。
101000	109000	我會先介紹北極海的整體地理環境。
109000	117000	我會先介紹北極海的整體地理環境。
117000	125000	我會先介紹北極海的整體地理環境。
125000	133000	我會先介紹北極海的整體地理環境。
133000	141000	我會先介紹北極海的整體地理環境。
141000	149000	我會先介紹北極海的整體地理環境。
149000	157000	我會先介紹北極海的整體地理環境。
157000	165000	我會先介紹北極海的整體地理環境。
165000	173000	我會先介紹北極海的整體地理環境。
173000	181000	我會先介紹北極海的整體地理環境。
181000	189000	我會先介紹北極海的整體地理環境。
189000	197000	我會先介紹北極海的整體地理環境。
197000	205000	我會先介紹北極海的整體地理環境。
205000	213000	我會先介紹北極海的整體地理環境。
213000	221000	我會先介紹北極海的整體地理環境。
221000	229000	我會先介紹北極海的整體地理環境。
229000	237000	我會先介紹北極海的整體地理環境。
237000	245000	我會先介紹北極海的整體地理環境。
245000	253000	我會先介紹北極海的整體地理環境。
253000	261000	我會先介紹北極海的整體地理環境。
261000	269000	我會先介紹北極海的整體地理環境。
269000	277000	我會先介紹北極海的整體地理環境。
277000	285000	我會先介紹北極海的整體地理環境。
285000	293000	我會先介紹北極海的整體地理環境。
293000	301000	我會先介紹北極海的整體地理環境。
301000	309000	我會先介紹北極海的整體地理環境。
309000	317000	我會先介紹北極海的整體地理環境。
317000	325000	我會先介紹北極海的整體地理環境。
325000	333000	我會先介紹北極海的整體地理環境。
333000	341000	我會先介紹北極海的整體地理環境。
341000	349000	我會先介紹北極海的整體地理環境。
349000	357000	我會先介紹北極海的整體地理環境。
357000	365000	我會先介紹北極海的整體地理環境。
365000	373000	我會先介紹北極海的整體地理環境。
373000	381000	我會先介紹北極海的整體地理環境。
381000	389000	我會先介紹北極海的整體地理環境。
389000	397000	我會先介紹北極海的整體地理環境。
397000	405000	我會先介紹北極海的整體地理環境。
405000	413000	我會先介紹北極海的整體地理環境。
413000	421000	我會先介紹北極海的整體地理環境。
421000	429000	我會先介紹北極海的整體地理環境。
429000	437000	我會先介紹北極海的整體地理環境。
437000	445000	我會先介紹北極海的整體地理環境。
445000	453000	我會先介紹北極海的整體地理環境。
453000	461000	我會先介紹北極海的整體地理環境。
461000	469000	我會先介紹北極海的整體地理環境。
469000	477000	我會先介紹北極海的整體地理環境。
477000	485000	我會先介紹北極海的整體地理環境。
485000	493000	我會先介紹北極海的整體地理環境。
493000	501000	我會先介紹北極海的整體地理環境。
501000	509000	我會先介紹北極海的整體地理環境。
509000	517000	我會先介紹北極海的整體地理環境。
517000	525000	我會先介紹北極海的整體地理環境。
525000	533000	我會先介紹北極海的整體地理環境。
533000	541000	我會先介紹北極海的整體地理環境。
541000	549000	我會先介紹北極海的整體地理環境。
549000	557000	我會先介紹北極海的整體地理環境。
557000	565000	我會先介紹北極海的整體地理環境。
565000	573000	我會先介紹北極海的整體地理環境。
573000	581000	我會先介紹北極海的整體地理環境。
581000	589000	我會先介紹北極海的整體地理環境。
589000	597000	我會先介紹北極海的整體地理環境。
597000	605000	我會先介紹北極海的整體地理環境。
605000	613000	我會先介紹北極海的整體地理環境。
613000	621000	我會先介紹北極海的整體地理環境。
621000	629000	我會先介紹北極海的整體地理環境。
629000	637000	我會先介紹北極海的整體地理環境。
637000	645000	我會先介紹北極海的整體地理環境。
645000	653000	我會先介紹北極海的整體地理環境。
653000	661000	我會先介紹北極海的整體地理環境。
661000	669000	我會先介紹北極海的整體地理環境。
669000	677000	我會先介紹北極海的整體地理環境。
677000	685000	我會先介紹北極海的整體地理環境。
685000	693000	我會先介紹北極海的整體地理環境。
693000	701000	我會先介紹北極海的整體地理環境。
701000	709000	我會先介紹北極海的整體地理環境。
709000	717000	我會先介紹北極海的整體地理環境。
717000	725000	我會先介紹北極海的整體地理環境。
725000	733000	我會先介紹北極海的整體地理環境。
733000	741000	我會先介紹北極海的整體地理環境。
741000	749000	我會先介紹北極海的整體地理環境。
749000	757000	我會先介紹北極海的整體地理環境。
757000	765000	我會先介紹北極海的整體地理環境。
765000	773000	我會先介紹北極海的整體地理環境。
773000	781000	我會先介紹北極海的整體地理環境。
781000	789000	我會先介紹北極海的整體地理環境。
789000	797000	我會先介紹北極海的整體地理環境。
797000	805000	我會先介紹北極海的整體地理環境。
805000	813000	我會先介紹北極海的整體地理環境。
813000	821000	我會先介紹北極海的整體地理環境。
821000	829000	我會先介紹北極海的整體地理環境。
829000	837000	我會先介紹北極海的整體地理環境。
837000	845000	我會先介紹北極海的整體地理環境。
845000	853000	我會先介紹北極海的整體地理環境。
853000	861000	我會先介紹北極海的整體地理環境。
861000	869000	我會先介紹北極海的整體地理環境。
869000	877000	我會先介紹北極海的整體地理環境。
877000	885000	我會先介紹北極海的整體地理環境。
885000	893000	我會先介紹北極海的整體地理環境。
893000	901000	我會先介紹北極海的整體地理環境。
901000	909000	我會先介紹北極海的整體地理環境。
909000	917000	我會先介紹北極海的整體地理環境。
917000	925000	我會先介紹北極海的整體地理環境。
925000	933000	我會先介紹北極海的整體地理環境。
933000	941000	我會先介紹北極海的整體地理環境。
941000	949000	我會先介紹北極海的整體地理環境。
949000	957000	我會先介紹北極海的整體地理環境。
957000	965000	我會先介紹北極海的整體地理環境。
965000	973000	我會先介紹北極海的整體地理環境。
973000	981000	我會先介紹北極海的整體地理環境。
981000	989000	我會先介紹北極海的整體地理環境。
989000	997000	我會先介紹北極海的整體地理環境。
997000	1005000	我會先介紹北極海的整體地理環境。
1005000	1013000	我會先介紹北極海的整體地理環境。
1013000	1021000	我會先介紹北極海的整體地理環境。
1021000	1029000	我會先介紹北極海的整體地理環境。
1029000	1037000	我會先介紹北極海的整體地理環境。
1037000	1045000	我會先介紹北極海的整體地理環境。
1045000	1053000	我會先介紹北極海的整體地理環境。
1053000	1061000	我會先介紹北極海的整體地理環境。
1061000	1069000	我會先介紹北極海的整體地理環境。
1069000	1077000	我會先介紹北極海的整體地理環境。
1077000	1085000	我會先介紹北極海的整體地理環境。
1085000	1093000	我會先介紹北極海的整體地理環境。
1093000	1101000	我會先介紹北極海的整體地理環境。
1101000	1109000	我會先介紹北極海的整體地理環境。
1109000	1117000	我會先介紹北極海的整體地理環境。
1117000	1125000	我會先介紹北極海的整體地理環境。
1125000	1133000	我會先介紹北極海的整體地理環境。
1133000	1141000	我會先介紹北極海的整體地理環境。
1141000	1149000	我會先介紹北極海的整體地理環境。
1149000	1157000	我會先介紹北極海的整體地理環境。
1157000	1165000	我會先介紹北極海的整體地理環境。
1165000	1173000	我會先介紹北極海的整體地理環境。
1173000	1181000	我會先介紹北極海的整體地理環境。
1181000	1189000	我會先介紹北極海的整體地理環境。
1189000	1197000	我會先介紹北極海的整體地理環境。
1197000	1205000	我會先介紹北極海的整體地理環境。
1205000	1213000	我會先介紹北極海的整體地理環境。
1213000	1221000	我會先介紹北極海的整體地理環境。
1221000	1229000	我會先介紹北極海的整體地理環境。
1229000	1237000	我會先介紹北極海的整體地理環境。
1237000	1245000	我會先介紹北極海的整體地理環境。
1245000	1253000	我會先介紹北極海的整體地理環境。
1253000	1261000	我會先介紹北極海的整體地理環境。
1261000	1269000	我會先介紹北極海的整體地理環境。
1269000	1277000	我會先介紹北極海的整體地理環境。
1277000	1285000	我會先介紹北極海的整體地理環境。
1285000	1293000	我會先介紹北極海的整體地理環境。
1293000	1301000	我會先介紹北極海的整體地理環境。
1301000	1309000	我會先介紹北極海的整體地理環境。
1309000	1317000	我會先介紹北極海的整體地理環境。
1317000	1325000	我會先介紹北極海的整體地理環境。
1325000	1333000	我會先介紹北極海的整體地理環境。
