start	end	text
0	10000	歡迎大家今天來到我們9月8號的Taira Talk
10000	13000	那今天我們的talk的題目是
13000	17000	Novel Applications of Hyperbolic Metamaterials
17000	24000	然後我們今天很榮幸可以請到那個台大應務所的博士生
24000	27000	林弘益同學來給我們這個演講
27000	30000	那我先簡單介紹一下弘益的background
30000	35000	弘益大學畢業於成大材料
35000	37000	碩班是中心材料
37000	42000	不好意思有人把
42000	50000	可以請Leo把你的speaker關掉嗎
50000	52000	OK好謝謝
52000	55000	然後林弘益同學大學畢業在成大材料
55000	57000	碩班是中心材料
57000	61000	那接下來他去成功領當了一年的分隊長之後呢
61000	65000	就去中研院的物理科學中心當兩年的研究助理
65000	67000	當時的指導老師是蔡定平主任
67000	70000	那他現在博班是在台大應務所
70000	74000	在陳永芳老師實驗室做研究
74000	76000	那接下來是即將升為博三
76000	78000	那他主要的研究方向是
78000	82000	開創新穎性的hyperbolic metamaterials的應用為主
82000	85000	那今天他講的題目是一個之前
85000	89000	之前沒有見過的超影材料的全新應用
89000	92000	那接下來就請林弘益來給這個演講
92000	95000	謝謝
95000	97000	嗨大家好我叫弘益林
97000	98000	林弘益
98000	100000	那我今天的題目就主要就是
100000	103000	normal applications of hyperbolic metamaterials
103000	108000	那我會叫這個hyperbolic metamaterials叫HMM
108000	111000	那首先我就先介紹一下什麼叫metamaterials
111000	113000	其實metamaterials之前的投影片
113000	116000	之前的speaker可能大家都有聽過
116000	119000	那metamaterials就是藉由不同的這種結構
119000	123000	去達到自然界沒有的現象
123000	126000	像是這種invisible cork
126000	129000	那或者是我可以把一些東西藏在這種裡面
129000	132000	然後藉由表面的一些不同的奈米結構
132000	135000	讓我的光無法偵測到裡面的東西
135000	138000	所以metamaterials基本上就是可以
138000	141000	做到一些像自然界無法
141000	144000	沒有的現象的光學的現象
144000	148000	那甚至有些人會用一些負折射的概念
148000	149000	做一些負折射
149000	152000	那一般我們折射都是這個positive reflection
152000	155000	那如果有一些metamaterials
155000	159000	它可以做到像是這種負折射的東西
159000	162000	那基本上這種概念都是藉由去調
162000	165000	去改變我的permittivity還有permeability
165000	168000	就是我光學的N的reflective index
168000	172000	折射係數是主要是跟我的μ跟α有關
172000	175000	所以我可以藉由調控不同的μ跟α
175000	178000	去達到我不同的光學特性的現象
178000	183000	那這基本上的概念就是叫metamaterials
183000	187000	那我做的方向主要叫hyperbody metamaterials
187000	189000	那它是算是一個metamaterials
189000	191000	另一個其中一個分支
191000	193000	那什麼叫hyperbody
193000	195000	hyperbody就是它的射散曲線
195000	197000	這個metamaterials的射散曲線是這種
197000	200000	各位可以看到像這種雙曲的
200000	203000	上下開或者它是左右開
203000	206000	那上下開的話就是type1
206000	207000	像這樣type1
207000	209000	那這個圓形的話
209000	211000	圓球基本上就是一般的材料
211000	213000	那我的hyperbody metamaterials
213000	216000	就是這種上下開type1或是type2
216000	218000	那type1的話
218000	222000	要怎麼達成這種type1的材料的射散曲線呢
222000	223000	那有些簡單的方法
223000	225000	基本上就是要兩種成分
225000	226000	第一個是金屬
226000	228000	第二個是介電子
228000	230000	那金屬的話就是
230000	233000	金屬的奈米線在一個directional環境
233000	234000	那這個金屬的奈米線
234000	236000	它是要一個規則性的排列
236000	237000	如果是random的話
237000	240000	它的射散曲線分布
240000	244000	就不會是這麼均勻的hyperbody的分布
244000	248000	所以像這種金屬奈米線
248000	251000	可以像是那種金屬的nanorod
251000	253000	或者是金屬nanorod
253000	255000	然後在一個directional
255000	257000	像是polymer的環境裡面
257000	259000	那我有看過有些人就說
259000	262000	這也是type1的hyperbody metamaterials
262000	264000	那另一個type2
264000	266000	另一個type2 hyperbody metamaterials
266000	268000	就是像這種多層膜的東西
268000	271000	多層膜就是像金屬跟介電子的多層膜
271000	272000	週期性的結構
272000	275000	然後它是需要有一個很多個pair數
275000	277000	那大概三四個pair
277000	279000	五六個pair以上都可以
279000	280000	當然我有看過有些人
280000	282000	鍍到十幾二十個pair
282000	286000	那這樣的話就是鍍膜的條件
286000	288000	鍍膜的那個品質就要非常好
288000	289000	那不然你鍍到上面的話
289000	290000	它不是膜
290000	294000	就不是這種hyperbody metamaterials的曲線
294000	296000	的分布了
296000	298000	那基本上HMM
298000	302000	我們都稱為這個hyperbody metamaterials叫HMM
302000	304000	那HMM它就是有這兩種結構
304000	306000	那我比較常做就是這種多層膜
306000	307000	因為這個很簡單
307000	308000	就是直接用
308000	311000	我們是用SERMO去鍍膜的
311000	313000	然後去鍍一些金屬膜跟介電子膜
313000	315000	這樣交錯的多層膜
315000	316000	還有其他的方法
316000	319000	可以達到這種multilayer結構
319000	322000	那我今天也會再額外再介紹一下這個東西
322000	325000	那這種HMM有什麼好處呢
325000	326000	有什麼特點呢
326000	328000	各位可以看到這是它的wave vector
328000	331000	所以它會有很多的wave vector的mode
331000	333000	存在在裡面
333000	335000	然後
335000	338000	那還有wave vector的mode存在
338000	340000	它有什麼好處
340000	342000	最大好處就是它density of state是很大的
342000	345000	那各位可以看一下Framingh-Gordon law
345000	346000	我大概稍微提一下就好
346000	350000	那Framingh-Gordon law的transition rate
350000	352000	它是正比於我的density of state
352000	354000	那density of state又正比於我的wave vector
354000	357000	所以我的wave vector的mode很高
357000	359000	我的density of state又大
359000	362000	那density of state大的話代表我的transition rate又高
362000	364000	transition rate高代表什麼意思呢
364000	365000	各位可以看一下
365000	366000	等一下
366000	369000	就是像如果我的PO的熒光分子
369000	370000	它可以讓它
370000	372000	我的放光會比較多
372000	375000	所以我的一個熒光分子放在我的HMM上面
375000	377000	它發光會比較多
377000	379000	因為它在我的excited state
379000	380000	跳到ground state
380000	382000	它可以放存的量比較多
382000	386000	所以它的意思就是
386000	389000	以熱輻射形式消耗的形式會比較少
389000	391000	因為它放出來的形式會比較多
391000	394000	那基本上我們放一些熒光分子或染料
394000	396000	在這個HMM基板上面
396000	399000	都會有一個比較增強的趨勢
399000	402000	那我稍微比較了一下HMM
402000	406000	我們這種HMM跟其他的材料的概念
406000	407000	是怎樣的分佈
407000	408000	是怎樣的概念
408000	410000	像通常我們有一些directive
410000	412000	就是像什麼SL2或TR2
412000	415000	它的射算曲線就是一個很規則的
415000	418000	這種linear的射算曲線
418000	420000	那它的isofrequency surface
420000	422000	如同大家所看到的
422000	425000	是一個正圓球
425000	428000	那它的density of state
428000	429000	大概就是長這樣子
429000	432000	就是比較沒那麼多的
432000	434000	可以看到這張圖
434000	436000	那metal dielectric的現象就是
436000	438000	像這個基板就是dielectric
438000	441000	上面我可能鍍了一些金屬的nanoparticle
441000	443000	那各位可能有看過
443000	445000	這是什麼Persimmonics的增強
445000	448000	那就是像我在TR2或SL2
448000	450000	TR2上面鍍了一些金屬顆粒
450000	452000	金顆粒或銀顆粒
452000	454000	然後去可以增強光學解的應用
454000	457000	那像這種概念就是metal and dielectric
457000	461000	那是因為金屬跟介電子的介面
461000	463000	會有產生一個很強的local field
463000	465000	那這種local field
465000	469000	這種叫surface persimmon polariton
469000	470000	那這種surface persimmon
470000	473000	它可能只有在特定的錄射光
473000	476000	還有頻率才可以激發它
476000	478000	所以像這種金屬或介電子
478000	482000	在這種dielectric上面的增強行為
482000	485000	這種就是我們俗稱的
485000	488000	surface persimmon polariton的增強
488000	491000	那這個最右邊的這個
491000	493000	就是metal nanoparticle
493000	495000	這是一個金屬nanoparticle
495000	496000	光打過去以後
496000	499000	會有產生不同的電場增強的行為
499000	502000	那像不過這種電場增強的行為
502000	504000	也是有特定的頻率
504000	506000	或者特定的方向
506000	508000	才可以激發比較多的東西出來
508000	510000	比較多的能量出來
510000	511000	所以這種增強的行為
511000	513000	也算是一種算是離散的
513000	514000	而不是一個很
514000	516000	很broadband的enhancement
516000	519000	那我之所以會選做HMM
519000	521000	就像這個東西第三欄
521000	524000	是因為HMM它是有很多的一個
524000	527000	density of state存在
527000	528000	然後不同角度
528000	530000	也可以激發不同的
530000	531000	魔態的出來
531000	533000	所以可以讓我的這個
533000	535000	上面的螢光分子
535000	536000	或者是其他的材料
536000	537000	或者是染料
537000	539000	它在達到PO增強
539000	542000	PO就是photoluminescence的增強
542000	543000	或是達到雷射的增強
543000	545000	都有一定的效果
545000	546000	那我在後面的投影片
546000	549000	也會稍微跟大家介紹一下
549000	552000	那這就是基本的材料的概念
554000	556000	那我稍微列了一下
556000	558000	HMM它有什麼應用呢
558000	560000	HMM它因為
560000	562000	因為前面有提到
