start	end	text
0	10000	- 大家好,歡迎大家來到今天2月23日的TARA TALK,
10000	15000	我們今天很歡迎我們的講者張燕永同學,
15000	21000	張燕永同學目前在加州理工學院做博士生,
21000	26000	我先簡單介紹一下張燕永同學的背景,
27000	31000	張燕永同學在大學和碩士的時候,
31000	36000	在台大做微中值和Gamma Ray天文望遠鏡的硬體開發,
36000	41000	當時他發現他很喜歡在實驗室裡面勾一些儀器,
41000	46000	他也確定了他很不喜歡天體和天文的物理,
46000	51000	所以之後他在碩士的時候,以及到他出國轉換的期間,
51000	56000	他發現他很喜歡測量基本物理的性質,
56000	61000	所以他還是想要做一些前衛的硬體,
61000	66000	他現在在Caltech做的是Super CDMS,
66000	71000	他想要測量暗物質,並且在NASA JPL,
71000	76000	就是噴射推進實驗室開發新的實驗儀器和技術,
76000	81000	目前還在學,應該很快就畢業了。
81000	86000	我們今天很歡迎張燕永來給大家他的講座。
86000	91000	張燕永議員
91000	96000	張燕永議員
96000	101000	張燕永議員
101000	106000	張燕永議員
106000	111000	張燕永議員
111000	116000	張燕永議員
116000	121000	張燕永議員
121000	126000	張燕永議員
126000	131000	張燕永議員
131000	136000	張燕永議員
136000	141000	張燕永議員
141000	146000	張燕永議員
146000	151000	張燕永議員
151000	156000	張燕永議員
156000	161000	張燕永議員
161000	166000	張燕永議員
166000	171000	張燕永議員
171000	176000	張燕永議員
176000	181000	張燕永議員
181000	186000	張燕永議員
186000	191000	張燕永議員
191000	196000	張燕永議員
196000	201000	張燕永議員
201000	211000	整理&字幕志願者sign up
231000	241000	整理&字幕志願者sign up
261000	271000	整理&字幕志願者sign up
271000	281000	整理&字幕志願者sign up
281000	301000	整理&字幕志願者sign up
301000	311000	整理&字幕志願者sign up
311000	321000	整理&字幕志願者sign up
321000	331000	整理&字幕志願者sign up
331000	341000	整理&字幕志願者sign up
341000	351000	整理&字幕志願者sign up
351000	361000	整理&字幕志願者sign up
361000	371000	整理&字幕志願者sign up
371000	391000	整理&字幕志願者sign up
391000	401000	整理&字幕志願者sign up
401000	421000	整理&字幕志願者sign up
421000	441000	整理&字幕志願者sign up
441000	461000	整理&字幕志願者sign up
461000	481000	整理&字幕志願者sign up
481000	501000	整理&字幕志願者sign up
501000	511000	整理&字幕志願者sign up
511000	531000	整理&字幕志願者sign up
531000	551000	整理&字幕志願者sign up
551000	571000	整理&字幕志願者sign up
571000	591000	整理&字幕志願者sign up
591000	611000	整理&字幕志願者sign up
611000	631000	整理&字幕志願者sign up
631000	651000	整理&字幕志願者sign up
651000	671000	整理&字幕志願者sign up
671000	691000	整理&字幕志願者sign up
691000	711000	整理&字幕志願者sign up
711000	731000	整理&字幕志願者sign up
731000	751000	整理&字幕志願者sign up
751000	771000	整理&字幕志願者sign up
771000	791000	整理&字幕志願者sign up
791000	811000	整理&字幕志願者sign up
811000	831000	整理&字幕志願者sign up
831000	851000	整理&字幕志願者sign up
851000	871000	整理&字幕志願者sign up
871000	891000	整理&字幕志願者sign up
891000	911000	整理&字幕志願者sign up
911000	931000	整理&字幕志願者sign up
931000	951000	整理&字幕志願者sign up
951000	971000	整理&字幕志願者sign up
971000	991000	整理&字幕志願者sign up
991000	1011000	整理&字幕志願者sign up
1011000	1035000	整理&字幕志願者sign up
1041000	1061000	整理&字幕志願者sign up
1061000	1081000	整理&字幕志願者sign up
1081000	1101000	整理&字幕志願者sign up
1101000	1121000	整理&字幕志願者sign up
1121000	1141000	整理&字幕志願者sign up
1141000	1161000	整理&字幕志願者sign up
1161000	1181000	整理&字幕志願者sign up
1181000	1201000	整理&字幕志願者sign up
1201000	1221000	整理&字幕志願者sign up
1221000	1241000	整理&字幕志願者sign up
1251000	1271000	整理&字幕志願者sign up
