start	end	text
0	29900	OK,好,那我就開始了,就是,呃,就你們知道我的名字就是叫王主姨,那比較好記的方式就是主姨的音跟那個竹子做的椅子一樣,那我是我是去年畢業於南加州大學,呃,機械工程的博士,然後今天我要講就是跟我的論文和做目前在做研究也是有相關,就是我們有一個framework,叫做innovative design framework,
30900	41500	那它是一個就是引導在做設計的人要怎麼去做設計的,那今天主要focus在conceptual design概念性設計這一塊,
43420	55580	所以我大概會介紹它的background,那conceptual design它主要有兩個phase,一個是concept generation,一個是concept improvement,所以也會講一下這樣子,
56580	70060	那呃,所以background的地方我會簡單介紹一下我自己,然後接下來就是講一些比較主要的一些,這我們在講的一些名詞,然後介紹一下他們是什麼這樣子,
70900	94180	所以我中文的字是這樣寫,就是字可能看起來很難念,那他就是主姨王主姨這樣子,所以我是去年就是在呃,USC機械工程的呃,畢業拿到博士學位,那其實我之前是在臺灣大學應用力學研究所做光學設計的研究,
94620	115940	然後在大學的時候是在就是生物產業積電工程,所以其實如果這樣一路看起來就是,其實我做的東西有點雜,但是都離不開一個就是說他跟系統的整合系統設計方面其實是都息息相關的,
115940	145860	然後所以我現在在做,我現在在做的工作呢,其實一方面是在做博士後的研究,然後同樣跟我同樣的指導教授,就是Steven Lu,然後在USC做博士博士後的研究,那這個部分其實也很感謝,就是臺灣跟USC有一些合作的方案,然後這是其中一個有founding的支援的學位,
145860	172620	就是博士後的postdoctoral fellowship的支持,所以我才可以繼續在USC,然後做博士後研究,然後另外也做了一點行政事務,就是開頭比較好聽的manager,那其實就是在幫那個產品設計的碩士學程,在做一些跟處理學生事務啊,還有跟老師之間做的一些溝通和program的維持這樣子。
173260	201260	所以也因為這樣子,我有機會在USC也有教課,就是擔擔任兩門課的的授課講師,那一門課它是主要這兩門課都一樣,都是在那個product development engineering這個program裡面的課,那他們主要在講的一門課,545這門課主要是比較講說,在以以
202260	224100	市場方面市場導向的方式去思考說,我們要怎麼做設計,然後另外一門課是,呃,新的課之前在USC沒有,但我會即將再把這門課在USC正式開課,他就是在講conceptual design的部分,就概念性設計。
224100	254060	所以,呃,這就是今天今天的講題,今天講題就是說,要講說這個innovative design thinking在講些什麼,然後我會focus在conceptual design這部分,也因為這這也是我的專長的地方這樣子,那其實所謂design framework就是說,它是給一個框架,它不是說一個告訴你一個方法說要怎麼做,但是它是
254380	282500	告訴你說好,我這一步一步來,我要怎麼去做,那如果你follow這個框架去做設計的話,可以讓你有比較好的結果這樣子,那所以我們所謂我們在說框架的時候,我們說它是一個prescriptive,就是有點像說醫生給給你的處方,它是根據你的症狀啊,這些種種他的經驗,他認為說這個方式是比較好的。
283340	302300	然後然後你可以照著這個做,那可以讓你的病醫好,所以他所以我們說是framework,我們不是給一個一個方法,因為在這個framework裡面可能會告訴你說,建議你說在這個階段你可以用什麼方法,在那個階段你可以用那個方法之類的。
303300	317180	然後今天的話,其實就是idt這個這個framework,它是串聯整個設計的過程,它不是只有一個,只有在conceptual design的部分。
318060	330580	但我今天講的題,因為我們也沒有那麼多時間,然後還有就是我做的主要的我自己的研究也是在conceptual design的地方,所以這是今天要講的部分這樣子。
330980	355460	那在進入正題的時候呢,就是有一個小笑話跟大家分享,也是我我每次在在那兩門課開頭的時候就會問學生,就是說如果假設我們有有五個,有五隻鳥在樹上,然後呢,一個獵人他開了一槍,那到底有幾隻鳥他在還在樹上呢?
356460	359460	你們有人要試著回答看看嗎?
363460	366460	飛走了,全都飛走了。
367460	377460	好,那因為因為我是出題的人嘛,所以我就告訴你說這個答案呢,其實是三隻,但為什麼是三隻呢?
379460	384460	為什麼這應該是說為什麼這三隻還會還會留在樹上?
387460	392460	理論上來說,開槍應該是要飛走嗎?那為什麼他們還在樹上?
393460	396460	他們靜待了。
397460	422460	呃,對,有可能是,但是呢,這三隻呢,他們其實很聰明,他們是engineer,但是呢,因為他們想說他們要追求optimal path,所以呢,他們還在算說怎麼樣飛才不會被獵人下一槍開到啊,怎麼樣飛才會才是最好的路徑,所以他們還在算,所以他們因為還在算,所以還沒起飛,所以他們還在樹上。
423460	436460	然後呢,我們就有第二個問題,第二個問題就是說,那總共五隻鳥嘛,那有三隻還在樹上,有兩隻不就是飛了嗎?那他們發生了什麼事呢?
438460	442460	他們成功飛走了呢?還是被射死了呢?還是怎麼樣了呢?
442460	445460	他們下雲了。
472460	480460	因為是manager,所以太久沒有在做計算的事情了,他們已經忘記怎麼飛了,所以就跌到了地上。
