start	end	text
0	5000	Hello,我是今天主持人,我是Ted。
5000	12000	今天很高興邀請到來自University of Amsterdam的陳俊嘉。
12000	16000	他今年是他的博班最後一年了。
16000	24000	我跟他大學就認識了,也是電機系的學弟。
24000	28000	很高興有人跟我一起想不開來轉念物理。
28000	34000	陳俊嘉念的是Atomic Physics。
34000	41000	一開始我有做過一點,但是我做的是ion燈,跟BEC有差很多。
41000	45000	我覺得BEC的物理上真的非常非常的酷。
45000	50000	這個領域發展了現在二十幾年了吧。
50000	53000	總共BEC的歷史大概多少?
54000	58000	有啦,1995算的話,二十多年了。
58000	66000	從更早大家就想做了,那1995年才做出來。
67000	77000	那今天俊嘉的題目就是Steady State Ultracold Cesium Near Quantum Degeneracy,
77000	84000	然後在講Application in CW Atom Laser and Clocks。
84000	91000	他們的實驗室也得到最近歐洲Quantum Flagship之一喔。
92000	96000	所以說不定我們可以聽到一些很新奇的事情,
96000	101000	看看歐洲在這方面的發展是有什麼打算的。
101000	107000	那我就不多說了,那就請俊嘉準備開始演講吧。
107000	109000	好,謝謝喔!
111000	120000	首先要謝謝建元給這個機會,讓我稍微介紹一下博士班在做的題目。
120000	130000	首先要先更正一下,我在做的是Strontium,不是Cesium,是2A族的元素。
130000	138000	我們實驗的目的當然就是,就像我Title裡面講的,我們要達成一個Steady State。
138000	146000	原則上最終目的是要達成一個連續的原子雷射。
146000	156000	那當然在達成那個最終目標之前,你要先達成第一階段連續的波斯愛因斯坦凝結。
156000	167000	那這是一個原則上到現在還沒達成的一件事情,那我們實驗室原則上就是希望可以挑戰它。
168000	177000	那我們現在就像實驗室的進度原則上就像我Title裡面提到的Steady State的Ultra-Cold Strontium。
177000	184000	那原則上我們已經非常接近到Quantum Degeneracy的狀態。
184000	190000	那當然就是現在還沒有達到,不過原則上我會稍微報告一下我們現在的進度。
190000	201000	那當然也會提一下就是說在我們發展的這些技術上面對於CW Atom Laser跟CLOX的一些應用。
201000	208000	那Title封面當然就是我們實驗室的,就是我們整體的實驗架設。
208000	224000	那當然,實驗上面我們有一個步驟,原則上有用到一些C++的一些冷卻機制。
224000	227000	那在接下來的演講也會稍微介紹一下。
227000	235000	那首先這是我原則上今天Talk的Outline,就是說我會先稍微解釋一下我們是誰,我們在哪邊,我們為什麼要做這些東西。
236000	243000	然後接下來會稍微提一下所謂我們用到的技術,比如說雷射冷卻,然後什麼叫BEC嘛。
243000	256000	那原則上接下來就會提一些兩個,就是我個人比較有興趣的應用,就是原子鐘跟原子干涉儀。
256000	271000	那會介紹一下Strontium,那還有原則上我們實驗上面,目前我們實驗上技術達到的所謂Laser Cooling Strontium to Bose-SanSan Condensate。
271000	280000	那接下來就是會介紹一下我們整個實驗的實驗架設。
280000	298000	那三個主要的成果,就是比如說Ultra High Phase Space Density的Mod,還有我們怎麼樣達到原則上Steady State的Unity Phase Space Density。
298000	305000	然後接下來當然會介紹一下就是我們發展的其中一個冷卻技術,Cisverse Optical Lattice Decelerator。
305000	317000	那接下來我會給一下Outlook,那首先我先介紹一下我碩士班原則上是在台灣的原本所做我的碩士班的實驗。
317000	325000	那原則上我實驗室實現一個全光學式的Rubinium的Bose-SanSan Condensate。
325000	332000	那也是因為這個因素,我對雷射冷卻原則上產生一些興趣。
332000	342000	那也就是說我在申請博士班的時候,因為當兵的時候原則上那些英文考試的準備比較不順利。
342000	348000	所以比如說我托福可能就是沒考到,那後來我想說那我就乾脆來歐洲做好了。
348000	358000	那時候因為當然在碩士班研究的時候念了一些Paper,知道說原則上在奧地利有Innsbruck,原則上有不錯的團隊。
359000	366000	那我就想說那時候就試著申請看看,那後來順利申請到原則上就是Rudy Greene他的實驗室。
366000	382000	那那個時候我申請到的組原則上是做Strong Sam,那但是後來我的小老闆原則上就是我們實際的老闆Florian,他後來就是申請到教職要搬來阿姆斯特丹,所以我才會來阿姆斯特丹做。
383000	390000	那阿姆斯特丹原則上有一個蠻有趣的歷史淵源,就是這個人,他叫Yoke Worven。
390000	406000	原則上一開始BC在想要達成波斯漢因斯坦凝結的時候,一般人還沒有考慮EA組元素,他們是想要在氫原子裡面實現波斯漢因斯坦凝結。
406000	415000	那Yoke Worven原則上他的實驗室在阿姆斯特丹就是做氫原子的冷卻,然後想要達成波斯漢因斯坦凝結。
415000	422000	所以說原則上我們在阿姆斯特丹有一些這種雷射冷卻的歷史淵源。
423000	435000	當然我們從奧地利搬來阿姆斯特丹也是一番折騰,原則上這就是我們在阿姆斯特丹的實驗團隊。
437000	440000	首先我先來介紹一下什麼是波斯漢因斯坦凝結。
440000	449000	我們都知道原則上W1物質波就是講到說原則上物質都有,你可以有波的性質也可以有粒子的性質。
449000	457000	那當然取決於你的溫度條件去決定你的一個物質波波長的一些特性。
457000	468000	那當然我們就知道說在比較高溫條件下面的時候原則上物質它,原子它表現比較屬於粒子性的行為。
468000	475000	那當你溫度降下去的時候,它W1物質波的關係是告訴你說它的波長慢慢會變大。
475000	482000	那你還是要用一些波動的性質去描述你的粒子的一些行為。
482000	497000	那當然你越接近你的那臨界溫度的時候,你的物質波的波長開始有點像是說開始重疊,那你越來越沒辦法去分辨說粒子。
497000	506000	那最後當然在理論上面T equals 0的時候你就會達成一個所謂的波塞因斯坦凝結態。
506000	525000	那畫面上是原則上是在MIT的團隊他們在1997年測試的,就是說他們實現讓兩個波塞因斯坦凝結去做干涉。
526000	537000	那實驗上面當然他們就是首先先實現一個波塞因斯坦凝結,他們把一個原子團分成兩個,所以說最後形成兩個波塞因斯坦凝結。
537000	545000	然後他讓它去做干涉,那你就會看到原則上很明顯的物質波的干涉條文。
545000	566000	那BEC實現之後原則上首先它是一個物質波,那他們實驗上面當然就會想說那跟雷射一樣,他們就是在實驗上面試著去達成一些物質雷射的一些demonstration basically。
567000	579000	那你可以把它想就是說就是BEC原則上就是在它就是一個optical cavity,那你所有原子就是在佔據所謂的一個cavity mode裡面。
579000	593000	那你試著把這個原子波物質波從cavity裡面out couple出來之後就原則上就實現這些原子雷射的一些現象。
594000	606000	那當然在實驗上面目前的技術就是原則上只能達成,就是沒辦法達成連續式的物質雷射。
606000	627000	所以說原則上你要達成連續式的物質雷射,你當然實驗上面需要一些,你要先達成一些,首先你要有連續的BEC,那達到連續的BEC你要有連續的一些冷卻技術,連續的蒸發冷卻,或者是一些連續的trap loading。
627000	642000	那這些東西原則上很多人在過去20年來都試著想要去實現它,那當然最後都是還沒有達成最終的目標,就是連續式的原子雷射。
642000	666000	那所以原則上這件事情還是非常困難的一件事,那之所以會這麼困難是因為比如說BEC它的實現條件原則上我們都看這個所謂的相空間密度,那你可以想像說就是對於一般水而言它在低溫的條件下面,它可能它就已經先結冰了。
