start	end	text
0	20000	大家好,歡迎大家來到Tarot Talk,今天我們很榮幸能請到現在在猶他大學在鹽湖城念書的吳欣梅來跟我們講今天的題目,
20000	30000	今天的題目是Studying the Recharge Cycle of the Old-Faith Geyser with Seismic Arrays。
30000	46000	所以欣梅現在在猶他大學念地質系,她之前是台大地質所畢業,然後來美國念地質的PhD,然後她去年還是今年剛拿到Canada,對不對?
46000	52000	好,那她今天跟我們講的題目就是這個。
52000	56000	好,那開始吧,謝謝。
56000	74000	好的,首先我想要說的是,我今天的內容跟上次的內容其實有一點點重複,然後這次要講的主要是接續上次講完剩下的部分。
74000	85000	因此,關於上次的內容,我會提供一些介紹,因此您還記得,因此您不太可能會發現它們有一點點重複。
86000	91000	我們大學的研究中心主要是用地震資料來研究地震。
91000	103000	一般來說,我們會說地震資料,但是最近幾個世紀,地震已經不是主要的來源,所以我稍後會多做解釋。
103000	121000	我們會去布置一些儀器,接收地面震動的訊號,然後研究舊中石噴泉,就是舊中石噴泉在Yellowstone,它是怎麼復原的,因為它是Pirates的舊石噴泉。
122000	124000	如果您曾經到過黃石,請留意。
125000	133000	首先,右邊的圖片是我拍攝的舊石噴泉,我們在布置時拍攝的。
133000	143000	我們通常在冬天去布置,會有很多雪,您可以看到地面上蓋著白色的雪,但是整個地區都是熱的。
143000	148000	像它噴出來的這些水,都是非常高溫的水。
149000	160000	今天的講座,首先我會說一下Geyser,讓大家了解一下Geyser到底是怎麼樣的東西,然後我會縮小一下話題,專門講歐非所的Geyser。
161000	166000	接下來,我會說一下我們目前做的結果。
166000	181000	最後,如果還有時間,我會說一下我們現在正在做的預測,我們想要預測歐非所會怎麼復原,什麼時候會復原。
182000	185000	首先,我會說一下Hydrothermal Season。
185000	189000	Geyser是一種Hydrothermal Season。
189000	204000	Hydrothermal Season,我有一個網頁,National Geographic,它不是專門做Hydrothermal,而是做黃石的一些很酷的動畫。
205000	216000	黃石,我們知道它下面有一個非常大的岩漿庫,所以下面在地表很深的地方,它其實是非常熱的,有很多岩漿。
219000	228000	像這個,你可以看到它的規模是二十三十幾公里,這是一個非常大的、比較深的地方。
229000	244000	我們要說的Hydrothermal Season,其實是在最前最前的地方,它不是直接有岩漿,不是某些地方你可以直接看到岩漿,而是下面有很熱的東西在幫比較淺層的水加熱。
245000	270000	因為我們都知道,比較淺的地方,可能幾百公尺,它們是地下水層,然後地下水層之下有那種很熱的岩漿,它會提供很多的熱,然後會,比如說,你可以看到下面這張圖,它這個地層呢,它有很多的Fracture,就是有很多的裂縫裂隙。
271000	281000	這是地下水層,因為水其實你也知道,哪邊有縫隙,它就會往哪邊轉,所以它其實是在裂縫裂隙裡面充滿了很多地下水。
281000	310000	然後,由於下面的岩漿加熱的話,它就會,就是水會到那種Boiling的臨界點,它會提供壓力啊,溫度,然後如果你這個裂縫裂隙,它其實是一個Closed的Season,就是它不是,就是它的壓力和溫度會因為這個Season是Closed,它會逐漸的,我會說是Building up它們的Temperature跟Temperature。
