start	end	text
0	15000	謝謝大家來到這次的 TARA 演講,這次很高興我們邀請到來自加拿大英屬哥倫比亞大學 UBC 的林素景博士
15000	29000	林博士他過去受的訓練,他的大學是在中山醫學大學,是醫學影像暨放射科學系
29000	35000	他在大學畢業之後,他就取得中華民國醫事放射師的資格
35000	46000	不過因為他對學術研究有很大的興趣,所以他後來攻讀了陽明大學的腦科學研究所的碩士班
46000	56000	碩士班之後也在陽明大學榮總台北市立醫院和交通大學等單位擔任研究助理
56000	64000	12年的時候他就到 UBC 加拿大的英屬哥倫比亞大學開始神經科學的博士班
64000	68000	他最近畢業,在2018年畢業
68000	74000	今天的演講主要就是他當時博士論文口試的內容
74000	79000	很高興也很感謝他能來跟我們分享
79000	88000	關於神經疾病的大腦功能性連結和一些認知功能的關聯
88000	94000	我們請大家用掌聲來歡迎他
110000	112000	謝謝主持人的介紹
112000	117000	我今天要講的這個東西其實基本上就是我之前PhD論文裡面做的事情
117000	126000	那今天整個演講的架構,大家會基本上就是依照我每一個論文裡面的每一個章節這樣順序
126000	128000	照章節順序這樣講下來
128000	132000	那這個title有點長,我還是講一下好了
132000	134000	我整個論文的title叫做
135000	150000	那簡單而論就是用FMI的方式去看在有神經性疾病的病人裡面
150000	154000	他們的大腦功能性連結跟認知功能之間的關係
154000	157000	好,那我們就接下去
157000	161000	我總共寫了七章
161000	167000	所以原則上整個PowerPoint,整個presentation會就follow每一個章節的順序
167000	171000	但是第一個部分的話,我會把第一章跟第二章放在一起
171000	175000	第一章跟第二章放在一起的目的是要給大家一個簡單的介紹
175000	179000	包括這兩個疾病,還有他們臨床上的一些表徵
179000	181000	那另外我會把第二章放在一起講
181000	185000	是因為第二章其實我們純粹是做行為學的研究
185000	191000	所以統整而論會給大家一個比較全面性的簡介
191000	195000	再來第三章到第六章是跟FMI相關的部分
195000	201000	簡而言之,我們用了不同的方式去分析Residency FMI data
201000	205000	然後我們得到了不同的測量,不同的measurement
205000	211000	然後我們一方面是希望看到不同的measurement是不是可以當成biomarker
211000	214000	去明顯地區分病人跟正常受試者
214000	219000	然後第二個目的是要看這些measurement是不是跟認知可能有相關
219000	222000	然後第七章就是summary
222000	228000	接下來,第一章跟第二章的部分
