start	end	text
0	2000	張昌明博士,
2000	6000	他目前在德國的Technical University of Munich
6000	8000	做他的Postdoc,
8000	10000	他今天主要的演講主題是
10000	14000	Photoelectrochemical Solar Field Production
14000	16000	Progress and Prospects。
16000	18000	張昌明本身是
18000	20000	科技研究院教授,
20000	22000	他在德國的教育研究院
22000	24000	是科技研究院教授,
24000	26000	他在德國的教育研究院
26000	28000	是科技研究院教授,
28000	32000	張昌明本身是在台大化學做
32000	34000	唸他的Undergrad,
34000	36000	之後他就到UC Berkeley唸他的PhD
36000	38000	還有他的Postdoc,
38000	40000	他現在是在德國進行他第二個研究。
40000	42000	那我們今天很高興
42000	44000	歡迎張昌明給我們
44000	46000	介紹他最新的演講,謝謝。
46000	48000	好,謝謝宇童。
48000	50000	大家好。
50000	54000	我這樣聲音可以嗎?
54000	56000	可以。
56000	60000	先道歉一下,
60000	62000	如果我今天講話有點卡,
62000	64000	那是因為我這邊
64000	66000	歐洲時間是早上五點,
66000	69000	所以現在正在喝我的第一杯咖啡,
69000	71000	所以可能會有點遲鈍一點。
71000	75000	那如果過程中大家有什麼問題
75000	78000	就可以隨時打斷我,沒關係。
78000	84000	那現在回頭看之前設定的題目
84000	86000	好像有點太Broad一點,
86000	88000	但是基本上今天是講
88000	90000	是想要跟大家分享
90000	92000	過去這兩三年
92000	98000	我博後中間的一些成果這樣子。
98000	102000	那從
102000	105000	我覺得我們角度是說
105000	110000	以人類來講我們需要用到非常非常多的能源。
110000	113000	那這是一個統計的資料是
113000	116000	目前全人類
116000	122000	每一年大概是平均消耗18TW的能源。
122000	125000	那當然隨著科技進步
125000	127000	這個數字會一直增加。
127000	130000	大家是預估說在30年左右
130000	132000	這個數字會增加到60個TW。
132000	136000	那代表說我們需要找一個新能源的來源。
136000	138000	那目前為止
138000	140000	大部分這些能源都是從
140000	142000	所謂的化石能量過來的。
142000	146000	那當然我們一直燒化石能量代表說
146000	150000	我們就每年不斷地把二氧化碳排到大氣當中。
150000	152000	那我們也可以看到
152000	154000	因為這樣
154000	157000	這個是UC San Diego的一個Project
157000	161000	他們從1950年代就開始
161000	163000	從夏威夷追蹤
163000	165000	大氣中二氧化碳的濃度。
165000	167000	那我們可以看到在2015年
167000	171000	這個濃度已經正式突破400個ppm這個關卡。
171000	175000	那當然這也造成所謂的全球暖化的問題。
175000	179000	那為了解決這個問題
179000	183000	那代表說我們要同時要找新的能源的來源。
183000	186000	然後又要同時避免說
186000	188000	製造更多的二氧化碳。
188000	191000	那代表說我們要尋找一些
191000	193000	不會排放二氧化碳的能源。
193000	198000	那一個很理想的選擇當然就是太陽能。
198000	200000	那比如說這邊我們可以看
200000	202000	我們每年地球表面
202000	206000	太陽能的入射的能量就有
206000	210000	12萬個TW
210000	214000	那這是遠遠超過我們的需求。
214000	218000	那所以這幾年我們也知道
218000	222000	全球各地太陽能的裝置一直在增加。
222000	224000	不過到目前為止大概在
224000	226000	三四百個GW
226000	231000	所以在裝置能量上面還有一段時間要走。
231000	234000	但是我們也可以預見到一個問題是
234000	236000	太陽能這個來源
236000	239000	它並不是一個非常穩定的來源。
239000	245000	它是跟天氣然後跟季節有關係。
245000	247000	所以我們需要有一個
247000	250000	把多餘的太陽能儲存下來的方法。
250000	255000	那這方面大部分就有兩個方向。
255000	258000	一個當然就是所謂的發展電池。
258000	263000	那這個一個大部分我今天是不會講。
263000	266000	就不是我自己的範圍。
266000	268000	但是在另外一個部分就是用
268000	273000	除了用電池的方法把能源儲存下來之外
273000	276000	我的領域是怎麼用
276000	280000	把多餘的太陽能用化學能的方法儲存下來。
281000	284000	那這個方法
284000	286000	大家怎麼做到這件事情呢?
286000	289000	那基本上我們的目標是
289000	292000	把太陽能轉成燃料。
292000	299000	那我們第一個方法是所謂的電化學的方法。
299000	300000	那它是兩部分。
300000	303000	我們就把不管是用什麼方法發的電
303000	306000	多餘的電用電力的方式
306000	312000	然後我們就可以做一個電化學的cell。
312000	315000	那我們電池在這邊。
315000	321000	那我們可以在陽極跟陰極各放一個催化劑。
321000	323000	那比如說在陽極
323000	326000	它是我們氧化反應發生的地方。
326000	329000	我們可以把水氧化成氧氣。
329000	333000	那在陰極我們就同時把水還原成氫氣。
333000	335000	那這個氫氣就可以拿來做
335000	337000	就可以被儲存下來
337000	340000	然後之後可以拿來做燃料。
340000	341000	不管是燒來發電
341000	344000	或者是配合燃料電池
344000	349000	做所謂電動車的來源、能源。
349000	353000	那這種方式是純粹電化學的方式。
353000	355000	那要做到
355000	359000	比如說把水分解成氫氣跟氧氣這件事情。
359000	361000	在熱力學來看
361000	365000	我們是需要大概1.23個伏特。
365000	367000	這是最基本的要求。
367000	369000	那但是在實際上來講
369000	372000	我們不管什麼化學反應都有一個
372000	374000	所謂的kinetic barrier。
374000	377000	那在兩邊都要克服這個barrier。
377000	381000	那實際上我們大概需要1.7到1.8的伏特
381000	384000	才可以做這個
384000	387000	所謂的水分解的反應。
387000	389000	那這是一個approach。
389000	391000	那另外一個approach就是
391000	395000	把這個兩個步驟的
395000	397000	兩個步驟結合成一個步驟
397000	402000	我們就直接把光轉變成燃料。
402000	403000	那我們怎麼做呢?
403000	404000	我們可以把
404000	407000	比如說我們在量級的部分
407000	409000	放進一個半導體。
409000	412000	比如說這邊我們有一個N型的半導體。
412000	414000	那N型的半導體呢
414000	416000	我們把它放到水裡面的時候
416000	419000	在介面就會產生一個shocky barrier。
419000	424000	所以它的架帶跟導帶都會往上bend。
424000	426000	那在熄光之後呢
426000	428000	我們有電子電動嘛。
428000	430000	那因為這個bend bending的關係
430000	434000	所以我們的電動就會往容易的方向走。
434000	436000	那這個電動就可以用來
436000	438000	把進行氧化反應
438000	441000	把水氧化成氧氣。
441000	446000	那代表說我們用這個方式來做的話
446000	450000	我們的之前說需要1.7、1.8伏特
450000	454000	這個電壓就是完全取決於
454000	458000	我們半導體的bend gap有多大。
458000	461000	那經驗上來講
461000	464000	我們這個光電壓大概
464000	467000	最多最多也只能做到
467000	470000	它自己bend gap的70%。
470000	475000	那代表說如果我們要用同一個半導體
475000	478000	來提供電壓做這個水的分解
478000	480000	我們大概需要一個
480000	484000	2.5eV以上的半導體。
484000	486000	那這代表說
486000	488000	在太陽光譜裡面
488000	491000	有很大部分的光我們是沒辦法運用的。
491000	494000	那我們也可以改進我們的approach。
494000	499000	我們在氧極跟氫極都用不同的半導體。
499000	501000	比如說我們在第一層
501000	503000	氧極的部分我們用一個
503000	505000	稍微大一點的bend gap的
505000	507000	N型的半導體
507000	509000	那我們就可以做氧化反應。
509000	514000	那比較短波長的光被吸收之後
514000	516000	長波長的光還是可以透過去
516000	518000	那我們用一個比較小的bend gap
518000	521000	這時候我們用P型的半導體
521000	525000	所以它的光電子就會往
525000	528000	中立方向跑然後進行反應。
528000	533000	那這就是底層的光音極。
533000	535000	那用這個方法我們就可以
535000	538000	選一個最optimize的
538000	540000	bend gap combination
540000	541000	那我們可以運用
541000	543000	大部分太陽光裡面的光譜
543000	548000	然後同時產生足夠的光電壓來進行
548000	551000	不管是產生氫氣或者是
551000	553000	最近比較紅的
553000	555000	但是也更藍的所謂的
555000	557000	CO2 photo reduction
557000	560000	也就是說把CO2轉換回
560000	562000	化學燃料。
562000	566000	那所以我的研究主要是
566000	568000	注重在所謂的
568000	570000	photo electrochemical的
570000	573000	solar energy conversion
573000	575000	那今天我會講
575000	577000	一個例子是
577000	580000	在P type的photo castle
580000	582000	然後也會介紹一些
582000	584000	N type的photo anode。
585000	589000	那我們是想要發展
589000	592000	尋找一個適合的光電極材料
592000	594000	那我們光電極
594000	596000	它的效率是怎麼定義
596000	598000	那我們要怎麼去
598000	601000	找一個高效率的光電極咧
601000	604000	那基本上我們發展光電極
604000	606000	我們定義它的效率是
606000	609000	看我們可以得到光電流有多少
609000	611000	那比如說我們
611000	613000	中間這個是我們的光電極
613000	615000	照光
615000	618000	那我們可以在電極上面
618000	620000	apply不同的potential
620000	622000	然後我們就去測量
622000	624000	我們有多少的電流出來
624000	626000	那這個
626000	628000	我們可以
628000	630000	進行這個實驗在
630000	632000	沒有光照的情況下
632000	634000	或者是照光的情況下
634000	636000	那中間這個差距就是所謂的
636000	638000	光電流也就是
638000	640000	把光子轉換成電流
640000	642000	因為有電流代表說
642000	644000	我們整個
644000	647000	熔液跟光電極中間形成一個迴路
647000	649000	那就代表說在
649000	651000	光電極跟熔液的界面
651000	653000	有化學反應產生
653000	655000	當然這個光電流越高代表
655000	657000	效率就越高
657000	659000	那
659000	661000	基本上我們入射光
661000	663000	的強度是定義好的
663000	665000	因為就是太陽的光譜
665000	667000	然後大概是
667000	670000	全球平均下來的強度
670000	672000	所以入射光是固定的
672000	674000	那
674000	676000	這樣我們分析的話我們得到的
676000	678000	光電流就跟
678000	680000	我們材料
680000	682000	自己的三個
682000	684000	效率係數有關係
684000	686000	第一個效率係數是
686000	688000	熄光的效率
688000	690000	那當然你band gap越小
690000	692000	你熄光能力越強
692000	694000	你在同樣的光譜下面
694000	696000	就有更多的電子電動
696000	698000	會被產生
698000	700000	那電子電動產生之後他們需要
700000	702000	移動
702000	704000	然後往熔液的
704000	706000	界面那邊移動
706000	708000	那在這個過程當中可能就會有
708000	710000	所謂的recombination
710000	712000	那電子電動recombination之後就不見了
712000	714000	那就代表它會降低我們的效率
