start	end	text
0	14000	等下他現在在錄了嗎?
14000	19000	現在現在應該只有在錄了
30000	52000	哦哦
52000	64000	好,他說錄影已經啟動了。
64000	76000	我是今天的主持人張彥平,我上個冬天剛畢業,從UNC畢業做社會心理學的研究,因為剛畢業所以現在是無業遊民。
76000	86000	在今天的演講開始之前,我們先介紹一下Project TIRA是一個什麼樣的組織。
86000	110000	就像我們的網頁上寫的,我們的宗旨是要建立即時跨國學術資訊共享平臺,串聯世界各地的臺灣學術人才,交流海外及臺灣學術圈各領域發展成果及趨勢,並提供彼此保持有效聯繫的平臺。
110000	136000	簡單來說呢,我們是希望成立一個平臺,然後協助各地從事研究工作的臺灣人相互交流。我們每週會舉辦像這樣的一個網路視訊演講,講者會是基本上是我們的會員,主題也是研究成果或是領域的回顧,或是未來的發展的一個預測這樣子,或是分享新點子,然後分享新點子計畫還有合作的機會。
137000	163000	Pyra是一個完全自發,義工性質的組織,我們的工作人員是以博士生和博士後為主,或是像我這種在博士生和博士後中間的流浪的人。大家可以在我們網站上看到更多詳細的介紹,大家如果想要看更多的,就可以在我們的網頁上。
163000	181000	像這樣的一個計畫,我覺得最主要的重點就是要有開放合作還有分享的機會,所以越多朋友能夠加入我們彼此幫助,我們就能更強健,然後往目標邁進。
181000	194000	所以,大家如果有興趣的話,也歡迎加入我們的會員,然後支持這樣的一個理念,跟大家分享我們研究的,大家互相分享研究的機會還有成果。
195000	213000	然後我們當然有一個Facebook,想必大家都已經知道了。這是一個,最後這是一個完全非營利性質,分享性質的非營利的一個平台,然後希望大家支持這樣子。OK,這是Pyra,這是Housekeeping。
213500	242000	好,那我們就正式進入今天的演講了。首先呢,呃,我們今天的講者是蕭巧穎Joy,呃,Joy呢,是在這個臺大資訊系畢業之後呢,現在在U Michigan,University of Michigan,呃,做這個Information Science的研究,然後,呃,Joy的研究呢,他等一下應該會,他說他有更仔細的介紹,所以我就很快的講一下,呃,
243000	268000	他有興趣的呢,是這個今天要講的部分,其實也是像大家標題上可以看到的,如何,呃,利用這個新的網路科技來幫助,呃,immigrant,呃,我想這個研究應該是US immigrant,immigrant to the US,呃,來幫他們這個做一些,呃,更快速的適應到新的這個移入的這個社會。
269000	292000	然後,對,就有一個網頁,大家如果有興趣的話可以去看,做得非常漂亮,然後裡面有很多詳細的關於目前他在進行的projects,然後他之前的presentations,papers,publications這些,大家,呃,我今天就不多做介紹了。
292000	321000	我看這個網頁的時候覺得,一個非常有趣的是,上面寫,呃,他是一個believer of the strength of weak ties,那,呃,這是一個一點background,不知道weak ties是什麼的人,大家應該先可以了解一下什麼叫strong tie,strong tie就是一些我們生下來就有的一些社會關係,什麼,有些人是你的爸媽,有些人是你的小孩,這是不能改變的,你不要也不行,by definition他們就是你爸媽。
322000	351000	strong tie呢,就是我們比較能夠可以,生下來是沒有的,但是我們可以去建立,像是交朋友啦,呃,呃,找合作夥伴啦,其實這個非常符合我們Tyra研究的精神,然後就也在網路上寫,就他的網頁上寫說,他是一個believer in weak ties,所以他非常喜歡交新朋友,還有分享這個機會,研究的機會,所以大家,呃,這個,多幫幫他,把給他一點機會。
352000	353000	好,對,好,那廢話不說,所以我們就把場子交給Joy,先熱烈的給我,謝謝,謝謝,給我三,給我,給我十秒鐘,我改個東西,好,那你慢慢,那我再另外講一下,幫我撐十秒,好,就是那個大家中間呢,如果有,有問題想要發問的話,呃,可以留在那個chat,有一個chat的可以用,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,
382000	398400	可以留下留在那個地方,因為我不知道等一下Joy在講的時候,他有沒有辦法,因為他會可能會看著他自己的投影片,所以他可能看不到chat,所以大家就留在chat,然後最後他會一起,呃,看大家的問題,然後來回答這樣子,所以,嗯,可以利用這個chat
399400	411400	然後,你好了嗎?好,那就你先,你先講完,你還有什麼要講嗎?沒有,沒有,我們講完了,ok,ok,好,那我要share我的投影片
411400	440400	你們看得到投影片嗎?可以,可以,可以,好,那,呃,大家好,我是Joy,那我剛謝謝主持人的介紹,我也是,呃,就是像主持人講的,我就是在Umic現在是第四年博士生,博士,PhD candidate,那今天要跟大家分享的是我前一陣子的研究,也是我最後的一部分,那我把標題叫做not only new online,not only new online,
441400	471400	technology to support immigrant access to social capital and adaptation,那剛主持人講的,呃,我要修正一點,就是,呃,我們現在就是這個研究本身現在還沒有到設計新的科技去幫助移民,更加的adaptive,更加容易adaptation,呃,這個talk今天會講的主要還是在於比較還在explore exploration的階段,就是我們去找他們的need,那,呃,有哪些方式我們可以促進,呃,這個研究,呃,這個研究,呃,這個研究,呃,這個研究,呃,這個研究,呃,這個研究,呃,這個研究,呃,這個研究,呃,這個研究,呃,這個研究,呃,這個研究,呃,這個研究,�
471400	472400	網頁的設計,app的設計,然後讓移民們可以更更,呃,順暢的使用一些科技,那,呃,來講一下我自己,那我現在剛講了,又重複一句,我們PSG candidate在University of Michigan的school of information,我的主要的領域呢,是human computer interaction跟computer supported cooperative work,呃,我們叫HCI跟CSEW,那HCI或者中文叫CSEW,呃,我們叫HCI跟CSEW,那HCI或者中文叫CSEW,呃,我們叫HCI跟CSEW,那HCI或者中文叫CSEW,呃,我們叫HCI跟CSEW,呃,我們叫HCI跟CSEW,呃,我們叫HCI跟CSEW,呃,我們叫HCI跟CSEW,呃,我們叫HCI
561400	591400	在HCI下面呢,有一個叫做computer supported cooperative work,CSEW的這個領域,那比起傳統HCI單就個人使用科技的研究來講,CSEW更重視人跟人之間的互動,那科技怎麼影響人的社交,怎麼影響人的,怎麼影響社群的關係,跟怎麼影響人跟人合作的一些performance,所以我們也常會拿社會心理學,社會學的理論來運用在相關的研究上,那,呃,我們也常會拿社會心理學,社會學的理論來運用在相關的研究上,那,呃,我們也常會拿社會心理學,社會學的理論來運用在相關的研究上,那,呃,我們也常會拿社會心理學,社
592400	602400	那我自己的研究呢,主要是跟所謂的是newcomer是有關係的,那newcomer在這裡呢,泛指所有任何搬家或者是,呃,
603400	617400	也包含旅行,那到了一個新的地方的這些人群,那後來,呃,我的研究有再更縮小到移民,新移民的這一塊,但是我最一開始有興趣的是所謂brotherly的newcomer
617400	645400	那,呃,接下來我還,呃,在這下面呢,我常用的一個理論的概念叫做social capital是所謂的社群資本,那社群資本的意思呢,就是說,呃,你有了這些朋友,你有這些social connection,那這些social connection可以為你帶來什麼樣的幫助,可以為你帶來什麼樣的資源,那簡單來講,這就是所謂的social capital,那過去這幾年像facebook啊,呃,各種social media啊,呃,
645400	674400	那也很有效的擴大了或者是強化了人類對social capital的,就是可以人人可以怎麼樣去發展新的social capital,以及利用這些social capital來得到新的資源,這是我,呃,從理論方面我有興趣的這個東西,那最後最後第三面,第三個層面終於是跟我跟我的名字information technology有關係的是,呃,location based social media,呃,
675400	704400	那我有興趣的部分是這個東西是因為,呃,比起以前的科技來講,location based social media是可以跟real time的去提供使用者來理解,來access附近的information,那透過這樣子呢,呃,使用者可以更有機會去real time的去跟,呃,附近的人做社群的,做社群的社群的連結,或者是去,呃,得到需要資源,所以這三個層面,咦?
704400	733400	對不起,我發現我好像都跳一個slide,好,這個才是,對,反正這三個就是我最主要的,呃,主題,是是我研究的三大,三大領域這樣,那今天要跟各位分享的是我去年年底,呃,publish在CSCW的,就是我們一個conference,也是journal的,呃,一個,一篇,一個project,那他們叫做technology to support immigrant access to social capital adaptation.
734400	763400	呃,下面有paper,如果興趣的話,可以去找來看,那adaptation,呃,像剛剛主持人說的,就是我的研究是focus在移民到美國的這些移民,那每年呢,都有數百萬的移民,呃,來到美國,為了去來找工作啊,教育啊,或者是所謂他們的美國夢啊,但是移民並不是一件,不是一件輕鬆的process,那。
