start	end	text
0	2000	整理&字幕 河偉晉 博士
30000	32000	整理&字幕 河偉晉 博士
60000	62000	整理&字幕 河偉晉 博士
90000	92000	整理&字幕 河偉晉 博士
120000	142000	整理&字幕 河偉晉 博士
150000	152000	整理&字幕 河偉晉 博士
180000	182000	整理&字幕 河偉晉 博士
210000	212000	整理&字幕 河偉晉 博士
240000	242000	整理&字幕 河偉晉 博士
270000	272000	整理&字幕 河偉晉 博士
300000	302240	整理&字幕 河偉晉 博士
330000	332000	整理&字幕 河偉晉 博士
360000	362000	整理&字幕 河偉晉 博士
390000	392000	整理&字幕 河偉晉 博士
420000	422000	整理&字幕 河偉晉 博士
450000	452000	整理&字幕 河偉晉 博士
480000	482000	整理&字幕 河偉晉 博士
510000	512000	整理&字幕 河偉晉 博士
540000	542000	整理&字幕 河偉晉 博士
570000	572000	整理&字幕 河偉晉 博士
600000	602000	整理&字幕 河偉晉 博士
630000	632000	整理&字幕 河偉晉 博士
660000	662000	整理&字幕 河偉晉 博士
690000	692000	整理&字幕 河偉晉 博士
720000	722000	整理&字幕 河偉晉 博士
750000	752000	整理&字幕 河偉晉 博士
780000	782000	整理&字幕 河偉晉 博士
810000	812000	整理&字幕 河偉晉 博士
840000	842000	整理&字幕 河偉晉 博士
870000	872000	整理&字幕 河偉晉 博士
900000	902000	整理&字幕 河偉晉 博士
930000	932000	整理&字幕 河偉晉 博士
960000	962000	整理&字幕 河偉晉 博士
990000	992000	整理&字幕 河偉晉 博士
1020080	1022080	整理&字幕 河偉晉 博士
1022080	1024080	整理&字幕 河偉晉 博士
1024080	1026080	整理&字幕 河偉晉 博士
1026080	1028080	整理&字幕 河偉晉 博士
1028080	1030080	整理&字幕 河偉晉 pH
1030080	1032080	整理&字幕 河偉晉 法S
1032080	1034080	整理&字幕 河偉晉 pH
1034080	1036080	整理&字幕 河偉晉 法S
1036080	1038080	整理&字幕 河偉晉 pH
1038080	1040080	整理&字幕 河偉晉 法S
1040080	1042080	整理&字幕 河偉晉 法S
1042080	1044080	整理&字幕 河偉晉 法S
1044260	1046260	整理&字幕 河偉晉 法S
1046260	1048260	整理&字幕 河偉晉 法S
1048260	1050260	整理&字幕 河偉晉 法S
1050260	1052260	整理&字幕 河工众 法S
1052260	1054260	整理&字幕 河工众 法S
1054260	1056160	加速動推
1056160	1058160	加速動推
1058160	1060160	加速動推
1060160	1062160	加速動推
1062160	1064160	加速動推
1064160	1066160	加速動推
1066160	1068160	加速動推
1068160	1070160	加速動推
1070160	1072160	加速動推
1072160	1073860	加速動推
1073860	1075860	不同的Dilution Factor
1075860	1077860	那剛剛我們已經介紹過
1077860	1079860	有不同的Genetic Background開始
1079860	1081860	然後呢
1081860	1083860	每一個Genetic Background
1083860	1085860	我們用
1085860	1087860	我們還試了三種不同的
