start	end	text
0	10000	今天我們很榮幸邀請到從日本裡化學研究所里肯來的兩位Postdoc,一位是我們的Tyra的創辦人Ted,張建源,一位是我們的創辦人,張建源,
10000	20000	一位是我們的創辦人Ted,張建源,
20000	30000	一位是我們的創辦人Ted,張建源,
30000	40000	一位是我們的創辦人Ted,張建源,
40000	60000	張建源主要是研究量子點和光子的交互作用,陳軒是比較偏理論的,
60000	70000	張建源主要是研究物質的拓撲結構、spin-orbital interaction和拉丁質液體的效應。
70000	80000	張建源主要是研究物質的拓撲結構、spin-orbital interaction和拉丁質液體的效應。
80000	90000	張建源主要是研究物質的拓撲結構、spin-orbital interaction和拉丁質液體的效應。
90000	100000	張建源主要是研究物質的拓撲結構、spin-orbital interaction和拉丁質液體的效應。
100000	110000	張建源主要是研究物質的拓撲結構和拉丁質液體的效應。
110000	120000	張建源主要是研究物質的拓撲結構和拉丁質液體的效應。
130000	140000	張建源主要是研究物質的拓撲結構和拉丁質液體的效應。
140000	150000	張建源主要是研究物質的拓撲結構和拉丁質液體的效應。
150000	160000	張建源主要是研究物質的拓撲結構和拉丁質液體的效應。
160000	170000	張建源主要是研究物質的拓撲結構和拉丁質液體的效應。
170000	180000	張建源主要是研究物質的拓撲結構和拉丁質液體的效應。
180000	190000	張建源主要是研究物質的拓撲結構和拉丁質液體的效應。
190000	200000	張建源主要是研究物質的拓撲結構和拉丁質液體的效應。
200000	210000	張建源主要是研究物質的拓撲結構和拉丁質液體的效應。
210000	220000	張建源主要是研究物質的拓撲結構和拉丁質液體的效應。
220000	230000	張建源主要是研究物質的拓撲結構和拉丁質液體的效應。
230000	240000	張建源主要是研究物質的拓撲結構和拉丁質液體的效應。
240000	250000	張建源主要是研究物質的拓撲結構和拉丁質液體的效應。
250000	260000	張建源主要是研究物質的拓撲結構和拉丁質液體的效應。
260000	270000	張建源主要是研究物質的拓撲結構和拉丁質液體的效應。
270000	280000	張建源主要是研究物質的拓撲結構和拉丁質液體的效應。
280000	290000	張建源主要是研究物質的拓撲結構和拉丁質液體的效應。
290120	306200	我們要進入不同維度的空間,主要是在想說,實際上我們習以為常的物理在二維的時候發生的狀況是不一樣的。
306200	319460	這個就是一個很特別的例子,這是一個達文西的畫。他就是說,在二維的空間上不太有可能會有一個動物活在二維空間。
319460	333960	為什麼呢?因為像這一隻狗,牠就會被因為牠的消化道而分開,所以二維空間的狗不太有可能在二維空間存在。
334640	344180	因爲在不同維度發生的物理狀況不一樣,所以會產生不同的現象。
344880	352720	接下來我主要就會講說,我們今天到底用怎樣的方法來對它進行一些觀測呢?
352960	380560	我會先講今天我們主要的主角,就是二維是怎麽產生的。我們還會介紹一些二維的基本特性,像剛剛傑森也問說,如果我們有不同的半導體材料,那哪一些的現象是我們最重要的來定義這些材料的好和壞呢?
