start	end	text
0	9000	這一次TIRA的主持人洪詩安
9000	15500	那就是我們這一次很榮幸邀請到了黃崇偉
15500	23000	那個就是崇偉他現在是在北卡
23000	25500	University of North Carolina
25500	31500	然後他之前是國立交通大學化學系畢業
31500	35500	然後之後在2015年的時候進入北卡大學
35500	41500	然後主要是從事光化學還有能源材料奈米光譜的研究
41500	49500	然後興趣是科學寫作還有服務於就是校內校外的科學傳播社團
49500	54500	那他今天要演講的主題是Near Field Optical Spectroscopy
54500	56500	就是基本上就是近場光譜學
56500	61500	那這是一個最近非常火紅的題目
61500	64500	那我們就請他來為我們演講吧
64500	67500	現在大家可以先把麥克風打開
67500	71500	然後就是給我們的講者一個掌聲
71500	73500	記得要把麥克風打開啊
73500	75500	那我們就開始吧
76500	78500	謝謝大家好
78500	81500	謝謝Jason 謝謝Project Tyra給我這個機會
81500	84500	那就是今天想要分享的近場光譜學
84500	86500	Near Field Optical Spectroscopy
86500	90500	那有的時候我們其實也會稱它叫做奈米光譜學
90500	92500	Nano Spectroscopy
92500	95500	那今天我想主要是給大家一個介紹
95500	97500	就是為什麼我們要做這個技術
97500	99500	然後它是怎麼做的
99500	101500	那為什麼那後面有一個問題
101500	104500	前章功能性材料分析的應用
104500	108500	那這也是我們實驗室最主要的研究跟發展的技術
108500	111500	那我們這些奈米光譜學家們呢
111500	113500	哪邊可以
113500	115500	有動嗎
121500	123500	不好意思我斷掉了
123500	125500	來了好
125500	128500	那我們自詡為Nano Spectroscopy
128500	130500	好
130500	132500	那我們自詡為奈米光譜學家們
132500	134500	那還有這是我們的產地
134500	136500	我們是在北卡羅萊納大學
136500	139500	然後教堂三分分校的地方
139500	142500	那我們實驗室就是主要光發展奈米光譜學
142500	145500	然後這是我們的計畫主持人
145500	146500	Dr. Joanna Atkin
146500	148500	然後中間這位酷酷的就是她
148500	150500	然後
150500	152500	我總是忘記用滑鼠
152500	154500	不好意思
154500	156500	那為什麼我們要發展奈米光譜學呢
156500	158500	那它可以用來做什麼
158500	160500	那我們有興趣的東西
160500	162500	其實就是這個Heterogeneity
162500	164500	那中文翻譯叫做異質性
164500	166500	或是不均勻性
166500	168500	那它的概念呢就是
168500	170500	它就像這張巧克力豆牆
170500	172500	那你如果遠遠的看這面牆
172500	174500	你可能只會看到一片花花綠綠的東西
174500	176500	可是當你越仔細的看
176500	178500	那你會發現
178500	180500	它原來是一顆顆圓形的巧克力豆
180500	182500	而且它每一顆顏色還都不太一樣
182500	184500	而且如果你再仔細的靠近一點看
184500	186500	你可能還會發現說
186500	188500	它每一顆形狀都有點差異
188500	190500	甚至每一個角排列的角度
190500	192500	也都不太一樣
192500	194500	那這種異質性呢
194500	196500	它會用到研究中的材料中
196500	198500	其實也常常發生
198500	200500	但我們是定義就是
200500	202500	我們用定義它叫做
202500	204500	Mesoscale Structure
204500	206500	那它的分布的尺度
