start	end	text
0	26000	哈囉,大家好,歡迎大家來到今天的Terra Talk,那我們今天很榮幸請到王承和在德國為我們演講,那今天演講的題目是Coupling Cell-Cell Adhesion to Cell Polarization,主要是一個,我可以這樣說嗎,生物力學的研究,好,那我,
26000	55000	OK,好,如果我有講錯的話,之後再糾正完,好,那我首先呢,我來為大家介紹一下那個我們今天的講者,我們今天的講者,我剛剛已經講過了,他是王承和,他目前人在德國,那他碩士畢業於臺大應力所,碩士論文的時候呢,是做數前個人化乳癌藥物檢測的微流晶片開發,畢業之後他在臺灣服這個研發替代液三年,
56000	72000	在光學公司,那主要是在做雷射印表機,3D雷射印表機的開發,結束之後他在中研院物理所做細胞抓力的測量研究,然後呢,才從他以前的這個,呃,在臺大應力所的領域轉到生物物理的領域。
72000	88000	那目前在德國的Max Planck Institute,Cell Biology and Genetics Institute擔任博士生,那他現在的研究呢,就是今天要跟我們講的,就是早期細胞連結對於細胞集化的研究。
89000	104000	那我們都說,呃,提醒大家,那個我們要把麥克風打開鼓掌,我們的講者才會聽得到,那我們現在就鼓掌,來,呃,歡迎我們的講者,謝謝大家,那請開始吧。
105000	118000	好,謝謝大家,那,呃,如果我先,哦,對,剛好介紹我是王承和,那我現在是博士班第三年快結束,那我今天要來跟大家分享一下我這三年來做的研究。
118000	128000	那如果等一下中間你有任何的問題的話,呃,可以打斷我,就是你可以打斷我,然後直接發問沒有關係,我們就可以,呃,同時做討論。
128000	137000	那如果問的話,就是麻煩先講個發語詞,然後再,再問你的問題,不然可能會一下子繼續說,因為有lag嘛,我怕這樣會被干擾到。
137000	152000	OK,好,那我目前是在德國做讀博士生,那我所做的研究呢,其實就是在看細胞細胞之間的連結跟細胞集化之間的關係,那這是一個非常大的一個題目。
152000	176000	那我寫的,我不知道今天大家背景是怎麼樣,所以我準備一個簡單的general introduction,那主要在講細胞需要連結的話,大家應該知道說,從高中生我們學過細胞構成組織,組織構成器官,所以細胞在動物身體裡面,其實它會有一個它規律性的排列,才可以排列成它不同的器官或組織,然後不同樣的功能。
176000	198000	那其中一種組織就叫做epithelia,那它是算中文翻是上皮細胞,那它基本上是構成動物身體裡面的腔體,它是會環繞著這些腔體的一個細胞組織,那譬如說像你的腎小管,或是說像你的胃啊或什麼這些腔體,都會有這樣子的一個細胞在上面。
198000	213000	那可以看到這個細胞的一個特點就是在於它形成腔體的時候,它主要是一個簡單的單層細胞,然後去環繞著這個腔體構成這樣的結構。
213000	219000	你可以看到右下角是一個多層細胞,但是大多數其實都是單層細胞在構成這樣的結構。
