start	end	text
0	29900	哈囉,大家晚安,歡迎大家來到今天的Tarot Talk,今天我們很榮幸請到我們的講者,彭路,Lucas 彭,來跟我們講這個關於他的,基本上是他剛畢業,他的博士論文的題目,Clocked Atom Delivery to a Photonic Crystal Wave Guide,然後是有Simulation的部分,然後有實驗結果的部分,然後他本來是在加州理工學院的Kimball Group,
30000	46320	做Quantum Optics,我先介紹一下彭路的背景,等我一下,我把他關掉了,我把我的筆記關掉了,
46320	75220	彭路的博士研究主要是Focus在這個Quantum Simulation Platform by Trapping Atoms Close to the Surface of a Photonic Crystal Wave Guide,然後他在拿到博士學位之後,他到北加一個叫AO Sensing的公司,主要現在是在做Quantum Sensing Technology的開發,
75220	104220	彭路其實是我加州理工學院的學長,他本來是台大電機雙物理,然後在畢業之後就到Caltech拿到博士學位,然後現在在北加,他今天要跟我們講的題目我剛才講了,提醒大家如果要鼓掌的話要把麥克風打開,要不然我們的講者會聽不到,所以那我們就鼓掌,歡迎彭路給我們帶來今天的演講,謝謝,
104220	106220	好,那你開始吧,
106220	116220	謝謝張艾永讓我今天有這個機會可以分享我的研究,那我講的過程中如果大家有任何問題就隨時歡迎打斷我的問題,
116220	138220	好,那我今天要講的題目就是我的PhD的研究,主要是研究如何把色原子放到這個Photonic Crystal Wave Guide的附近,然後主要的用途是這個如果成功的可以把原子捕捉在這個Photonic Crystal Wave Guide的附近的話,就可以拿來做一個Quantum Simulation的平台,
139220	156220	那首先我會講一下我們實驗用的系統,就是這個看到這個透明的Photonic Crystal Wave Guide,那原子主要就是要捕捉在兩支Wave Guide中間這個孔隙的中間,
156220	169220	那所以我先介紹一下為什麼這個系統相比於其他系統,比如說Nano Fiber或是Cavity QED有什麼不一樣的地方,有什麼優勢,那當然也有它會帶來什麼挑戰,
170220	193220	那接著就是會介紹一下我開發的一個模擬的程式,就是可以模擬原子如何在這個Photonic Crystal Wave Guide附近移動,然後並且藉由這些模擬來算出一個2D的Spectrum,那得到這個Spectrum之後就可以了解原子在Wave Guide附近的行為,
194220	203220	那最後會show一些實驗的結果,然後跟模擬的結果來互相比較,然後看到我們可以從中得到什麼結論。
204220	221220	那首先這個研究的目的最終就是要做到一個很強的光跟原子的交互作用,那這個為什麼重要呢,是因為在一些量子科技的研究,比如說量子光學或是一些量子資訊的研究裡面,
221220	239220	就是通常我們會用光來傳遞一些量子資訊,然後這些量子資訊傳到之後可以希望它轉移到另外一個System裡面,因為這些System可能它們的Life Time比較長,可以讓你的量子資訊可以留久一點,以便你做更多的處理。
240220	253220	那有些是在ML領域裡一個研究的方向,就是如何把這個量子資訊從光轉移到原子上面,那要做到這個事情就必須要有很強的光跟原子的交互作用。
253220	266220	那當然最簡單的方式就是你想要把光聚焦到一個很小很小的範圍上,大概是一個波長的範圍,那在這個焦距量放一個原子就可以讓原子跟光產生交互作用。
266220	281220	那這種方式的限制就是,因為你的光的這個範圍最終還是被你的波長限制,所以利用這種方式的話,你光跟原子的交互作用的機率可能就是差的數量值。
281220	296220	那要怎樣讓這個機率可以更高呢?一種方式就是把原子放在一個cavity裡面,那你可以想像說這個就是好像光在這個cavity裡面一直反射,那每次經過這個原子的時候就會多一個機會跟原子交互作用。
296220	311220	所以透過這種方式就可以大幅提高光跟原子交互作用的機率。那除了用一個cavity以外,你也可以使用像這種micro-toray的resonator的結構。
311220	319220	那其實它也是有點像cavity,只是光會在這個圈裡面一直繞繞繞,那每經過一次原子可以有多一個機會跟原子交互作用。
320220	335220	那另外一種方式就是提高原子的數量,比如說regular atom,就是說你只要其中有一個原子跟你的光子產生交互作用,它就會躍遷到一個很高的quantum number的state。
335220	346220	那這樣子它可以阻隔其他原子,繼續跟這個光子產生交互作用。所以好像一坨原子就可以等效成一顆很巨大的原子這種感覺。
347220	361220	那剛剛講的說,在cavity裡面光來回反射產生交互作用是一種看法。那另外一種想法就是,你可以想像說這個cavity改變了光子的density of state,
361220	368220	所以讓你的原子可以有更多的state可以交互作用,這也是另外一種看的角度。
368220	378220	那除了cavity QED以外,還有另外一種就是waveguide QED的system。
378220	389220	那這種waveguide QED簡單來講就是,你可以把模型看成像一個很細的fiber跟一個原子,那光在這個fiber裡面移動的時候,
389220	398220	你可以想像它有一個input的電場,然後有一個transmittance跟一個反射的電場。
398220	408220	那這個system你可以計算出它的反射的公式是長這個樣子。
408220	420220	那裡面最重要的一個數字是γ1d。γ1d你可以想像它是原子放出一個光子之後,它這個光子跑到光線裡面的機率。
420220	426220	因為我們希望很強的光跟原子的交互作用,所以這個機率就是越高越好。
426220	435220	那這個γ1d就是光子decay到空間其他你不要的state的機率。
435220	443220	所以說這個strong addon photon coupling的研究就是你要能夠讓γ1d是越高越好。
443220	448220	那怎樣讓這個變高呢?就是你有幾個方向可以做。
448220	458220	第一個方向就是你可以去減少molar area,就是你把光侷限在越小的範圍裡面,它跟原子的交互作用的機率就越高。
458220	469220	那另外一個方向是你可以減少proof velocity,就是說光在光線裡面走越慢的話,它也有越多的機會跟原子產生交互作用。
469220	478220	所以一個重要的figure of merit就是γ1d就是γ'。
478220	489220	就是光decay到你要的state,就是在光線裡面的state,除以光decay到其他你不要的state的一個ratio。
489220	497220	我們先是以做這個system,就是一個final crystal waveguide。
497220	500220	那final crystal waveguide跟一般的光線有什麼不一樣呢?
500220	509220	有一個重點就是一般的光線離光線的距離有一個波長的限制。
509220	515220	γ1d跟γ'的ratio在現在實驗裡大概是4%左右。
515220	522220	所以這樣子90%的光是沒有跟原子交互作用,只是會透過原子。
522220	532220	那理論上如果再把光能夠抓到很靠近final crystal waveguide的話,γ1d over γ'可以提高到20%左右。
532220	541220	所以這樣子的話只有0.2%的光會透過沒有跟原子交互作用。
541220	547220	為什麼γ1d over γ'可以這麼高呢?
547220	554220	其中一個原因就是final crystal waveguide可以讓你去控制你的groove velocity。
554220	561220	比如說你的光如果很靠近final crystal band edge的話,它的groove velocity就會變得很低。
