start	end	text
0	28000	大家好,欢迎大家来到今天的China Talk,今天我们很荣幸能请到吴嘉诚博士,目前人在Winstead University,跟我们分享他的研究,今天演讲的题目是Microbial Ecology of Activated Carbon Block Point of Use Drinking Water Filters,这边有几个算是专有名词,待会他会跟我们介绍,
28000	55000	在演讲开始之前,我先来跟大家介绍一下嘉诚的背景,嘉诚是一个environmental microbiologist,他在New Michigan拿到他的PhD,他在拿到PhD之前其实是在台大念Public Health,还有一个Master是Environmental Engineering,他之前在台湾的时候做的是自来水相关的研究,
55000	73000	所以make sense就是他后来就开始往这个方向focus,然后他现在目前人是在Institute of Environmental Health Science,在Winstead University, Detroit, Michigan,他现在主要的研究就是他今天会跟我们分享的题目,
73000	101000	他平常除了研究之余,当然我相信研究一定也是大家各位的兴趣之一,但是除了研究作为兴趣之外,他也是一个pianist,然后也很喜欢hiking,那我们就鼓掌,请大家开麦克风,这样是我们的讲者才能听到我们的掌声,那我们现在就掌声欢迎嘉诚来给我们带来精彩的演讲。
104000	132700	好,那请开始吧,谢谢,谢谢艳友介绍,呃,就是如同他刚刚非常完整的这个介绍,就是我过去是在台大的时候,呃,大学的时候就是做微生物方面的研究,然后我进呃,台大环境工程研究所的时候,就是看自来水中的微生物,那呃,也因为这些过去的经历,所以就是在密西根大学,
132700	162400	我是2013在密西根大学,呃,开始念我的phd,然后就是在看进一步的自来水滤水器相关的,呃,微生物的一些机制这样,那我今天会用呃,中主要是中文,然后也会用一些英文来介绍,呃,我的phd的论文,那呃,今天想要讲的这个题目呢,如果是翻成中文的话,其实是在看说,呃,活性碳滤水器哦,在呃,在微生物的呃。
162700	192700	生态学相关的,呃,一些,呃,研究,那所谓的,呃,activating,couple,but point of view,streamline filter,它其实是,呃,大家非常常见,可以在市场上看到的滤水器,那这样的滤水器,他们是使用活性碳来去除一些化学物,这样子,那,呃,事实上,呃,从我过去做,做这个,呃,水中的微生物或是自来水微生物的部分呢?其实就可能,呃,比较多的,呃,比较多的,呃,比较多的,呃,比较多的,呃,比较多的,呃,比较多的,呃,比较多的,呃,比较多的,呃,比较多
192700	213360	线材的这个,呃,研究的进步,慢慢地发现,就是在水中,它的微生物的,呃,这个变化跟它,呃,微生物汉,呃,在水中的化学的反应其实是非常的,呃,自杂,然后他也是改变相当多的。
213360	243360	那我想大家可能背景不是环攻领域,所以我就大概介绍一下自来水,很简,呃,简单处理它的,就是从,呃,呃,混凝沉淀,然后消毒之后会进入我们的配水系统,那经过配水系统,这张图就是在显示在配水系统,在,呃,大水管中,就是输送自来水到各个家户或是各个building的这个过程中呢?其实有各式各样的变化,呃,在这个过程中呢,其实有各式各样的变化,呃,在这个过程中呢,其实有各式各样的变化,呃,在这个过程中呢,其实有各式各样的变化,呃,在这个过程中呢,其实有各式各
243360	258420	样的呃,呃,反应或是各式各样的影响,比如说,就是细菌的部分呢,它们可能呃,是可以生活在,就是呃,就是悬浮在一起中的,那它们不同的细菌之间,可能有呃,
258420	288420	这些细菌的部分,它们可能会生长,但是,呃,同时它们也会因为自来水中的这个消毒的,呃,这个剂量,那它们可能也会呃,借用这个消毒剂的部分呢,被呃,所以会有生长,会有死亡,那也会有,就是呃,它吸附在自来水的一些悬浮粒子是particle上,或者是它呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,�
288620	290680	吸附在这个自来水管壁上
291180	292460	然后形成biofilm
292720	294780	然后形成生物膜,形成就是
295040	296820	在这个呃,地区里面
297320	298100	呃,因为有
298360	300660	其他的物质的保护,所以它们更容易
300920	302460	呃,生长,更容易存活
302960	304500	然后这些biofilm可能也会
304760	308080	经由就是自来水就是经过了冲刷等等,它可能会
308340	310140	呃,又再从这个biofilm里面
310400	312440	呃,重新回到自来水中这样
312940	316280	所以其实在呃,我们家户里面的
316700	320780	呃,就是如果你打开你的熊头,熊头流出来里面的水
321040	324120	其他的细菌呢,它的细菌量是很高的,就是
324380	326420	可能是,呃,上万甚至上
326680	330260	上百万,一公升可能有上万到上百万的细菌这样子
330520	334100	那刚刚,呃,我们的题目里面有一个字叫做point of use
334360	335120	那其实就是
335640	338660	就是很呃,很单纯就是照字面上的意思,就是
338920	340200	所谓的使用端,就是
340460	341720	我们不是只是看说
341980	345820	自来水出厂以后,它的那个水质,我们是在看说
346120	351160	经过这个配水系统这个输送过程,它可能是一天,可能是好几天的时间
351420	352180	或是有可能很
352440	354480	几个小时的这个,这个时间中
355000	358060	到了我们的家户,到了我们的公司,到了
358320	362160	呃,学校里面,打开熊头以后,那个那个地方叫做point of use
362680	366000	在使用端的这个,这个呃,自来水中
366260	367020	它的细菌的
367280	367800	菌相
368060	370100	会改变,它的化学,它的消毒
370360	371120	的气量
371380	374960	呃,不再是就是刚出厂的时候,那个浓度这样子
375980	378320	那呃,在这么多的
378580	381140	这上万的一公分里面有上万细菌
381660	383180	听起来很可怕,可是
383440	386260	呃,其实大部分的细菌并不一定对人体有害
386520	387560	那我们
388060	390360	比较传统上面
390620	391900	就是比较
392400	393180	concern的
393440	394960	呃,所谓的细菌
395480	396500	是呃,跟
396760	397800	呃,大肠
398060	402900	或是粪便污染有关联的一些致病细菌,比如说大肠杆菌
403160	404180	比如说she gala
404600	409200	那通常这样子的,因为是这是比较传统,就是过去呃
409460	412520	几十年来公认的就是危害对人体会
412780	414580	确切造成危害的细菌,所以
414840	415600	法规上都有
415860	418420	有标准的去列管,他们这样子
418680	420720	在100毫升里面要小于一个
420980	422300	呃,CFU的
422560	423840	的培养的浓度
424340	426140	那呃,另外一种
426400	429220	呃,致病细菌opportunistic pathogen
429480	429980	呢
430240	432540	他就不一定会对所有人
432800	433820	都会造成危害
434340	435620	那所谓opportunistic
435880	438440	呃,中文是刺激性,也就是说他
438700	440740	对于就是比较sensitive的
441000	442520	呃,population,比如说
442780	443560	年长的人
443820	449440	有疾病的人,有慢性病的人,或是有不良呃,或是有有有烟酒
449700	450220	习惯的人
450980	453540	对于这样子的人,或是或是小孩,或是孕妇
453800	456360	对这种比较敏感的这个族群
456620	458660	这样子,他们如果碰到这样的
458920	459720	刺激性
459980	462240	致病细菌的话,他们可能
462500	463520	呃,会生病
463880	467780	那这样子的细菌,就是有绿龙杆菌啊,Suturmonocereginosa
468280	469820	呃,退伍菌人菌,Genella
470080	471620	Mycobacteria,就是
471880	473160	最近慢慢,呃
473420	479800	因为一些科技的进步,所以让我们慢慢的发现说,其实他们是在自来水中做多少,还是测得出来,可能
480060	483180	可能是呃,10个CFU,或是甚至
483440	484980	甚至,呃,更多
485240	485740	这样子
486000	487280	在100毫升里面的
487540	489080	的自来水中,可能有10个CFU
489340	489840	那
490100	492140	他们通常呢,就是
492300	495640	可以生长在生物膜,可以形成生物膜,可以生长在生物膜里面
495900	498440	然后,他们也可以,呃,就是抵抗
498700	499720	呃,消毒
499980	503560	的消毒剂,或是消毒的化学物,这样子
504340	507920	然后,第三种就是所谓的抗药性
508180	510220	细菌,Antibiotic-resistant bacteria
510480	514560	这个就是比较最近,完全就是这5年,近5年,近
514820	516620	7年吧,最近这
516880	517400	这,这
517660	520460	近几年来开始,大家慢慢注意到说
