start	end	text
0	7420	哈囉,大家好,歡迎大家來到今年最後一場Terra Talk
7420	11520	今天我們很榮幸請到何帥普博士
11520	15620	在Princeton University,他要給我們帶來的演講,今天的題目是
15620	20220	Large Millimeter Volumetric Array for CMB Observation
20220	23300	首先我先介紹一下何博士
23300	28160	他在2017年的時候在Princeton拿到物理的PhD
28360	30380	然後現在在Princeton做PostDoc
30880	34760	他主要是非常focus在Experimental Cosmology
35020	37580	中文應該是實驗宇宙學
40080	43920	最主要的work是Detector還有Readout Development
44420	49720	他參與過的都是幾個非常flagship的CMB experiment
49720	53720	像是ABS Atacama BMO Search
54080	55580	還有ACT-POL
55580	57580	還有Advanced ACT
57580	59580	然後Simons Observatory
59580	61580	當然是CMBS4
61580	65080	好,在演講開始前
65080	68080	跟所有聽眾講一下
68080	72080	我們這個Project Terra的目標是希望
72080	76080	network所有在全世界各地的台灣人
76080	77580	同是學術研究的台灣人
77580	80580	希望大家可以分享彼此的progress
80940	82940	然後增加彼此合作
82940	84940	還有交流這個idea的機會
84940	87940	藉此也希望可以對台灣帶來一些幫助
87940	89940	那如果大家有興趣呢
89940	91940	來參與我們的Project
91940	93940	不只是來參與聽演講
93940	95940	也希望大家可以報名明年的演講
95940	97940	報名明年演講的辦法在我們的Facebook
97940	99940	希望大家考慮
99940	101940	那話不多說
101940	103940	那我們就鼓掌歡迎何博士
103940	105940	為我們帶來今天的演講
106300	108300	好,開始吧
108300	110300	大家好
110300	112300	我今天要講的是
112300	118300	Large Millimeter Barometric Arrays for CMB Observations
118300	120300	然後我cover的topics
120300	124300	主要是兩個experiments
124300	126300	然後
126300	128300	在備頁的上面
128300	130300	你可以看到它是ACT-POL
130300	132300	然後就一些collaboration
132300	134300	然後主要是founded by NSF
134660	136660	跟Chile Conocet
136660	138660	然後
138660	140660	另一個是Simons Observatory
140660	142660	然後
142660	144660	你可以看到
144660	146660	collaboration變得更多了
146660	148660	主要是founded by Simons Foundation
148660	150660	還有黑心Simons Foundation
150660	152660	OK, let's move on
152660	154660	然後還有一個
154660	156660	很漂亮的星空圖案
156660	158660	然後with our telescope
158660	160660	所以
160660	162660	這張圖
163020	165020	聽完應該不陌生
165020	167020	然後就是
167020	169020	左邊是起始點
169020	171020	就是Big Ben
171020	173020	然後
173020	175020	當然有人arguing
175020	177020	anyway
177020	179020	然後時間越往右
179020	181020	然後就是
181020	183020	就是我們現在所在的地方
183020	185020	那我們
185020	187020	我主要研究的東西叫做
187020	189020	宇宙背景輻射CMB
189020	191020	然後它主要是
191380	193380	我們最早可以看到的
193380	195380	光,然後它起源於
195380	197380	大概
197380	199380	400,000 years
199380	201380	40萬年前
201380	203380	或者
203380	205380	38萬年前
205380	207380	OK
207380	209380	然後
209380	211380	研究這個可以讓我們了解什麼
211380	213380	對
213380	215380	那通常我們
215380	217380	在看CMB的時候
217380	219380	最一開始我們看的
219740	221740	最直接的方法就是看它的
221740	223740	intensity
223740	225740	就是它的強度
225740	227740	然後你看到這張
227740	229740	上面是Planck的
229740	231740	temperature map
231740	233740	就是intensity map
233740	235740	然後有hot spot跟cold spot
235740	237740	然後它是一個
237740	239740	full sky的observation
239740	241740	那除了intensity之外
241740	243740	然後當然也有
243740	245740	就是
245740	247740	比較微弱的
248100	250100	signal是polarization
250100	252100	主要是來自於
252100	254100	就是electron
254100	256100	跟photon
256100	258100	有thompson scattering
258100	260100	造成了linear polarization
260100	262100	那通常我們直接觀測
262100	264100	這polarization的時候
264100	266100	看到的圖案
266100	268100	你會看到現在左邊就是一個
268100	270100	cross的mark
270100	272100	然後右邊是一個
272100	274100	45 degree angle的cross mark
274100	276100	那我們通常
276460	278460	這叫做Q&U
278460	280460	那通常這是我們最直接
