start	end	text
0	30000	大家好,歡迎大家來到3月7號的這個禮拜的Tara Talk,那我們今天很榮幸請到洪世安,Jason洪博士來跟我們講他的研究,那他今天要講的題目呢是exploring graphing physics for optical sensing,那他說這是他在UC Berkeley唸博士班時候的工作,那好,那這樣我就來介紹一下這個Jason,他之前是臺大物理系畢業的,然後他就在美國大學讀書,然後他就在美國大學讀書,然後他就在美國大學讀書,然後他就在美國大學讀書,然後他就在美國大學讀書,然後他就在美國大學讀書,然後他就在美國大學讀書,然後他就在美國大學讀書,然後他就在美國大學讀書,然後他就在美國大學讀書,然後他
30000	58020	就是大學畢業的,然後呢,後來在UC Berkeley還有Lawrence Berkeley National Lab念博士,然後呢,在結束之後他現在在U Michigan做博士後,那專長的領域是超快光學在固體物理的應用,主要研究題目呢是石墨烯的這個optical sensing,還有二維半導體exenton,還有這個,這個半導體極基子,他是查的中文呢,其實就是cavity exenton polariton,
58020	72660	那他今天要跟我們講的,就是他在博士班做的工作,就是這個graphene optical sensing,那就是我們要鼓掌,但是鼓掌呢,要大家要把麥克風打開,我們的講者才會聽到我們的掌聲,那我們現在就掌聲歡迎Jason給我們帶來今天的演講。
72660	100680	好,謝謝大家,那就是我今天要講的,就是主要是,呃,就是專注在這個graphene的optical sensing上面,那我就不會講太多有關這個超快光學的部分,那如果你想要看那個關於超快光學的部分,可以去看我之前的,之前在Tira Talk的演講,
100680	130660	那就是大家好,我是Jason,然後那這個是今天的outline,就是一開始,呃,首先呢,我會先講motivation,就是告訴大家說,為什麼我們要用graphene或者更廣義的來講,就是用二維材料來做optical sensor,他有什麼就是特別的好處,那還有他帶來什麼附加的效果這樣子,那然後我會舉兩個,就是我自己在做的,呃,東西。
130680	160660	那,呃,當做例子,那其中一個就是我們利用graphene來,就是觀察這個electrochemistry,就是electrochemistry,就是基本上就是說,在一個固態和液態的這個,呃,的焦,呃,的,呃,那個焦界面,他們產生的這些,呃,就是,呃,化學反應,那就是我們可以利用graphene來做,呃,來,就是做一個optical sensor來觀察的。
160700	180620	這些electrochemistry的反應,然後就是我們,呃,這個,這個是因為我們發展出了一個方法叫做defessional,呃,vibrational spectroscopy,那他是可以看到,就是graphene上面,呃,就是,呃,微小的這些分子上,呃,分子的這些,呃,的的signal這樣子。
181160	208100	那另外一個例子呢,是,呃,就是我們想要觀察,就是,呃,神經細胞在,呃,在graphene上面,呃,就是神經細胞它會產生電訊號,那這些電訊號就是當然是我們大腦類裡面,就是傳遞,呃,資訊的的方法嘛,那我們把這個graphene放在,呃,把,呃,神經細胞放在graphene上面,然後呢,就是利用graphene來觀察這些神經電訊號。
208660	217300	那這個是,呃,這個可以成功是因為我們發展出了一個方法叫做waveguide-based imaging,那就是之後我們會詳細的介紹。
218020	240100	OK,那我們就先從這個motivation開始,那,呃,就是在講這些motivation之前,我們先來認識一下,就是什麼叫做,什麼叫做叫做二維材料,那,呃,你可以看到左邊這個圖啊,就是它是一個,哎,我想問一下,就是大家可以看得到我的滑鼠嗎?
240100	241100	可以看得到,呃,我看得到,我看得到,可以,呃,呃,就是這個是,呃,它就是石墨,那石墨裡面的結構呢,就是一層一層的這個,呃,碳原子嘛,那就是當你把它分離出一層的時候呢,這個東西就叫做graphene,它就是叫中文叫石墨烯,那,呃,另外如果你把它捲起來啊,它就是可以變成,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,�
270100	300100	一維的結構叫做nanotube,呃,就是carbon nanotube,然後當它捲成,呃,臨維的結構的時候呢,就叫做fullerene,就是,對,然後,呃,歷史上來說呢,是,就是大家是先發現了這個,呃,一開,大家當然都知道有石墨這個東西嘛,然後一開始是先發現了這個fullerene,就是碳60,然後才發現了carbon nanotube,就是一維的結構,那就是一直都沒有發現,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,�
300100	310740	呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃
310840	314720	呃,情況,那這個原因是什麼呢?就是
317340	320040	那這個原因是什麼呢?就是
320040	327820	呃,就是其實大家呃,因為因為為了要計算就是,呃,石墨的property呀,還有這些nanotube 和following的property,其實
327820	334580	都已經非常清楚就是呃,這些理論學家已經非常清楚,就是詭病,到底應該要怎樣的property
334580	344060	就是電學呃,電學的性質啊,光學的性質都已經被預測出來,但是呃,還有一件事情是因為
344060	353580	就是大家其實之前其實有一個,在詭病被發現以前其實有一個理論,呃,其實其實有一個theory,它是說
