start	end	text
0	28000	大家好,歡迎大家來到本週的Terra Talk,我是今天的主持人林怡蓉Emma,我目前在Caltech做CO2 reduction,能供光合作用合成燃料相關的研究,那歡迎大家今天來參加我們的演講,首先我先來介紹一下我們今天的講者杜益修,杜益修目前是史丹佛大學博士生,
28000	51000	他大學畢業於台大物理系,他之前大學的時間在朱世偉老師實驗室做專題生,做的研究內容是silicon photonics相關的研究,他在大學的過程當中去了一趟Berkeley物理系交換一年,那時候他做的研究是graphene synthesis相關的study。
51000	80000	杜益修目前在史丹佛大學物理系,物理所一年級應用物理,他現在是在高松宏實驗室進行rotation,目前實驗室從事的是聲音影像與神經科學相關的研究,他接下來的博士班的研究興趣是希望將nanophotonics和neuroscience結合起來做vocation。
81000	89000	他今天所要演講的題目是跟台大朱世偉老師實驗室合作的一些光學study。
90000	118000	這次的演講主題內容主要是希望大家,基本上silicon記憶體電路的蓬勃發展,所以人們一直想要將silicon光學元件合併到一些電晶體,還有narrowdown在一個chip內,來達到真正的photonical IC,但silicon元件基本上目前實際比較龐大,
118000	128000	所以他們希望能夠理解到能不能將尺度縮小為奈米,尺度達到更大的密度,同時維持非線性光學的性質。
128000	135000	這次的演講會講的是,在一個小尺度下,silicon的超大非線性效應。
135000	144000	今天的題目是Greatly Enhanced Photothermal Nonlinearly in a Silicon Nano Resonator。
144000	147000	我們鼓掌歡迎今天的講者,杜一修。
147000	157000	杜一修,演講主持人
177000	187000	杜一修,演講主持人
207000	217000	杜一修,演講主持人
237000	247000	杜一修,演講主持人
267000	277000	杜一修,演講主持人
297000	307000	杜一修,演講主持人
307000	317000	杜一修,演講主持人
337000	347000	杜一修,演講主持人
347000	357000	杜一修,演講主持人
357000	367000	杜一修,演講主持人
367000	377000	杜一修,演講主持人
377000	387000	杜一修,演講主持人
387000	397000	杜一修,演講主持人
397000	407000	杜一修,演講主持人
407000	417000	杜一修,演講主持人
417000	427000	杜一修,演講主持人
427000	437000	杜一修,演講主持人
437000	447000	杜一修,演講主持人
447000	457000	杜一修,演講主持人
457000	467000	杜一修,演講主持人
467000	477000	杜一修,演講主持人
477000	487000	杜一修,演講主持人
487000	497000	杜一修,演講主持人
497000	507000	杜一修,演講主持人
507000	517000	杜一修,演講主持人
517000	527000	杜一修,演講主持人
527000	537000	杜一修,演講主持人
