start	end	text
0	2000	整理&字幕 沛隊字幕小組
30000	32000	整理&字幕 沛隊字幕小組
60000	62000	整理&字幕 沛隊字幕小組
90500	92000	那首先我會
92000	94000	我的talk
94000	96000	我會把它分成就是簡單的背景介紹
96000	98000	然後會提到我們做的
98000	100000	所謂的基因型的篩選
100000	102000	然後最後就是來跟大家
102000	104000	分享我們發現了些什麼東西
106000	108000	那首先
108000	110000	先跟大家介紹一下這個neutral fill
110000	112000	那neutral fill 中文叫做
112000	114000	適中性白血球
114000	116000	那它就是最有名的
116000	118000	就是大家可能在facebook或youtube上
118000	120000	有看過這顆1953年
120000	122000	David Rogers 拍的細胞
122000	124000	就是一顆neutral fill
124000	126000	在追著細菌跑,然後旁邊這些都是紅血球
126000	128000	這一顆細胞
128000	130000	這種細胞是我們
130000	132000	血液中最多的細胞
132000	134000	我們隨便抽個血
134000	136000	40%到60%的白血球都是這種
136000	138000	適中性白血球,就是neutral fill
138000	140000	那它
140000	142000	是我們身體裡面移動最快的細胞
142000	144000	你可以看到說這是real time
144000	146000	它就這樣可以直接被細菌跟著上
146000	148000	這樣跟著它跑
148000	150000	那它同時也是
150000	152000	不管是發炎感染症也好
152000	154000	受傷也好,反正哪裡有發炎
154000	156000	它就是會第一個到達這個
156000	158000	發炎的地方
158000	160000	那這顆細胞呢,它本身已經是
160000	162000	不再分化,也不再分裂了
162000	164000	所以它的細胞核
164000	166000	常常都是有這些比較lobe
166000	168000	就是這樣一坨一坨的形狀
168000	170000	那它如何
170000	172000	到達我們發炎的
172000	174000	組織呢?它會在血液中
174000	176000	流竄的時候,它會先被
176000	178000	因為這個我們的血管外壁
178000	180000	也會有一些
180000	182000	黏附性的一些receptor
182000	184000	一些受體,它會在旁邊
184000	186000	在上面先滾動,先稍微的黏住
186000	188000	然後最後再進行
188000	190000	fermentation,就是真正的
190000	192000	attach了,黏到這個
192000	194000	血管管壁,並且進行
194000	196000	extrapassation,或是我們叫transmigration
196000	198000	進到
198000	200000	我們的發炎的組織
200000	202000	那就是進到這個組織之後
202000	204000	我們就會感受到發炎
204000	206000	所謂的紅腫熱痛,就是從
206000	208000	這個時候開始,就是這些免疫細胞的
208000	210000	浸潤,那這個
210000	212000	neutrophil它到達這個
212000	214000	發炎的組織的時候
214000	216000	它會進行很多個功能
216000	218000	稍微為大家一一的稍微說明一下
218000	220000	它會放出很多cytokine
220000	222000	就是一些化學的傳導物質
222000	224000	那這些傳導物質
224000	226000	可以讓更多的
226000	228000	neutrophil也進來,或者是
228000	230000	它可以來讓
230000	232000	免疫細胞,譬如說我們所謂的巨噬細胞
232000	234000	macrophage,甚至是
234000	236000	我們的T細胞、B細胞
236000	238000	也都會過來進行一些
238000	240000	免疫反應
240000	242000	但是呢,這個cytokine是
242000	244000	很重要的傳導,跟血洗傳導
244000	246000	跟發炎傳導的媒介
246000	248000	但太多的時候呢
248000	250000	可能有些人聽過所謂的
250000	252000	cytokine storm,就是這種
252000	254000	受體或是這種
254000	256000	化學物質的過量
256000	258000	會造成敗血跟休克
258000	260000	那這種neutrophil
260000	262000	它也可以直接的
262000	264000	進行phagocytosis,所謂的包吞
264000	266000	或者是巨噬作用
266000	268000	可以直接把這個微生物直接吞進去
268000	270000	那吞進去之後呢
270000	272000	它會放出一些自由基
272000	274000	ROS,來把它們
274000	276000	分裂掉或分解掉
276000	278000	那這個ROS也可以放到
278000	280000	細胞外,來造成這整個組織的
280000	282000	發炎,來吸引更多的
282000	284000	免疫細胞跟一個發炎的反應
284000	286000	但太多的這種
286000	288000	自由基會造成氧化
288000	290000	所以我們通常不是說要喝茶
290000	292000	要避免,要降低自由基
292000	294000	然後降低氧化,就是因為這些自由基會造成
294000	296000	組織傷害,所以太多也不好
296000	298000	那這個
298000	300000	neutrophil呢,它最有名的一項
300000	302000	東西叫做Net Formation
302000	304000	就是Neutrophil Accelerator Trap
304000	306000	那這個反應呢
306000	308000	就是當它發現它自己的免疫
308000	310000	反應太強,或者太多細菌
310000	312000	在身邊,它一個人已經沒有辦法
312000	314000	當我們看電影看到這個英雄
314000	316000	就是男配角,發現敵人太多的時候
316000	318000	通常看到就是它會抱著一個
318000	320000	手榴彈,然後就直接跟
320000	322000	這些細菌同歸於盡
322000	324000	或是跟敵人同歸於盡
324000	326000	它這個時候就會把它的DNA物質
326000	328000	就是它這個核裡面的DNA,放到
328000	330000	細胞外,形成一個
330000	332000	很黏的網狀的東西
332000	334000	叫做Net,剛好這個名字
334000	336000	很像,然後可以就是
336000	338000	把這些細菌
338000	340000	或病毒,Trap在那邊
340000	342000	就是把它們困在那裡
342000	344000	這個Net上面也有一些酵素
344000	346000	可以幫忙分解它們
346000	348000	那這個Net本身
348000	350000	也是可以當作形成是一個
350000	352000	吸引免疫細胞的一個功能
352000	354000	但是呢,太多
354000	356000	這樣的一個Net,其實也會造成
356000	358000	自體免疫,因為我們身體
358000	360000	的免疫系統並沒有對訓練來認
360000	362000	DNA這個物質
362000	364000	所以有時候會造成自體免疫
364000	366000	那一般在理想的情況下
366000	368000	這個它這個Neutrophil
368000	370000	在沒有過度發育
370000	372000	的情況下呢
372000	374000	扮演了它的角色之後
374000	376000	它會進行凋亡
376000	378000	然後死亡
378000	380000	然後這些雜質會被Macrophage
380000	382000	就是另外一種細胞給吞噬
382000	384000	然後發炎就會
384000	386000	慢慢的減緩,要不然
386000	388000	它也可以直接再爬回它的血管
388000	390000	然後就是繼續
390000	392000	流竄
392000	394000	所以希望就是透過
394000	396000	這樣的幾個功能
396000	398000	可以讓大家稍微的
398000	400000	明白說
400000	402000	這個細胞第一個到達發炎的
402000	404000	現場,它怎麼做
404000	406000	它怎麼決定,往往會去
406000	408000	決定我們的發炎
408000	410000	的Outcome,就是會怎麼樣
410000	412000	或是會不會疾病,會不會
412000	414000	成功的清除我們的外來
414000	416000	這個細菌或是病毒
416000	418000	所以我們要想辦法去
418000	420000	研究有沒有新的方法可以去
420000	422000	控制這個發炎
422000	424000	的這個反應
424000	426000	那為什麼
426000	428000	要控制這個發炎的反應呢
428000	430000	因為像我剛剛可能
430000	432000	適時的要陳述的就是
432000	434000	它是一個Balance,一個Yang and Yang
434000	436000	的Balance,如同這是Science
436000	438000	期刊雜誌的封面
438000	440000	就是
440000	442000	我們需要它,但是太多也不好
442000	444000	那因為最近有這個COVID-19
444000	446000	有這個SARS的
446000	448000	這樣的一個疫情
448000	450000	所以我剛好拿這個例子來跟大家
450000	452000	舉一下,為什麼人們會死於
452000	454000	這個COVID-19
454000	456000	那這是我們的肺部的一個肺泡
456000	458000	Aveolar
458000	460000	那通常呢,這個Aveolar space是有空氣的
460000	462000	那這個時候
462000	464000	因為SARS這個病毒,就SARS-CoV-2
464000	466000	它會感染我們Aveolar的
466000	468000	表皮細胞
468000	470000	那剛才這個表皮細胞呢,細胞會死亡
470000	472000	細胞也會發出一些
472000	474000	救命訊號
474000	476000	那這個Neutrophil呢,就會從這個血管
476000	478000	像我們剛剛講的,就是會
478000	480000	跑到這個肺部組織
480000	482000	那肺部組織跑出去的同時呢
482000	484000	紅腫熱痛的發炎
484000	486000	也會造成血管通透性的上升
486000	488000	然後081的浸潤
488000	490000	所以造成了這個會有的低碼
490000	492000	所以很多免疫細胞會在這裡
492000	494000	清除細菌啊,然後殺死病毒
494000	496000	然後同時也會有
496000	498000	081的浸潤,然後這邊的發炎
498000	500000	造成一個正回饋
500000	502000	造成了太多太多的
502000	504000	bystander effect
504000	506000	什麼叫bystander effect,就是它除了
506000	508000	殺病毒的方法,它是把
508000	510000	被病毒感染的細胞殺掉
510000	512000	所以我們的肺部的組織
512000	514000	就會受傷,受傷了
514000	516000	就更強的發炎
516000	518000	然後有更多的免疫細胞
518000	520000	因此就會慢慢的讓我們的
520000	522000	這個肺部會積水
522000	524000	那肺部積水的同時,我們就
524000	526000	沒有辦法有足夠的換氧量
526000	528000	沒有足夠的換氧量的時候
528000	530000	就會開始shortness of breath
530000	532000	就是氣喘,然後就是呼吸困難
532000	534000	那最終換氧量不足
534000	536000	也會造成我們的器官
536000	538000	得不到氧氣
538000	540000	那氧氣就會多重器官壞死
