start	end	text
0	3520	那歡迎大家來到4月11號的Taira Talk
3520	7360	那我們今天很榮幸邀請到蕭子剛來給我們
7360	9360	來為我們給一個演講
9360	12400	那今天要 今天的主題呢是
12400	16960	Single Photon Emission from Single Electron Transport
16960	21440	in a Soul-Driven Lateral Light Emitting Diode
21440	25960	那就是看起來是跟
25960	29560	就是跟這個Quantum Computation是有點關係的吧
29560	32200	然後 那個我們今天的講者呢
32200	36000	他之前是在這個新竹求學
36000	41240	那就是之後到研究所呢
41240	42240	是在台大
42240	45320	然後他說他的這個研究的實驗結果呢
45320	48560	是主要是在這個熱傳導的方面
48560	50840	那後來是研究所之後呢
50840	53320	是在這個英國念博班
53320	57960	然後現在在荷蘭Deft的QTEC做博士後研究
57960	60960	那我們 就是我們在演講之前呢
60960	63640	我們給這個講者一個鼓掌
63640	65680	那大家記得要先打開麥克風
65680	67680	然後再鼓掌喔
74520	80000	好 那我們就先把這個時間交給子剛囉
80000	81800	OK 好
81800	86120	好 大家早安午安晚安
86120	87480	不管你們在什麼地方
87480	89960	希望你們都還安全
89960	93320	我今天要講的內容是
93320	97280	主要是我在劍橋的PhD的工作
97280	98800	然後他其實已經
98800	102240	今年二月的時候已經發表在Nature Communication
102240	106320	那這個Citation在這邊
106320	108800	如果有興趣想要了解更多細節的話
108800	111960	可以去參考這篇paper
111960	113280	因為其實我今天
113280	117720	因為我不太確定聽眾的這個程度
117720	120640	或者是說大家的專業領域可能都不太一樣
120640	124200	所以我今天不會講得非常深入
124200	125440	就是我會用
125440	129840	又會有一些比較淺顯易懂的方法來表達
129840	131920	那如果大家有問題的話
131920	135160	可以就直接問沒關係
135160	137600	就是覺得 因為在線上的話
137600	139720	好像有互動的話會比較
139720	142840	有問問題的話會比較互動的感覺
143240	145240	所以今天主要的題目是
145240	147600	今天主要的工作是我要介紹
147600	153440	我們一個算是
153440	155440	嶄新的或是全新的一個
155440	157600	產生單光子的方法
157600	160240	我們是用打一道表面聲波
160240	162960	在一個類似像LED的結構
162960	165000	然後去產生這個單光子
165000	168880	那所以說今天的主題是主要
168880	171760	比較相關於
171760	174000	主要是關於量子通訊
174000	175520	那量子計算的話呢
175520	178320	是我現在在荷蘭這邊QTEK
178320	181200	正在學習跟研究的
181200	186040	那如果之後有機會的話再跟大家分享
186040	186680	OK好
186680	187880	所以但不管怎麼樣
187880	192920	今天主要是有關於這個量子資訊的科技
192920	193760	OK好
193760	195560	那量子資訊科技
195560	198480	它有什麼樣子的應用呢
198520	202000	相信大家看過電影大家都很知道
202000	205880	就是量子科技可以讓大家縮小啊
205880	209360	或是什麼穿越時空啊
209360	210040	OK之類的
210040	212000	就是在復仇者裡面都跟你講說
212000	214840	量子力學可以達成這些事情
214840	217760	不過在這邊我可以很負責的跟大家說
217760	219080	這些都是唬爛的
219080	219760	OK
219760	221920	所以就是並沒有
221920	225880	這些東西跟量子力學其實完全扯不上關係
