start	end	text
0	11000	今天蔡娃很榮幸邀請到我們的主持人俞松環博士來幫我們做一個線上的演講。
11000	18000	俞松環博士所屬的學校跟研究單位是Max Planck Institute of Biochemistry,
18000	22000	他主要的研究領域最主要是專注於Bioinformatics。
22000	26000	今天他要為我們演講的主題是
26000	34000	An adjusted three-armed knife for RNA-seq-based annotation of bacteria archaeogenomics。
34000	39000	OK,那我們現在請俞松環博士來為我們做介紹。
39000	42000	謝謝主持人的介紹。
42000	48000	基本上我今天要講的就是有關一個生物資訊的一個分析的工具。
48000	57000	這個工具主要是應用在目前很常使用也非常重要的大數據的資訊的分析,
57000	59000	主要是用在RNA sequencing上面。
59000	63000	等一下我會介紹一下它的背景,
63000	68000	然後我們是專注在細菌跟骨生菌的基因注射的提供。
68000	74000	我相信不是所有的觀眾都是從生物學來的,
74000	78000	所以我會很簡單的介紹一下背景。
78000	84000	我相信之前有蠻多的演講者其實也有講過一些背景,
84000	89000	如果我講得不夠清楚,大家也可以回去看一下那些演講者講的部分,
89000	92000	他們都講得非常的好。
92000	101000	整個生物其實它要能夠有正常的代謝生長,
101000	104000	需要經過一段的過程,
104000	110000	也就是他們所有的基因需要正常的發揮功用。
110000	115000	我們都知道遺傳物質其實都是儲存在DNA裡面,
115000	118000	我們所講的基因裡面。
118000	121000	DNA它是一個雙股螺旋的結構,
121000	124000	你可以看到這邊是兩股,
124000	129000	DNA在複製的時候,它是需要像拉鍊一樣,
129000	132000	這兩股螺旋會被解開,
132000	136000	之後會以其中的一股當作template,
136000	139000	照著這個template,我們會有DNA polymerase,
139000	142000	它會去讀取上面的遺傳密碼,
142000	146000	然後複製出另外一股,組成新的DNA。
146000	151000	但是DNA要有裡面的基因要真的表現調控,
151000	156000	其實大部分的情形還是需要走到蛋白質這個level,
156000	158000	就是這邊一個protein的level。
158000	162000	中間有一個中間產物叫做RNA,
162000	168000	從DNA到RNA,我們稱為transcription,就是轉錄的部分。
168000	172000	很簡單,也是一樣,DNA它會解開成為單股,
172000	176000	RNA polymerase就會結合在這個單股的DNA上面,
176000	180000	然後去產生另外,接著讀取他們的遺傳密碼,
180000	184000	然後產生另外一個單股的結構,我們稱為RNA。
184000	188000	RNA它就可以跟ribosome interaction,
188000	191000	之後接著translate,經過一個translation的過程,
191000	193000	中文叫轉譯的過程。
193000	200000	這些RNA就會跟正確的氨基酸比對之後,
200000	203000	會結合成我們有功用的蛋白質。
203000	205000	這是大部分的情形。
205000	209000	現在這幾年非常重要的一個題目,
209000	217000	就是用大數據的方式來分析生物的一些現象,
217000	219000	或者是要了解生物調控的情形。
219000	223000	主要我們也可以把它大略地分為這三個level,
223000	225000	就是DNA level、RNA level、protein level。
226000	230000	這些大數據的研究我們就稱為體學,
230000	232000	英文就是omics。
232000	236000	所以DNA我們就可以組成genomics,
236000	238000	RNA我們就有transcriptomics,
238000	240000	那protein就有proteomics。
240000	242000	所以基本上就像這樣,
242000	245000	就是omics data它在非常不同的level,
245000	249000	它們都會有不同的omics data的產生。
249000	254000	不同的level我們可以研究不同的項目,
254000	256000	或者是不同的研究,不同的study。
256000	260000	比如說如果我們想要知道我們所得到的樣本,
260000	263000	它的基因突變的情形,
263000	265000	可能我們就需要做到DNA level,
265000	268000	我們去看Genome它是不是有什麼變化。
268000	272000	如果我們想要去看一些基因的突變,
272000	276000	會不會造成我們所想要研究study的樣本,
276000	280000	它樣本的生物是不是會有表象性的、
280000	282000	表態性的改變,
282000	284000	那我們可能就要做到proteomics。
284000	286000	所以不同的omics data,
286000	288000	它有不同的用處,
288000	292000	也有不同的研究的方向。
292000	294000	那講到omics data,
294000	299000	我們就需要講到近幾年有幾個很重要的
299000	301000	科技技術的發展,
301000	303000	導致這個omics data的出現。
303000	306000	一開始其實在1970年代左右,
306000	308000	就已經有第一代的sequencing,
308000	311000	主要是focus在DNA上面。
311000	313000	簡單來說就是,
313000	315000	因為DNA它在複製的時候,
315000	317000	它需要利用核苷酸,
317000	319000	四種不同的核苷酸,
319000	321000	簡單來講就是CGAT,
321000	323000	這四個不一樣的字母,
323000	325000	其實代表了四個不同的核苷酸。
325000	326000	那在複製的時候,
326000	328000	這些核苷酸的,
328000	330000	應該說在這個DNA裡面,
330000	332000	這個四個核苷酸,
332000	335000	它的不同的排列順序,
335000	338000	就導致遺傳密碼的不同,
338000	341000	就會產生不同的產物。
341000	344000	那Sangus這個科學家,
344000	347000	他就是利用不同的螢光,
347000	350000	來標示在這四個不一樣的核苷酸。
350000	351000	所以你可以想像,
351000	354000	當這個DNA要複製的時候,
354000	356000	它這個單股就會去接到,
356000	358000	這些有螢光的核苷酸。
358000	360000	之後這些螢光發出來,
360000	362000	我們就可以藉由這個螢光的,
362000	364000	偵測這個螢光,
364000	365000	我們就可以知道,
365000	367000	它這一段基因,
367000	370000	它到底裡面的序列長什麼樣子?
370000	372000	它的遺傳密碼到底是什麼?
372000	374000	簡單來講就是這樣。
374000	377000	那這是第一代的sequencing。
377000	378000	那現在的問題就是,
378000	379000	第一代的sequencing,
379000	381000	雖然也是很大量的被使用,
381000	383000	甚至現在也還在被使用中,
383000	385000	但是它有幾個缺點。
385000	386000	第一個呢,
386000	389000	就是它沒有辦法自動化。
389000	390000	因為呢,
390000	392000	我們要做這個定序的時候,
392000	394000	都需要先去amplify我們的樣本。
394000	396000	然後之後才能夠去做定序。
396000	398000	那在第一代的時候,
398000	400000	它並沒有辦法做到自動化的部分。
400000	401000	那第二個呢,
401000	402000	就是呢,
402000	405000	它的基因是需要,
405000	407000	是沒有辦法去做整體的基因,
407000	409000	也就是我不能去在一個細胞裡面,
409000	412000	我把所有的DNA拿出來之後,
412000	414000	直接就去做sequencing,
414000	415000	這是沒有辦法的。
415000	416000	所以它們必須要,
416000	418000	也就是我們需要先有一個assumption,
418000	419000	知道OK,
419000	421000	猜測這段基因可能會有問,
421000	422000	是我們所想要的,
422000	424000	所以我們去定序。
424000	425000	那第三個呢,
425000	426000	就是呢,
426000	429000	因為它在基因定序的方面呢,
429000	430000	這個我們通常,
430000	432000	我們的target gene通常都是,
432000	435000	長度都是會有一定的長度。
435000	436000	所以呢,
436000	437000	就會在定序的時候,
437000	439000	會產生錯誤率的,
439000	440000	怎麼講,
440000	441000	錯誤率就會比較高。
441000	442000	也就是說,
442000	443000	我們可以想像,
443000	445000	當我們如果有一個比較短的序列,
445000	446000	也就是說,
446000	448000	它發生錯誤的可能性的機會,
448000	450000	就會比較少。
450000	452000	但是如果我們的心電的基因,
452000	453000	是比較長的,
453000	454000	那當然,
454000	456000	你累積發生錯誤的機率,
456000	457000	就會越來越大。
457000	461000	所以如果有做實驗的聽眾,
461000	462000	我們就會知道,
462000	465000	這是如果我們再去做定序的時候,
465000	468000	常常有時候在最尾端的時候,
468000	470000	常常會有很多的,
470000	471000	怎麼講,
471000	472000	quality的下降,
472000	474000	其實原因就是因為錯誤率的累積。
474000	476000	所以有這些的問題,
476000	477000	雖然有這些的問題,
477000	480000	但是大家還是蠻常去使用它的。
480000	482000	所以到2000年初,
482000	485000	就出現了另外一個,
485000	487000	我們稱為Next Generation Sequencing,
487000	490000	就是為了解決第一代定序的缺點。
490000	491000	Next Generation Sequencing,
491000	493000	它可以做到不同的level,
493000	494000	譬如說它可以做DNA Sequencing,
494000	496000	也可以做RNA Sequencing。
