start	end	text
0	17520	整理&字幕:"大家好,我是今天這場演講的主持人,我的名字是陸浩然。我現在在美國的University of Connecticut念博士班,我同時也是Project Terra的工作人員。
17520	37520	Project Terra平常會定時在線上提供演講的平台,跟在世界各地的臺灣年輕學者分享他們的研究。
37720	54540	主持人:"今天的演講者是杜祐霖Mark。我想先跟Mark說一聲,現在我們好像看到的不是他的投影片,所以可能要請他分享他的投影片的螢幕。
55220	72980	Mark的過去經歷有社會學和教育,他的專業是人工智慧,包含人格創造力和消費者行為。
72980	89400	他在接觸到認知科學相關的研究後,目前的研究是跟自然源有關係的。他現在是在中央大學的認知神經研究所擔任研究助理。
89880	98980	主持人:"他有一個個人網站,歡迎大家到Project Terra上有一個連結,可以到他的個人網站去看他的資料。
98980	123520	今天的主題是Applied NLP to Understand Creativity, Take Twitter and Kickstarter for Example。它是聚焦在逆向工程和應用的心理學知識。相信大家對今天的演講非常有興趣,也很感謝大家參加今天的演講。
123520	142180	在請Mark演講之前,先跟大家說一下,如果有任何問題都可以在旁邊的聊天區留言,我會將這個問題轉達給Mark,請他回覆。我現在就把時間交給Mark。
143180	167380	主持人:"大家好,感謝大家今天來參與這場線上的分享。今天的主題是關於群眾募資,我叫杜祐霖,英文本名是Mark。我先跳到我的自我介紹頁面,我叫Mark,我大學一開始是念東海大學的社會學系,
168380	191380	後來轉到中正大學的成人教育學系,後來就直接留在中正大學的學校擔任CS的research assistant,現在是到中央大學的認知神經科學研究所擔任研究助理。
192380	212380	我在大學的時候有一個老師,他的專長是人力資源管理,剛好他的研究興趣是創造力,所以有跟他學這方面。大學畢業的時候有做AI專題,也是對電腦科學蠻有興趣的。
213380	226380	我今天講的題目會把這兩個東西結合起來,未來對於心理學、電腦科學、認知科學、資料科學有興趣的朋友都歡迎跟我交流。
226380	240380	資料科學有三個部分,如果大家有看過文氏圖的話,左上角是電腦科學,右上角是數學,最下面就是domain knowledge,就是看你的專業是哪個專業。
241380	247380	這個學科真的是蠻迷人的,我現在就分享。
248380	273380	我今天講的題目有四個部分,第一個部分就是自我介紹,第二個部分就是群眾募資,一般來說大家覺得創意很好,理論上群眾募資網站上是很吃香的,假如你很有創意的話,我會分享我的研究成果。
273380	280380	第三個部分,我會分享關於行為經濟學上的一個專有名詞,叫做反轉偏好。
280380	293380	在某種情況之下我們會選A,在某種情況之下我們會選B,為什麼我們會產生這樣的偏好反轉,等一下會多做說明,最後是結論。
