start	end	text
0	17660	整理&字幕:"大家好,歡迎來到今天5月9號的Tira Talk。我是今天的主持人,洪世安。我們今天很榮幸邀請到許瑞福同學來為我們演講。
17660	42500	他現在是在中研院做research assistant,在9月的時候即將會進入台大電機的PhD program,他主要的研究是在做天線微小化和一些材料的研究。
42700	52500	他今天要講的主題是The Ultimate Challenge of Antenna Miniaturization。
53300	63700	我們在演講前先給講者一個鼓勵,我們等一下來鼓掌。大家記得在鼓掌之前要先把麥克風打開來哦。
63700	74660	好,我們就把時間交給瑞福了。
94700	108700	我碩班念比較久,多了一年,是電信所畢業。有時候我在中研院做研究助理,原本是計畫要去UCLA,不過後來決定留在台灣。
108700	117700	有一部分的原因是因為我現在也是在組織一些人在討論台灣的博士政策的問題。
117700	128700	去年的時候我有選台大研協會長,在更之前也有在行政院當諮詢委員。
128700	140700	所以我現在就一直比較關心,剛好最近有一個趨勢就是在這十年間,台灣的科技類博士生從大概兩萬多人降到一萬五千多人,少了三成。
140700	153700	所以在這個時間點大家就會在思考說,可能這個少子化的浪潮下,到底我們培育博士的現在有沒有什麼問題,有沒有什麼需要調整。
153700	160700	有沒有可能就是應該要爭取更多的資源,來好好的養我們青年的研究人力。
160700	166700	所以我除了做學術研究之外,也有在關心這部分的公共政策。
166700	177700	我今天前面會花比較多的時間介紹天線的一些基本知識,還有為什麼要研究這個題目。
177700	182700	那後面的話會再講我之前有的一些研究的成果。
182700	196700	那可能大部分的人對於天線最早認識跟印象,就是電磁學課本,然後有一個加速度的電子,那它就會產生電磁波的輻射。
196700	208700	那那個是比較物理上的基本的定義,那如果是在實際上天線作為一個元件的話,電路的元件,我們通常會這樣講。
208700	214700	就是它比較像是一個transition device,那是在什麼的transition?
214700	219700	就是在guided wave跟free space wave。
219700	240700	那guided wave的話就是在transmission line裡面傳播的導波,然後到真空中或者是空氣中的傳播中間有一個device,然後可以轉化這樣的電磁波的一個裝置。
240700	250700	所以我們在這個transition region,我們可能透過設計結構或者是不同的材料,然後來達到我們想要的效果。
250700	266700	所以如果用比較電路的方式來看這件事情的話,就是比如說像這張圖,我們有一個voltage source,然後它有它自己的generator的resistance。
266700	273700	那就是透過transmission line的傳播,它是一個助波的形式,然後再到天線端。
273700	281700	那這個RL代表的是loss,就是它可能是各種來源的loss,比如說conductor loss。
281700	289700	那這個R呢就是實際上會輻射出去的地方。
289700	303700	那因為對於整個系統而言,不管你是變成熱的loss還是輻射出去,都是某種這個電路的能源的消散,能量的消散,所以可以用這個電阻來表示。
303700	311700	那它也會有一些電容性或電感性的東西,如果以電路來表達一個天線的話是這樣子。
311700	324700	那在我們印象當中呢,其實生活當中有各式各樣很多元的天線,比如說這是我們最常想到的,叫偶極的天線,會在我們Wi-Fi AP看到。
324700	337700	那像我們在那個可能哆啦A夢的漫畫或我們的屋頂已經很少了,但是有時候還會看到這種天線,叫八角天線。
337700	348700	然後還有這種是叫helical antenna,那它特點就是它的集中度很高,然後是原機化的。
348700	358700	那也有像這種home antenna,或者是我們最簡單現在最常見的叫patch antenna,就是它有一個ground跟一個金屬片。
358700	370700	那可能很多人呢對於天線的印象除了這個之外,就是很久以前的手機,它就是大家可以看到它接的是一個很簡單的偶極的天線。
370700	376700	那很多人也會好奇說,那我們現在的手機為什麼好像都沒有這個東西了?
376700	393700	其實我們現在的手機,它的天線呢通常都是整合到它的晶片跟它的外型上,比如說已經有一段時間了,之前有一個很有名的故事就是iPhone4的天線門事件。
393700	401700	就是當用戶握到這個地方的時候叫死亡之握,你只要握下去之後你就會斷訊了。
401700	419700	那這個很有名的事件呢就是因為它把它的金屬外框跟它接收到的頻段整合在一起,那很不巧的它當初設計的時候沒有考慮到用戶的手會導致它這個接收的地方短路。
420700	435700	所以其實天線的設計的話,它可以從很古老的一個物理的問題一直延伸到我們現在的可能使用者的體驗、美學跟整個系統的效能都會有所影響。
435700	443700	那接下來我會說幾個天線最常見的參考的設計的參數。
443700	458700	第一個叫Radiation Pattern,那Radiation Pattern它是用圖像化的方式去表達它的數學的表示式,通常就是用來表示它的一些輻射的特性。
458700	467700	比如說可能它的功率的強度,它的電磁場的強度,或者是它的相位或各式各樣的特性。
468700	478700	那通常我們都會把這樣的Radiation Pattern在看它的整個輻射的特性的時候是在叫Far Field Region。
478700	493700	那會在Far Field Region主要有兩個原因,一個是因為此時就是它的輻射的Pattern是跟它的距離已經不會有相關了,它就可以比較獨立的一個參考參數。
493700	496700	另外一個就是它會變成平面波的形式。
496700	507700	所以像這些輻射的特性有很多,不管是你的Power Flux,或是你的Field Strength,都會用這樣的方式來描述。
507700	522700	所以比如說像這張圖是用球坐標的方式來看天線的輻射特性,那我們就可以表示它可能是它的功率,或者是這邊寫的是它的Field Strength,就是電場或磁場。
522700	530700	那就可以看這個叫Major Lobe,就是它的場牆比較強的地方。
530700	540700	那我們其中一個天線設計很重要的參數就是如何將它的輻射特性設計成你想要的形狀跟樣子。
542700	547700	那第二個重要的參數叫Directivity跟Gain。
547700	561700	那Directivity就是這個天線它的輻射的強度在特定的方向上,跟整個天線在所有方向上的平均值的比值。
561700	570700	所以它就可以用來呈現那個地方它的強度的集中度如何。
571700	587700	那Gain跟Directivity不一樣的地方就是它看的是天線如何有效的將它接收到的輻射變成另外一個地方實際上接收到的天線可以接收到的強度。
587700	593700	所以它們兩個之間的關係就是有一個輻射效率的差異。
593700	611700	那輻射效率通常就是把天線的結構所接收到的功率跟它實際上輻射出去的功率的一個比率,就是介在0跟1之間。
611700	615700	那這個輻射效率就會是我們很關心的事情。
615700	623700	因為比如說在手機的設計裡面,你的輻射效率就會直接影響到你的電池的效能。
623700	629700	那或者是一些更重要的應用就會影響到你的整個耗電量。
632700	637700	那還有另外一個參數又是更實際的叫Realized Gain。
637700	642700	它就是包含剛剛我們如果看到這張電路圖。
642700	650700	當這個transmission然後要到天線端,它就會有阻抗匹配的問題。
650700	658700	也就是說如果它的阻抗沒有辦法匹配的話,它就會有部分的波能量是反射回去的。
658700	661700	這樣的話就是使用起來會比較沒有效率。
661700	672700	所以Realized Gain的話就是連天線要接收到多少功率的這個反射係數跟剛剛的Gain,就是這個Gamma是反射的係數也一起考慮進去。
672700	678700	那這個通常就是最實際我們會看到天線的一個performance的地方。
679700	687700	我可以問一個很基本的問題,因為我真的對這個不太了解。
687700	694700	對現在天線來說,因為我們知道它通常會有像Ampitude Modulation跟Phase Modulation。
694700	707700	那現在你們設計的,或者你現在講的這些參數,在Ampitude跟Phase的上面是有什麼差異嗎?
707700	712700	還是基本上你就只需要得到最大的信號就好了?
712700	722700	如果是以天線的硬體端的話,我們確實主要的考量都是如何得到最大的信號。
722700	730700	那後端就是可能透過電路的設計,或者是一些數學的理論來做一些調變。
730700	745700	其實信號的強度,在我後面也會講到,就是信號的強度背後最終要達成的一個目的都是要怎麼樣讓你的通訊的系統的資料傳輸速率會越高越好。
745700	750700	那資料傳輸速率要越高越好,其實它會有很多的面向。
750700	761700	信號強度是一個,但是比方說剛剛講的AMFM,它其實是不同的調變方式,也會影響到它的傳輸的速率。
761700	770700	那有很多不同的地方會影響到傳輸的速率,但是我們最終的目標都是希望可以提升整個通訊系統的傳輸的速率。
771700	776700	那天線的設計這一端可能最主要考量的就是在信號強度。
776700	782700	好,了解,謝謝,謝謝。
782700	788700	那bandwidth頻寬,它也是一個重要的指標。
788700	801700	因為,等等後面會講到,就是有一個很有名的通訊的基本的公司叫Channel Capacity,就是有一個有名的資訊的理論家叫Shannon。
801700	810700	然後在裡面就是除了信號強度之外,另外一個會影響到傳輸速率快還是慢的就是頻寬。
810700	817700	但是頻寬的話,它其實是更廣義的一個東西。
817700	827700	就是我們頻寬只是指我們天線的那個特性,在特定的頻率範圍內可以維持我們想要的那個特性。
827700	840700	所以它可以指涉很多的物理變數,比如說輸入阻抗,比如說它的,剛剛講的它的叫radiation pattern的bandwidth,或者是你要的激化。
840700	844700	它本身的物理變數是可以有很多個的。
844700	849700	但我們最常看的呢,叫做阻抗的頻寬。
849700	858700	那天線呢,之所以會產生輻射是因為它是在特定的頻率之下會產生結構的共振。
858700	868700	那在共振的時候呢,它的,它的電阻跟它的reactance就會產生劇烈的變化。
868700	880700	那只要這時候你可以做到,就是match,你的impedance可以match的話,那你的能量才能夠打進去。
880700	892700	那所以如果我們要做到頻寬很寬的話,在impedance bandwidth的地方,我們常常看的一個參數就是剛剛前面有提到的反射係數。
892700	899700	那要怎麼樣盡量讓這個頻寬更寬一點,就會影響到整個系統的傳輸的速率。
901700	909700	那講完天線的一些基本特性之後,我會慢慢帶入就是關於天線微小化的部分。
909700	915700	那天線微小化呢,其實是一個很古老的題材。
915700	920700	它早在二戰的時候,大家就開始討論這件事情。
920700	929700	那最早的話,其實是一個跟我們也是算蠻有關係的一個人,他是一個MIT的教授叫朱蘭成。
929700	937700	他其實早年就是台灣的交大副校,他也幫了很多忙,他是MIT教書。
937700	942700	那他在1948年的時候,第一次提出這個概念,是什麼呢?
942700	952700	就是之前的人設計天線有點像盲人模像,就覺得說好像某種設計可以達成一個指標。
952700	958700	比如說我想要有怎樣的輻射效率,我想要怎樣的Gain,想要怎樣的頻寬。
958700	968700	但是呢,我們常常就是會東修改西修改,這邊也改一點那邊也改一點,那看怎樣可以湊出最佳的,我們想要達到的那個設計的指標。
969700	978700	但他們之間好像會有某種關聯性,你好像不可能同時什麼東西都變好,總會有某種Tradeoff。
978700	988700	那朱蘭成教授呢,就是在1948年第一次提出他們之間的關係性是怎樣描述的這樣的概念。
988700	1002700	那他的想法呢,其實並沒有很複雜,他是用一個圓球,把一個Whatever的天線Structure包起來,以能夠Enclose整個天線Structure的圓球。
1002700	1017700	那他去計算這個,他假設圓球內都是理想的特性,比如說他在裡面沒有Loss啊,然後沒有儲存能量啊,然後假設在裡面有一個震盪的魔態。
1017700	1028700	可能是最簡單的魔態,但他展開的是通用的表達式,然後假設了這個魔態之後,然後再去算他的球面波的展開式。
1028700	1040700	那第二步呢,他就是把這個球面波的展開式轉化成一個等效電路,每一個Z都是代表了跟裡面的一個魔態是有關的。
1040700	1067700	然後他通過這個等效電路的計算,可以計算出到底這樣的一個任意假設的魔態的天線,它輻射出去的電磁波有多少能量是儲存的,然後多少能量是真的輻射出去消散的,在這個等效電路的計算裡面。
1067700	1079700	所以這個是Quality Factor,那Quality Factor這邊我也可以就是稍微講一下,像我們以前最早接觸到Quality Factor的概念可能是在彈簧力學震盪的系統那邊。
1079700	1092700	那時候我們所追求的是Loss越小越好,然後Q值越高越好,代表他能量沒有被浪費,然後他是一個高效率的震盪。
1092700	1109700	但在天線其實是相反,我們追求的不是Q值越大越好,因為對於這個電路系統而言,這個Q同時也代表了他損失的能量跟輻射出去的能量。
1109700	1122700	對電路系統而言,他電路內損失的能量跟輻射出去的能量都是一種耗損。所以反而如果你要有更寬的頻寬的話,你的Q值是越小越好。
1122700	1133700	但是這又牽涉到另外一個問題是,到底你的Q值越小越好,是你的能量都用在電路的耗損呢?還是輻射呢?這就是另外一個問題。
1133700	1136700	所以有可能你的Q值越小越好。
1136700	1161700	如果今天做的都是commercial的電路做通訊的話,你不是可以選一個narrowband的,就是transmission的band,然後你只要弄一個Q非常非常大,然後可是瞄準那個frequency,你的noise bandwidth就很小,所以你receiver的部分還是可以用Q很大的antenna。
1161700	1180700	你講的沒有錯,但是通常我們還是會期待頻寬會越寬越好,但是這樣的話就是變成說要看你的設計情境之下的需求是什麼,然後你要怎麼解決這個問題。
1180700	1192700	但是如果我們單以評估天線的效能本身的話,就是不管是gain或是bandwidth,或者是輻射效率,我們都是會期待它是越大越好。
