start	end	text
0	15520	大家好,歡迎大家來到今天的Tier Talk。我們今天很榮幸請到洪紹敏博士,他現在是在加州理工學院做博士後研究員,是我的同事。
15520	30360	他今天為我們帶來的演講題目是《無意識的視覺訊息處理,從感光細胞到語言》。如果我沒有搞錯的話,今天的演講大部分的內容都已經公佈了,最近在Naturecom。
31200	51800	我首先為大家介紹一下紹敏。紹敏博士是在杜克和新加坡大學的醫學博士拿到的。他在博士的時候,他的工作主要是在研究無意識的視覺訊息處理的研究。
52000	73360	在他拿到Ph.D.之後,他來到了Caltech,跟他現在的老闆是Shinsuke Okamoto。現在主要的工作,其實題目是很類似的,就是延續他博士班時候的研究,在做無意識的視覺訊息處理。
73520	80080	他主要常常用的tools有Psychobasics、FMREEG和Eye Tracking。
81960	90700	一個跟平常演講比較不一樣的地方,就是我們先要鼓掌感謝紹敏給我們帶來的演講,但是大家要開麥克風,我們的講者才能聽到大家的掌聲。
90900	92420	我們現在就鼓掌!
99300	112840	主持人李永樂:「非常謝謝葉勇的介紹,我是洪紹敏,謝謝大家加入今天的演講。今天我想要談一個我非常有興趣的研究主題,就是無意識的訊息處理,我會主要著重在視覺層面上。
112840	129440	主持人李永樂:「大家在Title上可以看到有兩個極端,一個是感光,另一個是語言。我想要跟大家講的是,無意識的語言處理可能會涵蓋一個非常大的範圍,從感光、從光訊息怎麼變到電化學的訊息,那是我們跟視覺和外在世界互動的第一關。
129440	143640	一路到語言,通常我們會覺得語言是在整個視覺處理裡面比較高階、比較整合性的訊息,比如說你要看得懂一個句子,你要知道之間的組成、之間的字的意思是什麼,你要看得懂一個字,你要知道不同的筆劃是怎麼運作的。
144000	154740	今天想要跟大家傳遞一個訊息,就是無意識的訊息處理可能存在整個視覺訊息處理的不同層次上,可能涵蓋非常廣的範圍。」
155140	161620	意思到底是什麼呢?到目前為止,科學家還沒有辦法給出一個非常好的科學化的定義。
161620	170840	今天在這個演講裡面,包括意識科學這個領域裡面,大部分人沿用的定義都是,意識是具有感官內容的。
170840	184380	比如說你現在看得到我的slide上面的字,這是在你的視覺的意識裡面,比如說你現在聽得到我的聲音,這是在你的聽覺的感官內容裡面,我們就說你對這些聽覺或視覺的刺激是具有意識的、是有感官內容的。
185340	193260	有沒有內容不要跟意識狀態混淆。意識狀態是什麼呢?比如說等一下講到中間太無聊,你睡著了,那你可能就會進入一個無意識的狀態。
193260	199420	我們今天談的不是狀態,我今天談的無意識都是在沒有感官內容的情況。
201420	208540	談到有沒有感官內容,大家可能會常聽到一個比喻,你可以看到底下下面這個圖,大家可能在海報上面有看到,就是一個有點簡陋的圖,我自己畫的圖。
208700	220140	有意識跟無意識的處理,有意識的處理好像只是冰山一角而已。就訊息處理的角度來講,這可能沒有什麼太大的問題,因為我們每一分每一秒接收到的訊息量非常大。
220140	231780	可是其實經過我們腦的選擇以後,只有一小部分的訊息真的呈現在我們的意識裡面,其他沒有呈現在我們意識裡面的這些訊息一直都是我有興趣的一個研究主題。
231780	241340	就是這些訊息到底發生了什麼事?我們的腦是直接忽略這些訊息不處理它們,還是說這些訊息其實還是可以影響我們的腦進一步影響我們的行為?
241900	252380	今天主要要討論的問題有三大個。第一個我想要問的問題,就是從我不幫你來一直有興趣的問題,就是到底怎樣的資訊可以被無意識的處理呢?
252380	263180	我們可以有一個非常簡單的二元對立的假說。第一個就是,簡單的、比較單一、單位元的、比較低階的訊息可以在無意識的情況下被處理。
263740	274440	相反的,另一個假說可能就會是比較複雜的、整合性的、比較高階的訊息,這些訊息比較難被處理,所以在無意識的情況下它們就不能被處理,或者它們可以被處理。這是兩個對立的假說。
275280	286340	第二個我要問的問題是,無意識的處理是不是就等同於自動化的處理?這是什麼意思呢?就是說,這個歷程一旦開始之後,它不會受到外在的其他歷程的干擾。
286920	298520	一樣,我們在這邊可以有一個非常簡單的二元對立的假說。第一個就是說,無意識的處理不會受到我們有意識地做的事情的難度高低,或者是我們怎麼使用我們的注意力影響。
299280	312920	相反的,另一個假說可能會是說,其實我們有意識地處理的事情的難度高低,或者我們在做什麼事情本身會跟無意識的訊息處理有一個交互作用。這是兩個不一樣的假說。
312920	323540	最後我想要轉向一個完全不一樣的角度,用一個核子共振、用腦造影的研究來跟大家討論一下,我們怎麼研究無意識處理的神經基礎。
324220	335540	事不宜遲,我們就馬上進入第一個研究。第一個研究,我想要跟大家討論一個聲音跟形狀之間的整合性關係。我們想要知道,這個整合性關係可不可以在無意識的情況底下產生。
335740	347540	如果看標題,標題其實有點玄。我們想要說的事情是,這個字在我們沒有看到、沒有理解到之前,就可以聽起來是round or sharp。這是什麼意思呢?
347540	359020	如果要回答這個問題,我們可能要先倒退好幾步,思考一下我們原本到底最想要問的問題是什麼。我們想要知道的事情其實是,我們到底怎麼去命名一個物體。
359100	367680	想像一下,譬如說十萬年前,我們可能有一些非常基礎的語言系統,可是我們還沒有像現在這麼複雜的文法、結構等等。
