start	end	text
0	10000	整理&字幕志願者譚耀宗
30000	40000	整理&字幕志願者譚耀宗
60000	70000	整理&字幕志願者譚耀宗
90000	100000	整理&字幕志願者譚耀宗
120000	130000	整理&字幕志願者譚耀宗
150000	160000	整理&字幕志願者譚耀宗
180000	190000	整理&字幕志願者譚耀宗
210000	220000	整理&字幕志願者譚耀宗
240000	250000	整理&字幕志願者譚耀宗
270000	280000	整理&字幕志願者譚耀宗
300000	310000	整理&字幕志願者譚耀宗
310000	320000	整理&字幕志願者譚耀宗
340000	350000	整理&字幕志願者譚耀宗
350000	360000	整理&字幕志願者譚耀宗
360000	370000	整理&字幕志願者譚耀宗
370000	380000	整理&字幕志願者譚耀宗
380000	390000	整理&字幕志願者譚耀宗
390000	400000	整理&字幕志願者譚耀宗
400000	410000	整理&字幕志願者譚耀宗
410000	420000	整理&字幕志願者譚耀宗
420000	431000	整理&字幕志願者譚耀宗
450000	461000	整理&字幕志願者譚耀宗
480000	490000	整理&字幕志願者譚耀宗
490000	500000	整理&字幕志願者譚耀宗
500000	510000	整理&字幕志願者譚耀宗
515000	525000	整理&字幕志願者譚耀宗
530000	540000	整理&字幕志願者譚耀宗
540000	550000	整理&字幕志願者譚耀宗
550000	560000	整理&字幕志願者譚耀宗
560000	570000	整理&字幕志願者譚耀宗
570000	580000	整理&字幕志願者譚耀宗
580000	590000	整理&字幕志願者譚耀宗
590000	600000	整理&字幕志願者譚耀宗
600000	610000	整理&字幕志願者譚耀宗
610000	620000	整理&字幕志願者譚耀宗
620000	630000	整理&字幕志願者譚耀宗
630000	640000	整理&字幕志願者譚耀宗
640000	650000	整理&字幕志願者譚耀宗
652000	662000	整理&字幕志願者譚耀宗
670000	680000	整理&字幕志願者譚耀宗
680000	690000	整理&字幕志願者譚耀宗
690000	700000	整理&字幕志願者譚耀宗
700000	710000	整理&字幕志願者譚耀宗
710000	720000	整理&字幕志願者譚耀宗
720000	730000	整理&字幕志願者譚耀宗
730000	740000	整理&字幕志願者譚耀宗
740000	750000	整理&字幕志願者譚耀宗
750000	760000	整理&字幕志願者譚耀宗
760000	770000	整理&字幕志願者譚耀宗
770000	780000	整理&字幕志願者譚耀宗
780000	790000	整理&字幕志願者譚耀宗
790000	800000	整理&字幕志願者譚耀宗
800000	810000	整理&字幕志願者譚耀宗
