start	end	text
0	6000	整理&字幕志願者 麥美娟
30000	50480	整理&字幕志願者 大學學位是在2009年中正大學,是Mechanical Engineering。緊接著,在2011年和2015年,他分別拿到碩士和Ph.D. degree在清華的Narrow Engineering and Microsystems Institute。
50640	73360	他曾經在University of Illinois的Urban Champion,主要做Postdoc的研究者。現在,他目前是在清華大學的Department of Power and Mechanical Engineering,做他的assistant professional。
73840	86160	主要為我們簡介的線上演講題目是RF Microdevice Based on the Thin-Film Lithium Neobit。
87120	93440	現在,我們請明煌教授來幫我們做今天的線上演講。
93440	106640	主持人李明煌 主持人 李明煌
123440	126480	機械工程學士 電機工程輔系之後
126480	130080	之後就在清華大學完成我的碩博士學位
130080	132640	然後我有在服役完之後
132640	135760	在國內短暫的擔任一年的博士後
135760	138880	然後來尋找美國博士後的機會
138880	141360	所以後來就很順利的到EIUC的
141360	143680	ECE Department擔任博士後
143680	145600	那其實我在那邊
145600	149440	我主要的研究題目大概分成兩個方向
149520	153920	第一個是給我funding的計劃
153920	156320	那個是一個DAPA的AMOEBA Project
156320	162720	然後目的是開發能夠供軍事使用的
162720	166240	低頻的機械式工程天線
166240	169280	那同時我們有另一個project在執行
169280	172640	那也就是我現在準備要講的題目
172640	175440	它是有關於這個Synthetic Lithium Niobate
175440	177760	或者是我們可以簡稱它為LN
177760	183520	的這種高壓電材料在通訊系統方面的應用
183520	186320	然後我的研究興趣就是這些
186320	189840	不管是靜電式也好壓電式也好
189840	192720	只要是微型共振元件還有超新波的元件
192720	196320	大概都是在我有興趣的研究範圍
196320	198400	那等一下的演講內容
198400	201920	如果各位有任何的問題可以隨時打斷
201920	204240	謝謝
204800	208400	那這個是我今天的outline
208400	212400	那首先我會先從我們的動機開始講
212400	214000	那動機分成兩項
214000	219920	第一項是我們為什麼想要運用聲波元件
219920	221760	到這個RF系統裡面
221760	224560	那它其實有一個非常悠久的歷史
224560	226560	但是也許大家都不知道為什麼
226560	228880	所以我會從這個地方開始
228880	233280	那接下來我會大概簡介一下說
233360	234720	為什麼Lithium Niobate
234720	240080	現在是被我們認為它有機會成為一個明日之星
240080	242880	那我會再稍微介紹一下
242880	245440	我們目前這個領域發展下來
245440	247600	大概有幾個經典的元件
247600	251360	然後我會針對它們的特性一一做說明
251360	253440	那最後有兩個簡單的case study
