start	end	text
0	3000	整理&字幕 由 Amara.org 社群提供的字幕
30000	33000	整理&字幕 由 Amara.org 社群提供的字幕
60000	63000	整理&字幕 由 Amara.org 社群提供的字幕
90000	93000	主持人呂文津議員
120000	148000	主持人呂文津議員
150000	153000	主持人呂文津議員
180000	183000	主持人呂文津議員
210000	238000	主持人呂文津議員
240000	243000	主持人呂文津議員
270000	298000	主持人呂文津議員
298000	312000	主持人呂文津議員
312000	341000	主持人呂文津議員
342000	368000	主持人呂文津議員
368000	371000	主持人呂文津議員
398000	426000	主持人呂文津議員
426000	454000	主持人呂文津議員
454000	483000	主持人呂文津議員
484000	513000	主持人呂文津議員
514000	543000	主持人呂文津議員
544000	573000	主持人呂文津議員
574000	588000	主持人呂文津議員
589000	617000	主持人呂文津議員
617000	645000	主持人呂文津議員
645000	674000	主持人呂文津議員
675000	704000	主持人呂文津議員
705000	734000	主持人呂文津議員
736000	738000	主持人呂文津議員
738000	762000	主持人呂文津議員
762000	772000	主持人呂文津議員
792000	806000	主持人呂文津議員
822000	851000	主持人呂文津議員
852000	872000	主持人呂文津議員
872000	901000	主持人呂文津議員
902000	930000	主持人呂文津議員
930000	959000	主持人呂文津議員
960000	989000	主持人呂文津議員
990000	1002000	主持人呂文津議員
1002000	1031000	主持人呂文津議員
1032000	1061000	主持人呂文津議員
1061000	1086000	主持人呂文津議員
1086000	1098000	主持人呂文津議員
1098000	1127000	主持人呂文津議員
1127000	1142000	主持人呂文津議員
1142000	1162000	主持人呂文津議員
1162000	1191000	主持人呂文津議員
1191000	1209000	主持人呂文津議員
1209000	1238000	主持人呂文津議員
1239000	1268000	主持人呂文津議員
1269000	1297000	主持人呂文津議員
1299000	1328000	主持人呂文津議員
1329000	1350000	主持人呂文津議員
1350000	1375000	主持人呂文津議員
1380000	1395000	主持人呂文津議員
1410000	1439000	主持人呂文津議員
1440000	1469000	主持人呂文津議員
1470000	1499000	主持人呂文津議員
1500000	1526000	主持人呂文津議員
1531000	1537000	主持人呂文津議員
1537000	1550000	主持人呂文津議員
1550000	1578000	主持人呂文津議員
1578000	1607000	主持人呂文津議員
1608000	1637000	主持人呂文津議員
1638000	1665000	主持人呂文津議員
1668000	1677000	主持人呂文津議員
1699000	1717000	主持人呂文津議員
1717000	1746000	主持人呂文津議員
1747000	1776000	主持人呂文津議員
1777000	1801000	主持人呂文津議員
1801000	1824000	主持人呂文津議員
1824000	1853000	主持人呂文津議員
1854000	1880000	主持人呂文津議員
1884000	1913000	主持人呂文津議員
1913000	1937000	主持人呂文津議員
1937000	1965000	主持人呂文津議員
1967000	1994000	主持人呂文津議員
1997000	2015000	主持人呂文津議員
2015000	2043000	主持人呂文津議員
2045000	2074000	主持人呂文津議員
2075000	2104000	主持人呂文津議員
2105000	2134000	主持人呂文津議員
2135000	2164000	主持人呂文津議員
2165000	2192000	主持人呂文津議員
2195000	2222000	主持人呂文津議員
2225000	2243000	主持人呂文津議員
2243000	2270000	主持人呂文津議員
2273000	2299000	主持人呂文津議員
2303000	2332000	主持人呂文津議員
2333000	2340000	主持人呂文津議員
2363000	2392000	主持人呂文津議員
2393000	2422000	主持人呂文津議員
2423000	2452000	主持人呂文津議員
2453000	2482000	主持人呂文津議員
2483000	2512000	主持人呂文津議員
2513000	2539000	主持人呂文津議員
2539000	2565000	主持人呂文津議員
2569000	2596000	主持人呂文津議員
2600000	2621000	主持人呂文津議員
2622000	2646000	主持人呂文津議員
2646000	2675000	主持人呂文津議員
2677000	2691000	主持人呂文津議員
2691000	2713000	主持人呂文津議員
2713000	2742000	主持人呂文津議員
2743000	2772000	主持人呂文津議員
2773000	2801000	主持人呂文津議員
2801000	2830000	主持人呂文津議員
2831000	2859000	主持人呂文津議員
2861000	2889000	主持人呂文津議員
2891000	2920000	主持人呂文津議員
2921000	2950000	主持人呂文津議員
2951000	2979000	主持人呂文津議員
2979000	3007000	主持人呂文津議員
3007000	3036000	主持人呂文津議員
3037000	3061000	主持人呂文津議員
3061000	3083000	主持人呂文津議員
3083000	3112000	主持人呂文津議員
3113000	3139000	主持人呂文津議員
3139000	3165000	主持人呂文津議員
3165000	3190000	主持人呂文津議員
3195000	3224000	主持人呂文津議員
3224000	3252000	主持人呂文津議員
3254000	3279000	主持人呂文津議員
3279000	3308000	主持人呂文津議員
3309000	3338000	主持人呂文津議員
3338000	3366000	主持人呂文津議員
3368000	3397000	主持人呂文津議員
3397000	3425000	主持人呂文津議員
3427000	3450000	主持人呂文津議員
3457000	3485000	主持人呂文津議員
3485000	3514000	主持人呂文津議員
3515000	3544000	主持人呂文津議員
3546000	3559000	主持人呂文津議員
3559000	3588000	主持人呂文津議員
3589000	3618000	主持人呂文津議員
3619000	3648000	主持人呂文津議員
3649000	3678000	主持人呂文津議員
3679000	3707000	主持人呂文津議員
3707000	3713000	主持人呂文津議員
3714000	3738000	主持人呂文津議員
3738000	3766000	主持人呂文津議員
3766000	3795000	主持人呂文津議員
3795000	3824000	主持人呂文津議員
3825000	3853000	主持人呂文津議員
3853000	3881000	主持人呂文津議員
3881000	3909000	主持人呂文津議員
3909000	3937000	主持人呂文津議員
3937000	3965000	主持人呂文津議員
3965000	3978000	主持人呂文津議員
3978000	3994000	主持人呂文津議員
3994000	4019000	主持人呂文津議員
4019000	4047000	主持人呂文津議員
4047000	4071000	主持人呂文津議員
4071000	4100000	主持人呂文津議員
4100000	4129000	主持人呂文津議員
4129000	4158000	主持人呂文津議員
4158000	4186000	主持人呂文津議員
4186000	4215000	主持人呂文津議員
4215000	4241000	主持人呂文津議員
4245000	4267000	主持人呂文津議員
4267000	4295000	主持人呂文津議員
4297000	4320000	主持人呂文津議員
4320000	4335000	主持人呂文津議員
4335000	4362000	主持人呂文津議員
4362000	4388000	主持人呂文津議員
4388000	4412000	主持人呂文津議員
4412000	4441000	主持人呂文津議員
4441000	4469000	主持人呂文津議員
4469000	4493000	主持人呂文津議員
4500000	4519000	主持人呂文津議員
4519000	4548000	主持人呂文津議員
4548000	4577000	主持人呂文津議員
4577000	4606000	主持人呂文津議員
4607000	4617000	主持人呂文津議員
4617000	4640000	主持人呂文津議員
4641000	4667000	主持人呂文津議員
4667000	4696000	主持人呂文津議員
4697000	4726000	主持人呂文津議員
4727000	4756000	主持人呂文津議員
4757000	4783000	主持人呂文津議員
4787000	4811000	主持人呂文津議員
4817000	4846000	主持人呂文津議員
4847000	4876000	主持人呂文津議員
4877000	4906000	主持人呂文津議員
4907000	4936000	主持人呂文津議員
4937000	4965000	主持人呂文津議員
4965000	4979000	主持人呂文津議員
4979000	5008000	主持人呂文津議員
5009000	5038000	主持人呂文津議員
5039000	5067000	主持人呂文津議員
5069000	5097000	主持人呂文津議員
5097000	5126000	主持人呂文津議員
5127000	5138000	主持人呂文津議員
5138000	5167000	主持人呂文津議員
5168000	5197000	主持人呂文津議員
5198000	5227000	主持人呂文津議員
5228000	5256000	主持人呂文津議員
5256000	5280000	主持人呂文津議員
5280000	5309000	主持人呂文津議員
5310000	5339000	主持人呂文津議員
5339000	5363000	主持人呂文津議員
5363000	5392000	主持人呂文津議員
5393000	5414000	主持人呂文津議員
