start	end	text
0	2000	整理&字幕志願者 張 瑞 黃 黃 黃
30000	33000	熱傳熱搗
60000	63000	整理&字幕志願者 張 瑞 黃 黃 黃 黃
90000	92000	整理&字幕志願者 張 瑞 黃 黃 黃
120000	122000	整理&字幕志願者 張 瑞 黃 黃 黃 黃
150000	152000	整理&字幕志願者 張 瑞 黃 黃 黃
180000	182000	整理&字幕志願者 張 瑞 黃 黃 黃
210000	212000	整理&字幕志願者 張 瑞 黃 黃
240000	242000	整理&字幕志願者 張 瑞 黃 黃 黃
270000	272000	整理&字幕志願者 張 瑞 黃 黃
300000	302000	整理&字幕志願者 張 瑞 黃 黃
360000	362000	整理&字幕志願者 張 瑞 黃 黃
390000	394000	Music
394000	401000	Music
401000	403000	Music
403000	405000	Music
405000	407000	Music
407000	409000	Music
409000	411000	Music
411000	413000	Music
413000	415000	Music
415000	417000	Music
417000	420000	Music
420000	422000	Music
422000	425000	Music
425000	427000	Music
427000	430000	Music
430000	433000	Music
433000	434000	Music
434000	436000	Music
436000	438000	Music
438000	440000	Music
440000	443000	Music
443000	445000	Music
445000	448000	音樂
448000	451000	音樂
451000	454000	音樂
454000	457000	音樂
457000	460000	音樂
465000	468000	音樂
468000	470000	音樂
470000	473000	音樂
473000	476000	音樂
476000	479000	音樂
479000	482000	音樂
482000	485000	音樂
485000	488000	音樂
488000	491000	音樂
491000	494000	音樂
494000	497000	音樂
497000	500000	音樂
500000	503000	音樂
503000	506000	音樂
506000	509000	音樂
509000	512000	媽媽
512000	515000	媽媽
515000	518000	媽媽
518000	520000	變
520000	523000	變
523000	526000	輕
526000	529000	M
529000	533000	有
533000	536000	M
536000	539000	有
539000	542000	有
542000	545000	M
545000	548000	有
548000	551000	M
551000	554000	沒
554000	557000	沒
557000	560000	沒
560000	563000	沒
563000	566000	沒
566000	569000	沒
569000	572000	沒
572000	575000	沒
575000	578000	沒
578000	581000	沒
581000	584000	沒
584000	587000	沒
587000	590000	沒
590000	593000	沒
593000	596000	沒
596000	599000	沒
599000	602000	沒
602000	605000	沒
605000	608000	沒
608000	611000	沒
611000	614000	沒
614000	617000	沒
617000	620000	沒
620000	623000	沒
623000	626000	沒
626000	629000	沒
629000	632000	沒
632000	635000	沒
635000	638000	沒
638000	641000	沒
641000	644000	沒
644000	647000	沒
647000	650000	沒
650000	653000	沒
653000	656000	沒
656000	659000	沒
659000	662000	沒
662000	665000	沒
665000	668000	沒
668000	671000	沒
671000	674000	沒
674000	677000	沒
677000	680000	沒
680000	683000	沒
683000	686000	沒
686000	689000	沒
689000	692000	沒
692000	695000	沒
695000	698000	沒
698000	701000	沒
701000	704000	沒
704000	707000	沒
707000	710000	沒
710000	713000	沒
713000	716000	沒
716000	719000	沒
719000	722000	沒
722000	725000	沒
725000	728000	沒
728000	731000	沒
731000	734000	沒
734000	737000	沒
737000	740000	沒
740000	743000	沒
743000	746000	沒
746000	749000	沒
749000	752000	沒
752000	755000	沒
755000	758000	沒
758000	761000	沒
761000	764000	沒
764000	767000	沒
767000	770000	沒
770000	773000	沒
773000	776000	沒
776000	779000	沒
779000	782000	沒
782000	785000	沒
785000	788000	沒
788000	791000	沒
791000	794000	沒
794000	797000	沒
797000	800000	沒
800000	803000	沒
803000	806000	沒
806000	809000	沒
809000	812000	沒
812000	815000	沒
815000	818000	沒
818000	821000	沒
821000	824000	沒
824000	827000	沒
827000	830000	沒
830000	833000	沒
833000	836000	沒
836000	839000	沒
839000	842000	沒
842000	845000	沒
845000	848000	沒
848000	851000	沒
851000	854000	沒
854000	857000	沒
857000	860000	沒
860000	863000	沒
863000	866000	沒
866000	869000	沒
869000	872000	沒
872000	875000	沒
875000	878000	沒
878000	881000	沒
881000	884000	沒
884000	887000	沒
887000	890000	沒
890000	893000	沒
893000	896000	沒
896000	899000	沒
899000	902000	沒
902000	905000	沒
905000	908000	沒
908000	911000	沒
911000	914000	沒
914000	917000	沒
917000	920000	沒
920000	923000	沒
923000	926000	沒
926000	929000	沒
929000	932000	沒
932000	935000	沒
935000	938000	沒
938000	941000	沒
941000	944000	沒
944000	947000	沒
947000	950000	沒
950000	953000	沒
953000	956000	沒
956000	959000	沒
959000	962000	沒
962000	965000	沒
965000	968000	沒
968000	971000	沒
971000	974000	沒
974000	977000	沒
977000	980000	沒
980000	983000	沒
983000	986000	沒
986000	989000	沒
989000	992000	沒
992000	995000	沒
995000	998000	沒
998000	1001000	沒
1001000	1004000	沒
1004000	1007000	沒
1007000	1010000	沒
1010000	1013000	沒
1013000	1016000	沒
1016000	1019000	沒
1019000	1022000	沒
1022000	1025000	沒
1025000	1028000	沒
1028000	1031000	沒
1031000	1034000	沒
1034000	1037000	沒
1037000	1040000	沒
1040000	1043000	沒
1043000	1046000	沒
1046000	1049000	沒
1049000	1052000	沒
1052000	1055000	沒
1055000	1058000	沒
1058000	1061000	沒
1061000	1064000	沒
1064000	1067000	沒
1067000	1070000	沒
1070000	1073000	沒
1073000	1076000	沒
1076000	1079000	沒
1079000	1082000	沒
1082000	1085000	沒
1085000	1088000	沒
1088000	1091000	沒
1091000	1094000	沒
1094000	1097000	沒
1097000	1100000	沒
1100000	1103000	沒
1103000	1106000	沒
1106000	1109000	沒
1109000	1112000	沒
1112000	1115000	沒
1115000	1118000	沒
1118000	1121000	沒
1121000	1124000	沒
1124000	1127000	沒
1127000	1130000	沒
1130000	1133000	沒
1133000	1136000	沒
1136000	1139000	沒
1139000	1142000	沒
1142000	1145000	沒
1145000	1148000	沒
1148000	1151000	沒
1151000	1154000	沒
1154000	1157000	沒
1157000	1160000	沒
1160000	1163000	沒
1163000	1166000	沒
1166000	1169000	沒
1169000	1172000	沒
1172000	1175000	沒
1175000	1178000	沒
1178000	1181000	沒
1181000	1184000	沒
1184000	1187000	沒
1187000	1190000	沒
1190000	1193000	沒
1193000	1196000	沒
1196000	1199000	沒
1199000	1202000	沒
1202000	1205000	沒
1205000	1208000	沒
1208000	1211000	沒
1211000	1214000	沒
1214000	1217000	沒
1217000	1220000	沒
1220000	1223000	沒
1223000	1226000	沒
1226000	1229000	沒
1229000	1232000	沒
1232000	1235000	沒
1235000	1238000	沒
1238000	1241000	沒
1241000	1244000	沒
1244000	1247000	沒
1247000	1250000	沒
1250000	1253000	沒
1253000	1256000	沒
1256000	1259000	沒
1259000	1262000	沒
1262000	1265000	沒
1265000	1268000	沒
1268000	1271000	沒
1271000	1274000	沒
1274000	1277000	沒
1277000	1280000	沒
1280000	1283000	沒
1283000	1286000	沒
1286000	1289000	沒
1289000	1292000	沒
1292000	1295000	沒
1295000	1298000	沒
1298000	1301000	沒
1301000	1304000	沒
1304000	1307000	沒
1307000	1310000	沒
1310000	1313000	沒
1313000	1316000	沒
1316000	1319000	沒
1319000	1322000	沒
1322000	1325000	沒
1325000	1328000	沒
1328000	1331000	沒
1331000	1334000	沒
1334000	1337000	沒
1337000	1340000	沒
1340000	1343000	沒
1343000	1346000	沒
1346000	1349000	沒
1349000	1352000	沒
1352000	1355000	沒
1355000	1358000	沒
1358000	1361000	沒
1361000	1364000	沒
1364000	1367000	沒
1367000	1370000	沒
1370000	1373000	沒
1373000	1376000	沒
1376000	1379000	沒
1379000	1382000	沒
1382000	1385000	沒
1385000	1388000	沒
1388000	1391000	沒
1391000	1394000	沒
1394000	1397000	沒
1397000	1400000	沒
1400000	1403000	沒
1403000	1406000	沒
1406000	1409000	沒
1409000	1412000	沒
1412000	1415000	沒
1415000	1418000	沒
1418000	1421000	沒
1421000	1424000	沒
1424000	1427000	沒
1427000	1430000	沒
1430000	1433000	沒
1433000	1436000	沒
1436000	1439000	沒
1439000	1442000	沒
1442000	1445000	沒
1445000	1448000	沒
1448000	1451000	沒
1451000	1454000	沒
1454000	1457000	沒
1457000	1460000	沒
1460000	1463000	沒
1463000	1466000	沒
1466000	1469000	沒
1469000	1472000	沒
1472000	1475000	沒
1475000	1478000	沒
1478000	1481000	沒
1481000	1484000	沒
1484000	1487000	沒
