start	end	text
0	3000	整理&字幕由Amara.org社区提供
30000	32000	介紹一下我們今天的講者
32000	37000	蘇宜安他是台大的法律系
37000	40000	他進去念台大的時候是法律系
40000	43000	然後他當然念完了之後
43000	45000	他就變成律師這樣
45000	47000	考上律師非常厲害
47000	48000	不過在這個過程裡面呢
48000	52000	他參與了很多心理系的研究跟活動
52000	57000	所以他在法律系畢業之後
57000	59000	除了一方面實習
59000	61000	就是在律師事務所實習
61000	64000	然後後來做職業律師之外呢
64000	69000	他也念了台大心理系的碩班
69000	71000	那麼在法律這一塊呢
71000	75000	他的之前職業的專業是死刑犯
75000	79000	還有可能冤獄的辯護律師
79000	81000	專業是在這個部分
81000	84000	然後在台大心理系這邊呢
84000	87000	他就做了一個法律跟心理的結合
87000	94000	然後研究的是小朋友的證詞
94000	96000	在這個譬如說庭上的一些證詞
96000	98000	要怎麼樣做會是比較精準
98000	100000	然後比較沒有偏誤的
100000	103000	然後在念完碩士之後
103000	106000	他接下來就到了Cornell
106000	109000	繼續進行這一方面的研究
109000	111000	所以他的研究的部分呢
111000	115000	會是認知心理學研究記憶的
115000	117000	發展心理學是研究小朋友的
117000	119000	以及法律這三方面的結合
119000	122000	那我們今天可以聽到更多的細節
122000	124000	然後我們會就請怡安來
124000	127000	跟大家分享這個細節
127000	128000	然後最後呢
128000	130000	跟大家分享一個Fun fact
130000	133000	就是怡安啊
133000	136000	她除了這個
136000	138000	我有跟你說我要講這個嗎
138000	139000	好像沒有對不對
139000	142000	怡安除了這個
142000	144000	在學術這個方面
144000	148000	涉獵非常的廣也都非常的深之外呢
148000	152000	她對於戲劇演出很有興趣
152000	155000	也很有熱忱
155000	157000	然後之前我的一個研究啊
157000	160000	我是做社心的社會心理學的
160000	161000	然後我之前一個研究
161000	165000	需要有人幫我當演員來操弄受試者
165000	167000	然後就是請怡安幫我忙
167000	169000	因為她是專業的演員這樣子
169000	171000	那廢話不多說
171000	173000	我們就把這個場子交給怡安
173000	179000	然後我來代表大家鼓掌一下
179000	181000	謝謝彥平學長
181000	182000	我覺得有點害羞
182000	184000	那就是在正式的演講開始之前
184000	186000	先跟大家打個預防針
186000	188000	因為這是我第一次
188000	189000	就人生進行網路上
189000	191000	而且是就是有錄影的演講
191000	194000	然後現在就是自己對電腦講話
194000	195000	所以其實會蠻緊張的
195000	198000	所以如果就是有講的不好的地方
198000	199000	請大家多包涵
199000	201000	然後因為我想說今天
201000	202000	在場的聽眾
202000	204000	主要可能是來自不同領域的
204000	206000	所以我是希望說就是
206000	209000	盡量在演講當中穿插大家之後
209000	211000	如果對這個領域還有興趣的話
211000	212000	可以比如說看什麼書啊
212000	215000	或是看什麼網路上的TED Talk之類的
215000	216000	這大概是我的邏輯
216000	219000	然後今天的演講大概會分成
219000	220000	就是四個部分
220000	221000	第一個部分
221000	223000	我會簡單介紹一下我的背景
223000	225000	然後跟就是這個領域的關係是什麼
225000	226000	然後裡面也會提到
226000	228000	我跟彥平學長的關係這樣
228000	231000	他是我在心理路上的大恩人
231000	233000	然後第二個部分會提到就是
233000	235000	法律跟心理學這個領域
235000	238000	大概可能有的研究主題是什麼
238000	240000	那第三個會講一下
240000	242000	就是說我現在在Cornell的Lab
242000	244000	可能研究的主題是什麼
244000	246000	那最後一個是我自己的研究
246000	248000	那我們今天的題目是
248000	250000	讓我查一下
250000	251000	對不起對不起
251000	252000	我的錯我的錯
252000	253000	我剛剛忘了講一些
253000	255000	這個Housekeeping的事情
255000	256000	就是等一下宜蘭在講的時候
256000	258000	因為她會對著她自己的PowerPoint講
258000	260000	所以她可能會看不到
260000	263000	大家在這個對話視窗裡面講的話
263000	265000	所以如果大家有什麼問題
265000	267000	大家可以直接在對話視窗留言
267000	269000	然後我會負責幫宜蘭看
269000	271000	然後中間宜蘭會找時間
271000	273000	讓我來代表大家發問問題
273000	274000	在中間的部分
274000	275000	所以大家就直接留言
275000	277000	我會看沒有問題
277000	279000	謝謝就這樣就這樣
279000	280000	OK沒問題
280000	282000	那不會不會謝謝
282000	283000	然後呢
284000	285000	那這邊就是
285000	286000	我今天的題目是
286000	288000	科學可以如何幫助建立一個
288000	290000	更好的法律制度
290000	292000	那大家可以看到這邊有三張圖
292000	294000	那最左邊這張就是主要是說
294000	296000	其實雖然法律通常被認為
296000	299000	是一個很人文或很社會科學的領域
299000	301000	但是其實我們會發現說科學
301000	303000	就是右邊那個DNA代表的圖示
303000	305000	就是其實可以幫助
305000	307000	我們去建立一個更好的制度
307000	308000	那中間這張圖呢
308000	312000	它是很經典的一張法律心理學的圖
312000	315000	然後這個也是美國法律心理學會
315000	316000	他們的那個標誌
316000	317000	等一下也會一直出現
317000	321000	就是希望說心理學主要是一個研究
321000	324000	通常是人類的行為的科學
324000	325000	那可以怎麼樣幫忙
325000	327000	形塑一個更好的法律制度
327000	329000	甚至到最右下角那一張
329000	331000	就是說是大腦圖
331000	332000	就是說現在其實有很多
332000	335000	腦神經科學的研究者
335000	336000	他們也在想說
336000	338000	怎麼樣透過他們的研究
338000	339000	去幫助我們去塑造一個
339000	341000	更好的法律制度
342000	343000	那
346000	347000	OK
347000	348000	那我是蘇以安
348000	350000	那我現在是就是
350000	354000	Cornell大學人類生態學院
354000	357000	人類發展學系的博士班
357000	360000	那就是Cornell還蠻特別的是
360000	363000	它有兩個不同跟心理學相關的系所
363000	364000	一個是心理系
364000	366000	一個是人類發展系
366000	368000	那我是在人類發展系這邊
368000	371000	那人類發展系它總共有三個組別
371000	373000	那我是在
373000	375000	法律心理學和人類發展的
375000	376000	這一個組別
376000	379000	那我現在所屬的研究室是
379000	382000	兒童證人跟認知的研究室
382000	384000	那我等一下也會提到這樣
384000	387000	那就如同彥平學長所介紹的
387000	391000	我是台大法律系財經法學組畢業的
391000	393000	那在法律系的期間
393000	395000	我有在兩個
395000	398000	不同的心理學的研究室裡面
398000	400000	就是擔任研究小幫手
400000	401000	類似研究助理的工作
401000	404000	那其實一開始會進心理系也是因為
404000	406000	想說法律好像通常會出現
406000	407000	很多跟人有關係的事情
407000	410000	因為基本上法律就是為了解決人的問題
410000	412000	所出現的一個學科
412000	413000	那我覺得既然跟人有關係
413000	415000	那應該就會跟人的行為有關係
415000	417000	所以我就一直都對心理學很有興趣
417000	418000	然後有一天
418000	419000	這是小故事啦
