start	end	text
0	18900	整理&字幕:"大家好,歡迎來到今天9月19日的Taira Talk。我是今天的主持人,洪世安。我們今天很榮幸邀請到廖坤彥同學來為我們演講。
18900	38000	他目前是在東京大學的材料工學系讀博士二年級,之前是在交大和德國慕尼黑大學拿到學士和碩士學位,主要是在做一些電子顯微鏡和中子散射的材料分析技術。
38000	65340	他主要的研究興趣是無機玻璃的結構、高角度的晶介和原子尺度的光譜。他今天所要講的主題是EOS,Electron Energy Low Spectroscopy。我們就鼓掌來歡迎他帶給我們今天的演講。
68000	90140	廖坤彥 同學,您好。我今天的演講主題就是EOS,我想要說為什麼它被視為是電子顯微鏡當中的同步輻射。
90340	111000	除了剛剛的介紹,我再介紹一下我現在在的系所。我們系所是一個非常重視電子顯微鏡的系所。我們系上大概有20台左右的電子顯微鏡,我們大概有4個以上的電子顯微鏡股份。
111000	128100	涵蓋的領域就包括儀器的研發,然後到一些陶瓷介面、晶體缺陷,然後到Quasi-crystal、準晶體。我們自己的股份是專門在做EOS跟做DFT Calculation的。
128260	150000	我們主要的研究內容,為了不跟他們一樣,我們就是專門做非靜態、液體跟氣體。我們過去的確也做了蠻多離子液體或是氣體的EOS。但是因為這個算是比較特別的儀器,所以我並不會在這個演講講。
150660	177240	我自己的研究,我自己很感興趣的材料就是玻璃。玻璃除了你目前看到這張畫面上看到它是透明的,大部分認為它是透明、均勻的材料之外,其實玻璃內部,你如果去從奈米尺度來看的話,它可能會有這種很小的Domain。
177480	195100	這種是因為它的相分離造成的Domain,也會造成它的不同的相、不同的顏色,它會有不同的結構還有性質。我第一年主要就是在研究這件事,然後今天演講也會講到一些。
195260	217240	今年我自己的主題就是調整到玻璃裡面的Dopant,到底它是在玻璃裡面像是這樣的cluster或是particle存在,還是這種一顆原子一顆原子分開的Dopant,它對玻璃的性質造成什麼影響,這是我自己關注的主題。
217400	239400	這個今天不會提到,但是另外一個我會提到的是,我有在量一些晶體界面,它的界面地方的熱膨脹係數,可能今天有機會能夠提到。因為它這個是其實跟光學特性、跟Prosimus是有關的,待會會提到。
240360	258140	主持人:「那隨意啊,我想基本上這是今天演講的outline,那我會先告訴大家為什麼我們要做電子顯微鏡,然後我們要怎麼樣去看到原子,最後我會再講到EOS。」
258140	271380	主持人:「那可能前半部分的時間可能也會花蠻多的,畢竟我不太確定聽眾的背光是什麼,所以我會講一下電子顯微鏡到底在做什麼。」
272220	289260	我想基本上,所有的顯微鏡,不論你用的particle是什麼,最早的顯微鏡應該可以到在1665年,它是虎克發明的一種光學顯微鏡。
289420	314000	虎克基本上就是,大家最熟悉的,它是它的彈簧,虎克龍。它也做了很多東西,其中一個就是光學顯微鏡。它就是透過很簡單的觀察,到底細胞還有這些昆蟲長什麼樣子,然後它去把它畫下來,從中去得到一些新的知識。
314600	325320	但是呢,這是在1665年,當然就是對當時的人來講,可能這是一個非常不可思議的研究,然後它也真的告訴我們很多的事。
325320	340240	但是如果你只有光學顯微鏡的話,事實上在今天是不夠的。原因就是,如果你只有光學顯微鏡的話,你不會清楚過去我們今年到底發生了什麼事。
340240	350440	也就是,如果你沒有電子顯微鏡的話,你事實上是沒有辦法看到病毒的,你不可能看到冠狀病毒,你也不會知道今年到底發生了什麼事。
350440	367440	這張照片就是美國的Institute of Health提供的Coronavirus的電子顯微鏡照片。右邊這張是病毒內部的結構,冷凍電競的照片,也是今年發表的。
367640	386480	冷凍電競好像拿了二零一幾年的諾貝爾化學獎,它也是非常熱門的領域,但是我不會提,因為我是完全做固態的、無機的,所以冷凍電競我們今天不會討論,但它也是powerful的工具。
387360	399480	所以,看到這種小尺度的東西,它是電子顯微鏡一個讓電子顯微鏡變得獨一無二的優勢。
399880	420160	除了撇除從顯微鏡來看,因為我自己本身學的是材料科學,材料科學是一個蠻複雜的學科,原因是因為它是一個跨尺度的問題。
420320	447680	舉例來講,我自己過去有在做金屬材料的話,假設你想要設計一個金屬材料,你必須要去考量很多事,你必須要去考量聚光磁度下它的表面發生什麼事,有沒有quake,你要去了解它材料內部到底有多少phase,它的texture是怎麼樣,有沒有稀疏物。
447680	452800	最後回歸到這個材料它金格的特性是怎麼樣。
452800	460800	處理這樣的問題,事實上我們需要非常多不同的工具在不同的尺度。
460800	469440	舉例來講,如果在聚光的尺度上,我們需要EBSD,需要一些力學的工具量測,
469600	481680	在微光的尺度上,我們需要高解析的TEM,甚至你需要AtomProp這種非常高解析的光譜去確認你的化學組成。
481680	496480	另外一方面,如果你是做模擬的話,你會發現力學的人,最主要他們做的模擬叫做finite element method,有限元數法去模擬一些力學的特性。
496480	509760	但是在有限元數法裡面的mesh裡面,你還是必須要有物理性質,所以你必須要做一些分子動力學、摩蒂卡羅,甚至到DFT,Program Mechanic的模擬。
509760	518800	所以簡單來講,如果你想要真的完整了解材料科學的話,這些所有的東西你都必須具備。
518960	536400	相較而言,具觀尺度的東西,事實上我們目前的科技還有所了解的知識事實上是已經非常足夠了,基本上沒有什麼不知道的東西,大部分的東西,具觀尺度上的問題我們都可以解決。
536400	545680	但是微觀尺度,我們光是在量測上面就會有很多困難,那也是我今天為什麼會想要講這個的原因。
546400	571240	具體來講的話,如果你從物理的角度來講的話,事實上我們處理這些問題,有一種工具叫做Large-Scale Facility,剛好就是STEM、Single-Storm Radiation、Neutron Source、中子源,這三個剛好我都做過實驗,我也想要簡單地來講一下它們的不同。
571960	590320	通常,臺灣目前有的是中間這個還有左邊這個,左邊這個臺灣有一些大學有,中間這個就是新竹的同步輻射,臺灣PhotoSource,它算是第三點五代的同步輻射,也是非常Powerful的方法。
591280	604260	它們之間除了你用的輻射的種類不一樣,這個是用電子、這個是用光子、這個是用中子之外,它們的Sample尺度其實也是很不一樣的。
604260	616920	例如說,如果你在電子顯微鏡看的話,你得到的Property、你得到的金格或者你觀察到的區域其實是在一個很小的範圍。
616920	635860	簡單來講就是,有一句話叫做見樹不見林,就是你只看得到樹,但是你忽略了叢林,就是你電子顯微鏡有點像是在看那棵樹,所以你的解析度就是在Nanometer這個左右,是非常棒的。
635860	654240	但是你如果要到更大一點的尺度,事實上,Single-Stroke Radiation,就是同步輻射,事實上是一個比較合適的工具,因為你的Single-Stroke裡面的你看的東西,你的Crystal的Sample的Size大概都在Micrometer左右。
654400	670560	那你如果想要研究更工業一點的問題,到Millimeter或Centimeter,甚至Meter的尺寸的話,那中置閃射是一個非常好的選擇,因為你可以放Centimeter這樣的Sample進去。
670560	688940	那我以前在慕尼黑的時候,當時有一些BinLine,慕尼黑剛好是BMW的總部,他們可以把一整顆汽車的引擎放進中置閃射的BinLine,去看它引擎的一些影像。
689820	716020	那如果,另外一方面除了Sample的Size之外,它的Interaction其實跟物質也有一些很大的不同。像是中置,不論你是磁性的閃射還是Nuclear Scattering,它都是非常弱的作用力,它不太會破壞你的Sample,但是電子就很容易去破壞或是造成你Sample的變化,那這也是我們需要注意的一點。
716660	737940	如果這樣講的話,有一個很大的不同是,中間還有最右邊這個,它們都是User Facility,也就是你不需要認識任何裡面的人,你只需要申請你的Project,那你的Project如果過的話,你就可以去做實驗,就算你沒有任何關係。
738020	752940	但是很可惜的是,在電子顯微鏡當中,事實上User Facility沒有那麼多,所以大部分的電子顯微鏡還是少數的人擁有的,那你想要做類似的實驗,你就必須要去認識某些人。
752940	763580	有一些User Facility,我們在演講的最後會告訴大家,如果你想要做的話,你又不認識任何人,你可以去那裡做。
764420	768900	這會放在演講的最後,到底有哪些User Facility可以用。
769900	785780	事實上,過去的人一直都沒有想過要把電子顯微鏡變成像是中子閃射或者是同步輻射這樣的公共儀器。
785780	798420	其中一個原因是因為電子顯微鏡在當時的能力沒有那麼強,它沒有辦法做到那麼多事,但是最近它真的可以做到非常非常多的事。
798420	815700	如果有興趣的話,可以看這篇文章,就是為什麼球面相差的修正器在電子顯微鏡當中真的會造成電子顯微鏡變成一種同步輻射。有興趣可以去參考一下。
816700	838260	主持人:「我想今天講的最大一個問題就是,我跟聽眾之間可能很多人對電子顯微鏡的看法是不太一樣的,當然也有一些人看法是相近的,就是顯微鏡社會的人可能看法比較相近。
838340	854340	但我想第一件事講的是我們怎麼樣去看到原子。事實上這個topic它得了2011年還有2020年都有在得獎,就是Wolf Prize還有Cavity Prize的Nano Prize。
854420	874420	我這邊秀了一張圖,是一個高解析的TDM影像,它的材料剛好是鐵電材料,鐵電材料是一種蠻popular的topic。
874740	887060	但是這張圖,如果你完全不了解電子顯微鏡的話,我覺得你可以問三個問題,然後這三個問題我想要在接下來的section去做回答。
887780	904900	第一件事就是到底要怎麼樣去看到這樣的影像。在今天,假設你有機會自己用電子顯微鏡的話,看到這樣的影像到底是簡單還是困難的事,在今天的一期來講,這是第一個問題。
905060	926820	第二個問題就是,如果你去觀察這個影像,你去看它的原子,它有標記有黃色原子、橘色原子跟藍色原子,然後你如果去看左邊跟右邊,你會發現橘色原子在藍色原子的上方,然後右邊的話就是橘色原子在藍色原子的下方。
926900	946260	所以你會發現我們竟然可以去觀察到這種幾個answer的尺度的原子的偏移。第二個問題是,我怎麼知道哪一顆原子代表什麼元素,那它看到的影像到底是不是哪一種原子,我們怎麼去分辨原子,這是第二個問題。
947220	967220	第三個問題其實是這張影像裡面所沒有的,就是這張影像裡面它沒有的資訊就是電場跟磁場。如果有電子顯微鏡,用最先進的電子顯微鏡,我們有沒有辦法去看到電場跟磁場,這是我想回答的第三個問題。
968180	995220	我先簡單介紹一下,電子顯微鏡跟光學顯微鏡有很大的不同,但是它的結構基本上是一樣的,就是你有一個light source,這邊是一個電子束,然後你有一個condenser lens,就是聚焦的透鏡,那唯一的差別是左邊的光學顯微鏡它是玻璃的透鏡,
995220	1015220	右邊因為電子束是帶電粒子,所以你是用磁性的透鏡來聚焦電子束,然後同樣有sample,同樣有霧鏡,同樣有一些projection lens,所以如果最簡單的了解,其實電子顯微鏡就是一個光學顯微鏡,只是用電子當作光源。
