start	end	text
0	4000	整理&字幕志願者 李仲敬
30000	53200	整理&字幕志願者 金莉是在臺灣大學動作科學研究實驗室當助理,曾經在大同高中競技體操隊物理治療師,在臺大大學女子排球隊物理治療,在臺大醫學實習物理治療師,在新莊醫院實習物理治療師。
53760	71200	他應該是在南加大大學機動學進物理治療學系的助教,他的學歷是在南加大大學機動學進物理治療學的博士。他即將在今年的8月參加他的畢業典禮。
71700	84700	主持人李仲敬 今天非常榮幸,施海龍博士為我們介紹下背痛對身體有哪些潛在的影響,我們應該如何證實這個對許多中老年人產生相當程度困擾的毛病。
85200	95200	施海龍博士今天的主題是The Full Print of Pain,The Investigating Precisions of the Altered Trunk Control in Recurrent Low Back Pain。
95200	99200	我們現在請施海龍博士為我們做一個專題的演講。
99200	102200	您的電話已關機。
129200	131200	您的電話已關機。
159200	162200	您的電話已關機。
189200	192200	您的電話已關機。
219200	222200	您的電話已關機。
249200	252200	您的電話已關機。
279200	282200	您的電話已關機。
309200	312200	您的電話已關機。
340200	342200	您的電話已關機。
344200	346200	妳的電話已關機。
350200	352200	您的電話已關機。
355200	357200	您的電話已關機。
357200	359200	您的電話已關機。
359200	361200	我底道。
365200	367200	您的電話已關機。
373200	375200	我由於您的電話已經關機,
375200	377200	而我的電話已關機。
379200	381200	您的電話已關機。
383200	385200	我的電話已關機。
385200	387200	我的電話已經關機。
389200	391200	...
391200	393200	...
401200	403200	...
403200	405200	...
405200	407200	...
407200	409200	...
409200	411200	...
411200	413200	...
413200	415200	...
415200	417200	...
417200	419200	...
419200	421200	...
421200	423200	...
423200	425200	...
425200	427200	...
427200	429200	...
429200	431200	...
431200	433200	...
433200	435200	...
435200	437200	...
437200	439200	...
439200	441200	...
441200	443200	...
443200	445200	...
445200	447200	...
447200	449200	...
449200	451200	...
451200	453200	...
453200	455200	...
455200	457200	...
457200	459200	...
459200	461200	...
461200	463200	...
463200	465200	...
465200	467200	...
467200	469200	...
469200	471200	...
471200	473200	...
473200	475200	...
475200	477200	...
477200	479200	...
479200	481200	...
481200	483200	...
483200	485200	...
485200	487200	...
487200	489200	...
489200	491200	...
491200	493200	...
493200	495200	...
495200	497200	...
497200	499200	...
499200	501200	...
501200	503200	...
503200	505200	...
505200	507200	...
507200	509200	...
509200	511200	...
511200	513200	...
513200	515200	...
515200	517200	...
517200	519200	...
519200	521200	...
521200	523200	...
523200	525200	...
525200	527200	...
527200	529200	...
529200	531200	...
531200	533200	...
535200	537200	...
537200	539200	...
539200	541200	...
541200	543200	...
543200	545200	...
545200	547200	...
547200	549200	...
549200	551200	...
551200	553200	...
553200	555200	...
555200	557200	...
557200	559200	...
559200	561200	...
561200	563200	...
563200	565200	...
565200	567200	...
567200	569200	...
569200	571200	...
571200	573200	...
573200	575200	...
575200	577200	...
577200	579200	...
579200	581200	...
581200	583200	...
583200	585200	...
585200	587200	...
587200	589200	...
589200	591200	...
591200	593200	...
593200	595200	...
595200	597200	...
597200	599200	...
599200	601200	...
601200	603200	...
603200	605200	...
605200	607200	...
607200	609200	...
609200	611200	...
611200	613200	...
613200	615200	...
615200	617200	...
617200	619200	...
619200	621200	...
621200	623200	...
623200	625200	...
625200	627200	...
627200	629200	...
629200	631200	...
631200	633200	...
633200	635200	...
635200	637200	...
637200	639200	...
639200	641200	...
641200	643200	...
643200	645200	...
645200	647200	...
647200	649200	...
649200	651200	...
651200	653200	...
653200	655200	...
655200	657200	...
657200	659200	...
659200	661200	...
661200	663200	...
663200	665200	...
665200	667200	...
667200	669200	...
669200	671200	...
671200	673200	...
673200	675200	...
675200	677200	...
677200	679200	...
679200	681200	...
681200	683200	...
683200	685200	...
685200	687200	...
687200	689200	...
689200	691200	...
691200	693200	...
693200	695200	...
695200	697200	...
697200	699200	...
699200	701200	...
701200	703200	...
703200	705200	...
705200	707200	...
707200	709200	...
709200	711200	...
711200	713200	...
713200	715200	...
715200	717200	...
717200	719200	...
721200	723200	...
723200	725200	...
725200	727200	...
727200	729200	...
729200	731200	...
731200	733200	...
733200	735200	...
735200	737200	...
737200	739200	...
739200	741200	...
741200	743200	...
743200	745200	...
745200	747200	...
747200	749200	...
749200	751200	...
751200	753200	...
753200	755200	...
755200	757200	...
757200	759200	...
759200	761200	...
761200	763200	...
763200	765200	...
765200	767200	...
767200	769200	...
769200	771200	...
771200	773200	...
773200	775200	...
775200	777200	...
777200	779200	...
779200	781200	...
781200	783200	...
783200	785200	...
785200	787200	...
787200	789200	...
789200	791200	...
791200	793200	...
793200	795200	...
795200	797200	...
797200	799200	...
799200	801200	...
801200	803200	...
803200	805200	...
805200	807200	...
807200	809200	...
809200	811200	減少 痛苦概要求
811200	813200	減少 痛苦概要求
813200	815200	減少 痛苦概要求
815200	817200	減少 痛苦概要求
817200	819200	減少 重症
819200	821200	減少 重症
821200	823200	減少 重症
823200	825200	減少 重症
825200	827200	減少 重症
827200	829200	增加
829200	831200	增加
891200	901200	減少 重症
901200	909200	減少 重症
909200	911200	減少 重痛
911200	913200	減少 重症
913200	915200	減少 重症
915200	917200	減少 重症
917200	919200	減少 重症
919200	921200	病人和醫生的分析
921200	923200	病人和醫生的分析
923200	925200	病人和醫生的分析
925200	927200	church
927200	929200	診所
929200	931200	診所
