start	end	text
0	4480	今天非常榮幸請到Timothy 呃 周育勳老師
4480	7920	他現在是在呃 成大的光電系
7920	12960	那今天跟我們講的題目呢 是Recent Progress in Surface Plasmon Polariton Nanolasers
12960	16240	那在開始之前讓我先介紹一下呃 育勳
16240	20960	好 呃 首先我要講這個就是育勳提供給我們的這個介紹
21920	25360	那在開始之前讓我先介紹一下呃 育勳
25360	29920	好 呃 首先我要講這個就是育勳提供給我們的這個介紹
29920	32640	實在是太帥了 但是太短了 但是我一定想要講
32640	36640	他只寫了幾個字 他寫驕傲的高雄人666
36640	42560	那這個是在 這是在這個罷免投票之前的幾天傳給我的
42560	48000	好 那所以呢我還要去找他的這個個人網頁看一下他的這個自我介紹
48080	51200	有啦 我現在有秀出來 大家可以看一下
51200	54480	喔 大家可以 喔 欸 okok 有這個網頁
54480	56640	但我還是就是介紹一下
56640	61120	就是呃 育勳呢 他的一開始的背景呢 是物理
61120	62640	他是成大物理系
62640	65200	然後後來呢 是在成大拿到PhD
65200	67440	那他個人呢 除了物理之外
67440	71680	他也對投資啊 hiking 哲學 還有社會運動
71680	73520	這都是非常有熱忱的
73600	77760	那我知道就是在成大拿到這個
77760	81360	不是成大 我是在交大拿到博士
81360	83920	NCT 我看錯了 sorry sorry
83920	85920	就是 ok 是交大 ok
85920	88080	然後你在拿到交大博士之後
88080	95040	你是到Michigan和那個Tel Aviv的雙邊的這個算是postdoc的program去做了一段時間
95040	96320	然後才回台灣嗎
96320	101360	喔沒有 我是拿了那個科技部的簽名碼去Michigan
101440	105600	然後之後的話 因為我那邊的老闆就是鄧惠
105600	110400	他推薦我去以色列希伯來大學進行交換
110400	113680	然後我去希伯來大學
113680	116720	然後做了大概一年的postdoc
116720	119120	然後就回成大任教
119120	120800	對 沒錯
120800	121840	ok 好
121840	128880	那這就是從這個驕傲的高雄人666在網上補充呃育勳的file
128880	131760	好 那就開始吧 交給你囉
131760	133760	好 ok 今天的話呢
133760	136560	因為考慮到大家的背景各自不同
136560	140400	所以呢 我會稍微提一下我們光電系在做什麼
140400	141520	大致上的話呢
141520	144480	可以就是如圖上面所顯示的
144480	147440	嗯 我們會製造光
147440	148960	我們會製造光
148960	152400	然後我們會想辦法傳送光
152400	153600	感測光
153600	155520	並且去
155520	157920	並且去控制光
157920	160480	那這是我們光電系大概在做的
160480	161760	那我們的學科呢
161760	165120	涵蓋了基礎物理的光學的所有的部分
165120	168320	包含ray optics wave optics
168320	171440	電磁學以及量子光學的部分
171440	173120	那光電系的話呢
173120	175680	其實就如各位所能夠接觸到的
175680	178000	我們的應用非常的廣泛
178000	181440	像是各位平常在看的手機上面的螢幕
181440	184080	或者是照明用的led燈
184080	187840	那還有現在能源議題比較迫切的太陽能電板
188000	190720	以及平常大家上網時所需要用的光線
190720	193280	甚至是你的iPhone
193280	194480	有一些部分的話呢
194480	197040	是用高功率雷射去切割的
197040	199200	那一個比較先進的應用的話呢
