start	end	text
0	5000	開始吧
5000	10000	好,OK
10000	15000	首先,我需要自我介紹嗎?
15000	20000	請你自我介紹一下,謝謝
20000	25000	我有準備幾張投影片,我就針對接下來的,利用投影片來自我介紹
25000	30000	我今天主要講的就是金屬固態結合技術的簡單介紹
30000	35000	我名叫林哲宇,目前在日本的物質材料機構服務
35000	40000	擔任的是博士後研究員
40000	45000	首先我會給一個簡單的自我介紹
45000	50000	剛剛有提到,目前我是在日本這邊當博士後
50000	55000	所服務的單位是國立研究開發法人物質材料研究機構
55000	60000	我在這邊主要的工作是
60000	65000	材料的顯微組織跟機械性質
65000	70000	以及一些相關的特性
70000	75000	做兩者之間的關聯
75000	80000	我目前有在進行
80000	85000	鎂合金的高強度以及高延展性的可加工性的鎂合金開發
85000	90000	以及永久磁鐵
90000	95000	女鐵棚三元素的永久磁鐵的微結構
95000	100000	還有一些燈器,主要是這方面的開發
100000	105000	今天要介紹的主要是我的博士後研究
105000	110000	主要是我的博士期間累積下來的工作
110000	115000	到了今年二月左右的博士後
115000	120000	大約是四年多的時間所做的事情
120000	125000	研究的領域主要是同質
125000	130000	性質相近以及液質金屬的固態結合
130000	135000	使用的結合技術是超音波結合
135000	140000	原理主要是利用高壓以及高頻率的振動
140000	145000	達到材料的變形去形成節點
145000	150000	應用方面可以用在鋼鐵高強度鋼或鋁鎂合金
150000	155000	多材料的複合結構像是汽車的特體結構
155000	160000	達成輕量化以及高比強度等目標特性
160000	170000	我在2019年畢業於日本東京大學材料工學專攻
170000	175000	畢業於國立清華大學化學工程學系碩士
175000	180000	以及中興大學化工學士
180000	185000	主要的自我介紹就到這裡
185000	190000	接下來我要開始介紹今天的主要演講課題
190000	195000	主要是在性質相近以及同質性質相近
195000	202000	主要是在性質相近以及同質以及異質的金屬材料結合介面
202000	207000	利用超音波結合去觀察它的介面演進以及強度上的
207000	215000	首先我會給一個比較簡單的研究背景介紹
216000	226000	主要在工程背景的聽者可能會比較了解
226000	236000	鋼鐵本身是具有非常基礎且不可或缺的材料之一
236000	240000	左邊的圖可以看到
240000	242000	我這邊秀出來的圖是說
242000	248000	每年大約會有15%-20%左右的鋼鐵
248000	250000	因為鋼鐵應用的場景非常多
250000	252000	包含建築以及一般民生
252000	254000	還有軍工設施還有運輸等
254000	258000	在運輸佔有大約15%-20%的比例
258000	264000	當中主要是應用在製造車體零件以及車體結構上
264000	267000	使用的鋼材的種類非常多
267000	274000	包含比較軟的軟鋼以及中強度、高強度、超高強度鋼等
274000	278000	目前材料的開發領域主要是集中在
278000	286000	如何讓鋼材提升它的延展性以及高延展性高強度等等
286000	287000	這個東西呢
287000	292000	下方左側這個圖我們叫它Dynamic Curve
292000	295000	就是說像香蕉一般的曲線分佈
295000	297000	因為為什麼會有這樣子的分佈呢
297000	299000	它主要是源自於說
299000	302000	因為材料的強度上增加通常延展度會下降
302000	307000	它基於傳統物理冶金的背景實質來講的話
307000	311000	這樣子的強度以及延展性是兩者不可兼得的
311000	316000	但是目前許多科學家利用各式各樣的方式
316000	322000	嘗試著跳脫這個領域去達到目前的研究狀況
322000	326000	嘗試著達到兩者的高強度以及高延展性等等
326000	330000	那為什麼需要這麼高強度鋼的開發呢
330000	331000	它主要是用在說
331000	334000	你車體受到撞擊的時候
334000	338000	高強度鋼往往可以提供更強的支撐性
338000	343000	去免於當中的乘客受到致命的傷害
343000	344000	為了提升安全性
344000	345000	我們還是會
345000	351000	現在的材料開發主動還是著重在高強度以及高延展性
352000	356000	那這邊主要是說
356000	358000	怎樣的鋼材會使用
358000	361000	就是不同強度的鋼材會使用在車體不同結構的區域
361000	363000	那這邊就是一個比較簡單的介紹
363000	366000	那主要是這邊可以清楚的看到
366000	367000	像是比較
367000	369000	如果傳統鋼受到撞擊的話
369000	373000	它受到的壓力以及撞擊
373000	376000	一直來自於前方以及前後等等
376000	380000	那這個時候需要比較高強度的結構材料
380000	383000	去支撐整個測試的完整
383000	388000	那當中目前這幾年的傳統用鋼開發的
388000	389000	高強度鋼材
389000	390000	它已經達到了
390000	392000	這邊有780、980、1180等等
392000	395000	那這代表鋼材的強度就是
395000	396000	Megapascal
396000	401000	就是百萬帕斯卡
401000	402000	主要是說
402000	405000	傳統上的低強度鋼
405000	407000	它大約是在550 Megapascal
407000	408000	那隨著強度上升
408000	411000	現在最常用的主流的高強度鋼材
411000	413000	是集中在1000 Megapascal前後
413000	416000	那這是目前車體結構材料
416000	418000	使用的一個現況
418000	420000	那反過頭來
420000	422000	如果說我們使用了
422000	423000	不使用鋼材
423000	426000	然後使用了質量輕
426000	427000	擁有更好強度表現
427000	430000	更高比強度表現的材料的話
430000	431000	那會怎麼樣
431000	433000	像是鋁鎂以及碳纖維等等
433000	436000	碳纖維塑膠薄荷材料
436000	438000	那如果說我們使用這樣的材料的話
438000	440000	它是可以做到非常輕量化
440000	444000	同時具備了足夠的安全性
