start	end	text
0	16000	主持人是蘇益安,首先要感謝主講人林高賢同學今天願意擔任主講,也很開心今天有各個市區的人共襄盛舉一起參加這個線上的學術演講。
16000	36000	主持人是蘇益安,首先要感謝主講人林高賢同學今天願意擔任主講,也很開心今天有各個市區的人共襄盛舉一起參加這個線上的學術演講。
36000	61000	接著我會稍微說明一下今天進行的模式,我是真的還蠻開心高賢今天可以擔任我們的講者,我跟高賢是在台大心理所認識的,高賢的背景非常特別,高賢是台大化學系畢業,所以他並不是本科是心理系的,
61000	87000	高賢是在台大心理所就讀,是在發展領域的實驗室,他有一個很特別的經歷是,高賢在就讀心理所之後並沒有摒棄原本化學的專業,反而是他有就讀台大師培中心的學程,所以在畢業之後他甚至還擔任了全職的高中化學老師。
87500	97000	目前高賢是在比利時的天主教裸問大學就讀博士班,就我所知也是攻讀發展心理學的領域。
97940	115960	高賢在準備這個主持稿的時候,其實我還蠻緊張的,因為高賢本人有寄了他非常豐厚的履歷給我,我一看就覺得,哇,就是神人啊!而且高賢這麼多講錯的地方,您都隨時可以更正我,因為我都在想,這個主持稿是要怎麼準備,資料太豐富了。
116960	134100	高賢得過非常多研究相關的獎項,包括臺灣心理學會的最高榮譽的書香與論文獎,以及臺灣女性學學會的年輕學者獎,等等,我都足返不及備戰。
134700	146100	今天高賢主要會跟我們分享的是關於輕質倦怠的演講,畢竟我不是專家,所以這邊就留給高賢等一下為我們解析。
146300	163500	不過我覺得這個講題,特別是在最近,特別符合時事,就是在COVID-19的時候,臺灣可能不是很明顯,但是在國外的確還蠻多人在探討這個很切中、脈動的議題,
163500	192140	就是說,當很多家長跟小朋友可能整天都困在家裡面,就是COVID-19 lockdown的話,那該怎麼去處理?所以我自己是非常非常期待高賢等一下的演講,那這邊大概是就是關於高賢的簡介,那高賢等一下自己也可以就是稍微再補充自己自我介紹一下,對,那我們今天進行的模式呢,原則像是我現在簡介完之後,
