start	end	text
0	4000	如果您有任何疑问,请在留言区留言。
4000	8000	最后,我们将有Q&A时间,让您提出您的问题。
8000	12000	让我们开始吧。
12000	16000	- 好的,谢谢。
16000	20000	- 好的,谢谢。
20000	24000	- 谢谢。
24000	28000	- 谢谢。
28000	32000	- 加油。
58000	61000	大家好,我是Jeff,當了一年半的工程師。
61000	66000	接下來我到UCLA材料系攻讀博士,在2017年的時候畢業。
66000	74000	我就在目前的Startup Battery Street上班,同時也是在UCLA材料系當訪問學者。
74000	84000	目前主要的工作內容是著重於電池新材料開發量產,以及公司跟UCLA之間的繼轉。
85000	92000	我今天主要講的主題是Designing pseudo-capacitance for fast charging batteries,
92000	99000	就是尼電容的機制與快充電池上的應用。
99000	102000	首先,為什麼我們需要快充電池呢?
102000	106000	第一個動機不免俗的就是電氣化交通的普及。
106000	111000	目前在各地設置的充電站主要分成三個等級。
111000	117000	第一級就是一般大家放在家裡的插座,每小時可以充三到六公里。
117000	124000	第二級就是目前在停車場裡面的充電站,一小時是充二十到三十公里。
124000	134000	第三級就是目前最快的Tesla充電站,從每小時計算進步到以每分鐘計算,
134000	137000	每分鐘目前達到五公里。
137000	142000	有趣的現象就是,就算目前的充電站還是遠少於加油站,
142000	147000	但幾乎看不到充電站出現加油站這種大排長龍的景象。
147000	150000	除了不是每個人都有電動車之外,
150000	157000	每分鐘五公里跟加油站所需的時間比起來,畢竟還是太慢了。
157000	163000	第二個快充電池應用的地方就是再生能源的普及。
163000	167000	截至去年為止,再生能源已經達到全球三分之一主要的發電量,
167000	173000	其中以丹麥為首的50%的發電來自於再生能源,
173000	178000	其他歐洲主要國家也都達到20%到30%的再生供電。
178000	185000	而我們都知道當這些風能及太陽能轉換成電能的時候,
185000	187000	必須要搭配適合的電池。
187000	193000	而這些電池因為無法快速充電而導致儲能效率過低。
193000	198000	舉個例子,當風速很快的時候會產生瞬間的大的電流,
198000	204000	不但無法充進這些低功率的電池,反而會變成廢了降低電池的壽命。
204000	212000	所以基本上這個概念就跟快充電池搭配老化的手機電池是一樣的道理。
212000	216000	第三個快充電池應用的地方就是植物性的醫療器材。
216000	223000	一般這種器材的供應是由一個電池來搭配一個電容所組成,
223000	228000	也就是在左下角正下方這個box裡面。
228000	235000	一般電池適用於器材長時間低功率的監控功能,
235000	239000	而電容則是用在短時間高功率反饋的功能。
239000	244000	由於器材的體積限制,加上不同器官部位的需求,
244000	249000	單一使用高功率的電池來取代兩者並存的模式,
249000	254000	一直以來都是這類器材電源供應發展的趨勢。
254000	259000	當然除了上述這三個應用以外,還有其他更多的應用,
259000	261000	我在這裡就不潰述了。
261000	268000	所以這次主要演講中主要是介紹如何以泥電容的材料來提升儲能元件的功率密度以及能量密度。
269000	276000	如左邊這張圖所示,我們的X軸是能量密度,Y軸是功率密度。
276000	285000	首先我會先簡單介紹儲能元件的結構材料以及分析所需要的技巧。
285000	293000	接著第一部分會以藍色這塊高功率的超級電容材料為出發點,
293000	298000	然後利用無氧化合泥的摻雜來達到高能量的特性。
298000	301000	第二部分會以鋰電池為出發點,
301000	308000	然後我們這裡是以氟磷酸反鈉為例子,L-NBOPF,
308000	313000	藉由將電池材料奈米化而達到高功率的特性。
313000	319000	一般的電池或超級電容基本上都是由兩個電極板組成,
319000	327000	其中正極與負極的材料分別突兀在鋁箔與銅箔上面。
327000	336000	兩個電極由多孔隙的隔離層,也就是中間這一塊隔離層分開,避免短路。
336000	342000	充放電的時候離子在容液中移動,電子材料產生氧化環的反應,
342000	346000	同時電子則在外電路移動而達到電荷的平衡。
346000	350000	電極就是我們今天討論的主要重點,
350000	355000	主要是由儲能材料與碳與高分子的黏著劑所構成。
355000	359000	電極需要具有一定的空隙度,就跟海綿一樣,
359000	367000	它必須要容納足夠的電解域,同時也要具備足夠的導電度來做高電流的充放電。
367000	373000	儘管電池與電容的構造都長得一樣,但儲能機制上卻完全不同。
373000	381000	電容的機制是由離子吸附,在外加的電場下,陽離子與陰離子分開並吸附於電極的表面。
381000	386000	因為離子吸附在表面所需的時間很短,所以這種機制最有利於快速充放電。
386000	391000	缺點就是它的表面積有限,所以能量密度普遍會偏低。
391000	398000	相較之下,電池的儲能方式則是利用材料內部的氧化環的反應,
399000	405000	在這個情況下,離子可以進到材料內部,能量就遠大於電容。
405000	412000	但由於離子在材料內部移動的速度很慢,因此無法做高速的充放電。
412000	417000	接下來我們要介紹一下我們如何分辨電池與電容。
417000	423000	基本上就是藉由電化學的分析,我們會將預分析的材料製作成電極,
423000	425000	在一樣的電解液中測試。
425000	434000	一般測試的裝置有左邊上方這三極式的電化學槽的測試,
434000	439000	以及下方這種兩極式的鈕扣電池的測試。
439000	443000	測試的方式主要有兩種,分別是上面這種循環浮彎法,
443000	447000	psychotic voltammetry,我們簡稱CV。
447000	451000	原理就是改變電壓變化的速度,來量測電流的變化。
451000	456000	以及下面這種定電流充放電的測試,簡稱GC。
456000	464000	它就是在定電流充放電的情況下量測電池的電壓變化,並對電量做圖。
468000	474000	我們利用GC跟CV所得到的圖就可以來分辨電池與電容,
474000	476000	兩種不同的儲能機制。
476000	482000	左邊的電容可以看得出來CV是一個矩形,
482000	485000	GC基本上是一條斜線。
485000	489000	右邊的電池是由一組PIC組成,
489000	493000	GC主要是由一條水平線構成。
493000	497000	既然我們現在知道如何判斷電池材料與電容材料,
497000	499000	我們就可以來尋找快充電池的材料。
499000	503000	我們希望快充電池有哪些特性?
503000	507000	我們希望它能夠具有左邊這種電化學的特性,
507000	510000	它可以做快速的充放電。
510000	513000	而它具有右邊這種材料的特性,
513000	518000	透過氧化環環的反應來儲存能量,而提高能量的密度。
518000	521000	那這就是我們要找的擬電容材料。
521000	528000	擬電容材料除了具有矩形的CV,
528000	532000	還有斜線的GC,
532000	537000	並且它是以氧化環環的反應來儲存材料。
540000	544000	接下來就是要講我今天主要介紹的主角,
544000	546000	就是這個T-Phased,
546000	548000	Orthohombic Phased,
548000	549000	MB205,
549000	552000	接下來我就簡稱它是Niobia。
552000	556000	那Niobia除了具有上述的擬電容特性,
556000	559000	它的能量密度也是目前,
559000	563000	也跟目前的市面上的擬電池裡面的
563000	564000	鋰固氧,
564000	566000	Lithium Carboxide,
566000	568000	相當的能量密度。
568000	571000	那它的能量密度跟電容比起來,
571000	573000	是電容的10倍。
573000	575000	它的功率密度,
575000	578000	也就是它的快充的功率,
578000	581000	也是可以達到電池的10倍。
581000	583000	那它唯一的缺點,
583000	585000	就是因為它本身畢竟還是
585000	586000	這個
586000	588000	Wideband Gap Oxide,
588000	589000	畢竟還是氧化物,
589000	591000	所以它的導電度,
591000	593000	就是我們接下來第一個topic,
593000	595000	我們要來
596000	598000	如何fix的地方這樣子。
598000	600000	那我們第一個部分呢,
600000	602000	主要就是要用碳,
602000	604000	來跟這個
604000	606000	Niobia來摻雜,
606000	609000	來提高Niobia它的儲能特性。
609000	612000	那並且我們要推論出一個好的Niobia,
612000	614000	並且我們最後會推論出
614000	616000	一個好的Niobia電極呢,
616000	618000	它需要怎麼樣的特性,
618000	620000	來展現它這個
620000	623000	鋰電容的特性這樣子。
623000	626000	那一個好的Niobia電極呢,
626000	628000	基本上它需要兩個部分,
628000	630000	第一個就是高導電度的部分,
630000	633000	那第二個就是它能夠有
633000	635000	高孔隙度的部分。
635000	637000	那這個研究裡面呢,
637000	639000	主要用到三種材料。
639000	641000	那第一個材料呢,
641000	643000	就是我們的主角,就是Niobia。
643000	645000	那第二個材料就是我們的
645000	647000	化學製備的石墨烯,
647000	649000	Reduced Graphene Oxide,
649000	651000	簡稱RGO。
651000	653000	那這裡它的目的是提供
653000	655000	短程的導電度。
655000	657000	那接下來第三種材料就是
657000	659000	我們最右邊的這個
659000	661000	Carbide Derived Carbon,
661000	663000	我們簡稱CDC,
663000	665000	那它是一種活性碳。
665000	667000	那主要的目的呢,
667000	669000	就是它本身有
669000	671000	它的多孔隙的結構,
671000	673000	以及它的尺寸
673000	675000	是在微米的等級,
675000	677000	所以它能夠提供
677000	679000	長程的導電性。
681000	683000	那我們電極的製備方式呢,
683000	685000	基本上我們是先將
685000	687000	這個Niobia長在RGO上面,
687000	689000	那接下來再把這個
689000	691000	Niobia RGO呢,跟
691000	693000	CDC來複合,
693000	695000	合到我們的Niobia RGO
695000	697000	CDC,我們簡稱NRC。
697000	699000	那最後呢,
699000	701000	就是我們再將NRC
701000	703000	製作成
703000	705000	商用厚度的
705000	707000	電極,並做測試,
707000	709000	那證明在適當的
709000	711000	孔隙度下,NRC
711000	713000	具有高功率以及高能量的儲存特性。
715000	717000	那這一張
717000	719000	這個slide呢,是材料
