start	end	text
0	10000	哈囉大家好,歡迎大家來到9月底的這個TierRaw的夏季特別系列活動
10000	16000	那我們夏季特別系列活動今年延長呢就是有點長,我們其實會延長到10月這樣子
16000	22000	那今天這一場呢的題目是叫做高教怎麼了?高教改革工作者座談會
22000	33000	我們今天很榮幸呢能請到三個長期啊耕耘高教改革這個工作的來自不同的觀點和面向和單位的講者
33000	37000	那我首先要做的第一件事情呢就是跟大家介紹我們的講者
37000	39000	那我就一一來介紹
39000	43000	我們第一位講者呢是陳曉育博士
43000	50000	他目前是國家實驗研究院科技政策研究與資訊中心副研究員
50000	57000	然後他同時也是台灣高等教育產業工會的會員
57000	59000	第二位是許瑞福
59000	62000	他目前是台大電信所的博士生
62000	67000	他之前是前台大研究生協會的會長
67000	71000	那同時也是行政院的青年諮詢委員
71000	77000	他從在台大的期間一直到現在都非常active的參與高教改革
77000	79000	尤其是從學生的觀點來參與
79000	82000	那第三位呢是謝瑞哲
82000	84000	但是我們今天可能不會這樣叫
84000	86000	因為大家都習慣叫他紮實
86000	88000	所以我們也可能用紮實來叫他
88000	90000	大家也可以這樣叫
90000	94000	就是他現在是立法院教育文化委員會的政策助理
94000	97000	所以他也是在這個面向呢可以帶給大家不同的觀點
97000	99000	那我今天不會提第二次
99000	101000	但是先講一下
101000	103000	就是今天的三位講者呢
103000	107000	他們的老闆們都很樂意讓他們來分享
107000	112000	但是他們今天是根據他們的經驗代表他們自己的發言
112000	114000	幫他們講一下
114000	116000	那我們今天的進行是這樣
116000	118000	我們會先請三位講者呢
118000	122000	分別來講一下他們是主要來怎麼樣看呢
122000	125000	高教改革工作這件事情
125000	128000	然後呢我們從他們講的這個內容呢
128000	130000	我們可以開始討論
130000	133000	那我們首先請小玉來講一下
133000	135000	就是你怎麼看這個事情
137000	139000	好我是沈小玉
139000	141000	謝謝主持人的邀請
141000	144000	也謝謝其他兩位演員瑞福跟紮實的參與
144000	147000	那談高教改革
147000	150000	我不敢說參與改革很多年啦
150000	152000	就是我基本上是希望來分享
152000	155000	就是有關於高等教育方面的一些觀察
155000	157000	好
157000	159000	我的研究興趣主要是高等教育
159000	161000	我本課也是念這個的
161000	163000	那我今天想要談的這個主題是
163000	165000	有關於高階人才
165000	167000	尤其是那個研究所以上的
167000	169000	尤其是博士人才的部分
169000	171000	我通常
171000	173000	如果你有看我的臉書
173000	175000	就是老玉的一個粉專
175000	177000	然後我通常都會在上面寫說
177000	179000	其實台灣議題都是全國
179000	181000	全球性的議題
181000	183000	那但是我們確實
183000	185000	我們國內也有我們國內不同的一個議題
185000	187000	需要去探討
187000	189000	那我從人力資源管理
189000	191000	三個角度下去切
191000	193000	第一個是有關於選才的部分
193000	195000	我國的
195000	197000	其實我國現在目前
197000	199000	博士教育的問題
199000	201000	我個人認為
201000	203000	不是沒有人念博士班
203000	205000	而是優秀的人才不願意念博士班
205000	207000	那才是我國的問題
207000	209000	好這是選才的部分
209000	211000	這個待會大家可以討論一下
211000	213000	那從育才跟留才的部分
213000	215000	我個人覺得有兩件事
215000	217000	有一些事情是值得探討的
217000	219000	那育才的部分
219000	221000	第一個就是有關於博士教育的部分
221000	223000	就是
223000	225000	國內的部分就是我們到底提供
225000	227000	什麼樣的博士班的教育
227000	229000	我們到底是把
229000	231000	大家當成寫paper的機器
231000	233000	做實驗的工人
233000	235000	還是說我們真的要
235000	237000	培養能夠
237000	239000	解決問題
239000	241000	然後未來是希望朝向不管是產業或
241000	243000	學術界發展的
243000	245000	一個高階的人才
245000	247000	那另外一個是機制面的問題
247000	249000	機制面的問題待會
249000	251000	也會來談到
251000	253000	那我個人認為是有兩個部分
253000	255000	一個部分是
255000	257000	國外的留學獎學金的部分
257000	259000	那相關的規劃
259000	261000	還有就是領域的分配
261000	263000	是怎麼樣進行的
263000	265000	那對我們國內的博士班
265000	267000	真的比較嚴重的問題就是
267000	269000	目前國內的博士班大概只有助學金
269000	271000	這個部分不管你是擔任TA或RA
271000	273000	我們其實
273000	275000	博士班的教育其實是沒有
275000	277000	所謂的獎學金的制度
277000	279000	沒有所謂的博士班這一塊
279000	281000	第三點
281000	283000	第三塊主要是我們要談
283000	285000	留才 那人力資源管理
285000	287000	很喜歡談選用育留
287000	289000	就是選才育才留才這個部分
289000	291000	那留才的部分
291000	293000	我個人的觀點是說其實
293000	295000	不管你是就高階人才
295000	297000	博士人才這一塊不管你是
297000	299000	學術性的人才或產業性的人才
299000	301000	換句話說你要是往學術界發展或
301000	303000	業界發展
303000	305000	那基本上目前的整個的
305000	307000	人才的機制是全球流動的
307000	309000	一個部分
309000	311000	那也不管是你在國內或大學畢業
311000	313000	哪一個學校畢業
313000	315000	或者是說你現在
315000	317000	未來想要朝哪個方向走
317000	319000	比如說你想要到國外的
319000	321000	大學或研究機構
321000	323000	就是從事研究工作的話
323000	325000	那這個部分其實
325000	327000	國內我的建議是應該是要
327000	329000	為我們來思考未來如何一起
329000	331000	國際合作然後同時也
331000	333000	協助這些人才在國外有一個
333000	335000	好的發展那如果
335000	337000	你是想要回來國內
337000	339000	不管是大學或研究機構或是
339000	341000	業界發展的話其實
341000	343000	我們考慮的是說比如說
343000	345000	不管你是申請到
345000	347000	教育部的玉山青年學者
347000	349000	科技部的哥倫布國
349000	351000	或其他的一般型的計畫
351000	353000	那其實
353000	355000	老實講我覺得以我個人
355000	357000	經驗來說我認為
357000	359000	真正回來真的在
359000	361000	國內任教或是做研究
361000	363000	其實關鍵當然錢是一個
363000	365000	很重要的因素但是
365000	367000	錢永遠不是最就是
367000	369000	錢不能解決所有的問題
369000	371000	其實我們是需要更多
371000	373000	的相關的配套比如說對於
373000	375000	年輕學者的相關的
375000	377000	協助的部分其實這個是我們可能
377000	379000	未來比較需要做的
379000	381000	好那大概
381000	383000	就如果你是要進
383000	385000	業界的話那我個人的
385000	387000	觀點是說其實現在台灣
387000	389000	有很多博士也有很多流浪博士
389000	391000	相關的問題基本上
391000	393000	如果你可以通過博士班的考驗
393000	395000	基本上你其實是有一定的能力
395000	397000	或一定的程度
397000	399000	那我的個人觀點是說其實
399000	401000	你如果念完博士以後你要心裡
401000	403000	有一個底就是知道說你
403000	405000	可能你未來可能不會朝
405000	407000	學術研究的部分發展
407000	409000	但是你有很多事情可以做
409000	411000	像我本科
411000	413000	老實講我是哲學研究所
413000	415000	我是國內私立大學哲學
415000	417000	研究所博士老實講我們就是
417000	419000	最弱勢的那一群就是
419000	421000	我是文科畢業然後我是念了
421000	423000	一個博士學位但是我畢業
423000	425000	以後發現我完全不太能夠從事
425000	427000	教職的部分那你就要
427000	429000	開始想說有沒有其他的可能性
429000	431000	比如說像法人機構很需要
431000	433000	博士的人才
433000	435000	或者說我可能也可能
435000	437000	去業界甚至有一陣子
437000	439000	我被學校裁員的時候
439000	441000	我也在思考說我還沒有其他
441000	443000	可能性所以我其實是
443000	445000	我的朋友都叫我
445000	447000	卡車博就是說我有
447000	449000	台灣的職業大課車
449000	451000	駕照就是換句話說如果學校
451000	453000	哪一天或是我的法人機構
453000	455000	不想要我的時候我隔一天我立刻
455000	457000	可以找到我立刻可以
457000	459000	去開公車然後所以我們
459000	461000	常會開玩笑的其實我們常會
461000	463000	開玩笑說我之所以還留在法人
463000	465000	單位工作就是因為我的
465000	467000	同事希望我不要出去
467000	469000	殘害路人好
469000	471000	以上大概是這樣一個情況這就是
471000	473000	我的報告謝謝
473000	475000	那個
475000	477000	我稍微summarize
477000	479000	一下就是我聽到的是
479000	481000	小玉提到的就是台灣是
481000	483000	有人才的但是台灣
483000	485000	的人才似乎是很少
485000	487000	是有這個意願是願意念博士的
487000	489000	然後還有另外一個就是
489000	491000	台灣顯然跟很多國外比起來
491000	493000	是沒有fellowship的完備
493000	495000	制度然後第三個
495000	497000	是我們要嘛人才外流
497000	499000	要嘛人不回來
499000	501000	看來我們是有
501000	503000	好我們沒有這樣子的誘因
503000	505000	可以達到一個這樣子流動的balance
505000	507000	那我們待會可以來討論這一點
507000	509000	但在我們討論之前呢我們
509000	511000	來請我們換一下
511000	513000	順序好了我們剛剛介紹的時候是
513000	515000	小玉瑞福然後扎實那我們
515000	517000	第二個現在請扎實來談談
517000	519000	好不好如果你的話你會怎麼來
519000	521000	主要來看這樣子高教改革工作
521000	523000	呢ok
523000	525000	聽得到好
525000	527000	ok我是扎實
527000	529000	今天可能站在一個比較
529000	531000	部會的觀點就是因為畢竟在
531000	533000	立法院長期
533000	535000	要在教委會裡面去做這些
535000	537000	監督所以我看到的面向
537000	539000	我覺得政府應該要有更多
539000	541000	的作為那這些作為是什麼
541000	543000	那因為今天的受眾
543000	545000	其實很多聽眾很多其實都
545000	547000	在可能國內外不同地方
547000	549000	所以從一開始的一個
549000	551000	觀點啊就是說我想
551000	553000	人才培育流才
553000	555000	染才育才這件事情
555000	557000	是一個國家的
557000	559000	國安大戰略我想這個應該
559000	561000	是大家都能夠接受的
561000	563000	那如果我們都覺得這是一個
563000	565000	國家大戰略但如果
565000	567000	台灣已經越來越多人
567000	569000	流失了或者是不願意念博士
569000	571000	了那這鐵定就是一個
571000	573000	國安危機那所以
573000	575000	站在這個角度來看的話
575000	577000	從本土培育博士
577000	579000	開始其實我們
579000	581000	的的確確遇到了蠻多的
581000	583000	狀況跟問題但是
583000	585000	先從一個大院檢來
585000	587000	如果台灣要作為
587000	589000	一個很有國際競爭力的很有
589000	591000	全球競爭力的那首先
591000	593000	我們的本土博士生
593000	595000	小玉有講到這些優秀
595000	597000	的博士生不願意念那這鐵定
597000	599000	是我們要解決的第一個部分的問題
599000	601000	那再來
601000	603000	其實人才也不是只有
603000	605000	本土的人才還有國際流動
605000	607000	的人才還有在海外像你們
607000	609000	這些重要的人才那
609000	611000	台灣是不是能夠在
611000	613000	因為最近我們一直在處理一個
613000	615000	叫做海外學習跟
615000	617000	國際教育專法那其實
617000	619000	這跟大家比較有關係可能
619000	621000	就是國際教育專法呼應
621000	623000	一下剛剛小玉所講的我們
623000	625000	很多博士生我們到海外
625000	627000	我們有沒有一個健全的一個
627000	629000	培育的計畫的制度
629000	631000	那這個部分可以讓我們
631000	633000	更多在台灣念
633000	635000	這些這些碩博生
635000	637000	甚至博士生我們聚焦在博士生
637000	639000	他是更有一些計畫
639000	641000	的資源走到世界去
641000	643000	讓我們有更多國際觀的經驗
643000	645000	更多國際教育的經驗
645000	647000	那但是這個如果對台灣來講
647000	649000	最後一塊拼圖
649000	651000	就是我們上一個會期
651000	653000	第九屆
653000	655000	我們沒有把它審完畢的
655000	657000	新經濟移民法
657000	659000	就是這其實是很多塊
659000	661000	從本土的博士培育開始出發
661000	663000	這件事情非常重要
663000	665000	因為我相信很多學術端的教授
665000	667000	到最後其實更多的
667000	669000	還是本土的博士生
669000	671000	可以有這個
671000	673000	有這個目標所以本土的博士
673000	675000	培育非常重要
675000	677000	但是在國際的流動上
677000	679000	我們有沒有這樣的一個健全的
679000	681000	國際教育可以讓大家
681000	683000	可以到國際去交流那到最後
683000	685000	是有一個很好的
685000	687000	攬財或者是流財的
687000	689000	政策那也就是我們的新經濟移民法
689000	691000	我們最近一直不斷的在follow
691000	693000	所以我覺得這是一個
693000	695000	部會的角度去思考
695000	697000	每一個環節都很重要
697000	699000	雖然每個環節都很重要
699000	701000	我自己個人覺得現在在
