start	end	text
0	3000	整理&字幕 由 Amara.org 社群提供的字幕
30000	33000	整理&字幕 由 Amara.org 社群提供的字幕
60000	63000	整理&字幕 由 Amara.org 社群提供的字幕
90000	93000	整理&字幕 由 Amara.org 社群提供的字幕
120000	123000	整理&字幕 由 Amara.org 社群提供的字幕
150000	153000	整理&字幕 由 Amara.org 社群提供的字幕
180000	183000	整理&字幕 由 Amara.org 社群提供的字幕
210000	213000	整理&字幕 由 Amara.org 社群提供的字幕
240000	243000	整理&字幕 由 Amara.org 社群提供的字幕
270000	273000	整理&字幕 由 Amara.org 社群提供的字幕
273000	276000	整理&字幕 由 Amara.org 社群提供的字幕
276000	279000	整理&字幕 由 Amara.org 社群提供的字幕
279000	282000	整理&字幕 由 Amara.org 社群提供的字幕
282000	285000	整理&字幕 由 Amara.org 社群提供的字幕
285000	288000	整理&字幕 由 Amara.org 社群提供的字幕
288000	291000	整理&字幕 由 Amara.org 社群提供的字幕
291000	294000	整理&字幕 由 Amara.org 社群提供的字幕
294000	297000	整理&字幕 由 Amara.org 社群提供的字幕
297000	300000	皮膚的溫度會比較低
300000	303000	可是基本上我們的核心溫度
303000	306000	基本上都是37度C不會變
306000	309000	那有這個模型之後
309000	312000	我們就要了解說在什麼樣的情況之下
312000	315000	我們的核心溫度會開始產生變化
315000	318000	那這個地方我會用一點點數學
318000	321000	不過不用擔心這個數學其實沒有什麼高深學問在裡面
321000	324000	它基本上就是想要告訴我們說
324000	327000	核心溫度如何隨時間變化
327000	330000	所以左邊這個我這邊寫了一項叫底梯
330000	333000	它意思代表就是說
333000	336000	我們的核心溫度如何隨時間變化
336000	339000	那核心溫度它可以上升也可以下降
339000	342000	那什麼東西會讓它上升呢
342000	345000	第一個就是我們的新陳代謝率
345000	348000	新陳代謝率是人體裡面的一些化學變化所產生出來的熱量
348000	351000	那一般人如果比如說我們現在就坐著不動
351000	354000	就在那邊聽演講的話
354000	357000	一般人的新陳代謝率大概是100瓦
357000	360000	100瓦就是瓦是一個能量的單位
360000	363000	這個新陳代謝率它可以讓身體增溫
363000	366000	也就是說你這個東西在冬天也非常有用
366000	369000	你在冬天如果覺得很冷的話新陳代謝率就會變得比較高
369000	372000	那它可以讓我們的核心溫度開始增加
372000	375000	那產生熱之後我們核心也會希望
375000	378000	把這樣子的熱量給散走
378000	381000	那散開的機制就是藉由傳導
381000	384000	它核心會把這樣的熱量
384000	387000	從新陳代謝產生的熱量
387000	390000	傳導到我們的皮膚上
390000	393000	那皮膚它也不是省油的
393000	396000	它接受到這樣子的熱量之後
396000	399000	它會再想辦法把同樣的熱量散發到大氣中
399000	402000	所以同樣的我們可以寫下一個類似的方程式
402000	405000	可是因為這有點數學上的一些detail
405000	408000	就是因為我們人的皮膚表面
408000	411000	因為它的體積實在太小了
411000	414000	所以它的熱容量很小
414000	417000	所以基本上我們可以假設我們的皮膚溫度
417000	420000	基本上它變化是瞬間的
420000	423000	它不會像我們的體溫是慢慢上升或慢慢下降
423000	426000	所以我在這個方程式的左邊我就故意把它寫成0
426000	429000	這是一個數學上的技巧
429000	432000	就是我們不用去考慮皮膚它怎麼樣隨時會發生變化
432000	435000	我們只要在這個情況之下
435000	438000	皮膚它的溫度是怎麼變化就可以了
438000	441000	那皮膚的溫度是怎麼變化呢
441000	444000	第一個它會接受核心丟給它的熱量
444000	447000	就是conduction
447000	450000	這conduction會讓皮膚溫度開始上升
450000	453000	那同樣的它可以把這樣子的熱散發給外界
453000	456000	也就是heat loss to air
456000	459000	就這項它代表的意思
460000	463000	不知道大家可不可以看到這個滑鼠
463000	466000	OK 沒關係 大家可以看到那個鼠標嗎
466000	469000	OK 好 謝謝
469000	472000	所以這一項第一道式子它的意思就是說
472000	475000	如果我的core temperature
475000	478000	如果這一項是比較大的
478000	481000	那這一項它就會讓我的core temperature增加
481000	484000	那如果這一項比較大 因為大家看到前面有一個負號
484000	487000	那這個負號它就會讓我的體溫開始下降
487000	490000	基本上我的體溫是決定於這兩個因素的
490000	493000	新陳代謝和我的傳導
493000	496000	那我的皮膚溫度也是一樣
496000	499000	傳導會讓我的皮膚溫度開始增加
499000	502000	但是因為它同時也會散熱到大氣
502000	505000	所以皮膚溫度會開始下降
505000	508000	我們想要知道就是說我們的核心溫度
508000	511000	到底在什麼樣的情況之下會不斷地上升
511000	514000	什麼樣的情況之下會不斷地下降
514000	517000	那現在我們如果看一下後面這一項
517000	520000	就是heat loss to air 就是皮膚會用什麼樣子的方式
520000	523000	把熱量送給大氣
523000	526000	它事實上主要有三種機制
526000	529000	就是我現在把這個heat loss to air把它換成三項相加
529000	532000	那第一項叫做long wave
532000	535000	中文就是長波 那什麼是長波呢
535000	538000	長波就是任何有溫度的物體
538000	541000	它都會發出電磁波
541000	544000	那它發出電磁波的波長的長短是決定於
544000	547000	這個物體的溫度 比如說太陽溫度非常的高
547000	550000	它大概有六千度 所以它發出來的電磁波波長非常非常的短
550000	553000	那人體 因為人體的溫度大概只有三十七度C而已
553000	556000	那大氣也差不多就是這個溫度
556000	559000	所以它發出來的長波波長非常的長
559000	562000	所以我這邊寫一個long wave 它的意思就是因為
562000	565000	跟太陽光的電磁波比起來
565000	568000	人體可以發出的電磁波實在長得非常多
568000	571000	人體可以藉由長波長來為自己散熱
571000	574000	這是第一個機制 那第二個機制是
574000	577000	sensible heat 那中文
577000	580000	我這邊查了一下 應該叫顯熱 顯是明顯的顯
580000	583000	熱量的熱 顯熱 它意思其實就是在講
583000	586000	皮膚和大氣之間的傳導
586000	589000	也就是說你如果今天碰到一個冷空氣
589000	592000	你的皮膚溫度就會開始下降 那如果那個大氣溫度
592000	595000	比較高的話 你皮膚溫度會開始上升 這個就是sensible heat
596000	599000	那最後一項還有一個叫 latent heat
599000	602000	那 latent heat 它的中文叫前熱
602000	605000	意思就是說如果你現在開始流汗
605000	608000	然後皮膚表面佈滿了汗水
608000	611000	那當這個汗水開始蒸發的時候
611000	614000	它可以把皮膚的溫度給帶走
614000	617000	這個就是 latent heat 那當然如果你想說
617000	620000	這個人如果他沒有流汗的話 那我們就沒有這個第三項
620000	623000	我們只有前面這兩項而已 所以第三項一定要有
623000	626000	一定要有流汗 它才會在這裡面
626000	629000	好 那我們現在要開始想一下說
629000	632000	OK 那我們現在有這個人體模型 那我們想要回答什麼樣子的問題
632000	635000	我們想要問的是說 未來會不會因為
635000	638000	有人太熱而死掉 所以我們就想像說
638000	641000	當你如果覺得非常非常熱的時候
641000	644000	你可能快要熱死了 這時候我會怎麼做
644000	647000	我們可能會脫掉我們所有衣服 我們可能會覺得說
647000	650000	算了不管了 因為我快熱死了 我就把所有衣服都脫掉
650000	653000	那當你沒有穿衣服的時候 基本上 long wave 和 sensible heat
653000	656000	都可以非常好的運作 因為你沒有
656000	659000	衣服來阻隔你和大氣之間的熱量的傳遞
659000	662000	所以當我們脫掉衣服的時候 事實上是有助於散熱的
662000	665000	那同時呢 我們可能會因為太熱
665000	668000	所以全身可能佈滿了汗水
668000	671000	所以第三項也存在 我們希望我們的人體表面
671000	674000	是佈滿了汗水 當然你可能會想說
674000	677000	有一些人 比如說老年人 他們可能不太會流汗
677000	680000	那像這種人他們就不太容易散熱
680000	683000	不知道為什麼老年人他們的
683000	686000	不知道什麼關係 就是讓他們的散熱機制比較差
686000	689000	有一個原因就是因為他們不太會流汗
689000	692000	但我們現在想問的是說 健康人
692000	695000	健康人他可以很適當的流汗
695000	698000	在這種情況之下 在未來會不會還是會死掉
698000	701000	所以我們現在就做一個非常強的假設
701000	704000	我們就假設說 這個人體模型他沒有穿任何的衣服
704000	707000	並且他全身佈滿了汗水
707000	710000	就是assume no clothes and fully covered by sweat
710000	713000	這是為什麼我們的題目就是上面寫一個
713000	716000	sweaty human in a GCM
716000	719000	sweaty human意思就是說這個人他全身佈滿了汗水
719000	722000	所以這是題目的第一部分
722000	725000	請問
725000	728000	就是我對你那個市集的那個sign有點問題
728000	731000	就是今天全部都討論說inhabitable
731000	734000	對 然後如果是這樣的話
734000	737000	我直覺會覺得
737000	740000	底t core 底小t應該要是正的
740000	743000	可是如果是正的話你的conduction就越大
743000	746000	你這樣子
746000	749000	你的增溫就變成是
749000	752000	所以你現在是說你的sign是怎麼定的
752000	755000	ok 非常好 就是我這個sign
755000	758000	conduction如果是正的話就代表說
758000	761000	熱量要傳到那個皮膚表面
761000	764000	所以這個箭頭指的意思就是conduction的方向
764000	767000	那如果conduction算是負的話就代表
767000	770000	熱量要從皮膚傳到核心
770000	773000	所以現在我沒有理解錯的話
773000	776000	會死掉的條件是底t
776000	779000	底大t底小t要是負的對不對
779000	782000	要是正的 我希望我們的人體體溫上升
782000	785000	而且要上升到某一定的程度
785000	788000	你希望人體溫上升
788000	791000	對 我意思是說對人不好是負的
791000	794000	ok 其實對
794000	797000	這個問題是有兩個層面
797000	800000	就是人的體溫最好是維持37度C不要變
800000	803000	但是你如果太冷或太熱當然對人體都有傷害
803000	806000	那太冷的話怎麼辦
806000	809000	這個是有可能會預測出底t core 底t小一點的情況
809000	812000	那這種情況下我們當然就會想要穿衣服
812000	815000	那這種情況下我們當然就會想要穿衣服
815000	818000	那這個東西這個式子裡面沒有寫
818000	821000	抱歉這個地方我就是稍微有點簡化起見
821000	824000	我現在哪裡沒有搞懂
824000	827000	你那個不是conduction heat loss的power
827000	830000	你那個只是說一個conduction term
830000	833000	但是你還是會把它用成這個方向
833000	836000	但是你的sine會跟著變
836000	839000	你只是這樣寫而已
839000	842000	等一下我會把這項寫成數學式子
842000	845000	就會變得比較明顯了
845000	848000	那所以我們現在人體就是
848000	851000	我們現在就假設這個人就是全身佈滿了汗水
851000	854000	ok 所以這就是為什麼題目寫說他是一個sweaty human
854000	857000	那這個模型事實上
857000	860000	它不是只有這樣子而已
860000	863000	我們可以用這個模型來模擬各種不同的情境
863000	866000	就比如說我現在可以把這樣人體模型
866000	869000	然後看一下當他被太陽照到的時候
869000	872000	那他的體溫會不會上升比較快
872000	875000	答案是一定會嘛
