start	end	text
0	3040	今天很高兴我们即将听到一场关于
3040	7680	治外法权、关于法律学与历史学的演讲
7680	12160	今天我们很荣幸邀请到的是讲者朱明熙
12160	17120	朱明熙目前是美国西北大学历史系的博士生
17120	19200	她的背景相当的酷
19200	20720	她的背景相当的酷
20720	22240	她的背景相当的酷
22240	23520	她的背景相当的酷
23520	24640	她的背景相当的酷
24640	25760	她的背景相当的酷
25760	26720	她的背景相当的酷
26720	27840	她的背景相当的酷
28080	30320	她的背景相当的酷
30320	33360	因为她其实原先的背景
33360	36480	是台大法律系的学士跟硕士
36480	38320	而且就是她曾经到日本的
38320	41040	北海道大学的法学部交换留学一年
41040	44960	而且她不只是完成了法律系的学业
44960	46880	她也更取得了律师执照
46880	50800	而且曾经在台湾跟日本的大型法律事务所工作
50800	54800	所以补充说明的是
54800	57040	其实我跟明熙很久以前就认识了
57040	59440	我们是台大法律系的同一届的同学
59440	60960	她一直在我们的心里面
60960	63520	都是神人一般的强者角色
63520	67040	因为我们觉得法律系已经很难念了
67040	68080	没想到她可以跨足
68080	69600	然后跑去念历史系
69600	70720	而且还不止这样
70720	72720	所以她是台大美食社的社长
72720	74480	所以对我们来讲
74480	77360	她一直都是一个非常斜杠的强者神人
77360	80000	而且拿了数不清的书卷奖
80000	81120	觉得非常厉害
81120	84720	所以明熙很酷的是
84720	86880	她一直都走一个双背景的路线
86880	89440	就是同时跨足法律跟历史学
89440	93120	所以目前她在美国西北大学历史系
93120	95680	她也是结合了她的双背景的专业
95680	99760	她的研究领域包含了近代国际法的历史
99760	101440	东亚法律近代化
101440	102960	中美关系史
102960	104880	国际经济法与税法
104880	106400	等等等等
106400	110720	我在想今天的主题
110720	111680	治外法权
111680	114240	可能对很多人来讲是一个又熟悉
114240	117280	又可能不是很确定的概念
117280	121520	所以我们就简单讲一下
121520	123680	今天的演讲的规则
123680	126160	今天的演讲其实就是蛮简单的
126160	128880	就是请大家如果有任何问题的话
128880	132720	就是要嘛你可以直接开你的麦克风
132720	135680	就是直接向讲者提问
135680	137120	就是明熙蛮喜欢这种
137120	138960	比较互动式的演讲模式
138960	140640	或者是如果你比较害羞
140640	144560	或者是你担心影响到讲者的flow的话
144560	146160	你也可以就是把你的问题
146160	148480	就是post在那个chat的提问区
148480	152560	那我会找适合的时间就是帮忙询问
152560	156240	那在明熙分享完她今天的演讲之后
156240	158640	我们也会有一段Q&A的时间
158640	161200	所以如果大家都OK
161200	163040	那就欢迎明熙
171440	173600	OK 大家好
173600	177760	看得到我的powerpoint吗
177760	180080	OK
180080	181040	好 那我
181040	182400	谢谢宜安的介绍
182400	183600	对 由于宜安所说
183600	185680	我们两个是大学同学
185680	187760	可是在我们这一届台大法律系当中
187760	191120	我想宜安跟我是属于比较斜杠的
191120	193680	就是宜安也是直接就硕士班
193680	196400	就离开法律学界去念心理所
196400	198640	然后又去当律师等等
198640	202240	所以很荣幸可以让宜安当我的主持人
202240	204880	那今天要跟大家分享的题目是
204880	207760	在中国管制美国公民
207760	211680	那我这个是我在西北大学历史系博士班
211680	215040	一年级的研究计划
215040	217600	那这个计划才在很初步的阶段
217600	219920	所以想跟大家分享
219920	224480	那因为我发现在我们这个project里面
224480	226400	文组的学生比较少
226400	228560	所以我会用稍微较多一点点的时间
228560	230320	跟大家介绍说
230320	232320	在美国做人文学科
232320	235120	或者是法律学科研究的一些现况
239760	242080	所以今天的演讲会分成几个部分
242080	243280	一个是自我介绍
243280	244960	可是我相信也不用太多介绍了
244960	247680	因为宜安帮我讲得非常的详细
247680	250400	那第二个部分是要跟大家分享说
250400	251520	什么是历史学
251520	254160	这个其实是大家常有的一个问题
254160	256880	而且我也常常被不同学科的老师
256880	259200	同行或同学问
259200	260480	因为其实历史很抽象嘛
260480	263040	我们可以说过去发生的事情就是历史
263040	265200	那历史这么多
265200	267600	我们身为一个历史学的学者
267600	269120	或者是历史学的博士生
269120	270880	我们到底要怎么选择主题
270880	272240	怎么做研究
272240	274240	换言之历史系的博士生
274240	276240	到底都在做些什么事情
276240	279280	那为什么我要研究法律史呢
279280	281200	法律跟历史又有什么关系
281200	283920	特别是为什么我要选择国际法的法律史
283920	285840	作为我研究的主题
285840	289200	那在这些大的学科的介绍跟背景之后呢
289200	292720	我才会去谈我一年级的初步的研究
292720	294800	也就是美国在华的治外法权
294800	296240	到底是怎么一回事
296240	298800	我们过去在高中教科书里面常常听到
298800	302000	治外法权是不平等条约的一部分
302000	305920	然后让我们国家或者是中国在过去
305920	308480	遭受了很多不平等的待遇
308480	310160	然后是一个丧权辱国的事情
310160	310800	真的吗
310800	311360	真的吗
311360	312720	美国因此得利了吗
312720	314480	谁因此得利了
314480	317840	那历史系一开始的研究
317840	321040	都是在厘清一些事实一些制度背景
321040	325200	更高的层次才是去发展理论
325200	328000	所以我在最后想谈一下我未来的计划
328000	330720	我怎么要把这些史料发展它的理论意义
330720	334320	然后进行我未来的研究
334320	335920	所以这边呢其实
335920	337280	宜安都帮我介绍过
337280	338160	我就不赘言
338160	340400	我想讲的是最后一点
340400	343760	就是为什么我要来念历史系
343760	346240	其实我一开始的目标是
346240	350720	希望以后可以在美国的法学院教书
350720	352400	那这边我觉得有一个很有趣
352400	354480	可以跟大家分享的事情是
354480	356560	在美国的professional schools
356560	359440	例如说法学院教书
359440	362240	它的做法跟我们一般在历史系
362240	364800	物理系或者是数学系
364800	367280	都是非常不同的
367280	369520	这个就要话说从头
369520	372800	身为一个历史学家就要跟大家说
372800	376160	它制度的来源跟演变是什么
376160	377920	如同大家所知
377920	380640	全世界的法学教育里面
380640	382560	北美洲是非常特别的
382560	386560	就是他们在大学部并没有法律的教育
386560	390000	不像在台湾在日本在德国在英国在法国
390000	392800	我们大学高中毕业念大学
392800	394240	我们就可以选择法律系
394240	395920	法律系毕业之后呢
395920	398080	你就可以去考律师考试
398080	401760	然后你就可以成为律师
401760	403600	或者是继续念硕士博士
403600	405680	就回到法律系教书
405680	408320	美国跟加拿大并不是这样
408320	411280	美国的大学部没有法律系
411280	414800	你必须要大学部毕业之后呢
414800	418560	才可以去念你的第一个法学位叫做JD
418560	420560	就是Juris Doctor
420560	421520	它跟MD一样
421520	422880	它有个Doctor的头衔
422880	426560	可是它并不是PhD的Doctor
