start	end	text
0	2000	整理&字幕):三馬兄
30000	60000	她從印第安納大學布魯閔頓大學的研究研究與發展學碩士碩士碩士碩士碩士碩士碩士碩士碩士碩士碩士碩士碩士碩士碩士碩士碩士碩士
60000	70000	整理&字幕):三馬兄
90000	110000	整理&字幕):三馬兄
120000	130000	整理&字幕):三馬兄
150000	160000	整理&字幕):三馬兄
180000	190000	整理&字幕):三馬兄
210000	220000	整理&字幕):三馬兄
220000	230000	整理&字幕):三馬兄
230000	250000	整理&字幕):三馬兄
250000	260000	整理&字幕):三馬兄
260000	280000	整理&字幕):三馬兄
280000	290000	整理&字幕):三馬兄
290000	300000	整理&字幕):三馬兄
300000	310000	整理&字幕):三馬兄
310000	320000	整理&字幕):三馬兄
320000	330000	整理&字幕):三馬兄
330000	340000	整理&字幕):三馬兄
340000	350000	整理&字幕):三馬兄
350000	360000	整理&字幕):三馬兄
360000	370000	整理&字幕):三馬兄
370000	380000	整理&字幕):三馬兄
380000	390000	整理&字幕):三馬兄
390000	400000	整理&字幕):三馬兄
420000	430000	整理&字幕):三馬兄
430000	440000	整理&字幕):三馬兄
460000	470000	整理&字幕):三馬兄
470000	480000	整理&字幕):三馬兄
480000	490000	整理&字幕):三馬兄
490000	500000	整理&字幕):三馬兄
500000	510000	整理&字幕):三馬兄
510000	520000	整理&字幕):三馬兄
540000	550000	整理&字幕):三馬兄
550000	560000	整理&字幕):三馬兄
560000	570000	整理&字幕):三馬兄
570000	580000	整理&字幕):三馬兄
580000	590000	整理&字幕):三馬兄
590000	600000	整理&字幕):三馬兄
600000	610000	整理&字幕):三馬兄
610000	620000	整理&字幕):三馬兄
620000	630000	整理&字幕):三馬兄
630000	640000	整理&字幕):三馬兄
640000	650000	整理&字幕):三馬兄
650000	660000	整理&字幕):三馬兄
660000	670000	整理&字幕):三馬兄
670000	680000	整理&字幕):三馬兄
680000	690000	整理&字幕):三馬兄
690000	700000	整理&字幕):三馬兄
720000	730000	整理&字幕):三馬兄
730000	740000	整理&字幕):三馬兄
740000	750000	整理&字幕):三馬兄
750000	760000	整理&字幕):三馬兄
760000	770000	整理&字幕):三馬兄
770000	780000	整理&字幕):三馬兄
780000	790000	整理&字幕):三馬兄
810000	820000	整理&字幕):三馬兄
820000	830000	整理&字幕):三馬兄
830000	840000	整理&字幕):三馬兄
840000	850000	整理&字幕):三馬兄
850000	860000	整理&字幕):三馬兄
860000	870000	整理&字幕):三馬兄
870000	880000	整理&字幕):三馬兄
880000	890000	整理&字幕):三馬兄
890000	900000	整理&字幕):三馬兄
900000	910000	整理&字幕):三馬兄
910000	920000	整理&字幕):三馬兄
940000	950000	整理&字幕):三馬兄
950000	960000	整理&字幕):三馬兄
960000	970000	整理&字幕):三馬兄
