start	end	text
0	28000	我是今天的主持人李岳嘉,很高興大家來參加我們Tyra Talk今天的演講,今天的講者是陳鴻任,他目前在阿姆斯特丹大學念博士班,他說他自己原本的目標是成為神奇寶貝大師,但回過神來他已經在免疫學和轉移醫學研究的路上,
28000	57000	他主要內容是巨噬細胞的免疫反應,主題從動脈周樣硬化、感染症到癌症,還有自體免疫疾病都有涉獵,所以其實蠻廣泛的,除了動物實驗模型、分子生物學之外,他也有做大數據的分析,包括基因體、轉錄體、蛋白質體、代謝體,還有代謝流主學,所以其實他的研究領域非常廣泛,我覺得非常厲害。
57000	71000	除了實驗室之外,他也常出現的地方會是廚房、健身房、山上或各種水域,所以我覺得,他說他自己是阿宅,我覺得他其實蠻不像阿宅的。
71000	86000	這是他個人的自我介紹,如果有相同研究領域的人,或是對他研究領域有興趣的人,都可以在稍後演講結束之後跟他進行互動或是意見交流。
86000	103000	今天的演講主題是COVID-19感染早期抗體形成的免疫複合物,引起巨噬細胞的過度免疫反應。我就將發言交給彭任,讓他接下來的演講。
116000	136000	主要要介紹的東西就是COVID-19,它在我們人體裡面造成的免疫反應,為什麼有可能會造成比較嚴重的症狀。今天是3月14日,是國際圓周日,所以我覺得還是蠻有趣的。
137000	151000	先大概介紹一下我是誰,我是台大醫學系畢業的,我現在在阿姆斯特丹醫學生化所當博士生,主要的研究領域是免疫學、分子生物學、轉移醫學和生物資訊學。
152000	169000	我們組比較研究的主題在於巨噬細胞,我老闆的專長其實是偏向動脈周狀硬化,主要是研究免疫細胞在這裡面的反應,還有做一點自體免疫。
170000	181000	如果你們對這幾個領域有興趣或是有想要合作的話,我通常比較專業的話,專業領域的連結是想要透過LinkedIn或者是Twitter,我下面有QR Code。
182000	191000	如果你是對其他登山動脈有興趣,想要一起交流認識新朋友的話,通過Facebook也在右下角。
192000	205000	好,那就是這樣講。你們看我的簡歷,大概會覺得說,既然老闆主要是做新血管疾病的巨噬細胞,那為什麼我今天會介紹COVID-19呢?
206000	209000	故事要開始在去年發生的一些事情。
212000	216000	去年2019年,大家知道有COVID-19的爆發。
217000	223000	COVID-19爆發的時候,台灣不知道為什麼好像產生了一個結界,跟世界其他地方都不一樣。
224000	234000	以我所在的荷蘭而言,病毒就肆虐,然後開始封城,所以實驗室是不可以去的,除非你是做COVID-19相關的研究。
235000	239000	很明顯,我的那時候的狀況就是,我的博論看起來是沒辦法完成的。
240000	248000	所以我就跟老闆討論一下,因為我的主題在我們組裡面算是跟其他人比較不一樣的,我很少做新血管疾病。
248000	253000	我基本上不太有Atherosclerosis的project,我基本上都是比較偏向純免疫的。
253000	257000	那我就跟老闆說,我們可不可以做一些COVID-19的研究?
257000	265000	一方面是這是一個好機會,就是做免疫學的研究的好機會,另外一方面就是希望能夠趕快讓這個疫情結束。
266000	270000	所以就開始了我們這個COVID-19的研究計畫。
271000	276000	我今天主要的演講內容,主要都是偏向我們去年發表的一篇preprint。
276000	290000	那基本上就是在講,就是抗體它跟病毒會形成一些免疫複合物,那這個免疫複合物在體內是如何刺激巨噬細胞,然後會引發強烈的過度免疫反應。
290000	298000	那這篇preprint現在在審,那我們還有另外一篇跟其他合作者發的,另外一篇就是在Science上,就是我們這一篇的基礎吧。
298000	305000	就是我們先在臨床上觀察到一些特徵,然後我們才決定轉移到細胞模型上。
306000	309000	那今天我會從這兩篇,主要從這兩篇論文帶入。
310000	316000	我覺得這兩篇是,如果你對COVID-19有興趣的話,其實這是我覺得蠻值得大家去稍微看一下的。
318000	324000	那首先就是先講到COVID-19,大家都知道它是一個蠻嚴重的呼吸系統的感染症。
325000	339000	那就是在疾病爆發的早期,其實就已經有人在研究說它的病程是怎麼樣,然後有哪些特徵可能是這個病程這麼嚴重的原因之一。
340000	354000	現在是,荷蘭時間是下午三點,所以是十五點零九分,所以就是圓周率的時間,所以不好意思打岔一下,我要發一篇圓周率文。
355000	358000	OK,好,對不起,阿宅本性。
363000	365000	所以就是一個免疫反應的過程。
366000	380000	其實你可以看到,我們在COVID-19在臨床的變化中,他們是先從一開始早期,病毒量還沒出來,但是已經感染,接著病毒量提升,可是這時候其實你還沒有很大量的發炎反應。
381000	393000	然後接著到stage two的時候,因為你開始有一些免疫反應了,然後開始發炎了,但這一開始的發炎其實沒有那麼強烈,但因為有免疫反應,所以你的病毒量下降,就是中間橘色那條線。
394000	402000	然後接著,奇怪的地方就在於,在COVID-19,你的病毒量逐漸下降的同時,你的發炎反應也逐漸提升。
403000	420000	這其實有一點有趣,就是你會預期說,我今天有一個病原體在,我們人體才要發炎去對抗它,但事實上不管是生存率的下降或者是發炎反應,都是在病毒開始減少的時候才開始出現的。
421000	425000	一個很重要的時間點就是這個,就是seroconversion發生的時候。
425000	432000	那什麼是seroconversion呢?就是你看一下,我來開一個雷射,有沒有辦法開一個雷射點?
432000	447000	好,所以你會看到這邊,就是這個時間點是你的人體可以開始,血液中的抗體可以開始被檢測到了。
448000	458000	就是雖然你可能在早期就已經開始有抗體的產生,但在這個時間點的時候,你的抗體才從,血液中的抗體才從陰性變成陽性,所以我們這一點叫做seroconversion。
459000	475000	也就是說,在這個時間點之後,你的抗體才達到一個detectable的量。所以這非常有趣,就是你會發現說,有趣的地方在於,為什麼是在抗體開始產生的時候,這時候發炎反應才開始變高,然後反而才出現了死亡率上升的情形。
475000	490000	所以這一點就非常有趣了。所以大家就是在研究這段時間病人他們整體的profile是長怎樣,就是病人整體的狀況是怎樣。那有一種方法就是去量測血液中的各種物質,發炎指數、因子等等。
491000	506000	然後他們就發現說,一開始的時候可能是比較偏向干擾素的生成,然後到後期的時候干擾素越來越多,然後接著就開始了就是比較討厭的免疫反應,那這段時間就會產生非常多的細胞激素。
506000	524000	那有幾種細胞激素其實是比較被大家注意的。那在這邊有提到就是TNF,就是tumor necrosis factor,它是腫瘤壞子因子,然後還有介白素-1跟介白素-6,然後還有MCP-1,單核球趨化蛋白。
525000	540000	對,那就是這幾種細胞激素,其實是在這段時間是很重要的一個關鍵,就是不管它是造成的原因還是它的結果,它這段時間是,這段時間的病人會有比較高量的這些細胞激素的產生。
541000	547000	所以大家這時候就會有一個問題說,那這個細胞激素有可能是哪一群細胞來製造的?
548000	560000	那有一些review就會發現說,其實這些細胞激素都是人體體內能夠製造這些細胞激素的細胞,有一種叫做macrophage,就是巨噬細胞。
560000	573000	它們其實可以產生非常大量的這些細胞激素,特別剛剛前面講的,就是介白素-6,IL-6,或者是tumor necrosis factor,TNF,或是IL-10,IL-8,這些細胞激素。
574000	584000	那這邊這個圖有點複雜,我們簡單來講就是說,今天有一個SARS-CoV-2的virus infection,就是今天我們感染了SARS-CoV-2,就是武漢肺炎。
585000	592000	那它就會刺激體內的巨噬細胞,或者是巨噬細胞的前身叫做單核球,或者是氣勢力單核球,或巨噬細胞。
